,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Khavar.Spring,20010425,6775.0,6775.0,6775.0,13550000,2000,8,D,0.0,6775.0
1,Khavar.Spring,20010428,6900.0,6850.0,6900.0,15150000,2200,3,D,6775.0,6900.0
2,Khavar.Spring,20010429,7000.0,6900.0,7000.0,41900000,6000,4,D,6900.0,7000.0
3,Khavar.Spring,20010430,7100.0,7000.0,7100.0,34811200,4929,6,D,7000.0,7100.0
4,Khavar.Spring,20010501,7100.0,7100.0,7100.0,13284100,1871,3,D,7100.0,7100.0
5,Khavar.Spring,20010502,7101.0,7101.0,7101.0,2130300,300,1,D,7100.0,7101.0
6,Khavar.Spring,20010505,7150.0,7101.0,7150.0,17115900,2400,9,D,7101.0,7150.0
7,Khavar.Spring,20010506,7152.0,7151.0,7152.0,3575700,500,3,D,7150.0,7152.0
8,Khavar.Spring,20010508,7151.0,7151.0,7151.0,2145300,300,1,D,7152.0,7151.0
9,Khavar.Spring,20010509,7180.0,7180.0,7180.0,18668000,2600,5,D,7151.0,7180.0
10,Khavar.Spring,20010513,7305.0,7305.0,7305.0,4383000,600,2,D,7180.0,7305.0
11,Khavar.Spring,20010515,7502.0,7400.0,7502.0,28006000,3740,12,D,7305.0,7502.0
12,Khavar.Spring,20010516,7502.0,7502.0,7502.0,4501200,600,4,D,7502.0,7502.0
13,Khavar.Spring,20010519,7550.0,7511.0,7550.0,21805300,2900,9,D,7502.0,7550.0
14,Khavar.Spring,20010520,7552.0,7552.0,7552.0,2265600,300,1,D,7550.0,7552.0
15,Khavar.Spring,20010521,7572.0,7571.0,7571.0,6813960,900,4,D,7552.0,7571.0
16,Khavar.Spring,20010528,7571.0,7571.0,7571.0,2271300,300,2,D,7571.0,7571.0
17,Khavar.Spring,20010529,7728.0,7575.0,7728.0,87203600,11400,19,D,7571.0,7728.0
18,Khavar.Spring,20010530,8000.0,7750.0,8000.0,56679600,7100,12,D,7728.0,8000.0
19,Khavar.Spring,20010602,8140.0,8026.0,8140.0,20666200,2550,8,D,8000.0,8140.0
20,Khavar.Spring,20010603,8301.0,8182.0,8299.0,182920440,22041,36,D,8140.0,8299.0
21,Khavar.Spring,20010805,3158.0,3000.0,3158.0,3315800,1100,2,D,8299.0,3158.0
22,Khavar.Spring,20010806,3200.0,3200.0,3200.0,48640000,15200,15,D,3158.0,3200.0
23,Khavar.Spring,20010908,3360.0,3359.0,3360.0,11711465,3486,8,D,3200.0,3360.0
24,Khavar.Spring,20010909,3362.0,3360.0,3362.0,5832600,1735,2,D,3360.0,3362.0
25,Khavar.Spring,20010910,3530.0,3450.0,3530.0,16682620,4803,10,D,3362.0,3530.0
26,Khavar.Spring,20010911,3531.0,3530.0,3530.0,16039333,4543,8,D,3530.0,3530.0
27,Khavar.Spring,20010912,3530.0,3400.0,3400.0,14585580,4236,8,D,3530.0,3400.0
28,Khavar.Spring,20010915,3400.0,3400.0,3400.0,4617200,1358,1,D,3400.0,3400.0
29,Khavar.Spring,20010922,3378.0,3378.0,3378.0,1520100,450,2,D,3400.0,3378.0
30,Khavar.Spring,20010924,3372.0,3350.0,3350.0,16312080,4842,13,D,3378.0,3350.0
31,Khavar.Spring,20010925,3372.0,3350.0,3350.0,9441700,2802,6,D,3350.0,3350.0
