,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,E..Kh..Shargh,20040223,3851.0,3800.0,3816.0,8004597000,2097500,1824,D,3851.0,3816.0
1,E..Kh..Shargh,20040224,4006.0,3822.0,3822.0,4005816,1000,4,D,3816.0,3822.0
2,E..Kh..Shargh,20040225,4013.0,4013.0,4013.0,401300000,100000,88,D,3822.0,4013.0
3,E..Kh..Shargh,20040228,4213.0,4076.0,4076.0,42129863,10000,11,D,4013.0,4076.0
4,E..Kh..Shargh,20040229,4279.0,4279.0,4279.0,2139500000,500000,219,D,4076.0,4279.0
5,E..Kh..Shargh,20040303,4400.0,4106.0,4279.0,1836768051,429202,335,D,4279.0,4279.0
6,E..Kh..Shargh,20040306,4327.0,4277.0,4298.0,817955258,190305,146,D,4279.0,4298.0
7,E..Kh..Shargh,20040307,4272.0,4084.0,4126.0,178718977,43314,49,D,4298.0,4126.0
8,E..Kh..Shargh,20040308,3928.0,3920.0,3920.0,319522271,81506,59,D,4126.0,3920.0
9,E..Kh..Shargh,20040309,4110.0,3940.0,4036.0,440021309,109016,58,D,3920.0,4036.0
10,E..Kh..Shargh,20040310,4102.0,3975.0,4052.0,112481697,27733,31,D,4036.0,4052.0
11,E..Kh..Shargh,20040313,4090.0,3929.0,4008.0,61594830,15541,21,D,4052.0,4008.0
12,E..Kh..Shargh,20040314,4000.0,3919.0,3959.0,166741558,42112,40,D,4008.0,3959.0
13,E..Kh..Shargh,20040315,3990.0,3900.0,3931.0,274714757,69875,52,D,3959.0,3931.0
14,E..Kh..Shargh,20040316,3967.0,3910.0,3941.0,149427377,37916,39,D,3931.0,3941.0
15,E..Kh..Shargh,20040317,3931.0,3906.0,3920.0,84378312,21572,26,D,3941.0,3920.0
16,E..Kh..Shargh,20040327,3920.0,3920.0,3920.0,9925440,2532,2,D,3920.0,3920.0
17,E..Kh..Shargh,20040328,3911.0,3890.0,3911.0,41511640,10660,7,D,3920.0,3911.0
18,E..Kh..Shargh,20040329,3869.0,3800.0,3869.0,45171290,11887,11,D,3911.0,3869.0
19,E..Kh..Shargh,20040330,3829.0,3800.0,3811.0,104767659,27542,21,D,3869.0,3811.0
20,E..Kh..Shargh,20040403,3811.0,3799.0,3802.0,116821528,30741,21,D,3811.0,3802.0
21,E..Kh..Shargh,20040404,3950.0,3800.0,3834.0,113238990,29417,32,D,3802.0,3834.0
22,E..Kh..Shargh,20040405,4001.0,3969.0,3978.0,278148146,69919,41,D,3834.0,3978.0
23,E..Kh..Shargh,20040406,4176.0,4050.0,4164.0,174942967,42010,32,D,3978.0,4164.0
24,E..Kh..Shargh,20040407,4372.0,4228.0,4283.0,113167962,25966,28,D,4164.0,4283.0
25,E..Kh..Shargh,20040410,4497.0,4346.0,4382.0,187032387,42678,27,D,4283.0,4382.0
26,E..Kh..Shargh,20040412,4400.0,4358.0,4393.0,190077037,43262,23,D,4382.0,4393.0
27,E..Kh..Shargh,20040413,4389.0,4200.0,4362.0,149650925,34353,24,D,4393.0,4362.0
28,E..Kh..Shargh,20040414,4350.0,4317.0,4350.0,81090596,18697,12,D,4362.0,4350.0
29,E..Kh..Shargh,20040417,4306.0,4135.0,4298.0,80422655,18980,15,D,4350.0,4298.0
30,E..Kh..Shargh,20040418,4295.0,4135.0,4292.0,87917277,20510,16,D,4298.0,4292.0
