,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Chimidarou,20010326,8999.0,8998.0,8999.0,836858,93,2,D,0.0,8999.0
1,Chimidarou,20010327,9002.0,9000.0,9001.0,44661729,4962,6,D,8999.0,9001.0
2,Chimidarou,20010328,9099.0,9005.0,9099.0,13431195,1479,4,D,9001.0,9099.0
3,Chimidarou,20010331,9150.0,9098.0,9150.0,110717510,12162,19,D,9099.0,9150.0
4,Chimidarou,20010403,9200.0,9200.0,9200.0,36800000,4000,1,D,9150.0,9200.0
5,Chimidarou,20010407,9200.0,9200.0,9200.0,12797200,1391,1,D,9200.0,9200.0
6,Chimidarou,20010408,9364.0,9203.0,9300.0,88352961,9497,18,D,9200.0,9300.0
7,Chimidarou,20010409,9301.0,9299.0,9300.0,236798100,25462,36,D,9300.0,9300.0
8,Chimidarou,20010410,9310.0,9300.0,9310.0,125226040,13457,27,D,9300.0,9310.0
9,Chimidarou,20010411,9363.0,9311.0,9363.0,59252491,6349,16,D,9310.0,9363.0
10,Chimidarou,20010501,8000.0,8000.0,8000.0,8000000,1000,1,D,9363.0,8000.0
11,Chimidarou,20010502,8020.0,8001.0,8014.0,73283334,9148,9,D,8000.0,8014.0
12,Chimidarou,20010505,8149.0,8016.0,8149.0,60551338,7519,11,D,8014.0,8149.0
13,Chimidarou,20010506,8512.0,8200.0,8512.0,92436608,11043,23,D,8149.0,8512.0
14,Chimidarou,20010507,8931.0,8515.0,8931.0,181662910,20400,23,D,8512.0,8931.0
15,Chimidarou,20010508,9377.0,8931.0,9377.0,104565379,11436,13,D,8931.0,9377.0
16,Chimidarou,20010509,9820.0,9550.0,9631.0,94573346,9727,19,D,9377.0,9631.0
17,Chimidarou,20010512,9730.0,9700.0,9700.0,64410050,6633,20,D,9631.0,9700.0
18,Chimidarou,20010513,9749.0,9700.0,9749.0,44336018,4568,12,D,9700.0,9749.0
19,Chimidarou,20010515,9760.0,9749.0,9752.0,52110618,5344,12,D,9749.0,9752.0
20,Chimidarou,20010516,9813.0,9758.0,9812.0,59714360,6092,16,D,9752.0,9812.0
21,Chimidarou,20010519,10000.0,9812.0,10000.0,91157166,9174,23,D,9812.0,10000.0
22,Chimidarou,20010520,10200.0,10000.0,10200.0,93141130,9191,16,D,10000.0,10200.0
23,Chimidarou,20010521,10300.0,10200.0,10206.0,51638749,5039,15,D,10200.0,10206.0
24,Chimidarou,20010523,10213.0,10207.0,10213.0,13939708,1365,8,D,10206.0,10213.0
25,Chimidarou,20010526,10213.0,10210.0,10213.0,53665061,5255,11,D,10213.0,10213.0
26,Chimidarou,20010527,10100.0,10100.0,10100.0,189789100,18791,15,D,10213.0,10100.0
27,Chimidarou,20010528,10100.0,10100.0,10100.0,50500000,5000,8,D,10100.0,10100.0
28,Chimidarou,20010529,9999.0,9903.0,9998.0,26788921,2684,3,D,10100.0,9998.0
29,Chimidarou,20010530,9990.0,9989.0,9989.0,13466123,1348,5,D,9998.0,9989.0
30,Chimidarou,20010602,9970.0,9950.0,9950.0,48711808,4888,3,D,9989.0,9950.0
31,Chimidarou,20010603,9750.0,9599.0,9600.0,66453669,6877,19,D,9950.0,9600.0
32,Chimidarou,20010606,9600.0,9580.0,9580.0,30680000,3200,7,D,9600.0,9580.0
33,Chimidarou,20010612,9400.0,9290.0,9300.0,77425165,8320,40,D,9580.0,9300.0
34,Chimidarou,20010613,9250.0,9100.0,9100.0,72454653,7902,17,D,9300.0,9100.0
35,Chimidarou,20010616,9085.0,8996.0,8997.0,36903353,4100,9,D,9100.0,8997.0
36,Chimidarou,20010617,8995.0,8810.0,8995.0,141965715,15915,43,D,8997.0,8995.0
37,Chimidarou,20010618,8888.0,8880.0,8882.0,168081514,18916,59,D,8995.0,8882.0
38,Chimidarou,20010619,8926.0,8882.0,8900.0,82183222,9214,17,D,8882.0,8900.0
39,Chimidarou,20010620,8901.0,8899.0,8900.0,105188678,11819,33,D,8900.0,8900.0
40,Chimidarou,20010623,9006.0,8900.0,9006.0,99919771,11173,22,D,8900.0,9006.0
41,Chimidarou,20010624,9203.0,9016.0,9203.0,85154097,9309,23,D,9006.0,9203.0
42,Chimidarou,20010625,9300.0,9203.0,9300.0,50942520,5494,15,D,9203.0,9300.0
43,Chimidarou,20010626,9306.0,9300.0,9302.0,56423474,6065,24,D,9300.0,9302.0
44,Chimidarou,20010627,9301.0,9294.0,9301.0,37892637,4075,22,D,9302.0,9301.0
45,Chimidarou,20010630,9311.0,9301.0,9311.0,21917804,2356,14,D,9301.0,9311.0
46,Chimidarou,20010701,9311.0,9300.0,9309.0,144546941,15530,21,D,9311.0,9309.0
47,Chimidarou,20010702,9310.0,9300.0,9301.0,78864349,8476,28,D,9309.0,9301.0
48,Chimidarou,20010703,9304.0,9300.0,9304.0,24722055,2658,16,D,9301.0,9304.0
49,Chimidarou,20010704,9304.0,9300.0,9301.0,55056192,5918,17,D,9304.0,9301.0
