,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Saba.Noor,20140518,14999.0,14500.0,14616.0,49964562476,3418440,215,D,1000.0,14530.0
1,Saba.Noor,20140519,14400.0,14032.0,14573.0,592820012,42084,84,D,14616.0,14050.0
2,Saba.Noor,20140520,14348.0,14000.0,14521.0,781999476,55521,46,D,14573.0,14026.0
3,Saba.Noor,20140521,14100.0,13981.0,14488.0,492054569,35046,40,D,14521.0,14099.0
4,Saba.Noor,20140524,14290.0,13909.0,14001.0,15791733951,1127901,110,D,14488.0,13909.0
5,Saba.Noor,20140528,14120.0,13556.0,13581.0,18713115148,1377863,178,D,14001.0,13899.0
6,Saba.Noor,20140531,13110.0,13038.0,13478.0,1290352678,98934,93,D,13581.0,13038.0
7,Saba.Noor,20140601,13468.0,12939.0,12975.0,7755438417,597721,144,D,13478.0,13100.0
8,Saba.Noor,20140609,12200.0,11900.0,11893.0,775839300,64536,27,D,11875.0,11900.0
9,Saba.Noor,20140610,12000.0,11418.0,11877.0,470944422,40305,37,D,11893.0,11842.0
10,Saba.Noor,20140611,11799.0,11422.0,11868.0,140124070,12187,17,D,11877.0,11462.0
11,Saba.Noor,20140614,11452.0,11394.0,11856.0,150358563,13182,8,D,11868.0,11394.0
12,Saba.Noor,20140615,11800.0,11382.0,11796.0,847446528,74082,49,D,11856.0,11800.0
13,Saba.Noor,20140616,11800.0,11500.0,11795.0,112404800,9590,12,D,11796.0,11500.0
14,Saba.Noor,20140617,11376.0,11324.0,11733.0,780448410,68890,39,D,11795.0,11324.0
15,Saba.Noor,20140618,12200.0,11689.0,11854.0,2343562600,194395,22,D,11733.0,11999.0
16,Saba.Noor,20140621,11522.0,11380.0,11847.0,90715180,7950,28,D,11854.0,11380.0
17,Saba.Noor,20140622,11700.0,11374.0,11845.0,80072355,6868,18,D,11847.0,11700.0
18,Saba.Noor,20140623,11900.0,11372.0,11829.0,396109380,34143,40,D,11845.0,11372.0
