,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Karafarin.Bank,20030705,4554.0,3521.0,4554.0,7443153215,1999999,923,D,3521.0,4554.0
1,Karafarin.Bank,20030706,4781.0,4781.0,4781.0,358575000,75000,49,D,4554.0,4781.0
2,Karafarin.Bank,20030707,5020.0,5020.0,5020.0,5873400000,1170000,399,D,4781.0,5020.0
3,Karafarin.Bank,20030708,5271.0,5271.0,5271.0,1054200000,200000,108,D,5020.0,5271.0
4,Karafarin.Bank,20030709,5534.0,5534.0,5534.0,1159373000,209500,105,D,5271.0,5534.0
5,Karafarin.Bank,20030712,5810.0,5534.0,5810.0,21812116149,3757384,842,D,5534.0,5810.0
6,Karafarin.Bank,20030713,6100.0,5811.0,6100.0,5265074349,871073,403,D,5810.0,6100.0
7,Karafarin.Bank,20030714,6405.0,6100.0,6405.0,9821113709,1550100,160,D,6100.0,6405.0
8,Karafarin.Bank,20030715,6725.0,6405.0,6725.0,2971109545,443133,125,D,6405.0,6725.0
9,Karafarin.Bank,20030716,7070.0,6400.0,6400.0,87527658016,12392063,184,D,6725.0,6400.0
10,Karafarin.Bank,20030719,6301.0,6080.0,6080.0,1262274545,206877,101,D,6400.0,6080.0
11,Karafarin.Bank,20030720,5850.0,5776.0,5776.0,652716860,112757,63,D,6080.0,5776.0
12,Karafarin.Bank,20030721,5900.0,5488.0,5850.0,1694783306,300821,122,D,5776.0,5850.0
13,Karafarin.Bank,20030722,5602.0,5558.0,5558.0,906303475,162511,75,D,5850.0,5558.0
14,Karafarin.Bank,20030723,5558.0,5500.0,5555.0,397954293,71896,41,D,5558.0,5555.0
15,Karafarin.Bank,20030726,5832.0,5610.0,5832.0,5295761645,920550,115,D,5555.0,5832.0
16,Karafarin.Bank,20030727,6123.0,6123.0,6123.0,1320792330,215710,34,D,5832.0,6123.0
17,Karafarin.Bank,20030728,6421.0,6122.0,6170.0,2342254385,379249,75,D,6123.0,6170.0
18,Karafarin.Bank,20030729,6205.0,6168.0,6200.0,1275651371,206166,102,D,6170.0,6200.0
19,Karafarin.Bank,20030730,6200.0,6149.0,6170.0,1029708640,166743,64,D,6200.0,6170.0
20,Karafarin.Bank,20030803,6100.0,6050.0,6050.0,966185116,159666,47,D,6170.0,6050.0
21,Karafarin.Bank,20030804,6150.0,6049.0,6051.0,1114357179,181463,39,D,6050.0,6051.0
22,Karafarin.Bank,20030805,6049.0,5830.0,5830.0,623083611,105739,34,D,6051.0,5830.0
23,Karafarin.Bank,20030806,5900.0,5900.0,5900.0,333491600,56524,22,D,5830.0,5900.0
24,Karafarin.Bank,20030809,6050.0,5900.0,6050.0,2376751669,393278,88,D,5900.0,6050.0
25,Karafarin.Bank,20030810,6050.0,6050.0,6050.0,456617700,75474,22,D,6050.0,6050.0
26,Karafarin.Bank,20030811,6050.0,6050.0,6050.0,2246256100,371282,73,D,6050.0,6050.0
27,Karafarin.Bank,20030812,6050.0,6050.0,6050.0,916538700,151494,36,D,6050.0,6050.0
28,Karafarin.Bank,20030813,6050.0,6050.0,6050.0,86569450,14309,5,D,6050.0,6050.0
29,Karafarin.Bank,20030816,6050.0,6050.0,6050.0,1106139650,182833,32,D,6050.0,6050.0
30,Karafarin.Bank,20030817,6050.0,6050.0,6050.0,432454000,71480,15,D,6050.0,6050.0
31,Karafarin.Bank,20030818,6050.0,6050.0,6050.0,60500,10,1,D,6050.0,6050.0
32,Karafarin.Bank,20030819,6050.0,6050.0,6050.0,183762700,30374,7,D,6050.0,6050.0
33,Karafarin.Bank,20030820,6352.0,6050.0,6050.0,526993378,82965,24,D,6050.0,6050.0
34,Karafarin.Bank,20030823,6352.0,6050.0,6050.0,134598578,21190,7,D,6050.0,6050.0
35,Karafarin.Bank,20030824,6352.0,6050.0,6050.0,145549426,22914,9,D,6050.0,6050.0
36,Karafarin.Bank,20030825,7160.0,6050.0,6050.0,14486504674,2026213,28,D,6050.0,6050.0
37,Karafarin.Bank,20030826,6352.0,6050.0,6050.0,108650658,17105,10,D,6050.0,6050.0
38,Karafarin.Bank,20030827,6352.0,6352.0,6352.0,3185534352,501501,88,D,6050.0,6352.0
39,Karafarin.Bank,20030830,6669.0,6352.0,6352.0,236088952,35401,13,D,6352.0,6352.0
40,Karafarin.Bank,20030831,6669.0,6352.0,6352.0,122473015,18365,11,D,6352.0,6352.0
41,Karafarin.Bank,20030901,6669.0,6669.0,6669.0,2706480270,405830,109,D,6352.0,6669.0
