,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Khorasan.Petro.,20190205,11999.0,11450.0,11506.0,7251298737,630208,82,D,1000.0,11500.0
1,Khorasan.Petro.,20190206,11700.0,11202.0,11459.0,1704501218,151051,82,D,11506.0,11220.0
2,Khorasan.Petro.,20190210,11400.0,11120.0,11440.0,1567900964,138016,44,D,11459.0,11400.0
3,Khorasan.Petro.,20190212,11500.0,11229.0,11433.0,2048350865,179487,48,D,11440.0,11499.0
4,Khorasan.Petro.,20190213,11500.0,11230.0,11424.0,437438140,38831,31,D,11433.0,11449.0
5,Khorasan.Petro.,20190216,11231.0,10950.0,11300.0,3151240074,283616,88,D,11424.0,11000.0
6,Khorasan.Petro.,20190217,11000.0,10900.0,11198.0,2103145184,192597,61,D,11300.0,10998.0
7,Khorasan.Petro.,20190218,10998.0,10701.0,11085.0,2379456083,219723,63,D,11198.0,10850.0
8,Khorasan.Petro.,20190219,11200.0,10900.0,11070.0,4415001476,399229,57,D,11085.0,11155.0
9,Khorasan.Petro.,20190220,11400.0,11171.0,11164.0,3604454676,319498,79,D,11070.0,11399.0
10,Khorasan.Petro.,20190223,11697.0,11300.0,11204.0,902237045,78245,46,D,11164.0,11422.0
11,Khorasan.Petro.,20190224,11739.0,11451.0,11382.0,4745828720,412217,92,D,11204.0,11590.0
12,Khorasan.Petro.,20190225,11639.0,11390.0,11431.0,2273064452,196645,72,D,11382.0,11638.0
13,Khorasan.Petro.,20190226,11600.0,11253.0,11380.0,2636878700,233884,71,D,11431.0,11350.0
14,Khorasan.Petro.,20190227,11600.0,11300.0,11407.0,2098929076,182745,62,D,11380.0,11530.0
15,Khorasan.Petro.,20190302,11529.0,11253.0,11395.0,1890702558,166531,54,D,11407.0,11303.0
16,Khorasan.Petro.,20190303,11597.0,11257.0,11390.0,674560856,59512,62,D,11395.0,11497.0
17,Khorasan.Petro.,20190304,11449.0,11303.0,11386.0,1077927484,94897,45,D,11390.0,11340.0
18,Khorasan.Petro.,20190305,11395.0,11252.0,11370.0,1456263893,128878,53,D,11386.0,11253.0
19,Khorasan.Petro.,20190306,11446.0,11261.0,11363.0,1382585870,122030,25,D,11370.0,11446.0
20,Khorasan.Petro.,20190309,11756.0,11350.0,11376.0,26344184011,2315832,216,D,11363.0,11756.0
21,Khorasan.Petro.,20190310,11879.0,11600.0,11582.0,3794301935,320594,131,D,11376.0,11604.0
22,Khorasan.Petro.,20190311,12000.0,11600.0,11671.0,3442769857,291774,93,D,11582.0,11896.0
23,Khorasan.Petro.,20190312,12100.0,11720.0,11693.0,1383877231,117253,52,D,11671.0,11940.0
24,Khorasan.Petro.,20190313,12277.0,11800.0,11794.0,1773297388,145498,89,D,11693.0,12277.0
25,Khorasan.Petro.,20190316,12383.0,12383.0,11870.0,1142913751,92297,28,D,11794.0,12383.0
26,Khorasan.Petro.,20190317,12463.0,12463.0,12463.0,8923071795,715965,33,D,11870.0,12463.0
27,Khorasan.Petro.,20190318,13086.0,12902.0,13080.0,34564574332,2642476,180,D,12463.0,13086.0
28,Khorasan.Petro.,20190319,13734.0,13170.0,13640.0,16092890645,1179827,252,D,13080.0,13720.0
29,Khorasan.Petro.,20190325,13720.0,13100.0,13451.0,5689668735,427028,103,D,13640.0,13498.0
30,Khorasan.Petro.,20190326,13650.0,13403.0,13550.0,12196862900,900129,103,D,13451.0,13551.0
31,Khorasan.Petro.,20190327,14000.0,13610.0,13626.0,3501326253,254398,73,D,13550.0,13620.0
32,Khorasan.Petro.,20190330,13999.0,13685.0,13633.0,533074326,38761,55,D,13626.0,13750.0
33,Khorasan.Petro.,20190331,13990.0,13300.0,13631.0,3299921140,242178,94,D,13633.0,13600.0
34,Khorasan.Petro.,20190406,13630.0,13485.0,13611.0,2885276388,212711,81,D,13631.0,13620.0
35,Khorasan.Petro.,20190407,13900.0,13550.0,13670.0,6062338737,442318,112,D,13611.0,13617.0
36,Khorasan.Petro.,20190408,13828.0,13301.0,13648.0,11123879070,815055,145,D,13670.0,13741.0
37,Khorasan.Petro.,20190409,13743.0,13510.0,13615.0,4975605247,366295,141,D,13648.0,13595.0
38,Khorasan.Petro.,20190410,13900.0,13600.0,13757.0,14451104286,1050428,122,D,13615.0,13651.0
39,Khorasan.Petro.,20190413,13899.0,13650.0,13718.0,4303627008,314886,97,D,13757.0,13691.0
40,Khorasan.Petro.,20190414,13823.0,13668.0,13749.0,4233388854,306994,93,D,13718.0,13805.0
41,Khorasan.Petro.,20190415,14120.0,13750.0,13927.0,26177198510,1879620,210,D,13749.0,13900.0
42,Khorasan.Petro.,20190416,14291.0,13706.0,13981.0,8240455120,588895,103,D,13927.0,13950.0
43,Khorasan.Petro.,20190417,14200.0,13900.0,13971.0,1682659812,120882,50,D,13981.0,13952.0
44,Khorasan.Petro.,20190420,14669.0,14669.0,14481.0,7670141389,522881,49,D,13971.0,14669.0
45,Khorasan.Petro.,20190422,15965.0,15205.0,15465.0,44193118425,2857634,568,D,14481.0,15394.0
46,Khorasan.Petro.,20190423,15679.0,14855.0,15394.0,37554921045,2439573,355,D,15465.0,15330.0
47,Khorasan.Petro.,20190424,15499.0,14800.0,15358.0,5897457986,384788,96,D,15394.0,15387.0
48,Khorasan.Petro.,20190427,15620.0,15220.0,15438.0,10313438796,668048,137,D,15358.0,15415.0
49,Khorasan.Petro.,20190428,15950.0,15030.0,15644.0,20840063454,1332175,196,D,15438.0,15660.0
50,Khorasan.Petro.,20190429,16425.0,15645.0,15918.0,6961431218,433594,147,D,15644.0,16419.0
51,Khorasan.Petro.,20190430,16712.0,15701.0,15951.0,4623906591,289140,110,D,15918.0,15810.0
52,Khorasan.Petro.,20190501,16490.0,15945.0,16049.0,11851680827,738450,159,D,15951.0,16000.0
53,Khorasan.Petro.,20190504,16800.0,16052.0,16447.0,15517617023,943480,238,D,16049.0,16720.0
