,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Calcimine,20010501,5750.0,5750.0,5750.0,575000,100,1,D,5750.0,5750.0
1,Calcimine,20010506,5807.0,5807.0,5807.0,9947391,1713,3,D,5750.0,5807.0
2,Calcimine,20010512,5865.0,5865.0,5865.0,2991150,510,2,D,5807.0,5865.0
3,Calcimine,20010513,5923.0,5923.0,5923.0,11846000,2000,2,D,5865.0,5923.0
4,Calcimine,20010515,5982.0,5982.0,5982.0,5982000,1000,1,D,5923.0,5982.0
5,Calcimine,20010521,6041.0,6041.0,6041.0,35883540,5940,14,D,5982.0,6041.0
6,Calcimine,20010527,6101.0,6101.0,6101.0,73212000,12000,12,D,6041.0,6101.0
7,Calcimine,20010528,6162.0,6162.0,6162.0,6162000,1000,1,D,6101.0,6162.0
8,Calcimine,20010529,6223.0,6223.0,6223.0,35782250,5750,4,D,6162.0,6223.0
9,Calcimine,20010530,6285.0,6285.0,6285.0,12570000,2000,2,D,6223.0,6285.0
10,Calcimine,20010602,6347.0,6347.0,6347.0,105595039,16637,11,D,6285.0,6347.0
11,Calcimine,20010603,6410.0,6410.0,6410.0,128200000,20000,9,D,6347.0,6410.0
12,Calcimine,20010606,6716.0,6411.0,6600.0,918881326,140657,80,D,6410.0,6600.0
13,Calcimine,20010609,6666.0,6664.0,6666.0,608595023,91304,61,D,6600.0,6666.0
14,Calcimine,20010611,6700.0,6666.0,6672.0,167374320,25070,29,D,6666.0,6672.0
15,Calcimine,20010725,3690.0,3000.0,3690.0,50209200,15706,9,D,6672.0,3690.0
16,Calcimine,20010730,3782.0,3782.0,3782.0,12087272,3196,5,D,3690.0,3782.0
17,Calcimine,20010805,3819.0,3819.0,3819.0,1909500,500,1,D,3782.0,3819.0
18,Calcimine,20010806,3857.0,3857.0,3857.0,6981170,1810,2,D,3819.0,3857.0
19,Calcimine,20010808,3895.0,3895.0,3895.0,3895000,1000,1,D,3857.0,3895.0
