,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Kaveh.Company-R,20190219,1930.0,1645.0,1827.0,72149065634,39489671,6640,D,1000.0,1700.0
1,Kaveh.Company-R,20190220,1849.0,1701.0,1812.0,55634120065,30707137,2781,D,1827.0,1848.0
2,Kaveh.Company-R,20190223,1993.0,1901.0,1981.0,83184985601,41991443,2137,D,1812.0,1993.0
3,Kaveh.Company-R,20190224,2080.0,1955.0,2007.0,35244814705,17561968,1765,D,1981.0,1980.0
4,Kaveh.Company-R,20190225,2010.0,1873.0,1937.0,44498904206,22971546,1838,D,2007.0,1910.0
5,Kaveh.Company-R,20190226,1927.0,1835.0,1880.0,20263810849,10777638,945,D,1937.0,1899.0
6,Kaveh.Company-R,20190227,1880.0,1801.0,1836.0,20118325774,10955537,754,D,1880.0,1807.0
7,Kaveh.Company-R,20190302,1855.0,1730.0,1759.0,16232363750,9227996,691,D,1836.0,1750.0
8,Kaveh.Company-R,20190303,1850.0,1722.0,1783.0,12171109367,6828001,661,D,1759.0,1817.0
9,Kaveh.Company-R,20190304,1878.0,1780.0,1833.0,13875746334,7568814,637,D,1783.0,1780.0
10,Kaveh.Company-R,20190305,1800.0,1701.0,1744.0,15297986189,8770039,530,D,1833.0,1760.0
11,Kaveh.Company-R,20190306,1783.0,1744.0,1770.0,6788340403,3836007,343,D,1744.0,1780.0
12,Kaveh.Company-R,20190309,1780.0,1717.0,1753.0,7019985469,4004947,337,D,1770.0,1772.0
13,Kaveh.Company-R,20190310,1928.0,1762.0,1888.0,26018435860,13781903,919,D,1753.0,1928.0
14,Kaveh.Company-R,20190311,2076.0,1922.0,2058.0,139500810626,67785379,2783,D,1888.0,2050.0
15,Kaveh.Company-R,20190312,2193.0,1952.0,2114.0,43564461280,20611015,1662,D,2058.0,2100.0
16,Kaveh.Company-R,20190313,2170.0,2050.0,2114.0,28757520665,13601032,1010,D,2114.0,2100.0
17,Kaveh.Company-R,20190316,2198.0,2002.0,2116.0,21464766298,10146196,824,D,2114.0,2083.0
18,Kaveh.Company-R,20190317,2100.0,2052.0,2072.0,11868563020,5728496,496,D,2116.0,2071.0
19,Kaveh.Company-R,20190318,2205.0,2057.0,2164.0,21839164063,10090148,800,D,2072.0,2190.0
20,Kaveh.Company-R,20190319,2222.0,2115.0,2152.0,11299286647,5251155,463,D,2164.0,2164.0
21,Kaveh.Company-R,20190325,2185.0,2071.0,2123.0,3830201166,1804140,281,D,2152.0,2144.0
22,Kaveh.Company-R,20190326,2163.0,2080.0,2121.0,9428293214,4445997,332,D,2123.0,2080.0
23,Kaveh.Company-R,20190327,2169.0,1921.0,2071.0,12124137607,5854224,440,D,2121.0,2090.0
24,Kaveh.Company-R,20190330,2160.0,2082.0,2130.0,7907155753,3712487,432,D,2071.0,2121.0
25,Kaveh.Company-R,20190331,2154.0,2035.0,2070.0,14171511163,6845537,555,D,2130.0,2070.0
26,Kaveh.Company-R,20190406,2120.0,1961.0,2007.0,8231697517,4100849,548,D,2070.0,2006.0
27,Kaveh.Company-R,20190407,2074.0,1988.0,2034.0,17309602500,8508340,647,D,2007.0,2020.0
28,Kaveh.Company-R,20190408,2088.0,1990.0,2051.0,12510673744,6098871,477,D,2034.0,2080.0
29,Kaveh.Company-R,20190409,2243.0,2021.0,2184.0,39077553676,17889620,1179,D,2051.0,2169.0
30,Kaveh.Company-R,20190410,2399.0,2168.0,2330.0,33208069735,14251886,915,D,2184.0,2313.0
31,Kaveh.Company-R,20190413,2330.0,2201.0,2274.0,22033829411,9691284,785,D,2330.0,2215.0
32,Kaveh.Company-R,20190414,2290.0,2198.0,2253.0,31879665884,14150185,771,D,2274.0,2290.0
33,Kaveh.Company-R,20190415,2375.0,2270.0,2311.0,81076939199,35076749,1799,D,2253.0,2308.0
34,Kaveh.Company-R,20190416,2410.0,2214.0,2356.0,26471974366,11236084,660,D,2311.0,2300.0
35,Kaveh.Company-R,20190417,2365.0,2260.0,2311.0,15639578429,6766751,499,D,2356.0,2306.0
36,Kaveh.Company-R,20190420,2390.0,2302.0,2343.0,7687320185,3281648,275,D,2311.0,2369.0
37,Kaveh.Company-R,20190422,2397.0,2280.0,2305.0,21564731744,9357476,542,D,2343.0,2292.0
38,Kaveh.Company-R,20190423,2305.0,2250.0,2285.0,13075332947,5723035,292,D,2305.0,2299.0
39,Kaveh.Company-R,20190424,2425.0,2250.0,2302.0,21238211671,9226239,495,D,2285.0,2300.0
40,Kaveh.Company-R,20190427,2360.0,2255.0,2292.0,17736854925,7738605,453,D,2302.0,2293.0
41,Kaveh.Company-R,20190428,2521.0,2291.0,2487.0,45876073427,18443752,932,D,2292.0,2446.0
42,Kaveh.Company-R,20190714,3301.0,3300.0,3301.0,15344889803,4648943,115,D,2487.0,3300.0
43,Kaveh.Company-R,20190715,3631.0,3301.0,3627.0,321312873,88583,42,D,3301.0,3631.0
44,Kaveh.Company-R,20190716,3500.0,3265.0,3268.0,1852651220,566848,19,D,3627.0,3265.0
45,Kaveh.Company-R,20190717,3150.0,3100.0,3100.0,246803591300,79614023,1623,D,3268.0,3100.0
46,Kaveh.Company-R,20191201,3220.0,3012.0,3168.0,20441600687,6451527,1500,D,3100.0,3210.0
47,Kaveh.Company-R,20191202,3450.0,3220.0,3344.0,30446575721,9103606,1501,D,3168.0,3331.0
48,Kaveh.Company-R,20191203,3525.0,3267.0,3419.0,19180205859,5609520,1047,D,3344.0,3444.0
49,Kaveh.Company-R,20191204,3620.0,3461.0,3535.0,13651552414,3862145,745,D,3419.0,3479.0
50,Kaveh.Company-R,20191207,3837.0,3500.0,3657.0,23812919660,6511014,860,D,3535.0,3550.0
51,Kaveh.Company-R,20191208,3690.0,3500.0,3563.0,89725970746,25179699,1451,D,3657.0,3600.0
52,Kaveh.Company-R,20191209,3660.0,3523.0,3577.0,20249041726,5661408,861,D,3563.0,3620.0
53,Kaveh.Company-R,20191210,3700.0,3570.0,3638.0,28952164208,7957309,901,D,3577.0,3575.0
54,Kaveh.Company-R,20191211,3688.0,3510.0,3616.0,19078967650,5276433,639,D,3638.0,3550.0
55,Kaveh.Company-R,20191214,3727.0,3551.0,3680.0,54108902499,14703744,916,D,3616.0,3716.0
56,Kaveh.Company-R,20191215,3770.0,3683.0,3715.0,29062432730,7822745,675,D,3680.0,3710.0
57,Kaveh.Company-R,20191216,3740.0,3654.0,3701.0,9961977049,2691977,427,D,3715.0,3710.0
58,Kaveh.Company-R,20191217,3888.0,3685.0,3793.0,13376289538,3526471,585,D,3701.0,3820.0
59,Kaveh.Company-R,20191218,3930.0,3755.0,3824.0,13054027014,3414110,539,D,3793.0,3875.0
60,Kaveh.Company-R,20191221,3932.0,3773.0,3885.0,6110454561,1572663,342,D,3824.0,3861.0
61,Kaveh.Company-R,20191222,4101.0,3861.0,4027.0,13429671995,3334635,501,D,3885.0,4060.0
62,Kaveh.Company-R,20191223,4168.0,3879.0,4078.0,17987953968,4410797,423,D,4027.0,4010.0
63,Kaveh.Company-R,20191224,4100.0,3810.0,4017.0,21198137183,5277705,453,D,4078.0,4020.0
64,Kaveh.Company-R,20191225,4010.0,3890.0,3958.0,9596510187,2424828,345,D,4017.0,3950.0
65,Kaveh.Company-R,20191228,3994.0,3885.0,3957.0,9819239866,2481378,428,D,3958.0,3986.0
66,Kaveh.Company-R,20191229,3999.0,3837.0,3874.0,8461212576,2184023,363,D,3957.0,3880.0
67,Kaveh.Company-R,20191230,3880.0,3801.0,3849.0,9429426829,2449961,500,D,3874.0,3845.0
68,Kaveh.Company-R,20191231,4081.0,3790.0,3950.0,39894740723,10100150,585,D,3849.0,3946.0
69,Kaveh.Company-R,20200101,4210.0,3861.0,4103.0,43248670394,10541114,702,D,3950.0,4081.0
70,Kaveh.Company-R,20200104,3799.0,3693.0,3716.0,34350518624,9244677,981,D,4103.0,3799.0
71,Kaveh.Company-R,20200105,3917.0,3752.0,3806.0,9824268363,2581254,354,D,3716.0,3831.0
72,Kaveh.Company-R,20200107,3931.0,3626.0,3694.0,15486923218,4192879,402,D,3806.0,3695.0
73,Kaveh.Company-R,20200108,3767.0,3621.0,3631.0,19691641077,5422862,400,D,3694.0,3696.0
74,Kaveh.Company-R,20200111,3703.0,3703.0,3703.0,630546840,170280,20,D,3631.0,3703.0
75,Kaveh.Company-R,20200112,4073.0,3956.0,4053.0,34425356291,8493552,795,D,3703.0,4073.0
76,Kaveh.Company-R,20200113,4458.0,3924.0,4418.0,66675787782,15090931,988,D,4053.0,4458.0
77,Kaveh.Company-R,20200114,4578.0,4200.0,4348.0,26774755976,6158426,686,D,4418.0,4309.0
78,Kaveh.Company-R,20200115,4510.0,4164.0,4345.0,36714497901,8449373,672,D,4348.0,4400.0
79,Kaveh.Company-R,20200118,4779.0,4301.0,4672.0,85254562514,18249492,1129,D,4345.0,4700.0
80,Kaveh.Company-R,20200119,4798.0,4352.0,4666.0,41901675595,8979763,633,D,4672.0,4600.0
81,Kaveh.Company-R,20200120,4697.0,4500.0,4536.0,11224265911,2474725,314,D,4666.0,4501.0
82,Kaveh.Company-R,20200121,4550.0,4257.0,4325.0,11093894006,2565111,407,D,4536.0,4361.0
83,Kaveh.Company-R,20200122,4498.0,4253.0,4359.0,27287783137,6259977,503,D,4325.0,4400.0
84,Kaveh.Company-R,20200125,4470.0,4290.0,4413.0,69593167044,15768376,942,D,4359.0,4451.0
85,Kaveh.Company-R,20200126,4499.0,4283.0,4381.0,40234564634,9184147,594,D,4413.0,4398.0
86,Kaveh.Company-R,20200127,4510.0,4241.0,4355.0,21674646677,4976592,605,D,4381.0,4330.0
87,Kaveh.Company-R,20200128,4441.0,4250.0,4355.0,32656728906,7498272,1046,D,4355.0,4400.0
88,Kaveh.Company-R,20200304,6200.0,6200.0,6200.0,585044400,94362,34,D,4355.0,6200.0
89,Kaveh.Company-R,20200307,6820.0,6100.0,6137.0,1420928005,231539,24,D,6200.0,6100.0
90,Kaveh.Company-R,20200309,6137.0,5524.0,5589.0,760017667,135974,32,D,6137.0,5524.0
91,Kaveh.Company-R,20200310,5589.0,5031.0,5094.0,1803424256,354011,43,D,5589.0,5031.0
92,Kaveh.Company-R,20200311,5603.0,5094.0,5106.0,228073337998,44665060,1072,D,5094.0,5100.0
