,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Kavir.Tire,20150318,14976.0,14400.0,14418.0,8894527094,616919,83,D,1000.0,14400.0
1,Kavir.Tire,20150325,14798.0,14699.0,14488.0,257941389,17501,15,D,14418.0,14701.0
2,Kavir.Tire,20150328,14502.0,13909.0,14045.0,3275380969,233214,285,D,14488.0,13909.0
3,Kavir.Tire,20150329,14599.0,14005.0,14114.0,4479570892,317376,154,D,14045.0,14014.0
4,Kavir.Tire,20150330,14120.0,13800.0,14076.0,274303203,19650,41,D,14114.0,13901.0
5,Kavir.Tire,20150331,14200.0,13685.0,14030.0,634445220,45333,60,D,14076.0,14000.0
6,Kavir.Tire,20150404,14591.0,14591.0,14591.0,1169950153,80183,17,D,14030.0,14591.0
7,Kavir.Tire,20150405,15174.0,14810.0,15129.0,7898414221,522085,114,D,14591.0,15100.0
8,Kavir.Tire,20150406,14740.0,14524.0,14526.0,3115479038,214469,67,D,15129.0,14599.0
9,Kavir.Tire,20150407,14520.0,14100.0,14470.0,392322528,27318,31,D,14526.0,14119.0
10,Kavir.Tire,20150408,14310.0,14130.0,14462.0,50850505,3561,12,D,14470.0,14302.0
11,Kavir.Tire,20150411,14750.0,14000.0,14187.0,890009735,63063,40,D,14462.0,14210.0
12,Kavir.Tire,20150412,14400.0,14200.0,14210.0,752545926,52915,37,D,14187.0,14220.0
13,Kavir.Tire,20150413,14024.0,14017.0,14196.0,84413580,6020,16,D,14210.0,14022.0
14,Kavir.Tire,20150414,14200.0,14008.0,14191.0,41170600,2929,13,D,14196.0,14200.0
15,Kavir.Tire,20150415,14400.0,14060.0,14184.0,312764052,22079,19,D,14191.0,14400.0
16,Kavir.Tire,20150418,14500.0,14250.0,14200.0,98773450,6876,18,D,14184.0,14400.0
17,Kavir.Tire,20150419,14400.0,14050.0,14195.0,568909250,40093,26,D,14200.0,14100.0
18,Kavir.Tire,20150420,14090.0,14050.0,14124.0,601411140,42770,26,D,14195.0,14050.0
19,Kavir.Tire,20150421,14019.0,14010.0,14120.0,42031800,3000,2,D,14124.0,14010.0
20,Kavir.Tire,20150422,14350.0,14051.0,14154.0,258026850,18080,17,D,14120.0,14300.0
21,Kavir.Tire,20150425,14399.0,14200.0,14177.0,166746948,11653,8,D,14154.0,14200.0
22,Kavir.Tire,20150426,14299.0,14001.0,14172.0,313123627,22114,21,D,14177.0,14202.0
23,Kavir.Tire,20150427,14101.0,14000.0,14114.0,423129550,30182,41,D,14172.0,14000.0
24,Kavir.Tire,20150428,14249.0,13820.0,14090.0,135164570,9711,15,D,14114.0,13820.0
25,Kavir.Tire,20150429,14290.0,13810.0,14089.0,10920950,779,9,D,14090.0,14000.0
26,Kavir.Tire,20150503,13880.0,13800.0,14047.0,176320080,12754,27,D,14089.0,13880.0
27,Kavir.Tire,20150504,13638.0,13486.0,13818.0,449078646,33272,29,D,14047.0,13486.0
28,Kavir.Tire,20150505,13880.0,13540.0,13816.0,86902180,6299,10,D,13818.0,13540.0
29,Kavir.Tire,20150506,13600.0,13400.0,13804.0,33132955,2470,6,D,13816.0,13457.0
30,Kavir.Tire,20150509,13860.0,13480.0,13772.0,150415950,11080,15,D,13804.0,13505.0
31,Kavir.Tire,20150510,13422.0,13300.0,13669.0,272737500,20400,29,D,13772.0,13300.0
32,Kavir.Tire,20150511,13705.0,13500.0,13660.0,121623741,8951,11,D,13669.0,13505.0
33,Kavir.Tire,20150512,13798.0,13500.0,13660.0,501302900,36700,14,D,13660.0,13500.0
34,Kavir.Tire,20150513,13600.0,13350.0,13636.0,154546875,11454,25,D,13660.0,13556.0
35,Kavir.Tire,20150517,13360.0,13201.0,13612.0,68630306,5175,8,D,13636.0,13201.0
36,Kavir.Tire,20150518,13880.0,13300.0,13594.0,1297206560,95425,43,D,13612.0,13370.0
37,Kavir.Tire,20150519,13790.0,13310.0,13583.0,53912500,4030,7,D,13594.0,13786.0
38,Kavir.Tire,20150520,13783.0,13400.0,13571.0,134518455,9976,22,D,13583.0,13600.0
39,Kavir.Tire,20150523,13694.0,13200.0,13556.0,136879716,10176,20,D,13571.0,13685.0
40,Kavir.Tire,20150524,13667.0,12911.0,13523.0,288564013,21479,21,D,13556.0,13599.0
41,Kavir.Tire,20150525,13600.0,13470.0,13522.0,136824000,10121,11,D,13523.0,13500.0
42,Kavir.Tire,20150526,13500.0,13500.0,13517.0,267165000,19790,13,D,13522.0,13500.0
