,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Lamiran,20010325,9849.0,9849.0,9849.0,896259,91,1,D,0.0,9849.0
1,Lamiran,20010326,9840.0,9840.0,9840.0,1977840,201,1,D,9849.0,9840.0
2,Lamiran,20010327,9794.0,9794.0,9794.0,1488688,152,1,D,9840.0,9794.0
3,Lamiran,20010328,9990.0,9793.0,9990.0,75629962,7658,20,D,9794.0,9990.0
4,Lamiran,20010407,10000.0,9985.0,9990.0,37469010,3748,12,D,9990.0,9990.0
5,Lamiran,20010409,9990.0,9990.0,9990.0,5184810,519,3,D,9990.0,9990.0
6,Lamiran,20010411,10000.0,10000.0,10000.0,10000000,1000,2,D,9990.0,10000.0
7,Lamiran,20010414,10000.0,10000.0,10000.0,250000,25,1,D,10000.0,10000.0
8,Lamiran,20010415,10001.0,10000.0,10001.0,15450075,1545,8,D,10000.0,10001.0
9,Lamiran,20010416,10021.0,10020.0,10021.0,24750310,2470,11,D,10001.0,10021.0
10,Lamiran,20010417,10027.0,10027.0,10027.0,501350,50,2,D,10021.0,10027.0
11,Lamiran,20010421,10050.0,10041.0,10050.0,7812996,778,5,D,10027.0,10050.0
12,Lamiran,20010422,10065.0,10051.0,10051.0,27169383,2701,12,D,10050.0,10051.0
13,Lamiran,20010423,10065.0,10061.0,10061.0,6863602,682,6,D,10051.0,10061.0
14,Lamiran,20010424,10062.0,10062.0,10062.0,18343026,1823,11,D,10061.0,10062.0
15,Lamiran,20010428,10200.0,10200.0,10200.0,5100000,500,3,D,10062.0,10200.0
16,Lamiran,20010429,10206.0,10200.0,10206.0,3060275,300,4,D,10200.0,10206.0
17,Lamiran,20010430,10301.0,10212.0,10301.0,12022853,1169,6,D,10206.0,10301.0
18,Lamiran,20010501,10506.0,10313.0,10506.0,32451796,3092,9,D,10301.0,10506.0
19,Lamiran,20010505,10547.0,10547.0,10547.0,3543792,336,1,D,10506.0,10547.0
20,Lamiran,20010506,10944.0,10601.0,10650.0,87007818,8118,23,D,10547.0,10650.0
21,Lamiran,20010507,10750.0,10750.0,10750.0,10750000,1000,1,D,10650.0,10750.0
22,Lamiran,20010508,11111.0,11000.0,11111.0,45856548,4155,14,D,10750.0,11111.0
23,Lamiran,20010509,11125.0,11120.0,11125.0,11667550,1049,5,D,11111.0,11125.0
24,Lamiran,20010513,11681.0,11681.0,11681.0,42051600,3600,2,D,11125.0,11681.0
25,Lamiran,20010515,11682.0,11682.0,11682.0,292050,25,1,D,11681.0,11682.0
26,Lamiran,20010516,11717.0,11682.0,11717.0,6426800,550,4,D,11682.0,11717.0
27,Lamiran,20010519,11801.0,11736.0,11736.0,54034406,4590,18,D,11717.0,11736.0
28,Lamiran,20010520,12000.0,11738.0,11990.0,29391450,2450,5,D,11736.0,11990.0
29,Lamiran,20010521,11900.0,11800.0,11800.0,56460183,4747,11,D,11990.0,11800.0
30,Lamiran,20010523,12000.0,11990.0,12000.0,27638140,2304,7,D,11800.0,12000.0
31,Lamiran,20010526,12000.0,12000.0,12000.0,12936000,1078,4,D,12000.0,12000.0
32,Lamiran,20010527,12002.0,12002.0,12002.0,2172362,181,1,D,12000.0,12002.0
33,Lamiran,20010528,12001.0,12000.0,12000.0,19440060,1620,11,D,12002.0,12000.0
34,Lamiran,20010529,12001.0,12000.0,12000.0,14064085,1172,7,D,12000.0,12000.0
35,Lamiran,20010530,12001.0,11990.0,12000.0,19894247,1658,8,D,12000.0,12000.0
36,Lamiran,20010602,12001.0,12000.0,12000.0,39360566,3280,11,D,12000.0,12000.0
37,Lamiran,20010603,12003.0,12003.0,12003.0,3900975,325,3,D,12000.0,12003.0
38,Lamiran,20010606,12009.0,12006.0,12006.0,18767047,1563,10,D,12003.0,12006.0
39,Lamiran,20010609,12009.0,12007.0,12009.0,6183865,515,2,D,12006.0,12009.0
40,Lamiran,20010611,12105.0,12041.0,12100.0,174341259,14409,23,D,12009.0,12100.0
41,Lamiran,20010612,12130.0,11998.0,11998.0,76103636,6295,17,D,12100.0,11998.0
42,Lamiran,20010613,11995.0,11995.0,11995.0,1379425,115,1,D,11998.0,11995.0
43,Lamiran,20010616,11989.0,11989.0,11989.0,12948120,1080,1,D,11995.0,11989.0
44,Lamiran,20010617,11948.0,11600.0,11600.0,42893900,3625,4,D,11989.0,11600.0
45,Lamiran,20010618,11578.0,11575.0,11578.0,11577100,1000,2,D,11600.0,11578.0
46,Lamiran,20010619,11500.0,11000.0,11000.0,49750000,4500,9,D,11578.0,11000.0
47,Lamiran,20010625,10520.0,10450.0,10520.0,37164486,3551,8,D,11000.0,10520.0
48,Lamiran,20010626,10622.0,10573.0,10622.0,29485649,2784,11,D,10520.0,10622.0
49,Lamiran,20010627,10632.0,10622.0,10632.0,13430148,1264,4,D,10622.0,10632.0
50,Lamiran,20010630,10900.0,10710.0,10900.0,38145512,3505,8,D,10632.0,10900.0
51,Lamiran,20010701,10905.0,10905.0,10905.0,15299715,1403,4,D,10900.0,10905.0
52,Lamiran,20010702,10930.0,10911.0,10930.0,19879011,1820,7,D,10905.0,10930.0
53,Lamiran,20010703,10930.0,10913.0,10913.0,1780043,163,5,D,10930.0,10913.0
54,Lamiran,20010704,10930.0,10913.0,10913.0,40046126,3668,13,D,10913.0,10913.0
55,Lamiran,20010707,10914.0,10913.0,10914.0,5413121,496,3,D,10913.0,10914.0
56,Lamiran,20010708,10919.0,10918.0,10919.0,9106231,834,4,D,10914.0,10919.0
57,Lamiran,20010709,11000.0,10930.0,11000.0,44692790,4067,12,D,10919.0,11000.0
58,Lamiran,20010710,11020.0,11010.0,11020.0,33585750,3050,6,D,11000.0,11020.0
59,Lamiran,20010714,11000.0,11000.0,11000.0,11561000,1051,5,D,11020.0,11000.0
60,Lamiran,20010715,10999.0,10900.0,10900.0,19847400,1815,5,D,11000.0,10900.0
61,Lamiran,20010716,10800.0,10800.0,10800.0,7279200,674,3,D,10900.0,10800.0
62,Lamiran,20010717,10700.0,10698.0,10698.0,7767400,726,3,D,10800.0,10698.0
63,Lamiran,20010718,10695.0,10450.0,10450.0,40370750,3835,13,D,10698.0,10450.0
64,Lamiran,20010721,10600.0,10450.0,10456.0,14680030,1402,9,D,10450.0,10456.0
65,Lamiran,20010722,10506.0,10506.0,10506.0,7091550,675,2,D,10456.0,10506.0
66,Lamiran,20010723,10526.0,10508.0,10522.0,26084596,2480,10,D,10506.0,10522.0
67,Lamiran,20010724,10542.0,10531.0,10531.0,22620967,2147,8,D,10522.0,10531.0
68,Lamiran,20010725,10531.0,10523.0,10523.0,28906521,2746,6,D,10531.0,10523.0
69,Lamiran,20010728,10525.0,10525.0,10525.0,17103125,1625,4,D,10523.0,10525.0
70,Lamiran,20010729,10700.0,10700.0,10700.0,14766000,1380,4,D,10525.0,10700.0
71,Lamiran,20010730,10699.0,10690.0,10699.0,14895420,1393,9,D,10700.0,10699.0
72,Lamiran,20010801,10703.0,10700.0,10700.0,11332169,1059,3,D,10699.0,10700.0
73,Lamiran,20010804,10706.0,10706.0,10706.0,21915182,2047,3,D,10700.0,10706.0
74,Lamiran,20010805,10741.0,10718.0,10730.0,60440946,5633,12,D,10706.0,10730.0
75,Lamiran,20010806,10730.0,10711.0,10711.0,11367430,1061,3,D,10730.0,10711.0
76,Lamiran,20010807,10720.0,10711.0,10711.0,13697658,1278,6,D,10711.0,10711.0
77,Lamiran,20010808,10711.0,10711.0,10711.0,11846366,1106,7,D,10711.0,10711.0
78,Lamiran,20010811,10711.0,10711.0,10711.0,104207319,9729,11,D,10711.0,10711.0
79,Lamiran,20010812,10711.0,10711.0,10711.0,10711000,1000,2,D,10711.0,10711.0
80,Lamiran,20010813,10800.0,10750.0,10750.0,86050000,8000,5,D,10711.0,10750.0
81,Lamiran,20010814,10750.0,10750.0,10750.0,128613000,11964,24,D,10750.0,10750.0
82,Lamiran,20010815,10751.0,10750.0,10750.0,101364046,9429,13,D,10750.0,10750.0
83,Lamiran,20010819,10750.0,10750.0,10750.0,42226000,3928,6,D,10750.0,10750.0
84,Lamiran,20010820,10750.0,10750.0,10750.0,10610250,987,6,D,10750.0,10750.0
85,Lamiran,20010821,10800.0,10750.0,10800.0,19161000,1780,5,D,10750.0,10800.0
86,Lamiran,20010822,10900.0,10900.0,10900.0,10311400,946,3,D,10800.0,10900.0
87,Lamiran,20010825,10900.0,10898.0,10899.0,13514744,1240,6,D,10900.0,10899.0
88,Lamiran,20010827,10888.0,10800.0,10800.0,7385288,683,4,D,10899.0,10800.0
89,Lamiran,20010828,10798.0,10798.0,10798.0,1090598,101,1,D,10800.0,10798.0
90,Lamiran,20010829,10796.0,10796.0,10796.0,1090396,101,1,D,10798.0,10796.0
91,Lamiran,20010901,10777.0,10777.0,10777.0,980707,91,1,D,10796.0,10777.0
92,Lamiran,20010902,10757.0,10756.0,10757.0,3657347,340,3,D,10777.0,10757.0
93,Lamiran,20010903,10740.0,10686.0,10686.0,5874660,549,2,D,10757.0,10686.0
94,Lamiran,20010904,10638.0,10637.0,10638.0,9914116,932,2,D,10686.0,10638.0
95,Lamiran,20010905,10580.0,10580.0,10580.0,1978460,187,1,D,10638.0,10580.0
96,Lamiran,20010922,10051.0,10051.0,10051.0,6905037,687,8,D,10580.0,10051.0
97,Lamiran,20010926,9991.0,9991.0,9991.0,1728443,173,1,D,10051.0,9991.0
98,Lamiran,20010929,9549.0,9492.0,9492.0,34691337,3646,17,D,9991.0,9492.0
99,Lamiran,20010930,9479.0,9348.0,9349.0,25092987,2683,8,D,9492.0,9349.0
100,Lamiran,20011002,9329.0,9299.0,9299.0,23384772,2514,13,D,9349.0,9299.0
101,Lamiran,20011003,9299.0,9220.0,9222.0,42192690,4570,12,D,9299.0,9222.0
102,Lamiran,20011007,9190.0,9109.0,9109.0,66639549,7297,22,D,9222.0,9109.0
103,Lamiran,20011008,9109.0,9089.0,9089.0,2637610,290,7,D,9109.0,9089.0
104,Lamiran,20011009,8654.0,8654.0,8654.0,19982086,2309,5,D,9089.0,8654.0
105,Lamiran,20011013,8644.0,8550.0,8550.0,19079476,2229,3,D,8654.0,8550.0
106,Lamiran,20011014,8639.0,8548.0,8550.0,118855031,13900,28,D,8550.0,8550.0
107,Lamiran,20011016,8550.0,8549.0,8550.0,55540775,6496,15,D,8550.0,8550.0
108,Lamiran,20011017,8577.0,8550.0,8550.0,101614849,11862,17,D,8550.0,8550.0
109,Lamiran,20011128,7000.0,6011.0,7000.0,3302200,500,2,D,8550.0,7000.0
110,Lamiran,20011202,7350.0,7350.0,7350.0,10392900,1414,6,D,7000.0,7350.0
111,Lamiran,20011205,7717.0,7717.0,7717.0,49952141,6473,11,D,7350.0,7717.0
112,Lamiran,20011208,8102.0,8102.0,8102.0,174168694,21497,16,D,7717.0,8102.0
113,Lamiran,20011209,8113.0,8102.0,8102.0,74731757,9217,18,D,8102.0,8102.0
114,Lamiran,20011210,8039.0,8000.0,8001.0,244639190,30551,50,D,8102.0,8001.0
