,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Pars.Shahab,20010702,5110.0,5100.0,5110.0,8549250,1675,3,D,5100.0,5110.0
1,Pars.Shahab,20010704,5200.0,5130.0,5200.0,41669000,8020,10,D,5110.0,5200.0
2,Pars.Shahab,20010707,5250.0,5190.0,5250.0,14801500,2834,6,D,5200.0,5250.0
3,Pars.Shahab,20010708,5278.0,5250.0,5278.0,17517290,3323,8,D,5250.0,5278.0
4,Pars.Shahab,20010709,5400.0,5278.0,5400.0,37204950,7025,9,D,5278.0,5400.0
5,Pars.Shahab,20010808,4260.0,4050.0,4260.0,11718000,2800,2,D,5400.0,4260.0
6,Pars.Shahab,20010812,4473.0,4473.0,4473.0,3891510,870,5,D,4260.0,4473.0
7,Pars.Shahab,20010813,4696.0,4696.0,4696.0,4696000,1000,1,D,4473.0,4696.0
8,Pars.Shahab,20010815,4930.0,4697.0,4697.0,5916370,1210,2,D,4696.0,4697.0
9,Pars.Shahab,20010818,4697.0,4697.0,4697.0,9394000,2000,2,D,4697.0,4697.0
10,Pars.Shahab,20010819,4710.0,4710.0,4710.0,2119500,450,1,D,4697.0,4710.0
11,Pars.Shahab,20010820,4945.0,4945.0,4945.0,5701585,1153,6,D,4710.0,4945.0
12,Pars.Shahab,20010822,5068.0,5068.0,5068.0,5321400,1050,2,D,4945.0,5068.0
13,Pars.Shahab,20010825,5080.0,5070.0,5070.0,14442760,2847,6,D,5068.0,5070.0
14,Pars.Shahab,20010826,5070.0,5070.0,5070.0,30420000,6000,9,D,5070.0,5070.0
15,Pars.Shahab,20010827,5000.0,5000.0,5000.0,10000000,2000,4,D,5070.0,5000.0
16,Pars.Shahab,20010828,5000.0,5000.0,5000.0,4750000,950,2,D,5000.0,5000.0
17,Pars.Shahab,20010829,5000.0,5000.0,5000.0,13385000,2677,3,D,5000.0,5000.0
