,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Loabiran,20010328,4700.0,4700.0,4700.0,3290000,700,1,D,4700.0,4700.0
1,Loabiran,20010410,4699.0,4699.0,4699.0,178562,38,1,D,4700.0,4699.0
2,Loabiran,20010411,4698.0,4698.0,4698.0,9396000,2000,1,D,4699.0,4698.0
3,Loabiran,20010417,4804.0,4698.0,4804.0,36422120,7648,18,D,4698.0,4804.0
4,Loabiran,20010418,4804.0,4800.0,4804.0,27991156,5827,13,D,4804.0,4804.0
5,Loabiran,20010422,4805.0,4803.0,4805.0,10159760,2115,3,D,4804.0,4805.0
6,Loabiran,20010424,5000.0,4810.0,5000.0,20251100,4154,9,D,4805.0,5000.0
7,Loabiran,20010425,5000.0,3000.0,5000.0,12824000,4008,13,D,5000.0,5000.0
8,Loabiran,20010429,5006.0,5006.0,5006.0,350420,70,1,D,5000.0,5006.0
9,Loabiran,20010430,5007.0,5007.0,5007.0,2503500,500,1,D,5006.0,5007.0
10,Loabiran,20010501,5007.0,5000.0,5000.0,13360405,2671,4,D,5007.0,5000.0
11,Loabiran,20010502,5000.0,5000.0,5000.0,3000000,600,1,D,5000.0,5000.0
12,Loabiran,20010507,5000.0,5000.0,5000.0,17750000,3550,4,D,5000.0,5000.0
13,Loabiran,20010509,5000.0,5000.0,5000.0,1760000,352,1,D,5000.0,5000.0
14,Loabiran,20010512,5000.0,5000.0,5000.0,6120000,1224,2,D,5000.0,5000.0
15,Loabiran,20010513,5000.0,5000.0,5000.0,48155000,9631,22,D,5000.0,5000.0
16,Loabiran,20010519,5100.0,5100.0,5100.0,5569200,1092,2,D,5000.0,5100.0
17,Loabiran,20010520,5101.0,5100.0,5100.0,22783700,4467,5,D,5100.0,5100.0
18,Loabiran,20010521,5100.0,5100.0,5100.0,209100,41,1,D,5100.0,5100.0
19,Loabiran,20010523,5120.0,5100.0,5100.0,41330000,8100,7,D,5100.0,5100.0
20,Loabiran,20010526,5101.0,5100.0,5100.0,37381000,7329,12,D,5100.0,5100.0
