,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Ghadir.Kh..L.,20050828,1900.0,1900.0,1900.0,28545147800,15023762,7834,D,0.0,1900.0
1,Ghadir.Kh..L.,20050829,1995.0,1995.0,1995.0,5985000000,3000000,2555,D,1900.0,1995.0
2,Ghadir.Kh..L.,20050831,2094.0,2094.0,2094.0,66936408234,31965811,8035,D,1995.0,2094.0
3,Ghadir.Kh..L.,20050903,2198.0,2110.0,2196.0,47374307713,21572985,4897,D,2094.0,2196.0
4,Ghadir.Kh..L.,20050904,2305.0,2200.0,2256.0,10643032932,4716381,2903,D,2196.0,2256.0
5,Ghadir.Kh..L.,20050905,2240.0,2144.0,2188.0,4154165684,1898406,1274,D,2256.0,2188.0
6,Ghadir.Kh..L.,20050906,2175.0,2079.0,2094.0,13605329351,6495227,2360,D,2188.0,2094.0
7,Ghadir.Kh..L.,20050907,2198.0,2062.0,2160.0,38748145385,18006428,1145,D,2094.0,2160.0
8,Ghadir.Kh..L.,20050910,2268.0,2206.0,2256.0,29888825336,13272689,1121,D,2160.0,2256.0
9,Ghadir.Kh..L.,20050911,2367.0,2256.0,2318.0,10157949602,4381971,1624,D,2256.0,2318.0
10,Ghadir.Kh..L.,20050912,2318.0,2210.0,2242.0,5955525489,2655824,904,D,2318.0,2242.0
11,Ghadir.Kh..L.,20050913,2249.0,2150.0,2219.0,3902878898,1758256,680,D,2242.0,2219.0
12,Ghadir.Kh..L.,20050914,2270.0,2220.0,2243.0,3374530343,1504159,559,D,2219.0,2243.0
13,Ghadir.Kh..L.,20050917,2355.0,2300.0,2349.0,10480475825,4461181,1287,D,2243.0,2349.0
14,Ghadir.Kh..L.,20050918,2300.0,2232.0,2252.0,5414204611,2404133,802,D,2349.0,2252.0
15,Ghadir.Kh..L.,20050919,2290.0,2192.0,2247.0,2286718760,1017511,410,D,2252.0,2247.0
16,Ghadir.Kh..L.,20050921,2250.0,2201.0,2214.0,2682511566,1211385,463,D,2247.0,2214.0
17,Ghadir.Kh..L.,20050924,2323.0,2263.0,2299.0,4408659024,1917595,650,D,2214.0,2299.0
18,Ghadir.Kh..L.,20050925,2198.0,2185.0,2186.0,1360221707,622016,214,D,2299.0,2186.0
19,Ghadir.Kh..L.,20050926,2149.0,2077.0,2079.0,4049608709,1947313,606,D,2186.0,2079.0
20,Ghadir.Kh..L.,20050927,1976.0,1976.0,1976.0,2312532560,1170310,334,D,2079.0,1976.0
21,Ghadir.Kh..L.,20050928,1973.0,1878.0,1888.0,7342107184,3887718,1131,D,1976.0,1888.0
22,Ghadir.Kh..L.,20051001,1982.0,1888.0,1964.0,2543698055,1294712,353,D,1888.0,1964.0
23,Ghadir.Kh..L.,20051002,2062.0,2050.0,2061.0,1140572388,553253,198,D,1964.0,2061.0
24,Ghadir.Kh..L.,20051003,2164.0,1971.0,2090.0,4646380267,2222777,687,D,2061.0,2090.0
25,Ghadir.Kh..L.,20051004,2060.0,1986.0,2016.0,1846773520,916032,298,D,2090.0,2016.0
26,Ghadir.Kh..L.,20051005,2095.0,2042.0,2073.0,1962653741,946376,358,D,2016.0,2073.0
27,Ghadir.Kh..L.,20051008,2176.0,2100.0,2161.0,2846435050,1316886,442,D,2073.0,2161.0
28,Ghadir.Kh..L.,20051009,2229.0,2071.0,2134.0,2365856532,1108580,382,D,2161.0,2134.0
29,Ghadir.Kh..L.,20051010,2149.0,2058.0,2084.0,2454200167,1177393,352,D,2134.0,2084.0
30,Ghadir.Kh..L.,20051011,2088.0,2013.0,2057.0,904632062,439739,186,D,2084.0,2057.0
31,Ghadir.Kh..L.,20051012,2120.0,2060.0,2090.0,1632658867,781114,284,D,2057.0,2090.0
32,Ghadir.Kh..L.,20051015,2090.0,2020.0,2052.0,1152877311,561692,199,D,2090.0,2052.0
33,Ghadir.Kh..L.,20051016,2049.0,2011.0,2022.0,2165754487,1070844,308,D,2052.0,2022.0
34,Ghadir.Kh..L.,20051017,2030.0,1990.0,2004.0,1318435380,657793,217,D,2022.0,2004.0
35,Ghadir.Kh..L.,20051018,2006.0,1907.0,1940.0,3003882676,1548040,437,D,2004.0,1940.0
36,Ghadir.Kh..L.,20051019,1990.0,1910.0,1960.0,1700119702,866987,267,D,1940.0,1960.0
37,Ghadir.Kh..L.,20051022,2020.0,1950.0,1976.0,824508675,417235,178,D,1960.0,1976.0
38,Ghadir.Kh..L.,20051023,1960.0,1933.0,1946.0,652513320,335265,120,D,1976.0,1946.0
39,Ghadir.Kh..L.,20051024,1959.0,1911.0,1925.0,1691620047,878648,248,D,1946.0,1925.0
40,Ghadir.Kh..L.,20051026,1965.0,1925.0,1945.0,799745561,411080,166,D,1925.0,1945.0
41,Ghadir.Kh..L.,20051029,1925.0,1848.0,1854.0,3076778730,1659005,497,D,1945.0,1854.0
42,Ghadir.Kh..L.,20051030,1844.0,1762.0,1768.0,2473467922,1398575,363,D,1854.0,1768.0
43,Ghadir.Kh..L.,20051031,1701.0,1680.0,1682.0,2394443186,1423501,351,D,1768.0,1682.0
44,Ghadir.Kh..L.,20051101,1610.0,1598.0,1610.0,326321308,204206,57,D,1682.0,1610.0
45,Ghadir.Kh..L.,20051102,1620.0,1530.0,1541.0,4759422471,3087712,829,D,1610.0,1541.0
46,Ghadir.Kh..L.,20051105,1618.0,1571.0,1609.0,1411947893,877277,252,D,1541.0,1609.0
47,Ghadir.Kh..L.,20051106,1689.0,1619.0,1667.0,4489247720,2691449,660,D,1609.0,1667.0
48,Ghadir.Kh..L.,20051107,1667.0,1613.0,1637.0,797966478,487288,177,D,1667.0,1637.0
49,Ghadir.Kh..L.,20051108,1620.0,1556.0,1580.0,849061237,537282,182,D,1637.0,1580.0
50,Ghadir.Kh..L.,20051109,1590.0,1530.0,1553.0,499307499,321499,126,D,1580.0,1553.0
51,Ghadir.Kh..L.,20051112,1630.0,1578.0,1627.0,912434493,560777,158,D,1553.0,1627.0
52,Ghadir.Kh..L.,20051113,1649.0,1604.0,1618.0,896998990,554324,211,D,1627.0,1618.0
53,Ghadir.Kh..L.,20051114,1610.0,1586.0,1590.0,620280079,389955,136,D,1618.0,1590.0
54,Ghadir.Kh..L.,20051115,1600.0,1560.0,1583.0,329601350,208262,90,D,1590.0,1583.0
55,Ghadir.Kh..L.,20051116,1620.0,1576.0,1589.0,521859245,328273,118,D,1583.0,1589.0
56,Ghadir.Kh..L.,20051119,1600.0,1559.0,1576.0,761758744,483062,156,D,1589.0,1576.0
57,Ghadir.Kh..L.,20051120,1620.0,1580.0,1601.0,989533829,618044,172,D,1576.0,1601.0
58,Ghadir.Kh..L.,20051121,1600.0,1569.0,1571.0,393974010,250738,90,D,1601.0,1571.0
59,Ghadir.Kh..L.,20051122,1647.0,1599.0,1634.0,1246114477,762344,234,D,1571.0,1634.0
60,Ghadir.Kh..L.,20051123,1715.0,1670.0,1709.0,1451090361,848663,264,D,1634.0,1709.0
61,Ghadir.Kh..L.,20051126,1794.0,1718.0,1718.0,46768820,26070,13,D,1709.0,1718.0
