,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Ind..&.M..L.,20050315,2000.0,2000.0,2000.0,1940000000,970000,964,D,2000.0,2000.0
1,Ind..&.M..L.,20050316,2100.0,2100.0,2100.0,7408222500,3527725,1002,D,2000.0,2100.0
2,Ind..&.M..L.,20050328,2205.0,2205.0,2205.0,2206102500,1000500,544,D,2100.0,2205.0
3,Ind..&.M..L.,20050329,2315.0,2315.0,2315.0,2315000000,1000000,578,D,2205.0,2315.0
4,Ind..&.M..L.,20050330,2430.0,2315.0,2315.0,1214885,500,2,D,2315.0,2315.0
5,Ind..&.M..L.,20050403,2430.0,2430.0,2430.0,2491114500,1025150,423,D,2315.0,2430.0
6,Ind..&.M..L.,20050405,2551.0,2551.0,2551.0,23064356300,9041300,2378,D,2430.0,2551.0
7,Ind..&.M..L.,20050406,2678.0,2678.0,2678.0,2683623800,1002100,486,D,2551.0,2678.0
8,Ind..&.M..L.,20050410,2811.0,2811.0,2811.0,7027500000,2500000,1141,D,2678.0,2811.0
9,Ind..&.M..L.,20050411,2951.0,2813.0,2813.0,14488030,4910,5,D,2811.0,2813.0
10,Ind..&.M..L.,20050412,2953.0,2953.0,2953.0,17725459278,6002526,2418,D,2813.0,2953.0
11,Ind..&.M..L.,20050413,3100.0,3100.0,3100.0,31053518400,10017264,2807,D,2953.0,3100.0
12,Ind..&.M..L.,20050416,3255.0,3255.0,3255.0,19932311490,6123598,1567,D,3100.0,3255.0
13,Ind..&.M..L.,20050417,3417.0,3417.0,3417.0,7844157459,2295627,639,D,3255.0,3417.0
14,Ind..&.M..L.,20050418,3587.0,3417.0,3571.0,52518964896,14703119,3822,D,3417.0,3571.0
15,Ind..&.M..L.,20050419,3570.0,3400.0,3469.0,14737495575,4247233,1606,D,3571.0,3469.0
16,Ind..&.M..L.,20050420,3641.0,3312.0,3480.0,12238631793,3516567,1220,D,3469.0,3480.0
17,Ind..&.M..L.,20050423,3654.0,3654.0,3654.0,4432163148,1212962,458,D,3480.0,3654.0
18,Ind..&.M..L.,20050424,3700.0,3569.0,3640.0,12957142495,3558972,1417,D,3654.0,3640.0
