,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Metals.&.Min.,20010513,1000.0,1000.0,1000.0,50000000,50000,23,D,1000.0,1000.0
1,S*Metals.&.Min.,20010516,1000.0,1000.0,1000.0,1048000,1048,1,D,1000.0,1000.0
2,S*Metals.&.Min.,20010521,1000.0,1000.0,1000.0,36885000,36885,21,D,1000.0,1000.0
3,S*Metals.&.Min.,20010523,1000.0,1000.0,1000.0,10000000,10000,1,D,1000.0,1000.0
4,S*Metals.&.Min.,20010527,1000.0,1000.0,1000.0,30000000,30000,10,D,1000.0,1000.0
5,S*Metals.&.Min.,20010528,1000.0,1000.0,1000.0,154000,154,1,D,1000.0,1000.0
6,S*Metals.&.Min.,20010612,1000.0,1000.0,1000.0,882000,882,3,D,1000.0,1000.0
7,S*Metals.&.Min.,20010703,1000.0,1000.0,1000.0,1100000,1100,4,D,1000.0,1000.0
8,S*Metals.&.Min.,20010708,1000.0,1000.0,1000.0,499000000,499000,165,D,1000.0,1000.0
9,S*Metals.&.Min.,20010709,1000.0,1000.0,1000.0,498000000,498000,198,D,1000.0,1000.0
10,S*Metals.&.Min.,20010710,1000.0,1000.0,1000.0,980000,980,1,D,1000.0,1000.0
11,S*Metals.&.Min.,20010711,1000.0,1000.0,1000.0,910735000,910735,256,D,1000.0,1000.0
12,S*Metals.&.Min.,20010714,1000.0,1000.0,1000.0,209100000,209100,12,D,1000.0,1000.0
13,S*Metals.&.Min.,20010902,1000.0,1000.0,1000.0,1000000,1000,1,D,1000.0,1000.0
14,S*Metals.&.Min.,20010922,1000.0,1000.0,1000.0,15000,15,1,D,1000.0,1000.0
15,S*Metals.&.Min.,20010924,1000.0,1000.0,1000.0,240850000,240850,124,D,1000.0,1000.0
16,S*Metals.&.Min.,20010929,1000.0,1000.0,1000.0,37623000,37623,22,D,1000.0,1000.0
17,S*Metals.&.Min.,20011003,1000.0,1000.0,1000.0,50000,50,1,D,1000.0,1000.0
18,S*Metals.&.Min.,20011007,1000.0,1000.0,1000.0,324730000,324730,10,D,1000.0,1000.0
19,S*Metals.&.Min.,20011009,1000.0,1000.0,1000.0,2000000,2000,2,D,1000.0,1000.0
20,S*Metals.&.Min.,20011014,1000.0,1000.0,1000.0,15400000,15400,17,D,1000.0,1000.0
21,S*Metals.&.Min.,20011016,1000.0,1000.0,1000.0,6680000,6680,2,D,1000.0,1000.0
22,S*Metals.&.Min.,20011017,1000.0,1000.0,1000.0,4000000,4000,2,D,1000.0,1000.0
23,S*Metals.&.Min.,20011022,1000.0,1000.0,1000.0,41010000,41010,13,D,1000.0,1000.0
24,S*Metals.&.Min.,20011023,1000.0,1000.0,1000.0,11182000,11182,9,D,1000.0,1000.0
25,S*Metals.&.Min.,20011024,1001.0,1000.0,1000.0,7170505,7170,6,D,1000.0,1000.0
26,S*Metals.&.Min.,20011027,1000.0,1000.0,1000.0,16253000,16253,5,D,1000.0,1000.0
27,S*Metals.&.Min.,20011028,1000.0,1000.0,1000.0,15750000,15750,15,D,1000.0,1000.0
28,S*Metals.&.Min.,20011029,1000.0,1000.0,1000.0,9009000,9009,12,D,1000.0,1000.0
29,S*Metals.&.Min.,20011030,1000.0,1000.0,1000.0,3000000,3000,2,D,1000.0,1000.0
30,S*Metals.&.Min.,20011111,1000.0,1000.0,1000.0,15000000,15000,11,D,1000.0,1000.0
31,S*Metals.&.Min.,20011112,1000.0,1000.0,1000.0,25000000,25000,14,D,1000.0,1000.0
32,S*Metals.&.Min.,20011113,1000.0,1000.0,1000.0,15000000,15000,11,D,1000.0,1000.0
33,S*Metals.&.Min.,20011118,1000.0,1000.0,1000.0,15000000,15000,10,D,1000.0,1000.0
34,S*Metals.&.Min.,20011119,1000.0,1000.0,1000.0,15000000,15000,8,D,1000.0,1000.0
35,S*Metals.&.Min.,20011120,1000.0,1000.0,1000.0,16170000,16170,14,D,1000.0,1000.0
36,S*Metals.&.Min.,20011121,1000.0,1000.0,1000.0,16588000,16588,16,D,1000.0,1000.0
37,S*Metals.&.Min.,20011124,1000.0,1000.0,1000.0,5000000,5000,3,D,1000.0,1000.0
38,S*Metals.&.Min.,20011127,1000.0,1000.0,1000.0,15000000,15000,9,D,1000.0,1000.0
39,S*Metals.&.Min.,20011128,1000.0,1000.0,1000.0,15000000,15000,12,D,1000.0,1000.0
40,S*Metals.&.Min.,20011201,1000.0,1000.0,1000.0,15000000,15000,13,D,1000.0,1000.0
41,S*Metals.&.Min.,20011202,1000.0,1000.0,1000.0,15000000,15000,14,D,1000.0,1000.0
42,S*Metals.&.Min.,20011203,1000.0,1000.0,1000.0,500000,500,1,D,1000.0,1000.0
43,S*Metals.&.Min.,20011204,1000.0,1000.0,1000.0,15000000,15000,12,D,1000.0,1000.0
44,S*Metals.&.Min.,20011205,1000.0,1000.0,1000.0,15000000,15000,13,D,1000.0,1000.0
45,S*Metals.&.Min.,20011208,1000.0,1000.0,1000.0,15000000,15000,12,D,1000.0,1000.0
