,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Magsal.Agri.,20030125,3502.0,3500.0,3500.0,2893305800,826504,49,D,0.0,3500.0
1,Magsal.Agri.,20030126,3518.0,3500.0,3518.0,607923928,173496,18,D,3500.0,3518.0
2,Magsal.Agri.,20030129,3519.0,3517.0,3517.0,57272730,16276,8,D,3518.0,3517.0
3,Magsal.Agri.,20030202,3516.0,3515.0,3516.0,15820000,4500,2,D,3517.0,3516.0
4,Magsal.Agri.,20030204,3571.0,3571.0,3571.0,91060500,25500,4,D,3516.0,3571.0
5,Magsal.Agri.,20030210,3500.0,3500.0,3500.0,8750000,2500,1,D,3571.0,3500.0
6,Magsal.Agri.,20030216,3500.0,3500.0,3500.0,217000,62,2,D,3500.0,3500.0
7,Magsal.Agri.,20030223,3500.0,3499.0,3500.0,75829000,21666,4,D,3500.0,3500.0
8,Magsal.Agri.,20030224,3500.0,3500.0,3500.0,17500000,5000,1,D,3500.0,3500.0
9,Magsal.Agri.,20030414,3471.0,3471.0,3471.0,3471000,1000,1,D,3500.0,3471.0
10,Magsal.Agri.,20030419,3500.0,3471.0,3500.0,38028798,10938,4,D,3471.0,3500.0
11,Magsal.Agri.,20030420,3600.0,3600.0,3600.0,18000000,5000,1,D,3500.0,3600.0
12,Magsal.Agri.,20030426,3650.0,3650.0,3650.0,10950000,3000,1,D,3600.0,3650.0
13,Magsal.Agri.,20030624,3600.0,3600.0,3600.0,7200000,2000,1,D,3650.0,3600.0
14,Magsal.Agri.,20030705,3500.0,3500.0,3500.0,17500000,5000,1,D,3600.0,3500.0
15,Magsal.Agri.,20030908,3600.0,3600.0,3600.0,5400000,1500,1,D,3500.0,3600.0
16,Magsal.Agri.,20030909,3610.0,3600.0,3600.0,3609990,1000,2,D,3600.0,3600.0
17,Magsal.Agri.,20030913,3610.0,3600.0,3600.0,397000,110,2,D,3600.0,3600.0
18,Magsal.Agri.,20030922,3600.0,3600.0,3600.0,3600000,1000,1,D,3600.0,3600.0
