,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,MAPNA,20070826,1359.0,1350.0,1352.0,591427151280,437402390,10429,D,1350.0,1352.0
1,MAPNA,20070827,1379.0,1379.0,1379.0,19347625115,14030185,1887,D,1352.0,1379.0
2,MAPNA,20070828,1406.0,1370.0,1403.0,144131253978,102663438,7137,D,1379.0,1403.0
3,MAPNA,20070901,1431.0,1407.0,1429.0,26814720068,18758591,1468,D,1403.0,1429.0
4,MAPNA,20070902,1457.0,1457.0,1457.0,4749522772,3259796,241,D,1429.0,1457.0
5,MAPNA,20070903,1486.0,1486.0,1486.0,12041184310,8103085,752,D,1457.0,1486.0
6,MAPNA,20070904,1515.0,1515.0,1515.0,7921232040,5228536,565,D,1486.0,1515.0
7,MAPNA,20070905,1545.0,1518.0,1518.0,480272250,310856,78,D,1515.0,1518.0
8,MAPNA,20070908,1548.0,1548.0,1548.0,4964426712,3206994,467,D,1518.0,1548.0
9,MAPNA,20070909,1578.0,1572.0,1572.0,4041344730,2561055,491,D,1548.0,1572.0
10,MAPNA,20070910,1603.0,1594.0,1594.0,3622335879,2259723,483,D,1572.0,1594.0
11,MAPNA,20070911,1625.0,1352.0,1609.0,17418052245,12579215,834,D,1594.0,1609.0
12,MAPNA,20070912,1641.0,1641.0,1641.0,5587603359,3404999,667,D,1609.0,1641.0
13,MAPNA,20070915,1673.0,1609.0,1655.0,64045406944,38678662,2764,D,1641.0,1655.0
14,MAPNA,20070916,1654.0,1622.0,1654.0,159910056,98588,23,D,1655.0,1654.0
15,MAPNA,20070917,1653.0,1621.0,1653.0,83520724,51524,18,D,1654.0,1653.0
16,MAPNA,20070918,1652.0,1620.0,1652.0,222105560,137102,39,D,1653.0,1652.0
17,MAPNA,20070919,1651.0,1619.0,1651.0,118640640,73280,18,D,1652.0,1651.0
18,MAPNA,20070922,1650.0,1352.0,1650.0,6172762700,4542840,245,D,1651.0,1650.0
19,MAPNA,20070923,1648.0,1617.0,1648.0,382491958,236544,40,D,1650.0,1648.0
20,MAPNA,20070924,1647.0,1616.0,1647.0,177637494,109924,16,D,1648.0,1647.0
