,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Kh..A..M.,20010407,3650.0,3648.0,3650.0,36498916,10000,4,D,3648.0,3650.0
1,Iran.Kh..A..M.,20010410,3650.0,3470.0,3650.0,387298238,110430,40,D,3650.0,3650.0
2,Iran.Kh..A..M.,20010411,3650.0,3650.0,3650.0,375950,103,1,D,3650.0,3650.0
3,Iran.Kh..A..M.,20010414,3808.0,3808.0,3808.0,7684544,2018,2,D,3650.0,3808.0
4,Iran.Kh..A..M.,20010415,3980.0,3832.0,3980.0,62119176,15629,12,D,3808.0,3980.0
5,Iran.Kh..A..M.,20010416,4140.0,4001.0,4140.0,27141543,6591,9,D,3980.0,4140.0
6,Iran.Kh..A..M.,20010417,4190.0,4140.0,4189.0,66950864,15996,18,D,4140.0,4189.0
7,Iran.Kh..A..M.,20010418,4171.0,4010.0,4010.0,21718400,5400,3,D,4189.0,4010.0
8,Iran.Kh..A..M.,20010421,4158.0,4001.0,4158.0,24982192,6075,10,D,4010.0,4158.0
9,Iran.Kh..A..M.,20010422,4158.0,4157.0,4158.0,83159000,20000,12,D,4158.0,4158.0
10,Iran.Kh..A..M.,20010423,4250.0,4150.0,4250.0,435156552,103729,45,D,4158.0,4250.0
11,Iran.Kh..A..M.,20010424,4300.0,4250.0,4300.0,9880500,2306,4,D,4250.0,4300.0
12,Iran.Kh..A..M.,20010425,4300.0,4300.0,4300.0,12470000,2900,2,D,4300.0,4300.0
13,Iran.Kh..A..M.,20010428,4300.0,4300.0,4300.0,22630900,5263,4,D,4300.0,4300.0
14,Iran.Kh..A..M.,20010429,4300.0,4200.0,4200.0,23469100,5477,7,D,4300.0,4200.0
15,Iran.Kh..A..M.,20010430,4150.0,4147.0,4147.0,10498000,2530,5,D,4200.0,4147.0
16,Iran.Kh..A..M.,20010501,4147.0,4147.0,4147.0,2036177,491,3,D,4147.0,4147.0
17,Iran.Kh..A..M.,20010502,4100.0,4099.0,4099.0,8928832,2178,3,D,4147.0,4099.0
