,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Motogen,20010326,5151.0,5151.0,5151.0,3420264,664,6,D,0.0,5151.0
1,Motogen,20010327,5151.0,5151.0,5151.0,51510000,10000,6,D,5151.0,5151.0
2,Motogen,20010328,5151.0,5150.0,5151.0,2857658478,554778,17,D,5151.0,5151.0
3,Motogen,20010331,5151.0,5151.0,5151.0,1112616,216,1,D,5151.0,5151.0
4,Motogen,20010403,5151.0,5151.0,5151.0,391476,76,2,D,5151.0,5151.0
5,Motogen,20010407,5250.0,5151.0,5250.0,8497361,1625,3,D,5151.0,5250.0
6,Motogen,20010408,5350.0,5350.0,5350.0,8025000,1500,1,D,5250.0,5350.0
7,Motogen,20010409,5420.0,5420.0,5420.0,10840000,2000,1,D,5350.0,5420.0
8,Motogen,20010410,5679.0,5420.0,5420.0,5162448488,909388,15,D,5420.0,5420.0
9,Motogen,20010415,5420.0,5420.0,5420.0,14016120,2586,8,D,5420.0,5420.0
10,Motogen,20010416,5422.0,5421.0,5422.0,1935597,357,3,D,5420.0,5422.0
11,Motogen,20010418,5422.0,5422.0,5422.0,1209106,223,1,D,5422.0,5422.0
12,Motogen,20010421,5430.0,5420.0,5430.0,5816554,1072,4,D,5422.0,5430.0
13,Motogen,20010422,5431.0,5430.0,5431.0,12625278,2325,5,D,5430.0,5431.0
14,Motogen,20010423,5434.0,5433.0,5434.0,4096904,754,4,D,5431.0,5434.0
15,Motogen,20010424,5436.0,5436.0,5436.0,989352,182,2,D,5434.0,5436.0
16,Motogen,20010428,5436.0,5434.0,5436.0,13816239,2542,10,D,5436.0,5436.0
17,Motogen,20010429,5438.0,5438.0,5438.0,1185484,218,2,D,5436.0,5438.0
18,Motogen,20010430,5438.0,5438.0,5438.0,8842188,1626,5,D,5438.0,5438.0
19,Motogen,20010501,5438.0,5434.0,5438.0,17685549,3253,6,D,5438.0,5438.0
20,Motogen,20010502,5438.0,5438.0,5438.0,1223550,225,1,D,5438.0,5438.0
21,Motogen,20010505,5443.0,5441.0,5441.0,27209000,5000,5,D,5438.0,5441.0
22,Motogen,20010506,5446.0,5443.0,5445.0,10845204,1992,5,D,5441.0,5445.0
23,Motogen,20010507,5447.0,5445.0,5447.0,3507224,644,2,D,5445.0,5447.0
24,Motogen,20010508,5450.0,5447.0,5447.0,16477730,3025,2,D,5447.0,5447.0
25,Motogen,20010509,5447.0,5447.0,5447.0,8170500,1500,1,D,5447.0,5447.0
26,Motogen,20010512,5447.0,5438.0,5438.0,3029227,557,3,D,5447.0,5438.0
27,Motogen,20010513,5439.0,5434.0,5434.0,13160616,2421,9,D,5438.0,5434.0
28,Motogen,20010515,5434.0,5434.0,5434.0,548834,101,1,D,5434.0,5434.0
29,Motogen,20010520,5419.0,5419.0,5419.0,872459,161,3,D,5434.0,5419.0
30,Motogen,20010521,5413.0,5413.0,5413.0,7009835,1295,3,D,5419.0,5413.0
31,Motogen,20010523,5450.0,5410.0,5450.0,66339820,12190,23,D,5413.0,5450.0
32,Motogen,20010526,5460.0,5450.0,5460.0,3844530,705,4,D,5450.0,5460.0
33,Motogen,20010527,5733.0,5462.0,5462.0,61306336,10728,10,D,5460.0,5462.0
34,Motogen,20010528,5700.0,5482.0,5700.0,25997240,4662,10,D,5462.0,5700.0
35,Motogen,20010529,5702.0,5700.0,5700.0,51075582,8959,10,D,5700.0,5700.0
36,Motogen,20010530,5851.0,5750.0,5850.0,37877000,6500,9,D,5700.0,5850.0
37,Motogen,20010602,5979.0,5899.0,5979.0,22764968,3832,5,D,5850.0,5979.0
38,Motogen,20010603,5979.0,5979.0,5979.0,2989500,500,2,D,5979.0,5979.0
39,Motogen,20010616,6029.0,5944.0,6029.0,60013694,10049,17,D,5979.0,6029.0
40,Motogen,20010617,5941.0,5941.0,5941.0,1188200,200,1,D,6029.0,5941.0
41,Motogen,20010618,5930.0,5930.0,5930.0,3386030,571,1,D,5941.0,5930.0
42,Motogen,20010619,5898.0,5890.0,5890.0,7404240,1256,3,D,5930.0,5890.0
43,Motogen,20010626,5830.0,5736.0,5828.0,327545991,56316,27,D,5890.0,5828.0
44,Motogen,20010627,5796.0,5778.0,5778.0,25714085,4445,8,D,5828.0,5778.0
45,Motogen,20010630,5778.0,5778.0,5778.0,8464770,1465,7,D,5778.0,5778.0
46,Motogen,20010709,5490.0,5490.0,5490.0,5995080,1092,2,D,5778.0,5490.0
