,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Mahram.Mfg.,20010403,3790.0,3790.0,3790.0,1137000,300,4,D,0.0,3790.0
1,Mahram.Mfg.,20010421,3630.0,3619.0,3630.0,76668195,21155,15,D,3790.0,3630.0
2,Mahram.Mfg.,20010422,3789.0,3630.0,3789.0,16568840,4390,7,D,3630.0,3789.0
3,Mahram.Mfg.,20010423,3800.0,3789.0,3800.0,3795240,1000,4,D,3789.0,3800.0
4,Mahram.Mfg.,20010425,3750.0,3749.0,3750.0,12461200,3323,3,D,3800.0,3750.0
5,Mahram.Mfg.,20010428,3800.0,3749.0,3800.0,627999097,166276,36,D,3750.0,3800.0
6,Mahram.Mfg.,20010429,3900.0,3800.0,3802.0,721971700,188613,33,D,3800.0,3802.0
7,Mahram.Mfg.,20010430,3992.0,3863.0,3992.0,155560000,40000,21,D,3802.0,3992.0
8,Mahram.Mfg.,20010501,4191.0,4191.0,4191.0,7191756,1716,3,D,3992.0,4191.0
9,Mahram.Mfg.,20010502,4400.0,4400.0,4400.0,136400000,31000,24,D,4191.0,4400.0
10,Mahram.Mfg.,20010505,4620.0,4620.0,4620.0,4620000,1000,1,D,4400.0,4620.0
11,Mahram.Mfg.,20010506,4851.0,4851.0,4851.0,7276500,1500,3,D,4620.0,4851.0
12,Mahram.Mfg.,20010507,5093.0,5090.0,5093.0,1948063500,382500,106,D,4851.0,5093.0
13,Mahram.Mfg.,20010508,5347.0,5347.0,5347.0,43791930,8190,6,D,5093.0,5347.0
14,Mahram.Mfg.,20010616,9000.0,6800.0,6834.0,1061773599,150207,63,D,5347.0,6834.0
15,Mahram.Mfg.,20010617,6902.0,6835.0,6902.0,358798150,52025,44,D,6834.0,6902.0
16,Mahram.Mfg.,20010618,6971.0,6902.0,6950.0,1846719690,265107,156,D,6902.0,6950.0
17,Mahram.Mfg.,20010619,7010.0,6950.0,7009.0,954713900,136738,100,D,6950.0,7009.0
18,Mahram.Mfg.,20010620,7079.0,7050.0,7079.0,763091237,107860,87,D,7009.0,7079.0
19,Mahram.Mfg.,20010623,7149.0,7081.0,7149.0,173630000,24400,27,D,7079.0,7149.0
20,Mahram.Mfg.,20010624,7220.0,7220.0,7220.0,142414500,19725,19,D,7149.0,7220.0
21,Mahram.Mfg.,20010625,7292.0,7292.0,7292.0,83858000,11500,17,D,7220.0,7292.0
22,Mahram.Mfg.,20010626,7364.0,7364.0,7364.0,209874000,28500,30,D,7292.0,7364.0
23,Mahram.Mfg.,20010627,7437.0,7437.0,7437.0,556897434,74882,53,D,7364.0,7437.0
24,Mahram.Mfg.,20010630,7511.0,7511.0,7511.0,270771550,36050,37,D,7437.0,7511.0
25,Mahram.Mfg.,20010701,7586.0,7586.0,7586.0,257924000,34000,33,D,7511.0,7586.0
26,Mahram.Mfg.,20010702,7661.0,7661.0,7661.0,490304000,64000,54,D,7586.0,7661.0
27,Mahram.Mfg.,20010703,7737.0,7737.0,7737.0,520437042,67266,61,D,7661.0,7737.0
28,Mahram.Mfg.,20010704,7814.0,7660.0,7660.0,1740826729,225935,139,D,7737.0,7660.0
29,Mahram.Mfg.,20010707,7690.0,7584.0,7660.0,1688036173,222159,136,D,7660.0,7660.0
30,Mahram.Mfg.,20010708,7736.0,7720.0,7736.0,517637912,66917,31,D,7660.0,7736.0
31,Mahram.Mfg.,20010709,7813.0,7813.0,7813.0,125773674,16098,20,D,7736.0,7813.0
32,Mahram.Mfg.,20010710,7891.0,7890.0,7891.0,454516139,57600,57,D,7813.0,7891.0
33,Mahram.Mfg.,20010711,7969.0,7969.0,7969.0,154072646,19334,30,D,7891.0,7969.0
34,Mahram.Mfg.,20010819,10101.0,8500.0,9800.0,832946356,84723,99,D,7969.0,9800.0
35,Mahram.Mfg.,20010820,9800.0,9312.0,9312.0,433859197,45764,50,D,9800.0,9312.0
36,Mahram.Mfg.,20010821,9287.0,9000.0,9000.0,5021372,553,3,D,9312.0,9000.0
37,Mahram.Mfg.,20010822,9150.0,8979.0,9103.0,472937833,52157,51,D,9000.0,9103.0
38,Mahram.Mfg.,20010825,9350.0,9102.0,9322.0,168041018,18133,29,D,9103.0,9322.0
39,Mahram.Mfg.,20010826,9322.0,9200.0,9200.0,135089933,14592,36,D,9322.0,9200.0
40,Mahram.Mfg.,20010827,9011.0,8850.0,8900.0,197975000,22223,32,D,9200.0,8900.0
41,Mahram.Mfg.,20010828,8900.0,8849.0,8849.0,186381665,21002,42,D,8900.0,8849.0
42,Mahram.Mfg.,20010829,8801.0,8700.0,8700.0,136156845,15493,14,D,8849.0,8700.0
43,Mahram.Mfg.,20010901,8687.0,8550.0,8550.0,14628700,1700,6,D,8700.0,8550.0
44,Mahram.Mfg.,20010902,8499.0,8200.0,8200.0,311422020,37670,19,D,8550.0,8200.0
45,Mahram.Mfg.,20010903,8130.0,8110.0,8110.0,205737745,25325,37,D,8200.0,8110.0
46,Mahram.Mfg.,20010904,8004.0,7949.0,7949.0,202909344,25470,27,D,8110.0,7949.0
47,Mahram.Mfg.,20010905,7900.0,7600.0,7711.0,394276190,50860,45,D,7949.0,7711.0
48,Mahram.Mfg.,20010908,8096.0,7710.0,8096.0,776051594,98906,105,D,7711.0,8096.0
49,Mahram.Mfg.,20010909,8201.0,8096.0,8121.0,714788170,87376,68,D,8096.0,8121.0
50,Mahram.Mfg.,20010910,8121.0,7750.0,7754.0,183286814,23339,23,D,8121.0,7754.0
51,Mahram.Mfg.,20010911,7760.0,7550.0,7550.0,141310055,18407,29,D,7754.0,7550.0
52,Mahram.Mfg.,20010912,7422.0,7200.0,7257.0,160533668,22153,44,D,7550.0,7257.0
53,Mahram.Mfg.,20010915,7400.0,7300.0,7400.0,113838520,15565,15,D,7257.0,7400.0
54,Mahram.Mfg.,20010916,7324.0,7200.0,7200.0,116117960,16020,24,D,7400.0,7200.0
55,Mahram.Mfg.,20010917,6840.0,6840.0,6840.0,27360000,4000,2,D,7200.0,6840.0
56,Mahram.Mfg.,20010918,6830.0,6699.0,6712.0,153173907,22797,30,D,6840.0,6712.0
57,Mahram.Mfg.,20010919,7047.0,6800.0,7047.0,155346770,22533,27,D,6712.0,7047.0
58,Mahram.Mfg.,20010922,7399.0,7298.0,7399.0,73388879,9981,14,D,7047.0,7399.0
59,Mahram.Mfg.,20010923,7768.0,7412.0,7500.0,365696530,47955,47,D,7399.0,7500.0
60,Mahram.Mfg.,20010924,7399.0,7125.0,7200.0,61399262,8416,13,D,7500.0,7200.0
61,Mahram.Mfg.,20010925,7200.0,7199.0,7200.0,88919500,12350,22,D,7200.0,7200.0
62,Mahram.Mfg.,20010926,7206.0,7003.0,7003.0,114280269,16100,23,D,7200.0,7003.0
63,Mahram.Mfg.,20010929,6990.0,6900.0,6901.0,67228799,9735,20,D,7003.0,6901.0
64,Mahram.Mfg.,20010930,7200.0,6899.0,7200.0,213856419,30602,28,D,6901.0,7200.0
65,Mahram.Mfg.,20011002,7465.0,7246.0,7280.0,151372472,20605,28,D,7200.0,7280.0
66,Mahram.Mfg.,20011003,7200.0,7187.0,7193.0,327716685,45563,32,D,7280.0,7193.0
67,Mahram.Mfg.,20011006,7200.0,7193.0,7193.0,47415170,6590,10,D,7193.0,7193.0
68,Mahram.Mfg.,20011007,7200.0,7174.0,7200.0,89646656,12478,11,D,7193.0,7200.0
69,Mahram.Mfg.,20011008,7200.0,7011.0,7015.0,27269475,3858,7,D,7200.0,7015.0
70,Mahram.Mfg.,20011009,6900.0,6900.0,6900.0,51750000,7500,8,D,7015.0,6900.0
71,Mahram.Mfg.,20011010,6850.0,6700.0,6700.0,178111800,26444,21,D,6900.0,6700.0
72,Mahram.Mfg.,20011013,7035.0,6700.0,6850.0,283244592,40843,44,D,6700.0,6850.0
73,Mahram.Mfg.,20011014,7000.0,6900.0,7000.0,106675000,15400,12,D,6850.0,7000.0
74,Mahram.Mfg.,20011016,7350.0,7000.0,7350.0,173713190,24063,29,D,7000.0,7350.0
75,Mahram.Mfg.,20011017,7452.0,7184.0,7200.0,248903129,33723,31,D,7350.0,7200.0
76,Mahram.Mfg.,20011020,7347.0,7200.0,7347.0,64353209,8847,15,D,7200.0,7347.0
77,Mahram.Mfg.,20011021,7350.0,7220.0,7250.0,129764541,17746,25,D,7347.0,7250.0
78,Mahram.Mfg.,20011022,7450.0,7250.0,7400.0,297131955,40356,39,D,7250.0,7400.0
79,Mahram.Mfg.,20011023,7400.0,7350.0,7350.0,126282950,17068,16,D,7400.0,7350.0
80,Mahram.Mfg.,20011024,7310.0,7261.0,7310.0,136703872,18737,30,D,7350.0,7310.0
81,Mahram.Mfg.,20011027,7310.0,7305.0,7305.0,3127930,428,2,D,7310.0,7305.0
82,Mahram.Mfg.,20011029,7234.0,7209.0,7210.0,19109250,2650,4,D,7305.0,7210.0
83,Mahram.Mfg.,20011031,7150.0,7100.0,7100.0,78999640,11118,18,D,7210.0,7100.0
84,Mahram.Mfg.,20011103,7350.0,7100.0,7300.0,125379190,17358,17,D,7100.0,7300.0
85,Mahram.Mfg.,20011104,7449.0,7350.0,7350.0,149625298,20215,18,D,7300.0,7350.0
