,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Margarin,20010325,4050.0,4050.0,4050.0,4746600,1172,1,D,4050.0,4050.0
1,Margarin,20010326,4050.0,4050.0,4050.0,259200,64,1,D,4050.0,4050.0
2,Margarin,20010328,4058.0,4054.0,4057.0,7841782,1933,3,D,4050.0,4057.0
3,Margarin,20010331,4057.0,4054.0,4055.0,25292450,6237,8,D,4057.0,4055.0
4,Margarin,20010403,4060.0,4060.0,4060.0,20300000,5000,1,D,4055.0,4060.0
5,Margarin,20010407,4063.0,4054.0,4054.0,34823168,8576,14,D,4060.0,4054.0
6,Margarin,20010408,4060.0,4054.0,4060.0,40091982,9876,15,D,4054.0,4060.0
7,Margarin,20010409,4063.0,4061.0,4063.0,30238560,7445,12,D,4060.0,4063.0
8,Margarin,20010410,4100.0,4072.0,4099.0,515837905,125890,35,D,4063.0,4099.0
9,Margarin,20010411,4100.0,4072.0,4100.0,42039218,10314,13,D,4099.0,4100.0
10,Margarin,20010414,4100.0,4099.0,4099.0,198557955,48429,16,D,4100.0,4099.0
11,Margarin,20010415,4141.0,4072.0,4141.0,304567596,73768,35,D,4099.0,4141.0
12,Margarin,20010416,4290.0,4147.0,4290.0,47471036,11184,16,D,4141.0,4290.0
13,Margarin,20010417,4504.0,4300.0,4411.0,184353653,41072,31,D,4290.0,4411.0
14,Margarin,20010418,4631.0,4526.0,4526.0,348539847,75416,63,D,4411.0,4526.0
15,Margarin,20010421,4601.0,4530.0,4600.0,227477820,49535,59,D,4526.0,4600.0
16,Margarin,20010422,4660.0,4599.0,4600.0,218186519,47218,48,D,4600.0,4600.0
17,Margarin,20010423,4599.0,4520.0,4560.0,87550268,19182,32,D,4600.0,4560.0
18,Margarin,20010424,4560.0,4530.0,4550.0,42872290,9449,15,D,4560.0,4550.0
19,Margarin,20010425,4600.0,2800.0,4599.0,540920100,159306,306,D,4550.0,4599.0
20,Margarin,20010428,4650.0,4599.0,4611.0,101879567,22066,24,D,4599.0,4611.0
21,Margarin,20010429,4572.0,4449.0,4449.0,89284538,19822,23,D,4611.0,4449.0
22,Margarin,20010430,4400.0,4350.0,4392.0,16582916,3792,9,D,4449.0,4392.0
23,Margarin,20010501,4300.0,4175.0,4175.0,48658507,11543,16,D,4392.0,4175.0
24,Margarin,20010502,4175.0,3970.0,4012.0,81879253,20488,39,D,4175.0,4012.0
25,Margarin,20010505,4200.0,4022.0,4152.0,34488484,8323,8,D,4012.0,4152.0
26,Margarin,20010506,4200.0,4153.0,4200.0,108107536,25949,28,D,4152.0,4200.0
27,Margarin,20010507,4214.0,4160.0,4214.0,22342276,5311,12,D,4200.0,4214.0
28,Margarin,20010508,4370.0,4230.0,4300.0,151092109,35117,49,D,4214.0,4300.0
29,Margarin,20010509,4300.0,4280.0,4280.0,5461355,1271,7,D,4300.0,4280.0
30,Margarin,20010512,4279.0,4253.0,4254.0,29872907,7013,10,D,4280.0,4254.0
31,Margarin,20010513,4260.0,4200.0,4260.0,71156185,16810,19,D,4254.0,4260.0
32,Margarin,20010515,4170.0,2585.0,4170.0,77375810,24266,48,D,4260.0,4170.0
33,Margarin,20010516,4170.0,4130.0,4170.0,171841714,41242,36,D,4170.0,4170.0
34,Margarin,20010519,4170.0,4123.0,4150.0,89319974,21567,31,D,4170.0,4150.0
35,Margarin,20010520,4149.0,4080.0,4149.0,102486318,24933,44,D,4150.0,4149.0
36,Margarin,20010521,4155.0,4148.0,4155.0,393334943,94778,34,D,4149.0,4155.0
37,Margarin,20010523,4305.0,4163.0,4305.0,72820511,17125,30,D,4155.0,4305.0
38,Margarin,20010526,4400.0,4310.0,4400.0,20868560,4759,13,D,4305.0,4400.0
39,Margarin,20010527,4430.0,4400.0,4430.0,106566961,24130,18,D,4400.0,4430.0
40,Margarin,20010528,4520.0,4430.0,4441.0,188495046,42016,42,D,4430.0,4441.0
41,Margarin,20010529,4442.0,4411.0,4428.0,149017301,33623,37,D,4441.0,4428.0
42,Margarin,20010530,4397.0,4397.0,4397.0,5848010,1330,3,D,4428.0,4397.0
43,Margarin,20010602,4385.0,4349.0,4349.0,11388966,2606,6,D,4397.0,4349.0
44,Margarin,20010603,4298.0,4170.0,4200.0,69613408,16629,38,D,4349.0,4200.0
45,Margarin,20010606,4200.0,4170.0,4182.0,67375317,16060,46,D,4200.0,4182.0
46,Margarin,20010609,4299.0,4182.0,4224.0,155809829,36868,31,D,4182.0,4224.0
47,Margarin,20010611,4400.0,4224.0,4300.0,173890973,39769,42,D,4224.0,4300.0
48,Margarin,20010612,4325.0,4301.0,4324.0,38280084,8866,28,D,4300.0,4324.0
49,Margarin,20010613,4350.0,4300.0,4300.0,292208035,67310,45,D,4324.0,4300.0
50,Margarin,20010616,4300.0,4294.0,4298.0,22254491,5178,16,D,4300.0,4298.0
51,Margarin,20010617,4266.0,4174.0,4180.0,161217810,38455,42,D,4298.0,4180.0
52,Margarin,20010618,4230.0,4170.0,4230.0,116465789,27842,62,D,4180.0,4230.0
53,Margarin,20010710,3750.0,3500.0,3750.0,730736747,194971,44,D,4230.0,3750.0
54,Margarin,20010711,3805.0,3750.0,3805.0,322788720,86035,54,D,3750.0,3805.0
55,Margarin,20010714,3871.0,3819.0,3869.0,90556218,23459,40,D,3805.0,3869.0
56,Margarin,20010715,3867.0,3850.0,3860.0,201588254,52170,44,D,3869.0,3860.0
57,Margarin,20010716,3860.0,3801.0,3850.0,102526851,26662,40,D,3860.0,3850.0
58,Margarin,20010717,3868.0,3822.0,3868.0,147402776,38455,68,D,3850.0,3868.0
59,Margarin,20010718,4000.0,3871.0,3884.0,238349227,60671,47,D,3868.0,3884.0
60,Margarin,20010721,4002.0,3888.0,3960.0,111689742,28076,38,D,3884.0,3960.0
61,Margarin,20010722,4040.0,3960.0,3964.0,82530771,20648,32,D,3960.0,3964.0
62,Margarin,20010723,4000.0,3965.0,4000.0,23965216,6007,20,D,3964.0,4000.0
63,Margarin,20010724,4080.0,4000.0,4049.0,69387310,17112,21,D,4000.0,4049.0
64,Margarin,20010725,4100.0,4058.0,4073.0,34101976,8349,21,D,4049.0,4073.0
65,Margarin,20010728,4100.0,4075.0,4077.0,53408576,13054,17,D,4073.0,4077.0
66,Margarin,20010729,4080.0,4053.0,4065.0,178844414,43953,27,D,4077.0,4065.0
67,Margarin,20010730,4092.0,4062.0,4070.0,66151828,16197,22,D,4065.0,4070.0
68,Margarin,20010731,4105.0,4075.0,4105.0,54117714,13227,29,D,4070.0,4105.0
69,Margarin,20010801,4100.0,4064.0,4100.0,239154732,58462,51,D,4105.0,4100.0
70,Margarin,20010804,4100.0,4080.0,4100.0,71629727,17478,27,D,4100.0,4100.0
71,Margarin,20010805,4150.0,4102.0,4150.0,160425372,38666,29,D,4100.0,4150.0
72,Margarin,20010806,4150.0,4111.0,4150.0,113311815,27320,25,D,4150.0,4150.0
73,Margarin,20010807,4151.0,4145.0,4151.0,53444998,12879,17,D,4150.0,4151.0
74,Margarin,20010808,4200.0,4153.0,4190.0,63637083,15213,24,D,4151.0,4190.0
75,Margarin,20010811,4201.0,4187.0,4201.0,104098486,24829,32,D,4190.0,4201.0
76,Margarin,20010812,4402.0,4202.0,4245.0,48236669,11268,18,D,4201.0,4245.0
77,Margarin,20010813,4445.0,4241.0,4400.0,70137914,16019,22,D,4245.0,4400.0
78,Margarin,20010814,4500.0,4400.0,4451.0,24324549,5489,20,D,4400.0,4451.0
79,Margarin,20010815,4520.0,4453.0,4464.0,53675424,11940,17,D,4451.0,4464.0
80,Margarin,20010818,4467.0,4400.0,4450.0,95712059,21564,33,D,4464.0,4450.0
81,Margarin,20010819,4450.0,4411.0,4450.0,63675410,14347,24,D,4450.0,4450.0
82,Margarin,20010820,4450.0,4447.0,4450.0,122757528,27587,32,D,4450.0,4450.0
83,Margarin,20010821,4453.0,4450.0,4451.0,241658104,54296,36,D,4450.0,4451.0
84,Margarin,20010822,4452.0,4448.0,4450.0,109696028,24652,24,D,4451.0,4450.0
85,Margarin,20010825,4450.0,4396.0,4450.0,165222842,37186,27,D,4450.0,4450.0
86,Margarin,20010826,4450.0,4450.0,4450.0,198474450,44601,38,D,4450.0,4450.0
87,Margarin,20010827,4450.0,4301.0,4322.0,21704639,4906,10,D,4450.0,4322.0
88,Margarin,20010828,4440.0,4322.0,4358.0,267165861,61255,54,D,4322.0,4358.0
89,Margarin,20010829,4363.0,4349.0,4363.0,39181091,8988,24,D,4358.0,4363.0
90,Margarin,20010901,4365.0,4270.0,4270.0,97826393,22675,27,D,4363.0,4270.0
91,Margarin,20010902,4265.0,4200.0,4259.0,70974410,16692,13,D,4270.0,4259.0
92,Margarin,20010903,4259.0,4100.0,4259.0,59758534,14233,36,D,4259.0,4259.0
93,Margarin,20010904,4259.0,4227.0,4259.0,123231371,29000,20,D,4259.0,4259.0
94,Margarin,20010908,4259.0,4180.0,4259.0,140535546,33328,50,D,4259.0,4259.0
95,Margarin,20010909,4265.0,4165.0,4259.0,61398240,14637,19,D,4259.0,4259.0
96,Margarin,20010910,4259.0,4200.0,4259.0,28086115,6659,21,D,4259.0,4259.0
97,Margarin,20010911,4259.0,4239.0,4259.0,40563992,9528,19,D,4259.0,4259.0
98,Margarin,20010912,4259.0,4210.0,4210.0,13508644,3200,8,D,4259.0,4210.0
99,Margarin,20010915,4258.0,4000.0,4258.0,216290781,51305,41,D,4210.0,4258.0
100,Margarin,20010919,4250.0,4105.0,4250.0,392738851,93989,74,D,4258.0,4250.0
101,Margarin,20010922,4258.0,4250.0,4257.0,62091577,14586,22,D,4250.0,4257.0
102,Margarin,20010923,4258.0,4201.0,4256.0,126364447,29737,25,D,4257.0,4256.0
103,Margarin,20010924,4256.0,4201.0,4256.0,96315259,22741,21,D,4256.0,4256.0
104,Margarin,20010925,4250.0,4210.0,4250.0,36596422,8654,13,D,4256.0,4250.0
105,Margarin,20010926,4250.0,4199.0,4200.0,162207172,38440,28,D,4250.0,4200.0
106,Margarin,20010929,4199.0,4099.0,4199.0,170913369,41129,31,D,4200.0,4199.0
