,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*I..N..C..Ind.,20070204,4000.0,3600.0,3704.0,640374172370,172898994,2489,D,4000.0,3704.0
1,S*I..N..C..Ind.,20070205,3778.0,3778.0,3778.0,40902501888,10826496,1709,D,3704.0,3778.0
2,S*I..N..C..Ind.,20070206,3853.0,3853.0,3853.0,103453562449,26850133,4118,D,3778.0,3853.0
3,S*I..N..C..Ind.,20070207,3930.0,3930.0,3930.0,122171316570,31086849,4247,D,3853.0,3930.0
4,S*I..N..C..Ind.,20070210,4008.0,4008.0,4008.0,162907276224,40645528,4984,D,3930.0,4008.0
5,S*I..N..C..Ind.,20070212,4088.0,4012.0,4012.0,881016384,215513,93,D,4008.0,4012.0
6,S*I..N..C..Ind.,20070213,4092.0,4092.0,4092.0,20912264208,5110524,1123,D,4012.0,4092.0
7,S*I..N..C..Ind.,20070214,4173.0,4173.0,4173.0,21297439644,5103628,1152,D,4092.0,4173.0
8,S*I..N..C..Ind.,20070217,4256.0,4141.0,4235.0,149512486901,35308907,7352,D,4173.0,4235.0
9,S*I..N..C..Ind.,20070218,4257.0,4151.0,4227.0,62631121478,14815582,2667,D,4235.0,4227.0
10,S*I..N..C..Ind.,20070219,4216.0,4143.0,4216.0,2337584905,564225,160,D,4227.0,4216.0
11,S*I..N..C..Ind.,20070220,4191.0,4132.0,4191.0,5596881362,1354521,335,D,4216.0,4191.0
12,S*I..N..C..Ind.,20070313,4197.0,4040.0,4111.0,7936965855,1930522,473,D,4191.0,4111.0
13,S*I..N..C..Ind.,20070314,4120.0,1852.0,4093.0,2155002873707,1160513315,606,D,4111.0,4093.0
14,S*I..N..C..Ind.,20070317,4165.0,4072.0,4100.0,15089656174,3663321,506,D,4093.0,4100.0
15,S*I..N..C..Ind.,20070319,4182.0,4112.0,4120.0,6002665724,1436849,262,D,4100.0,4120.0
16,S*I..N..C..Ind.,20070325,4202.0,4149.0,4149.0,6845517612,1629327,415,D,4120.0,4149.0
