,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Oil.Ind..Inv.,20030621,1487.0,1437.0,1480.0,2421230000,1660000,366,D,1452.0,1480.0
1,Oil.Ind..Inv.,20030623,1554.0,1554.0,1554.0,310800000,200000,45,D,1480.0,1554.0
2,Oil.Ind..Inv.,20030625,1631.0,1631.0,1631.0,4923989,3019,5,D,1554.0,1631.0
3,Oil.Ind..Inv.,20030628,1712.0,1712.0,1712.0,1489440000,870000,232,D,1631.0,1712.0
4,Oil.Ind..Inv.,20030629,1797.0,1797.0,1797.0,18509100,10300,4,D,1712.0,1797.0
5,Oil.Ind..Inv.,20030701,1886.0,1886.0,1886.0,4715000,2500,2,D,1797.0,1886.0
6,Oil.Ind..Inv.,20030702,1980.0,1980.0,1980.0,3366000,1700,1,D,1886.0,1980.0
7,Oil.Ind..Inv.,20030705,2079.0,2079.0,2079.0,3326400,1600,2,D,1980.0,2079.0
8,Oil.Ind..Inv.,20030706,2182.0,2182.0,2182.0,9819000,4500,3,D,2079.0,2182.0
9,Oil.Ind..Inv.,20030707,2291.0,2291.0,2291.0,102407700,44700,22,D,2182.0,2291.0
10,Oil.Ind..Inv.,20030708,2405.0,2405.0,2405.0,19004310,7902,4,D,2291.0,2405.0
11,Oil.Ind..Inv.,20030709,2525.0,2525.0,2525.0,10100000,4000,4,D,2405.0,2525.0
12,Oil.Ind..Inv.,20030712,2651.0,2651.0,2651.0,17483345,6595,13,D,2525.0,2651.0
13,Oil.Ind..Inv.,20030713,2783.0,2650.0,2783.0,2959005832,1069276,408,D,2651.0,2783.0
14,Oil.Ind..Inv.,20030714,2922.0,2800.0,2922.0,419751177,144037,64,D,2783.0,2922.0
15,Oil.Ind..Inv.,20030715,3068.0,3068.0,3068.0,367890016,119912,53,D,2922.0,3068.0
16,Oil.Ind..Inv.,20030716,3800.0,3068.0,3449.0,486679418,147956,120,D,3068.0,3449.0
17,Oil.Ind..Inv.,20030719,3621.0,3277.0,3277.0,883612543,255461,159,D,3449.0,3277.0
18,Oil.Ind..Inv.,20030720,3114.0,3114.0,3114.0,95758614,30751,23,D,3277.0,3114.0
19,Oil.Ind..Inv.,20030721,2959.0,2959.0,2959.0,106473697,35983,15,D,3114.0,2959.0
20,Oil.Ind..Inv.,20030722,2812.0,2812.0,2812.0,17670608,6284,6,D,2959.0,2812.0
21,Oil.Ind..Inv.,20030723,2672.0,2672.0,2672.0,127526544,47727,29,D,2812.0,2672.0
22,Oil.Ind..Inv.,20030726,2805.0,2539.0,2805.0,642416256,245750,151,D,2672.0,2805.0
23,Oil.Ind..Inv.,20030727,2945.0,2945.0,2945.0,71416250,24250,14,D,2805.0,2945.0
24,Oil.Ind..Inv.,20030728,3092.0,2944.0,2948.0,952192338,311963,166,D,2945.0,2948.0
25,Oil.Ind..Inv.,20030729,2900.0,2810.0,2810.0,218011705,75729,47,D,2948.0,2810.0
26,Oil.Ind..Inv.,20030909,2700.0,2010.0,2370.0,38935893,16430,16,D,2810.0,2370.0
27,Oil.Ind..Inv.,20030913,2370.0,2252.0,2370.0,11283700,5010,6,D,2370.0,2370.0
28,Oil.Ind..Inv.,20030914,2370.0,2252.0,2370.0,25599664,11367,7,D,2370.0,2370.0
29,Oil.Ind..Inv.,20030915,2370.0,2252.0,2370.0,13573984,6027,4,D,2370.0,2370.0
30,Oil.Ind..Inv.,20030917,2364.0,2252.0,2364.0,8362796,3713,4,D,2370.0,2364.0
31,Oil.Ind..Inv.,20030921,2360.0,2246.0,2360.0,4985014,2219,2,D,2364.0,2360.0
32,Oil.Ind..Inv.,20030922,2360.0,2242.0,2360.0,2303714,1027,3,D,2360.0,2360.0
33,Oil.Ind..Inv.,20030923,2354.0,2242.0,2354.0,8655240,3860,3,D,2360.0,2354.0
34,Oil.Ind..Inv.,20030927,2336.0,2237.0,2336.0,27339367,12221,8,D,2354.0,2336.0
35,Oil.Ind..Inv.,20030929,2332.0,2220.0,2332.0,4973920,2240,2,D,2336.0,2332.0
36,Oil.Ind..Inv.,20030930,2328.0,2216.0,2328.0,6205920,2800,4,D,2332.0,2328.0
37,Oil.Ind..Inv.,20031001,2328.0,2212.0,2328.0,1113796,503,2,D,2328.0,2328.0
38,Oil.Ind..Inv.,20031004,2318.0,2212.0,2318.0,14489660,6550,4,D,2328.0,2318.0
39,Oil.Ind..Inv.,20031005,2303.0,2203.0,2303.0,23042177,10459,4,D,2318.0,2303.0
40,Oil.Ind..Inv.,20031007,2303.0,2188.0,2303.0,808522,369,3,D,2303.0,2303.0
41,Oil.Ind..Inv.,20031008,2220.0,2188.0,2191.0,680005756,310232,193,D,2303.0,2191.0
42,Oil.Ind..Inv.,20031011,2228.0,2190.0,2194.0,212120108,96598,42,D,2191.0,2194.0
43,Oil.Ind..Inv.,20031013,2300.0,2174.0,2198.0,73265216,33113,19,D,2194.0,2198.0
44,Oil.Ind..Inv.,20031014,2300.0,2198.0,2202.0,73792989,33313,25,D,2198.0,2202.0
45,Oil.Ind..Inv.,20031015,2200.0,2092.0,2187.0,37372250,17779,12,D,2202.0,2187.0
46,Oil.Ind..Inv.,20031018,2152.0,2078.0,2152.0,79565282,38289,27,D,2187.0,2152.0
47,Oil.Ind..Inv.,20031019,2110.0,2045.0,2110.0,101195145,49345,26,D,2152.0,2110.0
48,Oil.Ind..Inv.,20031020,2108.0,2051.0,2108.0,5048997,2460,8,D,2110.0,2108.0
49,Oil.Ind..Inv.,20031021,2107.0,2095.0,2107.0,7219328,3444,6,D,2108.0,2107.0
50,Oil.Ind..Inv.,20031022,2103.0,2082.0,2103.0,41752670,20010,10,D,2107.0,2103.0
51,Oil.Ind..Inv.,20031025,2200.0,2100.0,2110.0,109269712,51516,28,D,2103.0,2110.0
52,Oil.Ind..Inv.,20031026,2215.0,2116.0,2116.0,17369040,7842,8,D,2110.0,2116.0
53,Oil.Ind..Inv.,20031027,2221.0,2126.0,2126.0,28207971,12701,11,D,2116.0,2126.0
54,Oil.Ind..Inv.,20031028,2232.0,2127.0,2127.0,3369270,1510,4,D,2126.0,2127.0
55,Oil.Ind..Inv.,20031029,2233.0,2177.0,2177.0,132558145,59385,36,D,2127.0,2177.0
56,Oil.Ind..Inv.,20031101,2280.0,2196.0,2196.0,74635460,33189,29,D,2177.0,2196.0
57,Oil.Ind..Inv.,20031102,2300.0,2225.0,2225.0,104986509,46134,34,D,2196.0,2225.0
58,Oil.Ind..Inv.,20031103,2227.0,2225.0,2225.0,5588750,2510,5,D,2225.0,2225.0
59,Oil.Ind..Inv.,20031104,2320.0,2214.0,2231.0,131017459,58517,35,D,2225.0,2231.0
60,Oil.Ind..Inv.,20031105,2310.0,2228.0,2231.0,31057367,13917,8,D,2231.0,2231.0
61,Oil.Ind..Inv.,20031108,2230.0,2214.0,2230.0,17663953,7964,12,D,2231.0,2230.0
62,Oil.Ind..Inv.,20031109,2195.0,2119.0,2195.0,84638374,39849,16,D,2230.0,2195.0
63,Oil.Ind..Inv.,20031110,2152.0,2086.0,2152.0,115975912,55194,20,D,2195.0,2152.0
64,Oil.Ind..Inv.,20031111,2139.0,2099.0,2139.0,76888421,36409,16,D,2152.0,2139.0
65,Oil.Ind..Inv.,20031112,2153.0,2100.0,2132.0,102028470,48037,24,D,2139.0,2132.0
66,Oil.Ind..Inv.,20031115,2149.0,2132.0,2133.0,102620049,47999,36,D,2132.0,2133.0
