,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,R..Mill.Prod.,20010328,3900.0,3900.0,3900.0,10666500,2735,3,D,3900.0,3900.0
1,R..Mill.Prod.,20010403,3900.0,3900.0,3900.0,1470300,377,3,D,3900.0,3900.0
2,R..Mill.Prod.,20010407,3900.0,3900.0,3900.0,27939600,7164,9,D,3900.0,3900.0
3,R..Mill.Prod.,20010408,3900.0,3900.0,3900.0,4925700,1263,5,D,3900.0,3900.0
4,R..Mill.Prod.,20010409,4000.0,3998.0,4000.0,14314000,3579,3,D,3900.0,4000.0
5,R..Mill.Prod.,20010410,4000.0,4000.0,4000.0,7940000,1985,3,D,4000.0,4000.0
6,R..Mill.Prod.,20010411,4001.0,3998.0,4000.0,33579217,8395,14,D,4000.0,4000.0
7,R..Mill.Prod.,20010414,4097.0,4040.0,4080.0,13573555,3324,3,D,4000.0,4080.0
8,R..Mill.Prod.,20010415,4100.0,4080.0,4100.0,13280100,3243,7,D,4080.0,4100.0
9,R..Mill.Prod.,20010416,4100.0,4100.0,4100.0,8068800,1968,3,D,4100.0,4100.0
10,R..Mill.Prod.,20010417,4100.0,4100.0,4100.0,21709500,5295,6,D,4100.0,4100.0
11,R..Mill.Prod.,20010421,4100.0,4090.0,4100.0,48774035,11911,7,D,4100.0,4100.0
12,R..Mill.Prod.,20010422,4101.0,4100.0,4100.0,7409063,1807,4,D,4100.0,4100.0
13,R..Mill.Prod.,20010423,4100.0,4100.0,4100.0,14784600,3606,9,D,4100.0,4100.0
14,R..Mill.Prod.,20010424,4150.0,4100.0,4120.0,20521785,4997,6,D,4100.0,4120.0
15,R..Mill.Prod.,20010425,4199.0,4160.0,4180.0,57652800,13800,14,D,4120.0,4180.0
16,R..Mill.Prod.,20010428,4210.0,4199.0,4202.0,70886043,16854,11,D,4180.0,4202.0
17,R..Mill.Prod.,20010429,4270.0,4250.0,4270.0,108755000,25580,15,D,4202.0,4270.0
18,R..Mill.Prod.,20010430,4300.0,4270.0,4300.0,136376800,31726,29,D,4270.0,4300.0
19,R..Mill.Prod.,20010501,4330.0,4300.0,4330.0,28143400,6538,9,D,4300.0,4330.0
20,R..Mill.Prod.,20010502,4352.0,4352.0,4352.0,5013504,1152,3,D,4330.0,4352.0
21,R..Mill.Prod.,20010505,4465.0,4359.0,4465.0,17559584,3942,9,D,4352.0,4465.0
22,R..Mill.Prod.,20010507,4688.0,4510.0,4650.0,279640247,61144,9,D,4465.0,4650.0
23,R..Mill.Prod.,20010509,4882.0,4700.0,4882.0,19352640,4020,5,D,4650.0,4882.0
24,R..Mill.Prod.,20010513,5000.0,4882.0,4882.0,16376248,3340,7,D,4882.0,4882.0
25,R..Mill.Prod.,20010515,4900.0,4890.0,4890.0,35770960,7310,8,D,4882.0,4890.0
26,R..Mill.Prod.,20010519,4900.0,4890.0,4900.0,44090000,9000,12,D,4890.0,4900.0
27,R..Mill.Prod.,20010520,4900.0,4899.0,4900.0,25086205,5120,9,D,4900.0,4900.0
28,R..Mill.Prod.,20010521,4899.0,4895.0,4895.0,5015532,1024,3,D,4900.0,4895.0
29,R..Mill.Prod.,20010526,4888.0,4879.0,4888.0,24416683,5000,3,D,4895.0,4888.0
30,R..Mill.Prod.,20010527,4883.0,4883.0,4883.0,72917839,14933,2,D,4888.0,4883.0
31,R..Mill.Prod.,20010528,4879.0,4879.0,4879.0,5757220,1180,1,D,4883.0,4879.0
32,R..Mill.Prod.,20010530,4780.0,4760.0,4760.0,13058600,2735,3,D,4879.0,4760.0
33,R..Mill.Prod.,20010602,4740.0,4740.0,4740.0,15784200,3330,79,D,4760.0,4740.0
34,R..Mill.Prod.,20010603,4690.0,4650.0,4650.0,12655000,2700,34,D,4740.0,4650.0
35,R..Mill.Prod.,20010606,4687.0,4650.0,4650.0,11550500,2480,26,D,4650.0,4650.0
36,R..Mill.Prod.,20010612,4600.0,4598.0,4598.0,14694610,3195,21,D,4650.0,4598.0
37,R..Mill.Prod.,20010613,4588.0,4559.0,4559.0,20599000,4500,19,D,4598.0,4559.0
38,R..Mill.Prod.,20010616,4559.0,4559.0,4559.0,11397500,2500,55,D,4559.0,4559.0
39,R..Mill.Prod.,20010617,4544.0,4447.0,4447.0,39050264,8706,19,D,4559.0,4447.0
40,R..Mill.Prod.,20010618,4429.0,4428.0,4428.0,7970700,1800,13,D,4447.0,4428.0
41,R..Mill.Prod.,20010619,4419.0,4410.0,4410.0,13689000,3100,21,D,4428.0,4410.0
42,R..Mill.Prod.,20010620,4409.0,4200.0,4200.0,1573111659,365850,53,D,4410.0,4200.0
43,R..Mill.Prod.,20010623,4200.0,4150.0,4150.0,29893640,7156,10,D,4200.0,4150.0
44,R..Mill.Prod.,20010624,4151.0,4100.0,4100.0,26336961,6358,25,D,4150.0,4100.0
45,R..Mill.Prod.,20010625,4100.0,4099.0,4099.0,42417398,10346,222,D,4100.0,4099.0
46,R..Mill.Prod.,20010626,4096.0,4000.0,4000.0,5908736,1466,8,D,4099.0,4000.0
47,R..Mill.Prod.,20010627,4060.0,4000.0,4060.0,133540150,32981,32,D,4000.0,4060.0
48,R..Mill.Prod.,20010630,4110.0,4097.0,4105.0,151091041,36832,19,D,4060.0,4105.0
49,R..Mill.Prod.,20010701,4115.0,4107.0,4111.0,51781797,12597,15,D,4105.0,4111.0
50,R..Mill.Prod.,20010702,4113.0,4111.0,4111.0,13124941,3192,7,D,4111.0,4111.0
51,R..Mill.Prod.,20010703,4111.0,4080.0,4099.0,986551605,240635,55,D,4111.0,4099.0
52,R..Mill.Prod.,20010807,3300.0,3300.0,3300.0,3300000,1000,1,D,4099.0,3300.0
53,R..Mill.Prod.,20010812,3250.0,3250.0,3250.0,975000,300,1,D,3300.0,3250.0
54,R..Mill.Prod.,20010813,3298.0,3245.0,3251.0,18906110,5810,13,D,3250.0,3251.0
55,R..Mill.Prod.,20010814,3300.0,3300.0,3300.0,3587100,1087,1,D,3251.0,3300.0
56,R..Mill.Prod.,20010820,3465.0,3465.0,3465.0,2418570,698,3,D,3300.0,3465.0
57,R..Mill.Prod.,20010821,3638.0,3638.0,3638.0,7276000,2000,1,D,3465.0,3638.0
58,R..Mill.Prod.,20010822,3638.0,3560.0,3560.0,178173878,49973,26,D,3638.0,3560.0
59,R..Mill.Prod.,20010825,3562.0,3562.0,3562.0,3562000,1000,1,D,3560.0,3562.0
60,R..Mill.Prod.,20010826,3620.0,3620.0,3620.0,4137660,1143,2,D,3562.0,3620.0
61,R..Mill.Prod.,20010827,3620.0,3599.0,3600.0,32294520,8960,8,D,3620.0,3600.0
62,R..Mill.Prod.,20010828,3601.0,3600.0,3601.0,2379861,661,2,D,3600.0,3601.0
63,R..Mill.Prod.,20010901,3606.0,3606.0,3606.0,1593852,442,2,D,3601.0,3606.0
64,R..Mill.Prod.,20010902,3610.0,3609.0,3609.0,24091482,6674,11,D,3606.0,3609.0
65,R..Mill.Prod.,20010903,3611.0,3609.0,3611.0,14964505,4145,7,D,3609.0,3611.0
66,R..Mill.Prod.,20010904,3613.0,3613.0,3613.0,14050957,3889,2,D,3611.0,3613.0
67,R..Mill.Prod.,20010908,3778.0,3778.0,3778.0,9445000,2500,1,D,3613.0,3778.0
68,R..Mill.Prod.,20010909,3778.0,3770.0,3770.0,8491910,2251,3,D,3778.0,3770.0
69,R..Mill.Prod.,20010910,3776.0,3758.0,3759.0,12487333,3317,5,D,3770.0,3759.0
70,R..Mill.Prod.,20010911,3750.0,3730.0,3730.0,1339340,358,3,D,3759.0,3730.0
71,R..Mill.Prod.,20010912,3730.0,3700.0,3700.0,13113000,3540,5,D,3730.0,3700.0
72,R..Mill.Prod.,20010915,3695.0,3690.0,3690.0,21280820,5767,7,D,3700.0,3690.0
73,R..Mill.Prod.,20010916,3650.0,3640.0,3640.0,11148400,3060,6,D,3690.0,3640.0
74,R..Mill.Prod.,20010918,3610.0,3570.0,3570.0,5833470,1627,5,D,3640.0,3570.0
75,R..Mill.Prod.,20010922,3559.0,3500.0,3500.0,18323170,5209,12,D,3570.0,3500.0
76,R..Mill.Prod.,20010923,3550.0,3520.0,3550.0,20921520,5936,6,D,3500.0,3550.0
77,R..Mill.Prod.,20010924,3640.0,3551.0,3640.0,17859710,4944,5,D,3550.0,3640.0
78,R..Mill.Prod.,20010925,3680.0,3640.0,3680.0,5863200,1594,2,D,3640.0,3680.0
79,R..Mill.Prod.,20010926,3750.0,3680.0,3680.0,35500400,9621,12,D,3680.0,3680.0
80,R..Mill.Prod.,20010929,3799.0,3681.0,3750.0,30501804,8116,18,D,3680.0,3750.0
81,R..Mill.Prod.,20011002,3700.0,3690.0,3690.0,64167810,17349,22,D,3750.0,3690.0
82,R..Mill.Prod.,20011003,3700.0,3700.0,3700.0,23983400,6482,7,D,3690.0,3700.0
83,R..Mill.Prod.,20011006,3700.0,3699.0,3699.0,5753285,1555,2,D,3700.0,3699.0
84,R..Mill.Prod.,20011007,3700.0,3660.0,3700.0,59622194,16179,12,D,3699.0,3700.0
85,R..Mill.Prod.,20011008,3700.0,3680.0,3700.0,61678920,16711,17,D,3700.0,3700.0
86,R..Mill.Prod.,20011009,3700.0,3680.0,3680.0,75879500,20535,22,D,3700.0,3680.0
87,R..Mill.Prod.,20011010,3700.0,3652.0,3700.0,40972604,11183,11,D,3680.0,3700.0
88,R..Mill.Prod.,20011013,3700.0,3660.0,3660.0,27443500,7469,7,D,3700.0,3660.0
89,R..Mill.Prod.,20011014,3700.0,3659.0,3700.0,51058278,13829,21,D,3660.0,3700.0
90,R..Mill.Prod.,20011016,3700.0,3700.0,3700.0,33300000,9000,10,D,3700.0,3700.0
91,R..Mill.Prod.,20011020,3700.0,3700.0,3700.0,1110000,300,2,D,3700.0,3700.0
92,R..Mill.Prod.,20011021,3745.0,3700.0,3745.0,24152600,6458,9,D,3700.0,3745.0
93,R..Mill.Prod.,20011022,3821.0,3745.0,3821.0,422851800,111236,15,D,3745.0,3821.0
94,R..Mill.Prod.,20011023,3901.0,3827.0,3901.0,273019200,70840,9,D,3821.0,3901.0
95,R..Mill.Prod.,20011024,4000.0,3901.0,4000.0,5375521,1358,5,D,3901.0,4000.0
96,R..Mill.Prod.,20011027,3994.0,3987.0,3994.0,11843397,2966,3,D,4000.0,3994.0
97,R..Mill.Prod.,20011028,4049.0,4000.0,4049.0,8521613,2120,6,D,3994.0,4049.0
98,R..Mill.Prod.,20011029,4050.0,4050.0,4050.0,8910000,2200,1,D,4049.0,4050.0
99,R..Mill.Prod.,20011031,4120.0,4087.0,4120.0,19491671,4765,6,D,4050.0,4120.0
100,R..Mill.Prod.,20011103,4326.0,4326.0,4326.0,2678663526,619201,78,D,4120.0,4326.0
101,R..Mill.Prod.,20011104,4340.0,4326.0,4340.0,13426600,3100,4,D,4326.0,4340.0
102,R..Mill.Prod.,20011105,4352.0,4352.0,4352.0,822528,189,1,D,4340.0,4352.0
103,R..Mill.Prod.,20011106,4569.0,4378.0,4569.0,11015443,2426,5,D,4352.0,4569.0
104,R..Mill.Prod.,20011111,4602.0,4602.0,4602.0,2213562,481,1,D,4569.0,4602.0
105,R..Mill.Prod.,20011112,4613.0,4613.0,4613.0,4613000,1000,1,D,4602.0,4613.0
106,R..Mill.Prod.,20011113,4614.0,4610.0,4610.0,67719032,14685,21,D,4613.0,4610.0
107,R..Mill.Prod.,20011114,4610.0,4605.0,4610.0,38476332,8351,4,D,4610.0,4610.0
108,R..Mill.Prod.,20011117,4650.0,4620.0,4650.0,20374410,4391,5,D,4610.0,4650.0
109,R..Mill.Prod.,20011118,4650.0,4650.0,4650.0,4650000,1000,1,D,4650.0,4650.0
110,R..Mill.Prod.,20011119,4651.0,4650.0,4650.0,1841761,396,2,D,4650.0,4650.0
111,R..Mill.Prod.,20011120,4750.0,4750.0,4750.0,2284750,481,3,D,4650.0,4750.0
112,R..Mill.Prod.,20011121,4800.0,4749.0,4800.0,18540209,3880,6,D,4750.0,4800.0
113,R..Mill.Prod.,20011124,4800.0,4800.0,4800.0,21979200,4579,7,D,4800.0,4800.0
114,R..Mill.Prod.,20011125,4800.0,4800.0,4800.0,2020800,421,1,D,4800.0,4800.0
115,R..Mill.Prod.,20011128,4802.0,4802.0,4802.0,6012104,1252,1,D,4800.0,4802.0
116,R..Mill.Prod.,20011201,4820.0,4820.0,4820.0,8194000,1700,1,D,4802.0,4820.0
117,R..Mill.Prod.,20011203,4850.0,4825.0,4825.0,15020707,3103,11,D,4820.0,4825.0
118,R..Mill.Prod.,20011204,4826.0,4825.0,4825.0,15778550,3270,7,D,4825.0,4825.0
119,R..Mill.Prod.,20011208,4851.0,4851.0,4851.0,2896047,597,1,D,4825.0,4851.0
120,R..Mill.Prod.,20011209,4852.0,4800.0,4800.0,23932855,4939,8,D,4851.0,4800.0
121,R..Mill.Prod.,20011210,4800.0,4790.0,4800.0,31602180,6586,8,D,4800.0,4800.0
122,R..Mill.Prod.,20011211,4800.0,4800.0,4800.0,864000,180,1,D,4800.0,4800.0
123,R..Mill.Prod.,20011212,4810.0,4800.0,4810.0,2100170,437,3,D,4800.0,4810.0
124,R..Mill.Prod.,20011215,4810.0,4809.0,4810.0,4626739,962,2,D,4810.0,4810.0
125,R..Mill.Prod.,20011217,4900.0,4810.0,4900.0,18383180,3791,7,D,4810.0,4900.0
126,R..Mill.Prod.,20011218,4900.0,4900.0,4900.0,2479400,506,1,D,4900.0,4900.0
127,R..Mill.Prod.,20011222,4885.0,4880.0,4881.0,26481800,5426,9,D,4900.0,4881.0
128,R..Mill.Prod.,20011223,4880.0,4879.0,4880.0,154039946,31566,34,D,4881.0,4880.0
129,R..Mill.Prod.,20011224,4900.0,4867.0,4900.0,45445734,9310,17,D,4880.0,4900.0
130,R..Mill.Prod.,20011225,4900.0,4900.0,4900.0,4120900,841,2,D,4900.0,4900.0
131,R..Mill.Prod.,20011229,4900.0,4870.0,4900.0,55601420,11387,11,D,4900.0,4900.0
132,R..Mill.Prod.,20011230,4900.0,4900.0,4900.0,33648300,6867,8,D,4900.0,4900.0
133,R..Mill.Prod.,20011231,4900.0,4900.0,4900.0,76028400,15516,22,D,4900.0,4900.0
134,R..Mill.Prod.,20020102,4800.0,4800.0,4800.0,61545600,12822,8,D,4900.0,4800.0
135,R..Mill.Prod.,20020105,4750.0,4750.0,4750.0,9500000,2000,4,D,4800.0,4750.0
136,R..Mill.Prod.,20020106,4700.0,4700.0,4700.0,1424100,303,3,D,4750.0,4700.0
137,R..Mill.Prod.,20020107,4700.0,4700.0,4700.0,40984000,8720,9,D,4700.0,4700.0
138,R..Mill.Prod.,20020112,4700.0,4700.0,4700.0,1931700,411,1,D,4700.0,4700.0
139,R..Mill.Prod.,20020113,4700.0,4699.0,4700.0,805740403,171457,22,D,4700.0,4700.0
140,R..Mill.Prod.,20020114,4700.0,4700.0,4700.0,50736500,10795,10,D,4700.0,4700.0
141,R..Mill.Prod.,20020115,4700.0,4700.0,4700.0,17281900,3677,10,D,4700.0,4700.0
142,R..Mill.Prod.,20020122,4700.0,4700.0,4700.0,5170000,1100,1,D,4700.0,4700.0
143,R..Mill.Prod.,20020123,4715.0,4700.0,4715.0,58876230,12522,10,D,4700.0,4715.0
144,R..Mill.Prod.,20020126,4700.0,4699.0,4700.0,9272619,1973,5,D,4715.0,4700.0
145,R..Mill.Prod.,20020127,4703.0,4699.0,4703.0,409354648,87072,12,D,4700.0,4703.0
146,R..Mill.Prod.,20020128,4703.0,4703.0,4703.0,21647909,4603,8,D,4703.0,4703.0
147,R..Mill.Prod.,20020130,4703.0,4703.0,4703.0,14109000,3000,4,D,4703.0,4703.0
148,R..Mill.Prod.,20020202,4700.0,4700.0,4700.0,11750000,2500,4,D,4703.0,4700.0
149,R..Mill.Prod.,20020204,4699.0,4690.0,4699.0,13033649,2774,6,D,4700.0,4699.0
150,R..Mill.Prod.,20020205,4695.0,4680.0,4680.0,20636400,4407,8,D,4699.0,4680.0
151,R..Mill.Prod.,20020206,4690.0,4680.0,4690.0,2979250,636,3,D,4680.0,4690.0
152,R..Mill.Prod.,20020209,4690.0,4690.0,4690.0,2349690,501,4,D,4690.0,4690.0
153,R..Mill.Prod.,20020210,4700.0,4690.0,4690.0,16281429,3469,8,D,4690.0,4690.0
154,R..Mill.Prod.,20020212,4690.0,4690.0,4690.0,29861230,6367,6,D,4690.0,4690.0
155,R..Mill.Prod.,20020213,4690.0,4690.0,4690.0,3381490,721,4,D,4690.0,4690.0
156,R..Mill.Prod.,20020216,4688.0,4650.0,4660.0,44138610,9422,11,D,4690.0,4660.0
157,R..Mill.Prod.,20020217,4660.0,4660.0,4660.0,14912000,3200,2,D,4660.0,4660.0
158,R..Mill.Prod.,20020218,4660.0,4659.0,4660.0,116089405,24912,30,D,4660.0,4660.0
159,R..Mill.Prod.,20020219,4660.0,4660.0,4660.0,64843900,13915,15,D,4660.0,4660.0
160,R..Mill.Prod.,20020226,4620.0,4620.0,4620.0,20346480,4404,5,D,4660.0,4620.0
161,R..Mill.Prod.,20020227,4609.0,4609.0,4609.0,1129205,245,1,D,4620.0,4609.0
162,R..Mill.Prod.,20020302,4500.0,4500.0,4500.0,1800000,400,1,D,4609.0,4500.0
163,R..Mill.Prod.,20020304,4500.0,4500.0,4500.0,2700000,600,2,D,4500.0,4500.0
164,R..Mill.Prod.,20020309,4449.0,4449.0,4449.0,6673500,1500,1,D,4500.0,4449.0
165,R..Mill.Prod.,20020316,4335.0,4320.0,4320.0,133920270,30962,5,D,4449.0,4320.0
166,R..Mill.Prod.,20020317,4300.0,4300.0,4300.0,6544600,1522,1,D,4320.0,4300.0
167,R..Mill.Prod.,20020318,4285.0,4285.0,4285.0,6594615,1539,1,D,4300.0,4285.0
168,R..Mill.Prod.,20020403,4243.0,4243.0,4243.0,1985724,468,1,D,4285.0,4243.0
169,R..Mill.Prod.,20020413,4190.0,4190.0,4190.0,2178800,520,1,D,4243.0,4190.0
170,R..Mill.Prod.,20020417,4170.0,4168.0,4168.0,7017160,1683,2,D,4190.0,4168.0
171,R..Mill.Prod.,20020420,4164.0,4162.0,4162.0,2127728,511,4,D,4168.0,4162.0
172,R..Mill.Prod.,20020422,4150.0,4150.0,4150.0,5013200,1208,1,D,4162.0,4150.0
