,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.N..Inv.,20010407,1451.0,1320.0,1451.0,69383645,47984,27,D,0.0,1451.0
1,Iran.N..Inv.,20010408,1467.0,1450.0,1466.0,110498203,75530,42,D,1451.0,1466.0
2,Iran.N..Inv.,20010409,1500.0,1469.0,1495.0,142641368,95741,50,D,1466.0,1495.0
3,Iran.N..Inv.,20010410,1513.0,1500.0,1513.0,133554026,88636,48,D,1495.0,1513.0
4,Iran.N..Inv.,20010411,1525.0,1513.0,1519.0,128850444,84753,79,D,1513.0,1519.0
5,Iran.N..Inv.,20010414,1520.0,1506.0,1519.0,130961471,86324,53,D,1519.0,1519.0
6,Iran.N..Inv.,20010415,1519.0,1497.0,1505.0,237913112,158154,43,D,1519.0,1505.0
7,Iran.N..Inv.,20010416,1502.0,1480.0,1496.0,158286069,106042,60,D,1505.0,1496.0
8,Iran.N..Inv.,20010417,1487.0,1450.0,1459.0,50395848,34471,34,D,1496.0,1459.0
9,Iran.N..Inv.,20010418,1463.0,1450.0,1459.0,144713232,99559,48,D,1459.0,1459.0
10,Iran.N..Inv.,20010421,1459.0,1450.0,1459.0,70351827,48328,33,D,1459.0,1459.0
11,Iran.N..Inv.,20010422,1452.0,1440.0,1450.0,94381980,65176,31,D,1459.0,1450.0
12,Iran.N..Inv.,20010423,1450.0,1415.0,1450.0,217427880,150931,78,D,1450.0,1450.0
13,Iran.N..Inv.,20010424,1450.0,1430.0,1450.0,144774784,100411,34,D,1450.0,1450.0
14,Iran.N..Inv.,20010425,1450.0,1429.0,1450.0,148754927,103139,47,D,1450.0,1450.0
15,Iran.N..Inv.,20010428,1502.0,1450.0,1450.0,1255197465,848560,142,D,1450.0,1450.0
16,Iran.N..Inv.,20010429,1522.0,1480.0,1480.0,567379106,376613,94,D,1450.0,1480.0
17,Iran.N..Inv.,20010430,1554.0,1500.0,1500.0,625720478,411737,126,D,1480.0,1500.0
18,Iran.N..Inv.,20010501,1562.0,1507.0,1528.0,333103426,217071,100,D,1500.0,1528.0
