,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Nirou.Trans,20040114,2200.0,2200.0,2200.0,830489000,377495,36,D,0.0,2200.0
1,Nirou.Trans,20040117,2201.0,2200.0,2200.0,4765536740,2166151,700,D,2200.0,2200.0
2,Nirou.Trans,20040118,2210.0,2207.0,2207.0,3437873278,1556354,226,D,2200.0,2207.0
3,Nirou.Trans,20040119,2317.0,2317.0,2317.0,115850000,50000,6,D,2207.0,2317.0
4,Nirou.Trans,20040120,2432.0,2332.0,2332.0,9751320,4010,2,D,2317.0,2332.0
5,Nirou.Trans,20040124,2448.0,2448.0,2448.0,146880000,60000,11,D,2332.0,2448.0
6,Nirou.Trans,20040126,2570.0,2570.0,2570.0,1406818000,547400,139,D,2448.0,2570.0
7,Nirou.Trans,20040127,2698.0,2698.0,2698.0,915790234,339433,89,D,2570.0,2698.0
8,Nirou.Trans,20040214,2699.0,2564.0,2607.0,64835913,25024,9,D,2698.0,2607.0
9,Nirou.Trans,20040223,3150.0,2699.0,2820.0,436324487,154710,82,D,2607.0,2820.0
10,Nirou.Trans,20040224,2897.0,2820.0,2864.0,217842139,76051,26,D,2820.0,2864.0
11,Nirou.Trans,20040225,3000.0,2845.0,2910.0,418995748,143944,53,D,2864.0,2910.0
12,Nirou.Trans,20040228,2851.0,2850.0,2850.0,142505136,50000,10,D,2910.0,2850.0
13,Nirou.Trans,20040229,2898.0,2850.0,2857.0,185769290,65010,24,D,2850.0,2857.0
14,Nirou.Trans,20040303,2999.0,2888.0,2968.0,367554028,123836,27,D,2857.0,2968.0
15,Nirou.Trans,20040306,3116.0,2968.0,3110.0,3264889144,1047969,29,D,2968.0,3110.0
16,Nirou.Trans,20040307,3260.0,3122.0,3149.0,3148111490,1008010,6,D,3110.0,3149.0
17,Nirou.Trans,20040308,3306.0,3251.0,3251.0,64654892,19557,5,D,3149.0,3251.0
18,Nirou.Trans,20040309,3413.0,3300.0,3400.0,576826010,169630,55,D,3251.0,3400.0
19,Nirou.Trans,20040310,3410.0,3230.0,3382.0,1240956242,378264,206,D,3400.0,3382.0
20,Nirou.Trans,20040313,3382.0,3213.0,3290.0,85216680,26010,12,D,3382.0,3290.0
21,Nirou.Trans,20040314,3300.0,3289.0,3295.0,71703680,21745,11,D,3290.0,3295.0
22,Nirou.Trans,20040315,3459.0,3298.0,3416.0,152054230,44507,14,D,3295.0,3416.0
23,Nirou.Trans,20040316,3416.0,3415.0,3415.0,17529778,5133,4,D,3416.0,3415.0
24,Nirou.Trans,20040317,3450.0,3431.0,3431.0,50658990,14689,8,D,3415.0,3431.0
25,Nirou.Trans,20040328,3430.0,3429.0,3430.0,41150000,12000,2,D,3431.0,3430.0
26,Nirou.Trans,20040329,3450.0,3259.0,3283.0,508997830,155010,154,D,3430.0,3283.0
27,Nirou.Trans,20040330,3447.0,3283.0,3437.0,170654721,49647,9,D,3283.0,3437.0
28,Nirou.Trans,20040403,3500.0,3444.0,3444.0,17534440,5010,2,D,3437.0,3444.0
29,Nirou.Trans,20040404,3444.0,3439.0,3440.0,360258589,104701,24,D,3444.0,3440.0
