,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*EN.Bank,20040204,4203.0,3700.0,3752.0,13133746226,3500000,1777,D,3700.0,3752.0
1,S*EN.Bank,20040207,3939.0,3755.0,3755.0,12604616,3200,5,D,3752.0,3755.0
2,S*EN.Bank,20040208,3942.0,3942.0,3942.0,2365200000,600000,495,D,3755.0,3942.0
3,S*EN.Bank,20040209,4139.0,4139.0,4139.0,2690350000,650000,624,D,3942.0,4139.0
4,S*EN.Bank,20040214,4345.0,4345.0,4345.0,2824250000,650000,583,D,4139.0,4345.0
5,S*EN.Bank,20040215,4562.0,4562.0,4562.0,4528615284,992682,661,D,4345.0,4562.0
6,S*EN.Bank,20040216,4790.0,4790.0,4790.0,4398944400,918360,577,D,4562.0,4790.0
7,S*EN.Bank,20040217,5029.0,5029.0,5029.0,925984741,184129,153,D,4790.0,5029.0
8,S*EN.Bank,20040218,5280.0,5280.0,5280.0,1201469280,227551,124,D,5029.0,5280.0
9,S*EN.Bank,20040221,5544.0,5280.0,5540.0,10669941296,1925814,977,D,5280.0,5540.0
10,S*EN.Bank,20040222,5797.0,5540.0,5644.0,3144177932,557010,465,D,5540.0,5644.0
11,S*EN.Bank,20040223,5650.0,5500.0,5584.0,2275692702,407527,322,D,5644.0,5584.0
12,S*EN.Bank,20040224,5571.0,5321.0,5444.0,2117194940,388866,226,D,5584.0,5444.0
13,S*EN.Bank,20040225,5440.0,5200.0,5288.0,1490404322,281836,147,D,5444.0,5288.0
14,S*EN.Bank,20040228,5502.0,5289.0,5404.0,2857740728,528809,221,D,5288.0,5404.0
15,S*EN.Bank,20040229,5530.0,5390.0,5479.0,2107680532,384654,183,D,5404.0,5479.0
16,S*EN.Bank,20040303,5701.0,5500.0,5678.0,3217398116,566597,186,D,5479.0,5678.0
17,S*EN.Bank,20040306,5752.0,5670.0,5706.0,20439819215,3590565,177,D,5678.0,5706.0
18,S*EN.Bank,20040307,5710.0,5573.0,5633.0,1967147851,349208,121,D,5706.0,5633.0
19,S*EN.Bank,20040310,5750.0,5500.0,5583.0,837759709,150038,69,D,5633.0,5583.0
20,S*EN.Bank,20040313,5582.0,5398.0,5487.0,1861554488,339228,149,D,5583.0,5487.0
21,S*EN.Bank,20040314,5564.0,5499.0,5516.0,6215878893,1126270,74,D,5487.0,5516.0
22,S*EN.Bank,20040315,5500.0,5355.0,5491.0,1685954938,307037,83,D,5516.0,5491.0
23,S*EN.Bank,20040316,5500.0,5304.0,5433.0,601411283,111086,67,D,5491.0,5433.0
24,S*EN.Bank,20040317,5704.0,5300.0,5462.0,1408472367,257839,101,D,5433.0,5462.0
25,S*EN.Bank,20040327,5700.0,5463.0,5470.0,117530021,21283,16,D,5462.0,5470.0
26,S*EN.Bank,20040328,5743.0,5504.0,5708.0,812910397,142043,54,D,5470.0,5708.0
27,S*EN.Bank,20040329,5993.0,5710.0,5780.0,390040789,66418,33,D,5708.0,5780.0
28,S*EN.Bank,20040330,5800.0,5749.0,5759.0,2140399470,371628,91,D,5780.0,5759.0
29,S*EN.Bank,20040403,6046.0,5779.0,6001.0,1071717215,177645,60,D,5759.0,6001.0
30,S*EN.Bank,20040404,6301.0,6301.0,6301.0,3552075332,563732,142,D,6001.0,6301.0
31,S*EN.Bank,20040405,6616.0,6302.0,6473.0,2006501126,309952,103,D,6301.0,6473.0
32,S*EN.Bank,20040406,6793.0,6499.0,6576.0,3166701474,481539,173,D,6473.0,6576.0
33,S*EN.Bank,20040407,6904.0,6650.0,6812.0,3334490561,489465,180,D,6576.0,6812.0
34,S*EN.Bank,20040410,7000.0,6500.0,6884.0,1092496633,158240,109,D,6812.0,6884.0
35,S*EN.Bank,20040412,7224.0,6554.0,6991.0,1986148094,284079,134,D,6884.0,6991.0
36,S*EN.Bank,20040413,7100.0,6672.0,7001.0,1089458802,155520,119,D,6991.0,7001.0
37,S*EN.Bank,20040414,6910.0,6768.0,6910.0,810956557,118406,76,D,7001.0,6910.0
38,S*EN.Bank,20040417,7000.0,6847.0,6964.0,1775045708,254877,111,D,6910.0,6964.0
39,S*EN.Bank,20040418,7150.0,6800.0,6962.0,1630573723,234210,106,D,6964.0,6962.0
40,S*EN.Bank,20040421,7050.0,6750.0,6992.0,1109104305,158421,108,D,6962.0,6992.0
41,S*EN.Bank,20040424,7150.0,6998.0,7049.0,3781246682,536398,218,D,6992.0,7049.0
42,S*EN.Bank,20040425,7052.0,7049.0,7049.0,186302840,26423,13,D,7049.0,7049.0
43,S*EN.Bank,20040508,7200.0,6800.0,7043.0,5796767859,822947,209,D,7049.0,7043.0
44,S*EN.Bank,20040509,7100.0,6976.0,7038.0,4967171328,705739,268,D,7043.0,7038.0
45,S*EN.Bank,20040510,7202.0,6990.0,7086.0,2123595162,299667,140,D,7038.0,7086.0
46,S*EN.Bank,20040511,7440.0,7163.0,7249.0,2979433261,411011,142,D,7086.0,7249.0
47,S*EN.Bank,20040512,7611.0,7350.0,7524.0,2598248399,345326,101,D,7249.0,7524.0
48,S*EN.Bank,20040515,7900.0,7528.0,7695.0,807648370,102785,54,D,7524.0,7695.0
49,S*EN.Bank,20040516,8079.0,7811.0,7811.0,490893518,60762,32,D,7695.0,7811.0
50,S*EN.Bank,20040517,8201.0,7999.0,7999.0,793797373,96793,77,D,7811.0,7999.0
51,S*EN.Bank,20040518,8398.0,8350.0,8396.0,6597613434,785760,378,D,7999.0,8396.0
52,S*EN.Bank,20040519,8815.0,8534.0,8813.0,5635614847,639442,256,D,8396.0,8813.0
53,S*EN.Bank,20040522,9253.0,9141.0,9141.0,1383340886,149502,53,D,8813.0,9141.0
54,S*EN.Bank,20040523,9598.0,9598.0,9598.0,2410009810,251095,131,D,9141.0,9598.0
55,S*EN.Bank,20040524,10077.0,9777.0,10004.0,9622400599,961784,580,D,9598.0,10004.0
56,S*EN.Bank,20040620,10230.0,8000.0,9299.0,14818422685,1593543,762,D,10004.0,9299.0
