,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Pars.Oil,20010417,25965.0,25400.0,25965.0,103470756,4029,6,D,0.0,25965.0
1,Pars.Oil,20010418,25990.0,25706.0,25706.0,207069214,7983,17,D,25965.0,25706.0
2,Pars.Oil,20010421,25449.0,25449.0,25449.0,7634700,300,1,D,25706.0,25449.0
3,Pars.Oil,20010422,25195.0,25195.0,25195.0,5039000,200,1,D,25449.0,25195.0
4,Pars.Oil,20010423,24566.0,24566.0,24566.0,24566000,1000,2,D,25195.0,24566.0
5,Pars.Oil,20010424,23952.0,23952.0,23952.0,23952000,1000,3,D,24566.0,23952.0
6,Pars.Oil,20010425,23713.0,23713.0,23713.0,26084300,1100,5,D,23952.0,23713.0
7,Pars.Oil,20010428,23476.0,23476.0,23476.0,23476000,1000,6,D,23713.0,23476.0
8,Pars.Oil,20010429,23242.0,23242.0,23242.0,23242000,1000,8,D,23476.0,23242.0
9,Pars.Oil,20010430,23010.0,23010.0,23010.0,23010000,1000,2,D,23242.0,23010.0
10,Pars.Oil,20010501,22780.0,22780.0,22780.0,22780000,1000,3,D,23010.0,22780.0
11,Pars.Oil,20010502,22553.0,22553.0,22553.0,22553000,1000,4,D,22780.0,22553.0
12,Pars.Oil,20010505,22328.0,22328.0,22328.0,22328000,1000,3,D,22553.0,22328.0
13,Pars.Oil,20010506,22105.0,22105.0,22105.0,57627735,2607,3,D,22328.0,22105.0
14,Pars.Oil,20010507,21885.0,21884.0,21884.0,214245360,9790,35,D,22105.0,21884.0
15,Pars.Oil,20010508,22102.0,22102.0,22102.0,27959030,1265,6,D,21884.0,22102.0
16,Pars.Oil,20010509,22323.0,22323.0,22323.0,83354082,3734,6,D,22102.0,22323.0
17,Pars.Oil,20010513,22546.0,22546.0,22546.0,23831122,1057,3,D,22323.0,22546.0
18,Pars.Oil,20010515,22771.0,22771.0,22771.0,25048100,1100,4,D,22546.0,22771.0
19,Pars.Oil,20010516,22998.0,22780.0,22998.0,119866774,5213,8,D,22771.0,22998.0
20,Pars.Oil,20010521,23227.0,23227.0,23227.0,34817273,1499,6,D,22998.0,23227.0
21,Pars.Oil,20010523,23459.0,23459.0,23459.0,28127341,1199,9,D,23227.0,23459.0
22,Pars.Oil,20010527,23693.0,23693.0,23693.0,43263418,1826,10,D,23459.0,23693.0
23,Pars.Oil,20010529,23929.0,23693.0,23700.0,758614635,31720,44,D,23693.0,23700.0
24,Pars.Oil,20010530,23690.0,23463.0,23463.0,575109086,24309,19,D,23700.0,23463.0
25,Pars.Oil,20010602,23459.0,23229.0,23229.0,33913195,1455,9,D,23463.0,23229.0
26,Pars.Oil,20010603,23227.0,22997.0,22997.0,204009785,8805,11,D,23229.0,22997.0
27,Pars.Oil,20010606,22997.0,22988.0,22988.0,12185240,530,3,D,22997.0,22988.0
28,Pars.Oil,20010609,22978.0,22759.0,22759.0,57350784,2508,12,D,22988.0,22759.0
29,Pars.Oil,20010611,22755.0,22532.0,22532.0,32223355,1421,2,D,22759.0,22532.0
30,Pars.Oil,20010612,22307.0,22307.0,22307.0,244596255,10965,11,D,22532.0,22307.0
31,Pars.Oil,20010620,22085.0,22084.0,22084.0,293408104,13286,33,D,22307.0,22084.0
32,Pars.Oil,20010623,22090.0,22090.0,22090.0,41021130,1857,1,D,22084.0,22090.0
33,Pars.Oil,20010624,22120.0,22103.0,22117.0,41731158,1887,6,D,22090.0,22117.0
34,Pars.Oil,20010625,22300.0,22244.0,22250.0,152462200,6850,13,D,22117.0,22250.0
35,Pars.Oil,20010626,22134.0,22100.0,22110.0,146776578,6639,17,D,22250.0,22110.0
36,Pars.Oil,20010627,22112.0,22112.0,22112.0,8778464,397,1,D,22110.0,22112.0
37,Pars.Oil,20010630,22116.0,21989.0,22000.0,95333159,4328,11,D,22112.0,22000.0
38,Pars.Oil,20010701,22000.0,21988.0,22000.0,194768829,8856,19,D,22000.0,22000.0
39,Pars.Oil,20010702,22050.0,21998.0,22001.0,172382795,7834,17,D,22000.0,22001.0
40,Pars.Oil,20010729,20070.0,20000.0,20070.0,76051862,3795,5,D,22001.0,20070.0
41,Pars.Oil,20010731,21073.0,21073.0,21073.0,21073000,1000,4,D,20070.0,21073.0
42,Pars.Oil,20010801,22126.0,21785.0,22126.0,10979313689,499183,52,D,21073.0,22126.0
43,Pars.Oil,20010804,22679.0,22679.0,22679.0,53862625,2375,9,D,22126.0,22679.0
44,Pars.Oil,20010805,23245.0,22679.0,22706.0,622761776,27270,19,D,22679.0,22706.0
45,Pars.Oil,20010807,22792.0,22771.0,22771.0,53517450,2350,11,D,22706.0,22771.0
