,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Tehran.Const.,20050105,4152.0,4000.0,4042.0,7720405042,1910000,2479,D,4152.0,4042.0
1,S*Tehran.Const.,20050108,4244.0,4244.0,4244.0,19148928000,4512000,2787,D,4042.0,4244.0
2,S*Tehran.Const.,20050109,4456.0,4456.0,4456.0,31420641816,7051311,2122,D,4244.0,4456.0
3,S*Tehran.Const.,20050110,4678.0,4678.0,4678.0,5613600000,1200000,1155,D,4456.0,4678.0
4,S*Tehran.Const.,20050111,4911.0,4911.0,4911.0,22189518630,4518330,2249,D,4678.0,4911.0
5,S*Tehran.Const.,20050112,5156.0,5156.0,5156.0,24014472168,4657578,1536,D,4911.0,5156.0
6,S*Tehran.Const.,20050115,5413.0,5300.0,5412.0,22392977302,4137194,2604,D,5156.0,5412.0
7,S*Tehran.Const.,20050116,5630.0,5311.0,5491.0,10793168064,1965472,1522,D,5412.0,5491.0
8,S*Tehran.Const.,20050117,5600.0,5217.0,5382.0,24257218201,4491585,1633,D,5491.0,5382.0
9,S*Tehran.Const.,20050118,5382.0,5200.0,5274.0,3503935284,664284,374,D,5382.0,5274.0
10,S*Tehran.Const.,20050119,5250.0,5100.0,5155.0,3098129709,600968,344,D,5274.0,5155.0
11,S*Tehran.Const.,20050122,5380.0,5200.0,5272.0,2843049818,539204,256,D,5155.0,5272.0
12,S*Tehran.Const.,20050123,5450.0,5272.0,5409.0,2325091728,429786,229,D,5272.0,5409.0
13,S*Tehran.Const.,20050124,5450.0,5362.0,5400.0,2118069180,392168,204,D,5409.0,5400.0
14,S*Tehran.Const.,20050125,5401.0,5152.0,5276.0,21441560558,4064008,144,D,5400.0,5276.0
15,S*Tehran.Const.,20050126,5200.0,5100.0,5169.0,1506001525,291311,151,D,5276.0,5169.0
16,S*Tehran.Const.,20050130,5158.0,4998.0,5079.0,762168897,150183,77,D,5169.0,5079.0
17,S*Tehran.Const.,20050131,5332.0,4870.0,5113.0,1939799283,379330,117,D,5079.0,5113.0
18,S*Tehran.Const.,20050201,5147.0,5000.0,5077.0,405948843,80505,58,D,5113.0,5077.0
19,S*Tehran.Const.,20050202,5069.0,5000.0,5011.0,852617200,170126,73,D,5077.0,5011.0
20,S*Tehran.Const.,20050205,5031.0,4900.0,4977.0,889799087,178770,105,D,5011.0,4977.0
21,S*Tehran.Const.,20050206,4953.0,4899.0,4912.0,1595476664,324809,113,D,4977.0,4912.0
22,S*Tehran.Const.,20050207,4861.0,4667.0,4706.0,754146501,160234,69,D,4912.0,4706.0
23,S*Tehran.Const.,20050208,4920.0,4608.0,4721.0,735108968,155657,79,D,4706.0,4721.0
24,S*Tehran.Const.,20050209,4957.0,4700.0,4891.0,637368484,129227,47,D,4721.0,4891.0
25,S*Tehran.Const.,20050212,5000.0,4934.0,4981.0,758874467,152193,60,D,4891.0,4981.0
26,S*Tehran.Const.,20050213,4979.0,4800.0,4961.0,170786864,34916,29,D,4981.0,4961.0
27,S*Tehran.Const.,20050214,4897.0,4713.0,4878.0,491968470,101796,49,D,4961.0,4878.0
28,S*Tehran.Const.,20050215,4720.0,4635.0,4692.0,583308741,125639,35,D,4878.0,4692.0
29,S*Tehran.Const.,20050216,4615.0,4458.0,4615.0,232829536,52227,14,D,4692.0,4615.0
30,S*Tehran.Const.,20050221,4461.0,4385.0,4461.0,510118711,115843,71,D,4615.0,4461.0
31,S*Tehran.Const.,20050222,4684.0,4238.0,4499.0,1207478230,268373,103,D,4461.0,4499.0
32,S*Tehran.Const.,20050223,4600.0,4400.0,4549.0,705209901,154932,49,D,4499.0,4549.0
33,S*Tehran.Const.,20050226,4776.0,4599.0,4647.0,505486472,107637,46,D,4549.0,4647.0
34,S*Tehran.Const.,20050227,4879.0,4741.0,4741.0,364813823,75226,42,D,4647.0,4741.0
35,S*Tehran.Const.,20050228,4978.0,4793.0,4793.0,176916270,35540,14,D,4741.0,4793.0
36,S*Tehran.Const.,20050301,5032.0,4750.0,4951.0,1501430855,303236,122,D,4793.0,4951.0
37,S*Tehran.Const.,20050302,4913.0,4705.0,4913.0,161115998,33746,27,D,4951.0,4913.0
38,S*Tehran.Const.,20050305,4950.0,4839.0,4914.0,327724758,66638,43,D,4913.0,4914.0
39,S*Tehran.Const.,20050306,4914.0,4751.0,4833.0,454562633,95109,46,D,4914.0,4833.0
40,S*Tehran.Const.,20050307,4794.0,4623.0,4794.0,165059497,35440,21,D,4833.0,4794.0
41,S*Tehran.Const.,20050308,4813.0,4600.0,4776.0,375170689,78847,42,D,4794.0,4776.0
42,S*Tehran.Const.,20050309,4850.0,4751.0,4772.0,305619436,64110,37,D,4776.0,4772.0
43,S*Tehran.Const.,20050312,4850.0,4788.0,4788.0,182104643,37602,25,D,4772.0,4788.0
44,S*Tehran.Const.,20050313,4900.0,4701.0,4796.0,948462965,197745,77,D,4788.0,4796.0
45,S*Tehran.Const.,20050314,5035.0,4559.0,4985.0,19644285637,4281587,121,D,4796.0,4985.0
46,S*Tehran.Const.,20050315,5234.0,5099.0,5191.0,3596519127,693867,75,D,4985.0,5191.0
47,S*Tehran.Const.,20050316,5440.0,5210.0,5347.0,4014491231,757955,116,D,5191.0,5347.0
48,S*Tehran.Const.,20050326,5420.0,5348.0,5348.0,24111880,4460,6,D,5347.0,5348.0
49,S*Tehran.Const.,20050327,5400.0,5350.0,5350.0,42309889,7843,13,D,5348.0,5350.0
50,S*Tehran.Const.,20050328,5370.0,5350.0,5350.0,120297170,22482,21,D,5350.0,5350.0
51,S*Tehran.Const.,20050329,5351.0,5350.0,5350.0,186503400,34857,18,D,5350.0,5350.0
52,S*Tehran.Const.,20050330,5399.0,5350.0,5352.0,1135985137,212249,57,D,5350.0,5352.0
53,S*Tehran.Const.,20050403,5353.0,5352.0,5352.0,638122404,119225,42,D,5352.0,5352.0
54,S*Tehran.Const.,20050404,5353.0,5349.0,5351.0,469929586,87811,33,D,5352.0,5351.0
55,S*Tehran.Const.,20050405,5352.0,5120.0,5346.0,1138251930,212896,69,D,5351.0,5346.0
56,S*Tehran.Const.,20050406,5347.0,5345.0,5345.0,826787000,154660,36,D,5346.0,5345.0
57,S*Tehran.Const.,20050410,5345.0,5280.0,5332.0,1910386939,358260,109,D,5345.0,5332.0
58,S*Tehran.Const.,20050411,5598.0,5299.0,5474.0,3131635151,571991,192,D,5332.0,5474.0
59,S*Tehran.Const.,20050412,5747.0,5580.0,5580.0,359042155,62475,27,D,5474.0,5580.0
60,S*Tehran.Const.,20050413,5859.0,5822.0,5822.0,813439754,138836,54,D,5580.0,5822.0
61,S*Tehran.Const.,20050416,6113.0,5822.0,6070.0,3406134809,561139,196,D,5822.0,6070.0
62,S*Tehran.Const.,20050417,6058.0,5900.0,5920.0,2988254665,504705,148,D,6070.0,5920.0
63,S*Tehran.Const.,20050418,6000.0,5800.0,5827.0,2340755807,401696,126,D,5920.0,5827.0
64,S*Tehran.Const.,20050419,5900.0,5828.0,5844.0,815187883,139410,83,D,5827.0,5844.0
65,S*Tehran.Const.,20050420,6100.0,5845.0,5962.0,1339789338,224684,93,D,5844.0,5962.0
66,S*Tehran.Const.,20050423,6260.0,6000.0,6106.0,892178185,145736,87,D,5962.0,6106.0
67,S*Tehran.Const.,20050424,6099.0,6000.0,6070.0,1173288525,193277,68,D,6106.0,6070.0
68,S*Tehran.Const.,20050425,6290.0,6000.0,6139.0,1171182370,190759,104,D,6070.0,6139.0
69,S*Tehran.Const.,20050427,6445.0,6302.0,6407.0,1352778517,211116,79,D,6139.0,6407.0
70,S*Tehran.Const.,20050430,6445.0,6203.0,6393.0,347511080,54568,37,D,6407.0,6393.0
71,S*Tehran.Const.,20050501,6280.0,6147.0,6265.0,625276396,100985,52,D,6393.0,6265.0
72,S*Tehran.Const.,20050502,6250.0,6010.0,6215.0,249602501,41092,42,D,6265.0,6215.0
73,S*Tehran.Const.,20050503,6180.0,6001.0,6088.0,697424944,115461,43,D,6215.0,6088.0
74,S*Tehran.Const.,20050504,6392.0,6099.0,6310.0,1006651649,159571,71,D,6088.0,6310.0
75,S*Tehran.Const.,20050507,6310.0,6200.0,6304.0,127701524,20378,18,D,6310.0,6304.0
76,S*Tehran.Const.,20050508,6277.0,6100.0,6272.0,203139736,33029,22,D,6304.0,6272.0
