,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Abadan.Petro-R,20191203,497.0,483.0,487.0,12083732745,24794343,3327,D,1564.0,497.0
1,Abadan.Petro-R,20191204,501.0,501.0,501.0,2563329927,5116427,407,D,487.0,501.0
2,Abadan.Petro-R,20191207,516.0,516.0,516.0,8976478932,17396277,880,D,501.0,516.0
3,Abadan.Petro-R,20191208,531.0,531.0,531.0,17317523709,32613039,1688,D,516.0,531.0
4,Abadan.Petro-R,20191209,557.0,557.0,557.0,497025582,892326,91,D,531.0,557.0
5,Abadan.Petro-R,20191210,573.0,573.0,573.0,515701719,900003,92,D,557.0,573.0
6,Abadan.Petro-R,20191211,590.0,590.0,590.0,1445102340,2449326,159,D,573.0,590.0
7,Abadan.Petro-R,20191214,607.0,607.0,607.0,634838841,1045863,104,D,590.0,607.0
8,Abadan.Petro-R,20191215,637.0,637.0,637.0,212693026,333898,67,D,607.0,637.0
9,Abadan.Petro-R,20191216,656.0,656.0,656.0,501766528,764888,70,D,637.0,656.0
10,Abadan.Petro-R,20191217,675.0,675.0,675.0,688566150,1020098,80,D,656.0,675.0
11,Abadan.Petro-R,20191218,695.0,695.0,695.0,2013796555,2897549,214,D,675.0,695.0
12,Abadan.Petro-R,20191221,729.0,729.0,729.0,1015656651,1393219,119,D,695.0,729.0
13,Abadan.Petro-R,20191222,750.0,750.0,750.0,187068750,249425,45,D,729.0,750.0
14,Abadan.Petro-R,20191225,795.0,772.0,792.0,133961339,169204,28,D,750.0,795.0
15,Abadan.Petro-R,20191228,815.0,815.0,815.0,416903470,511538,87,D,792.0,815.0
16,Abadan.Petro-R,20191229,839.0,839.0,839.0,479084941,571019,67,D,815.0,839.0
17,Abadan.Petro-R,20191230,864.0,864.0,864.0,554833152,642168,77,D,839.0,864.0
18,Abadan.Petro-R,20191231,907.0,907.0,907.0,643511058,709494,81,D,864.0,907.0
19,Abadan.Petro-R,20200101,934.0,934.0,934.0,733297410,785115,59,D,907.0,934.0
20,Abadan.Petro-R,20200104,962.0,962.0,962.0,20672224638,21488799,1002,D,934.0,962.0
21,Abadan.Petro-R,20200105,990.0,990.0,990.0,542819970,548303,61,D,962.0,990.0
22,Abadan.Petro-R,20200107,1039.0,1019.0,1039.0,81807112840,78771525,3781,D,990.0,1039.0
23,Abadan.Petro-R,20200108,1059.0,1059.0,1059.0,24864182634,23478926,912,D,1039.0,1059.0
24,Abadan.Petro-R,20200111,1080.0,1080.0,1080.0,1538016120,1424089,68,D,1059.0,1080.0
25,Abadan.Petro-R,20200112,1112.0,1112.0,1112.0,535580344,481637,43,D,1080.0,1112.0
26,Abadan.Petro-R,20200113,1167.0,1167.0,1167.0,1640321196,1405588,157,D,1112.0,1167.0
27,Abadan.Petro-R,20200114,1202.0,1202.0,1202.0,1205268238,1002719,66,D,1167.0,1202.0
28,Abadan.Petro-R,20200115,1238.0,1238.0,1238.0,347267666,280507,47,D,1202.0,1238.0
29,Abadan.Petro-R,20200118,1275.0,1275.0,1275.0,1526292300,1197092,92,D,1238.0,1275.0
30,Abadan.Petro-R,20200119,1338.0,1338.0,1338.0,951136032,710864,58,D,1275.0,1338.0
31,Abadan.Petro-R,20200120,1378.0,1378.0,1378.0,1049279478,761451,72,D,1338.0,1378.0
32,Abadan.Petro-R,20200121,1419.0,1419.0,1419.0,1422714942,1002618,113,D,1378.0,1419.0
33,Abadan.Petro-R,20200122,1461.0,1461.0,1461.0,20415337557,13973537,685,D,1419.0,1461.0
34,Abadan.Petro-R,20200125,1534.0,1534.0,1534.0,8809053292,5742538,385,D,1461.0,1534.0
35,Abadan.Petro-R,20200126,1580.0,1550.0,1580.0,185544405994,117443910,6596,D,1534.0,1580.0
36,Abadan.Petro-R,20200128,1675.0,1627.0,1667.0,92988897330,55787053,3073,D,1580.0,1675.0
37,Abadan.Petro-R,20200622,9400.0,9400.0,9400.0,4321753400,459761,92,D,1667.0,9400.0
38,Abadan.Petro-R,20200623,9964.0,9964.0,9964.0,13354370568,1340262,432,D,9400.0,9964.0
39,Abadan.Petro-R,20200624,10561.0,9964.0,10146.0,5156541052,508249,138,D,9964.0,9964.0
40,Abadan.Petro-R,20200627,10754.0,10300.0,10480.0,10479583422,1000000,128,D,10146.0,10300.0
41,Abadan.Petro-R,20200628,11108.0,10000.0,10039.0,30298864998,3018217,106,D,10480.0,10000.0
42,Abadan.Petro-R,20200629,10640.0,9950.0,9969.0,4990762905,500652,66,D,10039.0,9950.0
43,Abadan.Petro-R,20200712,10000.0,10000.0,10000.0,805640000,80564,49,D,9969.0,10000.0
44,Abadan.Petro-R,20200713,10600.0,9800.0,9846.0,1415777800,143786,60,D,10000.0,9800.0
45,Abadan.Petro-R,20200714,10200.0,9256.0,9430.0,2496125514,264696,105,D,9846.0,9256.0
46,Abadan.Petro-R,20200715,9620.0,9200.0,9473.0,825338500,87122,37,D,9430.0,9200.0
47,Abadan.Petro-R,20200718,9650.0,8905.0,8995.0,4881651020,542693,179,D,9473.0,8905.0
48,Abadan.Petro-R,20200719,9534.0,8456.0,8532.0,51192652033,6000000,534,D,8995.0,8456.0
49,Abadan.Petro-R,20200720,8700.0,8432.0,8574.0,68941475642,8040529,517,D,8532.0,8432.0
