,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Paksho,20140319,10500.0,10500.0,10500.0,734763120000,69977440,17082,D,1000.0,10500.0
1,Paksho,20140325,10920.0,10920.0,10606.0,1543443720,141341,105,D,10500.0,10920.0
2,Paksho,20140326,11030.0,11030.0,10659.0,774107460,70182,111,D,10606.0,11030.0
3,Paksho,20140329,11085.0,11085.0,10850.0,2779807620,250772,193,D,10659.0,11085.0
4,Paksho,20140330,11284.0,11284.0,10915.0,949142376,84114,115,D,10850.0,11284.0
5,Paksho,20140331,11351.0,11351.0,10999.0,1221708130,107630,135,D,10915.0,11351.0
6,Paksho,20140405,11438.0,11438.0,11105.0,1544118562,134999,149,D,10999.0,11438.0
7,Paksho,20140406,11549.0,11549.0,11259.0,2241256685,194065,217,D,11105.0,11549.0
8,Paksho,20140407,11709.0,11709.0,11432.0,2522001510,215390,436,D,11259.0,11709.0
9,Paksho,20140408,11889.0,11889.0,11520.0,1281883869,107821,156,D,11432.0,11889.0
10,Paksho,20140409,11980.0,11980.0,11602.0,1200815300,100235,125,D,11520.0,11980.0
11,Paksho,20140412,12066.0,12066.0,11806.0,2972314308,246338,324,D,11602.0,12066.0
12,Paksho,20140413,12278.0,11806.0,12253.0,377479890483,30806989,19784,D,11806.0,12278.0
13,Paksho,20140414,12690.0,12001.0,12301.0,166073708745,13501211,9761,D,12253.0,12400.0
14,Paksho,20140415,12793.0,12450.0,12753.0,161637194077,12674536,5111,D,12301.0,12793.0
15,Paksho,20140416,13263.0,12897.0,13160.0,132763121276,10088271,4890,D,12753.0,13050.0
16,Paksho,20140419,12968.0,12634.0,12678.0,26830471604,2116318,623,D,13160.0,12634.0
17,Paksho,20140420,13100.0,12500.0,12716.0,85751155803,6743674,3548,D,12678.0,12600.0
18,Paksho,20140421,12990.0,12370.0,12659.0,94250425083,7445206,3774,D,12716.0,12750.0
19,Paksho,20140422,12990.0,12311.0,12473.0,56837201045,4556637,2339,D,12659.0,12399.0
20,Paksho,20140423,12550.0,12229.0,12420.0,30284168954,2438322,1694,D,12473.0,12490.0
21,Paksho,20140426,12916.0,12533.0,12851.0,42596962548,3314636,1437,D,12420.0,12916.0
22,Paksho,20140427,13099.0,12370.0,12652.0,52283222476,4132487,2120,D,12851.0,12500.0
23,Paksho,20140428,12610.0,12252.0,12365.0,28547602798,2308793,1330,D,12652.0,12320.0
24,Paksho,20140429,12650.0,12161.0,12378.0,30083356018,2430374,1278,D,12365.0,12248.0
25,Paksho,20140430,12520.0,12202.0,12331.0,11174541122,906214,712,D,12378.0,12260.0
26,Paksho,20140503,12530.0,12201.0,12319.0,19965808632,1620703,829,D,12331.0,12216.0
27,Paksho,20140504,12219.0,12100.0,12142.0,15013623646,1236526,789,D,12319.0,12200.0
28,Paksho,20140505,12400.0,12200.0,12238.0,12881524993,1052600,857,D,12142.0,12250.0
29,Paksho,20140506,12727.0,12300.0,12600.0,81262198853,6449382,2388,D,12238.0,12698.0
30,Paksho,20140519,13000.0,12600.0,12725.0,41569087952,3266793,1296,D,12600.0,12703.0
31,Paksho,20140520,12710.0,12420.0,12558.0,37025094169,2948335,856,D,12725.0,12518.0
32,Paksho,20140521,12500.0,12250.0,12382.0,17591554227,1420719,725,D,12558.0,12290.0
33,Paksho,20140524,12499.0,12140.0,12245.0,10077246962,822999,575,D,12382.0,12194.0
34,Paksho,20140525,12150.0,11790.0,11901.0,17195080254,1444845,926,D,12245.0,11966.0
35,Paksho,20140526,12107.0,11803.0,11928.0,13066077261,1095458,1089,D,11901.0,11813.0
36,Paksho,20140528,11980.0,11452.0,11623.0,15475940752,1331469,1007,D,11928.0,11551.0
37,Paksho,20140531,11759.0,11170.0,11280.0,17213408847,1525955,1009,D,11623.0,11200.0
38,Paksho,20140601,11349.0,11020.0,11138.0,12156038477,1091450,694,D,11280.0,11130.0
39,Paksho,20140602,11497.0,11150.0,11261.0,7226829027,641741,516,D,11138.0,11325.0
40,Paksho,20140603,11440.0,11200.0,11246.0,4408167619,392195,370,D,11261.0,11289.0
41,Paksho,20140607,11398.0,11002.0,11144.0,4764226347,428735,341,D,11246.0,11160.0
42,Paksho,20140608,11200.0,11000.0,11057.0,4444854676,403248,373,D,11144.0,11060.0
43,Paksho,20140609,11179.0,10901.0,11045.0,4498386499,407427,344,D,11057.0,10901.0
44,Paksho,20140610,11099.0,10900.0,11016.0,4768309253,433186,374,D,11045.0,11089.0
45,Paksho,20140611,11147.0,10883.0,10986.0,3315536280,302510,289,D,11016.0,10995.0
46,Paksho,20140614,10900.0,10547.0,10744.0,4121518077,387520,188,D,10986.0,10547.0
47,Paksho,20140615,10790.0,10700.0,10720.0,15222196517,1420010,1439,D,10744.0,10722.0
48,Paksho,20140616,10970.0,10817.0,10846.0,5858805605,539966,671,D,10720.0,10870.0
49,Paksho,20140617,10950.0,10854.0,10867.0,6257284481,575780,685,D,10846.0,10854.0
50,Paksho,20140618,10997.0,10867.0,10929.0,7610651327,696364,474,D,10867.0,10960.0
51,Paksho,20140621,11250.0,10900.0,11029.0,24134966438,2188358,2520,D,10929.0,11210.0
52,Paksho,20140628,9346.0,8973.0,9172.0,9860107167,1075080,398,D,9629.0,8973.0
53,Paksho,20140629,8806.0,8806.0,9077.0,1278032392,145132,75,D,9172.0,8806.0
54,Paksho,20140630,8806.0,8714.0,8716.0,9602709640,1101738,186,D,9077.0,8714.0
55,Paksho,20140701,8800.0,8368.0,8553.0,13555202029,1584897,664,D,8716.0,8720.0
56,Paksho,20140702,8889.0,8655.0,8704.0,3615275916,412798,232,D,8553.0,8815.0
57,Paksho,20140705,9052.0,8711.0,9008.0,5416881685,601365,310,D,8704.0,9052.0
58,Paksho,20140706,9280.0,8670.0,8850.0,5526862991,624510,363,D,9008.0,8700.0
59,Paksho,20140707,8950.0,8502.0,8799.0,2289895027,261971,186,D,8850.0,8600.0
60,Paksho,20140708,9150.0,8678.0,9103.0,7384116567,811195,357,D,8799.0,9150.0
61,Paksho,20140709,9198.0,8739.0,8882.0,5062216900,569940,309,D,9103.0,8739.0
62,Paksho,20140712,8900.0,8557.0,8831.0,1442402387,165596,138,D,8882.0,8670.0
63,Paksho,20140713,8720.0,8531.0,8648.0,3779264977,439568,235,D,8831.0,8628.0
64,Paksho,20140714,8750.0,8549.0,8656.0,1557425336,179559,163,D,8648.0,8740.0
65,Paksho,20140715,8790.0,8520.0,8646.0,1673575531,194017,155,D,8656.0,8600.0
66,Paksho,20140716,8650.0,8501.0,8608.0,3600197772,418833,233,D,8646.0,8575.0
67,Paksho,20140720,8689.0,8540.0,8608.0,1923041658,223380,183,D,8608.0,8650.0
68,Paksho,20140721,8952.0,8600.0,8776.0,3641985380,412138,285,D,8608.0,8952.0
69,Paksho,20140722,9127.0,9050.0,9122.0,11248842319,1233195,277,D,8776.0,9127.0
70,Paksho,20140723,8949.0,8758.0,8844.0,11728984042,1326193,554,D,9122.0,8790.0
71,Paksho,20140726,8771.0,8526.0,8752.0,2031623905,235549,183,D,8844.0,8700.0
72,Paksho,20140727,8946.0,8621.0,8784.0,2724203855,309201,305,D,8752.0,8880.0
73,Paksho,20140728,9040.0,8900.0,8885.0,2705348817,301561,232,D,8784.0,8979.0
74,Paksho,20140802,8999.0,8680.0,8850.0,1970517463,223984,193,D,8885.0,8800.0
75,Paksho,20140803,8895.0,8601.0,8811.0,4220261216,479361,389,D,8850.0,8830.0
