,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Pars.Electric,20010326,2296.0,2295.0,2296.0,65744881,28647,6,D,0.0,2296.0
1,Pars.Electric,20010328,2300.0,2250.0,2300.0,53919062,23658,21,D,2296.0,2300.0
2,Pars.Electric,20010331,2300.0,2300.0,2300.0,575000,250,1,D,2300.0,2300.0
3,Pars.Electric,20010403,2289.0,2289.0,2289.0,1487850,650,1,D,2300.0,2289.0
4,Pars.Electric,20010407,2287.0,2287.0,2287.0,1982829,867,1,D,2289.0,2287.0
5,Pars.Electric,20010408,2287.0,2286.0,2287.0,2181378,954,4,D,2287.0,2287.0
6,Pars.Electric,20010409,2279.0,2200.0,2200.0,6968135,3165,3,D,2287.0,2200.0
7,Pars.Electric,20010411,2199.0,2195.0,2196.0,19260593,8766,16,D,2200.0,2196.0
8,Pars.Electric,20010414,2195.0,2188.0,2188.0,1643850,750,6,D,2196.0,2188.0
9,Pars.Electric,20010415,2186.0,2169.0,2169.0,7663758,3528,5,D,2188.0,2169.0
10,Pars.Electric,20010417,2200.0,2061.0,2200.0,420613563,193676,77,D,2169.0,2200.0
11,Pars.Electric,20010418,2197.0,2105.0,2105.0,12293618,5802,3,D,2200.0,2105.0
12,Pars.Electric,20010421,2105.0,2080.0,2090.0,29758444,14205,12,D,2105.0,2090.0
13,Pars.Electric,20010422,2089.0,2051.0,2089.0,77695647,37552,27,D,2090.0,2089.0
14,Pars.Electric,20010423,2080.0,2050.0,2080.0,94455881,45809,28,D,2089.0,2080.0
15,Pars.Electric,20010424,2070.0,2060.0,2070.0,14022500,6787,8,D,2080.0,2070.0
16,Pars.Electric,20010425,2070.0,2060.0,2060.0,72736830,35242,40,D,2070.0,2060.0
17,Pars.Electric,20010428,2100.0,2060.0,2081.0,66766349,32083,27,D,2060.0,2081.0
18,Pars.Electric,20010429,2124.0,2082.0,2124.0,49169193,23375,17,D,2081.0,2124.0
19,Pars.Electric,20010430,2156.0,2145.0,2150.0,90446487,42045,31,D,2124.0,2150.0
20,Pars.Electric,20010523,2149.0,2042.0,2065.0,26996173,12941,18,D,2150.0,2065.0
21,Pars.Electric,20010526,2013.0,1977.0,1977.0,19957719,9973,22,D,2065.0,1977.0
22,Pars.Electric,20010527,1949.0,1927.0,1927.0,27226006,14110,16,D,1977.0,1927.0
23,Pars.Electric,20010528,1922.0,1831.0,1831.0,26466463,14351,24,D,1927.0,1831.0
24,Pars.Electric,20010529,1827.0,1740.0,1756.0,71642225,40589,35,D,1831.0,1756.0
25,Pars.Electric,20010530,1790.0,1751.0,1751.0,64290261,36263,33,D,1756.0,1751.0
26,Pars.Electric,20010602,1740.0,1670.0,1680.0,35668718,21090,22,D,1751.0,1680.0
27,Pars.Electric,20010603,1680.0,1628.0,1628.0,34882106,21223,19,D,1680.0,1628.0
28,Pars.Electric,20010606,1680.0,1600.0,1680.0,141768733,86119,44,D,1628.0,1680.0
29,Pars.Electric,20010609,1700.0,1678.0,1700.0,81858054,48674,29,D,1680.0,1700.0
30,Pars.Electric,20010611,1750.0,1700.0,1704.0,49666738,29147,22,D,1700.0,1704.0
31,Pars.Electric,20010612,1748.0,1710.0,1720.0,71855108,41837,26,D,1704.0,1720.0
32,Pars.Electric,20010613,1760.0,1713.0,1760.0,81879364,47147,38,D,1720.0,1760.0
33,Pars.Electric,20010616,1848.0,1796.0,1848.0,31503160,17316,12,D,1760.0,1848.0
34,Pars.Electric,20010617,1940.0,1848.0,1900.0,333235708,174471,70,D,1848.0,1900.0
35,Pars.Electric,20010618,1900.0,1848.0,1900.0,199006056,105299,78,D,1900.0,1900.0
36,Pars.Electric,20010619,1900.0,1880.0,1900.0,347342084,183065,49,D,1900.0,1900.0
37,Pars.Electric,20010620,1900.0,1883.0,1900.0,170205982,89703,31,D,1900.0,1900.0
38,Pars.Electric,20010623,1860.0,1855.0,1855.0,7249920,3904,3,D,1900.0,1855.0
39,Pars.Electric,20010624,1800.0,1763.0,1795.0,180554771,101826,42,D,1855.0,1795.0
40,Pars.Electric,20010710,1300.0,1300.0,1300.0,7272200,5594,4,D,1795.0,1300.0
41,Pars.Electric,20010711,1365.0,1365.0,1365.0,2620800,1920,2,D,1300.0,1365.0
42,Pars.Electric,20010714,1433.0,1433.0,1433.0,1871498,1306,2,D,1365.0,1433.0
43,Pars.Electric,20010715,1504.0,1504.0,1504.0,34686752,23063,16,D,1433.0,1504.0
44,Pars.Electric,20010716,1579.0,1579.0,1579.0,131259112,83128,32,D,1504.0,1579.0
45,Pars.Electric,20010717,1657.0,1570.0,1579.0,367654504,223695,94,D,1579.0,1579.0
46,Pars.Electric,20010718,1575.0,1501.0,1550.0,50679560,32967,27,D,1579.0,1550.0
47,Pars.Electric,20010721,1560.0,1511.0,1560.0,105609678,68966,81,D,1550.0,1560.0
48,Pars.Electric,20010722,1550.0,1500.0,1500.0,66204374,43187,38,D,1560.0,1500.0
