,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Pumpiran,20010326,5017.0,5017.0,5017.0,5403309,1077,1,D,5017.0,5017.0
1,Pumpiran,20010328,5102.0,5102.0,5102.0,2551000,500,2,D,5017.0,5102.0
2,Pumpiran,20010408,5199.0,5112.0,5199.0,2837700,550,3,D,5102.0,5199.0
3,Pumpiran,20010410,5200.0,5200.0,5200.0,10940800,2104,6,D,5199.0,5200.0
4,Pumpiran,20010414,5205.0,5201.0,5205.0,5361030,1030,3,D,5200.0,5205.0
5,Pumpiran,20010421,5465.0,5465.0,5465.0,3453880,632,2,D,5205.0,5465.0
6,Pumpiran,20010422,5550.0,5550.0,5550.0,15118200,2724,3,D,5465.0,5550.0
7,Pumpiran,20010428,5827.0,5827.0,5827.0,15779516,2708,3,D,5550.0,5827.0
8,Pumpiran,20010429,5869.0,5869.0,5869.0,11849511,2019,7,D,5827.0,5869.0
9,Pumpiran,20010430,5870.0,5870.0,5870.0,1003770,171,1,D,5869.0,5870.0
10,Pumpiran,20010501,5880.0,5880.0,5880.0,7467600,1270,1,D,5870.0,5880.0
11,Pumpiran,20010502,5880.0,5880.0,5880.0,3716160,632,1,D,5880.0,5880.0
12,Pumpiran,20010505,5882.0,5882.0,5882.0,15128504,2572,3,D,5880.0,5882.0
13,Pumpiran,20010512,6060.0,6058.0,6059.0,10882319,1796,4,D,5882.0,6059.0
14,Pumpiran,20010513,6072.0,6072.0,6072.0,6922080,1140,1,D,6059.0,6072.0
15,Pumpiran,20010521,6205.0,6205.0,6205.0,31025000,5000,1,D,6072.0,6205.0
16,Pumpiran,20010523,6221.0,6221.0,6221.0,1306410,210,1,D,6205.0,6221.0
17,Pumpiran,20010526,6532.0,6532.0,6532.0,32660000,5000,1,D,6221.0,6532.0
18,Pumpiran,20010527,6578.0,6578.0,6578.0,6183320,940,2,D,6532.0,6578.0
19,Pumpiran,20010528,6594.0,6593.0,6593.0,16484500,2500,2,D,6578.0,6593.0
20,Pumpiran,20010529,6599.0,6593.0,6593.0,15024439,2278,6,D,6593.0,6593.0
21,Pumpiran,20010530,6593.0,6593.0,6593.0,1186740,180,3,D,6593.0,6593.0
22,Pumpiran,20010603,6900.0,6593.0,6900.0,5619428154,814558,22,D,6593.0,6900.0
23,Pumpiran,20010606,6900.0,6900.0,6900.0,586500,85,1,D,6900.0,6900.0
24,Pumpiran,20010611,6800.0,6700.0,6700.0,47348500,7050,6,D,6900.0,6700.0
25,Pumpiran,20010612,6600.0,6600.0,6600.0,6600000,1000,1,D,6700.0,6600.0
26,Pumpiran,20010613,6500.0,6498.0,6498.0,7955552,1224,2,D,6600.0,6498.0
27,Pumpiran,20010617,6497.0,6400.0,6400.0,18287716,2854,6,D,6498.0,6400.0
28,Pumpiran,20010618,6300.0,6300.0,6300.0,8190000,1300,2,D,6400.0,6300.0
29,Pumpiran,20010619,6301.0,6250.0,6250.0,61299800,9734,10,D,6300.0,6250.0
30,Pumpiran,20010620,6250.0,6250.0,6250.0,3175000,508,1,D,6250.0,6250.0
31,Pumpiran,20010623,6250.0,6250.0,6250.0,1250000,200,1,D,6250.0,6250.0
32,Pumpiran,20010624,6250.0,6248.0,6249.0,44041460,7047,8,D,6250.0,6249.0
33,Pumpiran,20010625,6251.0,6250.0,6250.0,12501000,2000,3,D,6249.0,6250.0
34,Pumpiran,20010626,6250.0,6249.0,6250.0,36248470,5800,4,D,6250.0,6250.0
35,Pumpiran,20010627,6250.0,6250.0,6250.0,49881250,7981,5,D,6250.0,6250.0
36,Pumpiran,20010630,6250.0,6250.0,6250.0,11387500,1822,4,D,6250.0,6250.0
37,Pumpiran,20010701,6250.0,6250.0,6250.0,1875000,300,1,D,6250.0,6250.0
38,Pumpiran,20010702,6251.0,6250.0,6251.0,31350216,5016,9,D,6250.0,6251.0
39,Pumpiran,20010703,6252.0,6252.0,6252.0,2450784,392,2,D,6251.0,6252.0
40,Pumpiran,20010704,6256.0,6251.0,6251.0,43254530,6918,9,D,6252.0,6251.0
41,Pumpiran,20010707,6250.0,6250.0,6250.0,8550000,1368,3,D,6251.0,6250.0
42,Pumpiran,20010729,5217.0,5200.0,5217.0,5458636,1048,3,D,6250.0,5217.0
43,Pumpiran,20010801,5477.0,5477.0,5477.0,15883300,2900,4,D,5217.0,5477.0
44,Pumpiran,20010814,5750.0,5750.0,5750.0,6819500,1186,2,D,5477.0,5750.0
45,Pumpiran,20010818,6037.0,6037.0,6037.0,10226678,1694,2,D,5750.0,6037.0
46,Pumpiran,20010819,6338.0,6338.0,6338.0,10837980,1710,3,D,6037.0,6338.0
47,Pumpiran,20010820,6654.0,6653.0,6653.0,102714641,15437,16,D,6338.0,6653.0
48,Pumpiran,20010821,6660.0,6653.0,6653.0,31946500,4800,7,D,6653.0,6653.0
49,Pumpiran,20010822,6653.0,6652.0,6653.0,13098288,1969,2,D,6653.0,6653.0
50,Pumpiran,20010825,6653.0,6653.0,6653.0,66530000,10000,4,D,6653.0,6653.0
51,Pumpiran,20010826,6653.0,6652.0,6653.0,15081601,2267,7,D,6653.0,6653.0
52,Pumpiran,20010828,6652.0,6600.0,6600.0,23860464,3599,6,D,6653.0,6600.0
53,Pumpiran,20010903,6499.0,6499.0,6499.0,7798800,1200,5,D,6600.0,6499.0
54,Pumpiran,20010904,6399.0,6300.0,6300.0,23039640,3620,5,D,6499.0,6300.0
55,Pumpiran,20010908,6300.0,6300.0,6300.0,1310400,208,1,D,6300.0,6300.0
56,Pumpiran,20010909,6300.0,6300.0,6300.0,19504800,3096,6,D,6300.0,6300.0
57,Pumpiran,20010910,6300.0,6300.0,6300.0,15655500,2485,3,D,6300.0,6300.0
58,Pumpiran,20010911,6300.0,6300.0,6300.0,6400800,1016,2,D,6300.0,6300.0
59,Pumpiran,20010915,6300.0,6300.0,6300.0,12801600,2032,3,D,6300.0,6300.0
60,Pumpiran,20010916,6300.0,6200.0,6200.0,10565600,1688,3,D,6300.0,6200.0
61,Pumpiran,20010917,6202.0,6200.0,6200.0,14237824,2296,2,D,6200.0,6200.0
62,Pumpiran,20010922,6202.0,6202.0,6202.0,6202000,1000,1,D,6200.0,6202.0
63,Pumpiran,20010923,6500.0,6203.0,6500.0,1311762688,201896,26,D,6202.0,6500.0
64,Pumpiran,20010924,6500.0,6499.0,6500.0,6798936,1046,4,D,6500.0,6500.0
65,Pumpiran,20010926,6500.0,6499.0,6499.0,28663590,4410,5,D,6500.0,6499.0
66,Pumpiran,20011002,6498.0,6496.0,6498.0,7795370,1200,3,D,6499.0,6498.0
67,Pumpiran,20011007,6500.0,6350.0,6500.0,143785650,22252,14,D,6498.0,6500.0
68,Pumpiran,20011008,6498.0,6498.0,6498.0,194940,30,1,D,6500.0,6498.0
69,Pumpiran,20011009,6400.0,6400.0,6400.0,17638400,2756,4,D,6498.0,6400.0
70,Pumpiran,20011010,6490.0,6400.0,6490.0,15540000,2400,3,D,6400.0,6490.0
71,Pumpiran,20011016,6484.0,6483.0,6484.0,27916720,4306,7,D,6490.0,6484.0
72,Pumpiran,20011021,6479.0,6478.0,6479.0,4470110,690,2,D,6484.0,6479.0
73,Pumpiran,20011023,6500.0,6477.0,6500.0,44610300,6874,5,D,6479.0,6500.0
74,Pumpiran,20011024,6503.0,6503.0,6503.0,6607048,1016,1,D,6500.0,6503.0
75,Pumpiran,20011027,6503.0,6503.0,6503.0,383677,59,1,D,6503.0,6503.0
76,Pumpiran,20011028,6533.0,6512.0,6533.0,22042424,3380,8,D,6503.0,6533.0
77,Pumpiran,20011029,6510.0,6505.0,6505.0,42179998,6482,8,D,6533.0,6505.0
78,Pumpiran,20011031,6505.0,6505.0,6505.0,338260,52,1,D,6505.0,6505.0
79,Pumpiran,20011104,6525.0,6524.0,6524.0,8090760,1240,2,D,6505.0,6524.0
80,Pumpiran,20011110,6850.0,6850.0,6850.0,6850000,1000,2,D,6524.0,6850.0
81,Pumpiran,20011111,6854.0,6850.0,6852.0,109957500,16050,11,D,6850.0,6852.0
82,Pumpiran,20011112,6870.0,6859.0,6870.0,198683370,28951,6,D,6852.0,6870.0
83,Pumpiran,20011114,6893.0,6893.0,6893.0,11531989,1673,2,D,6870.0,6893.0
84,Pumpiran,20011117,6933.0,6920.0,6933.0,9862625,1425,3,D,6893.0,6933.0
85,Pumpiran,20011119,7021.0,7011.0,7021.0,37972498,5414,15,D,6933.0,7021.0
86,Pumpiran,20011120,7037.0,7037.0,7037.0,2111100,300,1,D,7021.0,7037.0
87,Pumpiran,20011124,7067.0,7067.0,7067.0,6006950,850,1,D,7037.0,7067.0
88,Pumpiran,20011125,7112.0,7112.0,7112.0,31648400,4450,4,D,7067.0,7112.0
89,Pumpiran,20011127,7151.0,7142.0,7142.0,43398911,6072,15,D,7112.0,7142.0
90,Pumpiran,20011201,7150.0,7150.0,7150.0,3103100,434,1,D,7142.0,7150.0
91,Pumpiran,20011203,7155.0,7151.0,7154.0,18663995,2609,3,D,7150.0,7154.0
92,Pumpiran,20011204,7200.0,7155.0,7200.0,60320705,8411,8,D,7154.0,7200.0
93,Pumpiran,20011205,7300.0,7300.0,7300.0,7300000,1000,2,D,7200.0,7300.0
94,Pumpiran,20011208,7300.0,7300.0,7300.0,18980000,2600,5,D,7300.0,7300.0
95,Pumpiran,20011210,7300.0,7300.0,7300.0,7300000,1000,2,D,7300.0,7300.0
96,Pumpiran,20011211,7600.0,7499.0,7600.0,28101800,3738,3,D,7300.0,7600.0
97,Pumpiran,20011212,7600.0,7600.0,7600.0,167200000,22000,11,D,7600.0,7600.0
98,Pumpiran,20011215,7600.0,7600.0,7600.0,28644400,3769,5,D,7600.0,7600.0
99,Pumpiran,20011219,7599.0,7599.0,7599.0,1215840,160,2,D,7600.0,7599.0
100,Pumpiran,20011223,7602.0,7602.0,7602.0,304080,40,1,D,7599.0,7602.0
101,Pumpiran,20011224,7700.0,7700.0,7700.0,7700000,1000,1,D,7602.0,7700.0
102,Pumpiran,20011226,7702.0,7700.0,7700.0,21486400,2790,6,D,7700.0,7700.0
103,Pumpiran,20020101,7725.0,7720.0,7724.0,41022648,5312,3,D,7700.0,7724.0
104,Pumpiran,20020102,7750.0,7727.0,7750.0,295118160,38080,5,D,7724.0,7750.0
105,Pumpiran,20020106,7750.0,7712.0,7712.0,20217908,2618,5,D,7750.0,7712.0
106,Pumpiran,20020107,7715.0,7715.0,7715.0,617200,80,1,D,7712.0,7715.0
107,Pumpiran,20020108,7716.0,7716.0,7716.0,617280,80,1,D,7715.0,7716.0
108,Pumpiran,20020112,7717.0,7717.0,7717.0,5787750,750,2,D,7716.0,7717.0
109,Pumpiran,20020113,7724.0,7723.0,7723.0,13901423,1800,2,D,7717.0,7723.0
110,Pumpiran,20020114,7727.0,7727.0,7727.0,2627180,340,3,D,7723.0,7727.0
111,Pumpiran,20020115,7800.0,7800.0,7800.0,51948000,6660,4,D,7727.0,7800.0
112,Pumpiran,20020116,7802.0,7800.0,7800.0,24135388,3094,3,D,7800.0,7800.0
113,Pumpiran,20020119,7799.0,7799.0,7799.0,3961892,508,1,D,7800.0,7799.0
114,Pumpiran,20020120,7800.0,7800.0,7800.0,3900000,500,2,D,7799.0,7800.0
115,Pumpiran,20020122,7800.0,7800.0,7800.0,39803400,5103,5,D,7800.0,7800.0
116,Pumpiran,20020123,7801.0,7800.0,7800.0,28345917,3634,6,D,7800.0,7800.0
117,Pumpiran,20020126,7800.0,7800.0,7800.0,7800000,1000,1,D,7800.0,7800.0
118,Pumpiran,20020129,7802.0,7801.0,7801.0,10305692,1321,4,D,7800.0,7801.0
119,Pumpiran,20020130,7800.0,7800.0,7800.0,3900000,500,2,D,7801.0,7800.0
120,Pumpiran,20020202,7801.0,7800.0,7800.0,13946590,1788,5,D,7800.0,7800.0
121,Pumpiran,20020203,7779.0,7779.0,7779.0,10112700,1300,3,D,7800.0,7779.0
122,Pumpiran,20020204,7800.0,7779.0,7799.0,2597047,333,3,D,7779.0,7799.0
123,Pumpiran,20020206,7792.0,7792.0,7792.0,17072272,2191,2,D,7799.0,7792.0
124,Pumpiran,20020212,7779.0,7779.0,7779.0,995712,128,1,D,7792.0,7779.0
125,Pumpiran,20020213,7774.0,7774.0,7774.0,2542098,327,1,D,7779.0,7774.0
126,Pumpiran,20020216,7768.0,7768.0,7768.0,16584680,2135,1,D,7774.0,7768.0
127,Pumpiran,20020219,7761.0,7760.0,7760.0,7574399,976,3,D,7768.0,7760.0
128,Pumpiran,20020227,7725.0,7725.0,7725.0,146620500,18980,2,D,7760.0,7725.0
129,Pumpiran,20020305,7698.0,7698.0,7698.0,65633148,8526,111,D,7725.0,7698.0
130,Pumpiran,20020306,7679.0,7678.0,7678.0,26492100,3450,2,D,7698.0,7678.0
131,Pumpiran,20020309,7607.0,7607.0,7607.0,67839226,8918,110,D,7678.0,7607.0
132,Pumpiran,20020310,7600.0,7595.0,7599.0,66046451,8692,90,D,7607.0,7599.0
133,Pumpiran,20020311,7587.0,7569.0,7569.0,21643461,2855,30,D,7599.0,7569.0
134,Pumpiran,20020312,7500.0,7500.0,7500.0,32685000,4358,6,D,7569.0,7500.0
135,Pumpiran,20020317,7491.0,7491.0,7491.0,7610856,1016,1,D,7500.0,7491.0
136,Pumpiran,20020327,7484.0,7300.0,7300.0,82399248,11256,6,D,7491.0,7300.0
137,Pumpiran,20020331,7000.0,7000.0,7000.0,19166000,2738,2,D,7300.0,7000.0
138,Pumpiran,20020403,7001.0,7000.0,7000.0,41482719,5926,8,D,7000.0,7000.0
139,Pumpiran,20020406,7000.0,7000.0,7000.0,560000,80,1,D,7000.0,7000.0
140,Pumpiran,20020407,7001.0,7000.0,7001.0,7266496,1038,2,D,7000.0,7001.0
141,Pumpiran,20020408,7100.0,7011.0,7100.0,14512174,2066,4,D,7001.0,7100.0
142,Pumpiran,20020410,7270.0,7268.0,7268.0,26895730,3700,4,D,7100.0,7268.0
143,Pumpiran,20020414,7291.0,7291.0,7291.0,5468250,750,1,D,7268.0,7291.0
144,Pumpiran,20020421,7350.0,7320.0,7350.0,38813790,5286,6,D,7291.0,7350.0
145,Pumpiran,20020422,7432.0,7322.0,7432.0,26361974,3592,7,D,7350.0,7432.0
146,Pumpiran,20020423,7442.0,7433.0,7442.0,14999907,2016,4,D,7432.0,7442.0
147,Pumpiran,20020424,7440.0,7435.0,7437.0,108949331,14650,15,D,7442.0,7437.0
148,Pumpiran,20020427,7480.0,7437.0,7480.0,20901100,2800,8,D,7437.0,7480.0
