,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Khark.Petr.,20010407,9235.0,9000.0,9229.0,4712203051,513125,612,D,9230.0,9229.0
1,Khark.Petr.,20010408,9235.0,9149.0,9227.0,9433173281,1023126,527,D,9229.0,9227.0
2,Khark.Petr.,20010409,9200.0,8997.0,8997.0,1805532641,199649,178,D,9227.0,8997.0
3,Khark.Petr.,20010410,8773.0,8773.0,8773.0,381800960,43520,40,D,8997.0,8773.0
4,Khark.Petr.,20010411,8992.0,8572.0,8695.0,4861572340,552861,436,D,8773.0,8695.0
5,Khark.Petr.,20010414,8695.0,8478.0,8689.0,2089770688,243781,262,D,8695.0,8689.0
6,Khark.Petr.,20010415,8700.0,8616.0,8700.0,1599795430,185058,232,D,8689.0,8700.0
7,Khark.Petr.,20010416,8917.0,8728.0,8917.0,2174808491,244189,231,D,8700.0,8917.0
8,Khark.Petr.,20010417,9139.0,9081.0,9139.0,2777821528,304362,307,D,8917.0,9139.0
9,Khark.Petr.,20010418,9230.0,9139.0,9230.0,18508825019,2005518,304,D,9139.0,9230.0
10,Khark.Petr.,20010421,9230.0,9138.0,9138.0,921422951,100535,147,D,9230.0,9138.0
11,Khark.Petr.,20010422,9050.0,9047.0,9047.0,665228505,73527,96,D,9138.0,9047.0
12,Khark.Petr.,20010423,8957.0,8957.0,8957.0,321368203,35879,34,D,9047.0,8957.0
13,Khark.Petr.,20010424,9138.0,8830.0,9000.0,3026727567,336005,345,D,8957.0,9000.0
14,Khark.Petr.,20010425,9220.0,9025.0,9101.0,727985133,79579,120,D,9000.0,9101.0
15,Khark.Petr.,20010428,9230.0,9106.0,9160.0,76221185289,8329273,268,D,9101.0,9160.0
16,Khark.Petr.,20010429,9200.0,9100.0,9121.0,6713053205,734866,359,D,9160.0,9121.0
17,Khark.Petr.,20010430,9121.0,9030.0,9070.0,2025063631,223044,221,D,9121.0,9070.0
18,Khark.Petr.,20010501,9070.0,8901.0,9000.0,1474629487,163739,187,D,9070.0,9000.0
19,Khark.Petr.,20010502,9140.0,9000.0,9100.0,1215386946,134013,201,D,9000.0,9100.0
20,Khark.Petr.,20010505,9499.0,9100.0,9400.0,1094719720,117647,172,D,9100.0,9400.0
21,Khark.Petr.,20010506,9860.0,9415.0,9600.0,3520984862,366156,344,D,9400.0,9600.0
22,Khark.Petr.,20010507,9850.0,9600.0,9815.0,1046386737,106899,163,D,9600.0,9815.0
23,Khark.Petr.,20010508,9900.0,9700.0,9702.0,1537894418,156484,218,D,9815.0,9702.0
24,Khark.Petr.,20010509,9800.0,9695.0,9750.0,1444083150,147726,234,D,9702.0,9750.0
25,Khark.Petr.,20010512,9750.0,9599.0,9599.0,721997243,74580,101,D,9750.0,9599.0
26,Khark.Petr.,20010513,9666.0,9500.0,9650.0,1538074748,159836,175,D,9599.0,9650.0
27,Khark.Petr.,20010515,9700.0,9600.0,9650.0,1245786728,128638,164,D,9650.0,9650.0
28,Khark.Petr.,20010516,9650.0,9600.0,9620.0,1795227158,186513,173,D,9650.0,9620.0
29,Khark.Petr.,20010519,9601.0,9550.0,9550.0,1994302569,208489,180,D,9620.0,9550.0
30,Khark.Petr.,20010520,9580.0,9550.0,9573.0,902013586,94256,122,D,9550.0,9573.0
31,Khark.Petr.,20010521,9800.0,9570.0,9800.0,579115345,60093,88,D,9573.0,9800.0
32,Khark.Petr.,20010523,10000.0,9800.0,9922.0,1783193227,180039,219,D,9800.0,9922.0
33,Khark.Petr.,20010526,10100.0,9990.0,10050.0,1968544168,196483,180,D,9922.0,10050.0
34,Khark.Petr.,20010527,10090.0,9898.0,9900.0,1742559199,174974,164,D,10050.0,9900.0
35,Khark.Petr.,20010528,9869.0,9650.0,9710.0,2165244780,222103,239,D,9900.0,9710.0
36,Khark.Petr.,20010529,9730.0,9698.0,9713.0,1176386108,121203,197,D,9710.0,9713.0
37,Khark.Petr.,20010530,9761.0,9680.0,9740.0,2124213129,218873,242,D,9713.0,9740.0
38,Khark.Petr.,20010623,9961.0,9740.0,9740.0,2838407334,289134,409,D,9740.0,9740.0
39,Khark.Petr.,20010624,9729.0,9474.0,9474.0,1127667450,118061,171,D,9740.0,9474.0
40,Khark.Petr.,20010625,9400.0,9211.0,9211.0,1773479498,191158,212,D,9474.0,9211.0
41,Khark.Petr.,20010626,9320.0,9160.0,9301.0,2174379864,234883,257,D,9211.0,9301.0
42,Khark.Petr.,20010627,9490.0,9303.0,9480.0,1786563730,189489,201,D,9301.0,9480.0
43,Khark.Petr.,20010630,9570.0,9386.0,9490.0,578123908,60842,87,D,9480.0,9490.0
44,Khark.Petr.,20010701,9490.0,9396.0,9438.0,1052434061,111606,100,D,9490.0,9438.0
45,Khark.Petr.,20010702,9409.0,9344.0,9398.0,1971251189,210563,159,D,9438.0,9398.0
46,Khark.Petr.,20010703,9491.0,9305.0,9491.0,19096533633,2015374,194,D,9398.0,9491.0
47,Khark.Petr.,20010704,9489.0,9397.0,9489.0,1156954926,122579,116,D,9491.0,9489.0
48,Khark.Petr.,20010707,9478.0,9400.0,9429.0,745358817,78989,83,D,9489.0,9429.0
49,Khark.Petr.,20010708,9417.0,9335.0,9335.0,244454054,26152,38,D,9429.0,9335.0
50,Khark.Petr.,20010709,9242.0,9197.0,9200.0,1543889790,167178,194,D,9335.0,9200.0
51,Khark.Petr.,20010710,9430.0,9201.0,9430.0,1378166960,147768,188,D,9200.0,9430.0
52,Khark.Petr.,20010711,9429.0,9297.0,9349.0,4163913739,446418,176,D,9430.0,9349.0
53,Khark.Petr.,20010714,9347.0,9280.0,9319.0,2819993993,303270,238,D,9349.0,9319.0
54,Khark.Petr.,20010715,9310.0,9190.0,9300.0,6459303894,696047,436,D,9319.0,9300.0
55,Khark.Petr.,20010716,9300.0,9252.0,9280.0,7456619644,802642,488,D,9300.0,9280.0
56,Khark.Petr.,20010807,8160.0,8000.0,8006.0,2498574228,309561,221,D,9280.0,8006.0
57,Khark.Petr.,20010808,8240.0,8058.0,8210.0,5577928056,686825,203,D,8006.0,8210.0
58,Khark.Petr.,20010811,8460.0,8210.0,8437.0,1208954531,143833,167,D,8210.0,8437.0
59,Khark.Petr.,20010812,8437.0,8200.0,8275.0,806722791,97105,103,D,8437.0,8275.0
60,Khark.Petr.,20010813,8246.0,8120.0,8148.0,976423800,119919,126,D,8275.0,8148.0
61,Khark.Petr.,20010814,8120.0,8033.0,8120.0,8958513212,1106042,112,D,8148.0,8120.0
62,Khark.Petr.,20010815,8120.0,8053.0,8100.0,1075286176,132926,138,D,8120.0,8100.0
63,Khark.Petr.,20010818,8140.0,8060.0,8090.0,754068455,92996,104,D,8100.0,8090.0
64,Khark.Petr.,20010819,8090.0,8035.0,8038.0,2978460627,369965,214,D,8090.0,8038.0
65,Khark.Petr.,20010820,8038.0,7801.0,7801.0,2619145380,330804,197,D,8038.0,7801.0
66,Khark.Petr.,20010821,7799.0,7605.0,7750.0,2403884663,313663,119,D,7801.0,7750.0
67,Khark.Petr.,20010822,7750.0,7590.0,7600.0,1577004682,206129,152,D,7750.0,7600.0
68,Khark.Petr.,20010825,7800.0,7512.0,7699.0,1041808222,135737,120,D,7600.0,7699.0
69,Khark.Petr.,20010826,7750.0,7603.0,7638.0,1305332055,170247,111,D,7699.0,7638.0
70,Khark.Petr.,20010827,7670.0,7600.0,7600.0,1084905468,142215,117,D,7638.0,7600.0
71,Khark.Petr.,20010828,7600.0,7515.0,7600.0,1535149502,202107,136,D,7600.0,7600.0
72,Khark.Petr.,20010829,7630.0,7570.0,7630.0,1845506537,242887,169,D,7600.0,7630.0
73,Khark.Petr.,20010901,7610.0,7500.0,7500.0,921670182,122365,86,D,7630.0,7500.0
74,Khark.Petr.,20010902,7500.0,7350.0,7500.0,2395984980,320133,172,D,7500.0,7500.0
75,Khark.Petr.,20010903,7500.0,7399.0,7500.0,1762524731,235751,104,D,7500.0,7500.0
76,Khark.Petr.,20010904,7500.0,7400.0,7494.0,3561783625,475789,156,D,7500.0,7494.0
77,Khark.Petr.,20010905,7495.0,7470.0,7485.0,758701754,101329,76,D,7494.0,7485.0
78,Khark.Petr.,20010908,7484.0,7400.0,7400.0,793179684,106382,80,D,7485.0,7400.0
79,Khark.Petr.,20010909,7398.0,7190.0,7344.0,839086182,115654,115,D,7400.0,7344.0
80,Khark.Petr.,20010910,7300.0,7155.0,7155.0,489500638,67682,80,D,7344.0,7155.0
81,Khark.Petr.,20010911,7155.0,6925.0,7155.0,2717401754,385781,300,D,7155.0,7155.0
82,Khark.Petr.,20010912,7099.0,6900.0,7099.0,451480557,64622,56,D,7155.0,7099.0
83,Khark.Petr.,20010915,7033.0,6947.0,6950.0,310271976,44591,42,D,7099.0,6950.0
84,Khark.Petr.,20010916,6920.0,6603.0,6770.0,1938681117,292014,135,D,6950.0,6770.0
85,Khark.Petr.,20010917,6608.0,6432.0,6432.0,1471075970,228705,54,D,6770.0,6432.0
86,Khark.Petr.,20010918,6280.0,6111.0,6111.0,3515951839,575342,156,D,6432.0,6111.0
87,Khark.Petr.,20010919,6416.0,6111.0,6416.0,953502402,152103,115,D,6111.0,6416.0
88,Khark.Petr.,20010922,6736.0,6416.0,6719.0,1509758069,225947,179,D,6416.0,6719.0
89,Khark.Petr.,20010923,6946.0,6740.0,6780.0,1483615251,217493,193,D,6719.0,6780.0
90,Khark.Petr.,20010924,6780.0,6600.0,6780.0,2398835031,358105,126,D,6780.0,6780.0
91,Khark.Petr.,20010925,6690.0,6640.0,6660.0,871609556,130900,59,D,6780.0,6660.0
92,Khark.Petr.,20010926,6630.0,6327.0,6327.0,1322584253,208925,32,D,6660.0,6327.0
93,Khark.Petr.,20010929,6326.0,6011.0,6299.0,3234936400,522247,281,D,6327.0,6299.0
94,Khark.Petr.,20010930,6300.0,6104.0,6300.0,1412920297,226393,141,D,6299.0,6300.0
95,Khark.Petr.,20011002,6297.0,6240.0,6290.0,729883143,116392,66,D,6300.0,6290.0
96,Khark.Petr.,20011003,6260.0,6220.0,6239.0,1257104787,201294,83,D,6290.0,6239.0
97,Khark.Petr.,20011006,6200.0,6150.0,6180.0,2884379604,466442,189,D,6239.0,6180.0
98,Khark.Petr.,20011007,6270.0,6120.0,6270.0,2800595112,452931,167,D,6180.0,6270.0
99,Khark.Petr.,20011008,6149.0,6020.0,6140.0,152883128,25099,37,D,6270.0,6140.0
100,Khark.Petr.,20011009,6080.0,5999.0,6070.0,1613699097,267559,149,D,6140.0,6070.0
101,Khark.Petr.,20011010,6080.0,5979.0,6080.0,2876875871,478062,196,D,6070.0,6080.0
102,Khark.Petr.,20011013,6100.0,5998.0,6100.0,1368899735,225975,134,D,6080.0,6100.0
103,Khark.Petr.,20011014,6155.0,6087.0,6155.0,1059426332,173616,88,D,6100.0,6155.0
104,Khark.Petr.,20011016,6462.0,6196.0,6462.0,308077408,48615,48,D,6155.0,6462.0
105,Khark.Petr.,20011017,6785.0,6429.0,6500.0,901481602,135688,124,D,6462.0,6500.0
106,Khark.Petr.,20011020,6579.0,6480.0,6512.0,582923593,89653,76,D,6500.0,6512.0
107,Khark.Petr.,20011021,6700.0,6521.0,6700.0,356351886,53536,50,D,6512.0,6700.0
108,Khark.Petr.,20011022,6850.0,6720.0,6830.0,445620106,65382,69,D,6700.0,6830.0
109,Khark.Petr.,20011023,7050.0,6860.0,7050.0,828194970,119295,81,D,6830.0,7050.0
110,Khark.Petr.,20011024,7250.0,7052.0,7248.0,669464808,92853,88,D,7050.0,7248.0
111,Khark.Petr.,20011027,7250.0,7000.0,7000.0,433326941,61058,78,D,7248.0,7000.0
112,Khark.Petr.,20011028,7005.0,6650.0,7005.0,1099179644,160335,89,D,7000.0,7005.0
113,Khark.Petr.,20011029,6975.0,6850.0,6975.0,518151130,74434,43,D,7005.0,6975.0
114,Khark.Petr.,20011103,6970.0,6800.0,6819.0,130630328,18984,34,D,6975.0,6819.0
115,Khark.Petr.,20011104,6800.0,6650.0,6770.0,548627025,81503,100,D,6819.0,6770.0
116,Khark.Petr.,20011105,6759.0,6646.0,6647.0,3618076905,543825,111,D,6770.0,6647.0
117,Khark.Petr.,20011106,6550.0,6450.0,6470.0,349790270,53957,54,D,6647.0,6470.0
118,Khark.Petr.,20011107,6470.0,6320.0,6470.0,761282030,118364,103,D,6470.0,6470.0
119,Khark.Petr.,20011110,6450.0,6400.0,6449.0,939727026,146151,78,D,6470.0,6449.0
