,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Khalij.Fars,20130416,7500.0,7500.0,7500.0,10500000000,1400000,1,D,1000.0,7500.0
1,Khalij.Fars,20130417,7800.0,7680.0,7788.0,620595738957,79684517,8176,D,7500.0,7800.0
2,Khalij.Fars,20130420,7940.0,7560.0,7754.0,235468238335,30366404,5599,D,7788.0,7604.0
3,Khalij.Fars,20130421,7849.0,7520.0,7713.0,284391672389,36871260,4884,D,7754.0,7840.0
4,Khalij.Fars,20130422,8021.0,7903.0,8003.0,83996412783,10496140,890,D,7713.0,8021.0
5,Khalij.Fars,20130423,8323.0,8323.0,8054.0,9859725428,1184636,164,D,8003.0,8323.0
6,Khalij.Fars,20130424,8376.0,8376.0,8106.0,10057482000,1200750,154,D,8054.0,8376.0
7,Khalij.Fars,20130427,8430.0,8430.0,8127.0,4138944540,490978,107,D,8106.0,8430.0
8,Khalij.Fars,20130428,8452.0,8452.0,8181.0,10350200872,1224586,119,D,8127.0,8452.0
9,Khalij.Fars,20130429,8508.0,8508.0,8197.0,3143697492,369499,65,D,8181.0,8508.0
10,Khalij.Fars,20130430,8524.0,8524.0,8223.0,5033515764,590511,107,D,8197.0,8524.0
11,Khalij.Fars,20130501,8551.0,8551.0,8257.0,6661057980,778980,82,D,8223.0,8551.0
12,Khalij.Fars,20130504,8587.0,8587.0,8286.0,5704438557,664311,124,D,8257.0,8587.0
13,Khalij.Fars,20130505,8617.0,8617.0,8317.0,5913019868,686204,106,D,8286.0,8617.0
14,Khalij.Fars,20130506,8649.0,8649.0,8649.0,76437371088,8837712,237,D,8317.0,8649.0
15,Khalij.Fars,20130507,8994.0,8994.0,8994.0,84961020534,9446411,243,D,8649.0,8994.0
16,Khalij.Fars,20130508,9353.0,9100.0,9315.0,1734847547056,186234243,13128,D,8994.0,9171.0
17,Khalij.Fars,20130511,9687.0,9104.0,9453.0,463124906612,48991087,5708,D,9315.0,9687.0
18,Khalij.Fars,20130512,9831.0,9550.0,9815.0,663999240839,67650444,4753,D,9453.0,9831.0
19,Khalij.Fars,20130513,10207.0,9820.0,10093.0,401820243596,39811901,4206,D,9815.0,10000.0
20,Khalij.Fars,20130514,10000.0,9690.0,9735.0,347082682733,35654854,3501,D,10093.0,9709.0
21,Khalij.Fars,20130515,10124.0,9400.0,9886.0,440002985590,44506577,4805,D,9735.0,9690.0
22,Khalij.Fars,20130518,9590.0,9491.0,9584.0,55027107205,5793642,516,D,9886.0,9491.0
23,Khalij.Fars,20130519,9479.0,9201.0,9227.0,586387421609,63548067,5327,D,9584.0,9450.0
24,Khalij.Fars,20130520,9398.0,9121.0,9243.0,149576950818,16182852,3029,D,9227.0,9151.0
25,Khalij.Fars,20130521,9100.0,8874.0,8943.0,202654011108,22660069,3206,D,9243.0,8954.0
26,Khalij.Fars,20130522,9187.0,8600.0,8918.0,104496320496,11716805,2135,D,8943.0,9140.0
27,Khalij.Fars,20130525,9274.0,9151.0,9022.0,20868406595,2253471,320,D,8918.0,9274.0
28,Khalij.Fars,20130526,9382.0,9382.0,9101.0,15379997038,1639309,137,D,9022.0,9382.0
