,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Tabriz.Oil.Refine,20101113,1402.0,1402.0,1402.0,125018714988,89171694,850,D,1000.0,1402.0
1,Tabriz.Oil.Refine,20101114,1458.0,1458.0,1458.0,24526025478,16821691,530,D,1402.0,1458.0
2,Tabriz.Oil.Refine,20101115,1516.0,1516.0,1467.0,228138292,150487,22,D,1458.0,1516.0
3,Tabriz.Oil.Refine,20101116,1525.0,1525.0,1473.0,143374400,94016,11,D,1467.0,1525.0
4,Tabriz.Oil.Refine,20101120,1531.0,1531.0,1474.0,18840486,12306,3,D,1473.0,1531.0
5,Tabriz.Oil.Refine,20101121,1532.0,1532.0,1478.0,98397296,64228,8,D,1474.0,1532.0
6,Tabriz.Oil.Refine,20101122,1537.0,1537.0,1480.0,54540445,35485,1,D,1478.0,1537.0
7,Tabriz.Oil.Refine,20101123,1539.0,1539.0,1481.0,17390700,11300,4,D,1480.0,1539.0
8,Tabriz.Oil.Refine,20101124,1540.0,1540.0,1487.0,152794180,99217,7,D,1481.0,1540.0
9,Tabriz.Oil.Refine,20101127,1546.0,1546.0,1494.0,175316400,113400,5,D,1487.0,1546.0
10,Tabriz.Oil.Refine,20101128,1553.0,1553.0,1496.0,62671315,40355,5,D,1494.0,1553.0
11,Tabriz.Oil.Refine,20101129,1555.0,1555.0,1496.0,4665000,3000,1,D,1496.0,1555.0
12,Tabriz.Oil.Refine,20101130,1555.0,1555.0,1499.0,88858920,57144,7,D,1496.0,1555.0
13,Tabriz.Oil.Refine,20101201,1558.0,1558.0,1502.0,75541188,48486,9,D,1499.0,1558.0
14,Tabriz.Oil.Refine,20101204,1562.0,1562.0,1562.0,21161976,13548,2,D,1502.0,1562.0
15,Tabriz.Oil.Refine,20101205,1624.0,1624.0,1567.0,137830504,84871,20,D,1562.0,1624.0
16,Tabriz.Oil.Refine,20101206,1629.0,1629.0,1572.0,117442755,72095,12,D,1567.0,1629.0
17,Tabriz.Oil.Refine,20101207,1634.0,1634.0,1580.0,210277826,128689,12,D,1572.0,1634.0
18,Tabriz.Oil.Refine,20101208,1643.0,1643.0,1588.0,203779647,124029,6,D,1580.0,1643.0
19,Tabriz.Oil.Refine,20101211,1651.0,1651.0,1589.0,31441644,19044,6,D,1588.0,1651.0
