,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Pardis.Petr.,20111126,26730.0,26710.0,26726.0,17668660768,661109,33,D,0.0,26720.0
1,Pardis.Petr.,20111127,26950.0,25707.0,26499.0,76845176399,2899940,454,D,26726.0,25760.0
2,Pardis.Petr.,20111128,26447.0,25451.0,26006.0,80456839366,3093723,407,D,26499.0,26200.0
3,Pardis.Petr.,20111129,26997.0,26420.0,26725.0,31857936163,1192073,188,D,26006.0,26700.0
4,Pardis.Petr.,20111130,26780.0,26000.0,26184.0,16666933910,636531,131,D,26725.0,26006.0
5,Pardis.Petr.,20111203,26390.0,26002.0,26195.0,10023353726,382590,127,D,26184.0,26220.0
6,Pardis.Petr.,20111204,26950.0,26150.0,26428.0,6416563028,240506,141,D,26195.0,26525.0
7,Pardis.Petr.,20111207,27230.0,26810.0,27038.0,17009007663,629085,155,D,26428.0,27000.0
8,Pardis.Petr.,20111210,27128.0,26700.0,26968.0,9584173242,355762,129,D,27038.0,26880.0
9,Pardis.Petr.,20111211,27099.0,26050.0,26674.0,5590347295,212738,75,D,26968.0,26281.0
10,Pardis.Petr.,20111212,26900.0,26601.0,26681.0,8216842733,307914,68,D,26674.0,26631.0
11,Pardis.Petr.,20111213,27100.0,26700.0,26931.0,9939190803,367836,122,D,26681.0,26980.0
12,Pardis.Petr.,20111214,26989.0,26857.0,26928.0,5421340216,201356,80,D,26931.0,26982.0
13,Pardis.Petr.,20111217,26820.0,26300.0,26386.0,19817041816,751033,106,D,26928.0,26300.0
14,Pardis.Petr.,20111218,26498.0,26001.0,26368.0,6686415965,253748,112,D,26386.0,26301.0
15,Pardis.Petr.,20111219,26400.0,26318.0,26360.0,11589756022,439683,96,D,26368.0,26397.0
16,Pardis.Petr.,20111220,26350.0,26300.0,26330.0,8844158408,336089,90,D,26360.0,26306.0
17,Pardis.Petr.,20111221,26840.0,26418.0,26693.0,10820472337,404063,116,D,26330.0,26666.0
18,Pardis.Petr.,20111224,27000.0,26664.0,26768.0,6286220496,234099,73,D,26693.0,27000.0
19,Pardis.Petr.,20111225,27000.0,26502.0,26799.0,3745217042,139330,42,D,26768.0,26899.0
20,Pardis.Petr.,20111226,26900.0,26614.0,26776.0,7141633995,266909,73,D,26799.0,26800.0
21,Pardis.Petr.,20111227,27190.0,26702.0,26925.0,7694838120,284587,80,D,26776.0,27000.0
22,Pardis.Petr.,20111228,27330.0,27000.0,27139.0,8277259440,303436,102,D,26925.0,27280.0
23,Pardis.Petr.,20111231,28000.0,27351.0,27804.0,14401593698,517968,149,D,27139.0,27950.0
24,Pardis.Petr.,20120101,28000.0,27613.0,27772.0,7271898665,262116,90,D,27804.0,27794.0
25,Pardis.Petr.,20120102,27701.0,27650.0,27758.0,2250284765,81282,43,D,27772.0,27660.0
26,Pardis.Petr.,20120103,28868.0,27801.0,28687.0,38715252046,1349563,398,D,27758.0,28868.0
27,Pardis.Petr.,20120104,29642.0,28500.0,29136.0,21122600189,724955,396,D,28687.0,28799.0
28,Pardis.Petr.,20120107,29200.0,28612.0,29027.0,4676455382,162373,106,D,29136.0,28651.0
29,Pardis.Petr.,20120108,29000.0,28653.0,28773.0,10630674424,370608,58,D,29027.0,28680.0
30,Pardis.Petr.,20120109,29800.0,28900.0,29627.0,27655442152,933461,264,D,28773.0,29730.0
31,Pardis.Petr.,20120110,30200.0,29627.0,29952.0,25974095782,867179,275,D,29627.0,30000.0
32,Pardis.Petr.,20120111,30259.0,29901.0,30155.0,30011770670,995254,222,D,29952.0,29955.0
33,Pardis.Petr.,20120204,25890.0,24960.0,25232.0,114941905512,4555475,559,D,24555.0,25405.0
34,Pardis.Petr.,20120205,25788.0,25152.0,25254.0,74744287422,2959715,342,D,25232.0,25308.0
35,Pardis.Petr.,20120206,25391.0,25018.0,25341.0,24139942749,952611,142,D,25254.0,25356.0
36,Pardis.Petr.,20120207,25357.0,25056.0,25147.0,22692861124,902417,150,D,25341.0,25100.0
37,Pardis.Petr.,20120208,25100.0,24400.0,24976.0,7527478065,302746,67,D,25147.0,24500.0
38,Pardis.Petr.,20120212,25000.0,24302.0,24644.0,8206682374,335228,51,D,24976.0,24610.0
39,Pardis.Petr.,20120213,24550.0,24300.0,24485.0,7200032477,295397,99,D,24644.0,24310.0
40,Pardis.Petr.,20120214,24150.0,23930.0,24090.0,10295539649,428544,112,D,24485.0,23998.0
41,Pardis.Petr.,20120215,24110.0,23900.0,24082.0,49181725123,2042271,162,D,24090.0,24096.0
42,Pardis.Petr.,20120218,25045.0,23950.0,24743.0,36690389757,1482881,237,D,24082.0,25045.0
43,Pardis.Petr.,20120219,25617.0,25150.0,25433.0,12329088019,484336,95,D,24743.0,25486.0
44,Pardis.Petr.,20120220,25401.0,24901.0,25159.0,9143288746,364885,89,D,25433.0,25100.0
45,Pardis.Petr.,20120221,25258.0,24800.0,25147.0,2611211657,104018,65,D,25159.0,25100.0
46,Pardis.Petr.,20120222,25199.0,24804.0,25082.0,4426182862,177304,52,D,25147.0,25018.0
47,Pardis.Petr.,20120225,25001.0,24805.0,24987.0,15088724207,603862,64,D,25082.0,25000.0
48,Pardis.Petr.,20120226,25104.0,24800.0,25014.0,6496097231,259435,84,D,24987.0,25091.0
49,Pardis.Petr.,20120227,25900.0,25000.0,25472.0,15899968128,624225,171,D,25014.0,25602.0
50,Pardis.Petr.,20120228,26099.0,25503.0,25900.0,14397586208,555895,158,D,25472.0,25555.0
51,Pardis.Petr.,20120229,25999.0,25406.0,25712.0,19696450976,766045,106,D,25900.0,25599.0
52,Pardis.Petr.,20120303,25990.0,25701.0,25733.0,13224370000,513901,89,D,25712.0,25713.0
53,Pardis.Petr.,20120304,25971.0,25733.0,25827.0,6455305723,249027,77,D,25733.0,25851.0
54,Pardis.Petr.,20120305,25998.0,25521.0,25794.0,2582334763,100632,41,D,25827.0,25521.0
55,Pardis.Petr.,20120306,25895.0,25600.0,25787.0,9769220237,378872,58,D,25794.0,25794.0
56,Pardis.Petr.,20120307,26199.0,25800.0,25894.0,13066929563,504624,95,D,25787.0,25800.0
57,Pardis.Petr.,20120310,26140.0,25895.0,25976.0,11430323450,439852,116,D,25894.0,25950.0
58,Pardis.Petr.,20120311,26400.0,25802.0,26073.0,14535716683,557509,138,D,25976.0,26098.0
59,Pardis.Petr.,20120312,26200.0,26000.0,26055.0,4207534223,161712,56,D,26073.0,26020.0
60,Pardis.Petr.,20120313,27097.0,26000.0,26547.0,9051494706,337950,117,D,26055.0,27097.0
61,Pardis.Petr.,20120314,27608.0,27102.0,27607.0,35552064400,1287800,128,D,26547.0,27608.0
62,Pardis.Petr.,20120317,28711.0,28609.0,28711.0,25436153208,885949,174,D,27607.0,28711.0
63,Pardis.Petr.,20120318,29856.0,29285.0,29720.0,65854805896,2215812,256,D,28711.0,29745.0
64,Pardis.Petr.,20120324,30908.0,30899.0,29877.0,2050321720,66340,38,D,29720.0,30908.0
65,Pardis.Petr.,20120325,31072.0,30071.0,30920.0,21920820410,708959,171,D,29877.0,30800.0
66,Pardis.Petr.,20120326,31929.0,29700.0,30510.0,7663209733,254475,141,D,30920.0,30496.0
67,Pardis.Petr.,20120327,31730.0,30300.0,31679.0,26887617623,848742,322,D,30510.0,31730.0
68,Pardis.Petr.,20120328,32946.0,31900.0,32137.0,110058115742,3424685,311,D,31679.0,32946.0
69,Pardis.Petr.,20120402,33349.0,32102.0,32303.0,33419468409,1034549,291,D,32137.0,32137.0
70,Pardis.Petr.,20120403,32676.0,31515.0,32125.0,6338534988,198976,169,D,32303.0,31998.0
71,Pardis.Petr.,20120404,32789.0,32000.0,32501.0,23329966314,717833,216,D,32125.0,32563.0
72,Pardis.Petr.,20120407,33801.0,33000.0,33790.0,97885718743,2896853,737,D,32501.0,33801.0
73,Pardis.Petr.,20120424,36990.0,34415.0,34990.0,400505913885,11446238,1544,D,33790.0,34419.0
74,Pardis.Petr.,20120428,35100.0,34500.0,34933.0,63707894596,1823737,712,D,34990.0,34500.0
75,Pardis.Petr.,20120429,35000.0,33600.0,34530.0,64231426212,1860147,527,D,34933.0,34700.0
76,Pardis.Petr.,20120430,34978.0,34530.0,34687.0,31967565242,921605,153,D,34530.0,34700.0
77,Pardis.Petr.,20120501,34980.0,34601.0,34773.0,21896403142,629699,162,D,34687.0,34710.0
78,Pardis.Petr.,20120502,34799.0,34683.0,34699.0,140820958555,4058320,436,D,34773.0,34700.0
79,Pardis.Petr.,20120505,34719.0,34500.0,34636.0,103939230230,3000888,313,D,34699.0,34700.0
80,Pardis.Petr.,20120506,34900.0,34601.0,34716.0,34568801029,995761,134,D,34636.0,34700.0
81,Pardis.Petr.,20120507,34880.0,34620.0,34699.0,28899746268,832867,156,D,34716.0,34700.0
82,Pardis.Petr.,20120508,34749.0,34511.0,34703.0,13333883609,384219,114,D,34699.0,34717.0
83,Pardis.Petr.,20120509,34719.0,34600.0,34697.0,38933281840,1122081,123,D,34703.0,34700.0
84,Pardis.Petr.,20120512,34715.0,34555.0,34688.0,101880620075,2937063,337,D,34697.0,34700.0
85,Pardis.Petr.,20120513,34744.0,34600.0,34689.0,41901926380,1207931,165,D,34688.0,34700.0
86,Pardis.Petr.,20120514,35297.0,34654.0,34790.0,14742169157,423529,100,D,34689.0,34853.0
87,Pardis.Petr.,20120515,35536.0,34700.0,34830.0,16597612474,476511,121,D,34790.0,34850.0
88,Pardis.Petr.,20120516,34810.0,34700.0,34801.0,4526295304,130371,54,D,34830.0,34701.0
89,Pardis.Petr.,20120519,34752.0,33601.0,34728.0,9358608941,269966,76,D,34801.0,33601.0
90,Pardis.Petr.,20120520,34500.0,33821.0,34633.0,3778774064,110180,63,D,34728.0,34399.0
91,Pardis.Petr.,20120521,34600.0,34000.0,34199.0,23888643300,698510,123,D,34633.0,34410.0
92,Pardis.Petr.,20120522,34800.0,34200.0,34219.0,1287094828,37337,32,D,34199.0,34550.0
93,Pardis.Petr.,20120523,34590.0,34200.0,34242.0,8896048743,259645,68,D,34219.0,34252.0
94,Pardis.Petr.,20120526,34163.0,33800.0,34116.0,6701707293,197555,86,D,34242.0,33800.0
95,Pardis.Petr.,20120527,34000.0,33700.0,34049.0,4461918249,131762,35,D,34116.0,33705.0
96,Pardis.Petr.,20120528,34000.0,33945.0,34023.0,8222100935,241861,55,D,34049.0,34000.0
97,Pardis.Petr.,20120529,34049.0,33600.0,34005.0,12566760359,369619,68,D,34023.0,34049.0
