,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Behpardakht.Mellat,20170718,17500.0,17500.0,17500.0,831211692500,47497811,67849,D,1000.0,17500.0
1,Behpardakht.Mellat,20170719,18375.0,18375.0,18375.0,6982610250,380006,163,D,17500.0,18375.0
2,Behpardakht.Mellat,20170722,19293.0,19293.0,18570.0,1557427425,80725,161,D,18375.0,19293.0
3,Behpardakht.Mellat,20170723,19498.0,19498.0,19498.0,42787249614,2194443,579,D,18570.0,19498.0
4,Behpardakht.Mellat,20170724,20472.0,20472.0,20472.0,67328436432,3288806,686,D,19498.0,20472.0
5,Behpardakht.Mellat,20170725,21495.0,21495.0,21495.0,280446554700,13047060,5153,D,20472.0,21495.0
6,Behpardakht.Mellat,20170726,22569.0,22230.0,22560.0,1112961790143,49332748,34543,D,21495.0,22569.0
7,Behpardakht.Mellat,20170729,22988.0,22400.0,22594.0,191189188414,8461968,12705,D,22560.0,22499.0
8,Behpardakht.Mellat,20170730,22600.0,22200.0,22365.0,94542498802,4227258,6025,D,22594.0,22210.0
9,Behpardakht.Mellat,20170731,22202.0,21801.0,21970.0,66228994130,3014481,4326,D,22365.0,22079.0
10,Behpardakht.Mellat,20170801,23068.0,22200.0,22938.0,140053249939,6105759,6116,D,21970.0,23068.0
11,Behpardakht.Mellat,20170802,23495.0,22902.0,23166.0,63384321394,2736094,3268,D,22938.0,22959.0
12,Behpardakht.Mellat,20170806,22988.0,22402.0,22607.0,45683143727,2020753,2238,D,23166.0,22410.0
13,Behpardakht.Mellat,20170807,22600.0,22100.0,22263.0,25178142826,1130966,1583,D,22607.0,22171.0
14,Behpardakht.Mellat,20170808,22263.0,21850.0,22045.0,27477993387,1246439,1694,D,22263.0,22135.0
15,Behpardakht.Mellat,20170809,22949.0,22051.0,22354.0,29294637562,1310501,2530,D,22045.0,22102.0
16,Behpardakht.Mellat,20170812,22489.0,21909.0,22020.0,21779464641,989096,1170,D,22354.0,21960.0
17,Behpardakht.Mellat,20170813,22200.0,21903.0,21941.0,13410492881,611202,796,D,22020.0,21917.0
18,Behpardakht.Mellat,20170814,21979.0,21500.0,21704.0,23403574940,1078303,1270,D,21941.0,21501.0
19,Behpardakht.Mellat,20170815,21940.0,21530.0,21676.0,12245132281,564908,839,D,21704.0,21700.0
20,Behpardakht.Mellat,20170816,21800.0,21500.0,21565.0,14949720131,693252,702,D,21676.0,21550.0
21,Behpardakht.Mellat,20170819,21700.0,21450.0,21541.0,25615835280,1189189,1068,D,21565.0,21501.0
