,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Tamin.Petro.,20130709,3500.0,3500.0,3500.0,5075000000000,1450000000,8033,D,1000.0,3500.0
1,Tamin.Petro.,20130710,3640.0,3640.0,3640.0,33125015560,9100279,329,D,3500.0,3640.0
2,Tamin.Petro.,20130713,3785.0,3620.0,3716.0,1065175161707,286615698,21661,D,3640.0,3650.0
3,Tamin.Petro.,20130714,3687.0,3573.0,3616.0,288222076955,79697159,8630,D,3716.0,3640.0
4,Tamin.Petro.,20130715,3758.0,3650.0,3706.0,219182809445,59148749,6516,D,3616.0,3650.0
5,Tamin.Petro.,20130716,3741.0,3622.0,3662.0,170167303685,46474422,4607,D,3706.0,3630.0
6,Tamin.Petro.,20130717,3710.0,3620.0,3665.0,170310083872,46471305,4674,D,3662.0,3641.0
7,Tamin.Petro.,20130720,3811.0,3669.0,3784.0,358288096282,94687661,8775,D,3665.0,3811.0
8,Tamin.Petro.,20130721,3889.0,3725.0,3782.0,144152152209,38119378,4525,D,3784.0,3748.0
9,Tamin.Petro.,20130722,3798.0,3699.0,3733.0,143480960926,38434453,4087,D,3782.0,3700.0
10,Tamin.Petro.,20130723,3848.0,3724.0,3784.0,168442300222,44516973,4869,D,3733.0,3775.0
11,Tamin.Petro.,20130724,3814.0,3753.0,3783.0,142274196981,37605892,4173,D,3784.0,3771.0
12,Tamin.Petro.,20130727,3809.0,3731.0,3757.0,101277723905,26959353,3155,D,3783.0,3749.0
13,Tamin.Petro.,20130728,3776.0,3705.0,3746.0,67226098575,17945121,2209,D,3757.0,3740.0
14,Tamin.Petro.,20130729,3774.0,3692.0,3726.0,168898093442,45326738,4568,D,3746.0,3720.0
15,Tamin.Petro.,20130731,3740.0,3683.0,3706.0,145432134020,39246718,3940,D,3726.0,3685.0
16,Tamin.Petro.,20130803,3709.0,3595.0,3639.0,146626445956,40289626,4328,D,3706.0,3609.0
17,Tamin.Petro.,20130804,3637.0,3565.0,3594.0,106452789507,29619726,3784,D,3639.0,3588.0
18,Tamin.Petro.,20130805,3737.0,3606.0,3708.0,118935750846,32074854,3350,D,3594.0,3648.0
19,Tamin.Petro.,20130806,3698.0,3620.0,3643.0,83097069619,22809777,2367,D,3708.0,3640.0
20,Tamin.Petro.,20130807,3650.0,3590.0,3611.0,140737907811,38973058,4297,D,3643.0,3590.0
21,Tamin.Petro.,20130812,3710.0,3650.0,3692.0,113078034921,30628280,3178,D,3611.0,3670.0
22,Tamin.Petro.,20130813,3749.0,3617.0,3666.0,105425834529,28754779,3127,D,3692.0,3640.0
23,Tamin.Petro.,20130814,3670.0,3627.0,3642.0,92449936383,25387254,2488,D,3666.0,3650.0
24,Tamin.Petro.,20130817,3787.0,3787.0,3787.0,150877170192,39840816,1393,D,3642.0,3787.0
25,Tamin.Petro.,20130818,3877.0,3750.0,3805.0,221145047467,58123187,5105,D,3787.0,3790.0
26,Tamin.Petro.,20130819,3957.0,3750.0,3924.0,270175539862,68847904,6522,D,3805.0,3902.0
27,Tamin.Petro.,20130820,3995.0,3856.0,3912.0,76878006324,19651029,2538,D,3924.0,3889.0
28,Tamin.Petro.,20130821,3912.0,3848.0,3872.0,48138227296,12431849,1766,D,3912.0,3851.0
29,Tamin.Petro.,20130824,3940.0,3851.0,3904.0,52615151091,13476316,1925,D,3872.0,3900.0
30,Tamin.Petro.,20130825,3930.0,3840.0,3883.0,57474456841,14799886,1898,D,3904.0,3880.0
31,Tamin.Petro.,20130826,3880.0,3815.0,3831.0,69792224866,18219058,1939,D,3883.0,3830.0
32,Tamin.Petro.,20130827,3900.0,3690.0,3795.0,113626242507,29944277,3751,D,3831.0,3702.0
33,Tamin.Petro.,20130828,3700.0,3644.0,3647.0,134318718678,36825211,3137,D,3795.0,3644.0
34,Tamin.Petro.,20130831,3720.0,3650.0,3689.0,35173438193,9535807,1615,D,3647.0,3704.0
35,Tamin.Petro.,20130901,3819.0,3706.0,3788.0,50847607497,13421605,1782,D,3689.0,3819.0
36,Tamin.Petro.,20130903,3910.0,3740.0,3806.0,53421204883,14035291,1629,D,3788.0,3776.0
37,Tamin.Petro.,20130904,3698.0,3654.0,3734.0,15576576575,4256759,577,D,3806.0,3654.0
38,Tamin.Petro.,20130907,3680.0,3603.0,3633.0,65224534600,17953062,2004,D,3734.0,3670.0
39,Tamin.Petro.,20130908,3778.0,3668.0,3747.0,73591764059,19638180,2167,D,3633.0,3778.0
40,Tamin.Petro.,20130909,3860.0,3778.0,3825.0,55694145802,14559009,1881,D,3747.0,3795.0
41,Tamin.Petro.,20130910,3978.0,3880.0,3960.0,223348576373,56399420,6441,D,3825.0,3978.0
42,Tamin.Petro.,20130911,4030.0,3901.0,3958.0,315739950151,79766809,7448,D,3960.0,3990.0
43,Tamin.Petro.,20130921,3860.0,3701.0,3765.0,194599640443,51682032,5382,D,3458.0,3729.0
44,Tamin.Petro.,20130922,3700.0,3615.0,3623.0,135362915650,37366609,4131,D,3765.0,3625.0
45,Tamin.Petro.,20130923,3740.0,3621.0,3677.0,86088509332,23412009,3000,D,3623.0,3669.0
46,Tamin.Petro.,20130924,3690.0,3610.0,3633.0,65862306139,18128873,2656,D,3677.0,3620.0
47,Tamin.Petro.,20130925,3710.0,3600.0,3657.0,72283781099,19767123,2267,D,3633.0,3666.0
