,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Casting,20010415,7940.0,7940.0,7940.0,9528000,1200,1,D,0.0,7940.0
1,Iran.Casting,20010422,7940.0,7940.0,7940.0,794000,100,1,D,7940.0,7940.0
2,Iran.Casting,20010423,7939.0,7936.0,7936.0,1587500,200,2,D,7940.0,7936.0
3,Iran.Casting,20010424,7940.0,7927.0,7940.0,36489557,4600,12,D,7936.0,7940.0
4,Iran.Casting,20010425,7941.0,7941.0,7941.0,3494040,440,1,D,7940.0,7941.0
5,Iran.Casting,20010428,7950.0,7942.0,7946.0,48228220,6070,4,D,7941.0,7946.0
6,Iran.Casting,20010429,8000.0,8000.0,8000.0,16000000,2000,2,D,7946.0,8000.0
7,Iran.Casting,20010430,8000.0,8000.0,8000.0,1760000,220,1,D,8000.0,8000.0
8,Iran.Casting,20010501,8050.0,8000.0,8050.0,39960000,4980,6,D,8000.0,8050.0
9,Iran.Casting,20010502,8050.0,8050.0,8050.0,6440000,800,1,D,8050.0,8050.0
10,Iran.Casting,20010505,8100.0,8100.0,8100.0,26730000,3300,5,D,8050.0,8100.0
11,Iran.Casting,20010507,8200.0,8150.0,8200.0,19620000,2400,3,D,8100.0,8200.0
12,Iran.Casting,20010508,8300.0,8290.0,8300.0,14105000,1700,3,D,8200.0,8300.0
13,Iran.Casting,20010619,10000.0,10000.0,10000.0,28000000,2800,5,D,8300.0,10000.0
14,Iran.Casting,20010620,9890.0,9800.0,9800.0,30434000,3100,4,D,10000.0,9800.0
15,Iran.Casting,20010624,9699.0,9590.0,9590.0,27441500,2850,5,D,9800.0,9590.0
16,Iran.Casting,20010625,9590.0,9500.0,9590.0,77753075,8156,13,D,9590.0,9590.0
17,Iran.Casting,20010626,9880.0,9590.0,9880.0,162482390,16751,39,D,9590.0,9880.0
18,Iran.Casting,20010627,10100.0,9930.0,10100.0,101304000,10080,30,D,9880.0,10100.0
19,Iran.Casting,20010630,10500.0,10150.0,10500.0,79987400,7800,27,D,10100.0,10500.0
20,Iran.Casting,20010701,10800.0,10600.0,10724.0,116991112,10913,16,D,10500.0,10724.0
21,Iran.Casting,20010702,10860.0,10800.0,10860.0,29283000,2700,6,D,10724.0,10860.0
22,Iran.Casting,20010703,10727.0,10699.0,10700.0,69100950,6449,11,D,10860.0,10700.0
23,Iran.Casting,20010704,10772.0,10699.0,10772.0,5615145690,521408,36,D,10700.0,10772.0
24,Iran.Casting,20010707,10870.0,10770.0,10870.0,981034990,90977,20,D,10772.0,10870.0
