,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Mashad.Wheel,20040306,1541.0,1500.0,1515.0,8959355595,5912600,1686,D,1520.0,1515.0
1,Mashad.Wheel,20040307,1590.0,1528.0,1528.0,15915280,10010,4,D,1515.0,1528.0
2,Mashad.Wheel,20040308,1604.0,1555.0,1555.0,32095550,20010,6,D,1528.0,1555.0
3,Mashad.Wheel,20040309,1632.0,1583.0,1583.0,32655830,20010,18,D,1555.0,1583.0
4,Mashad.Wheel,20040310,1662.0,1590.0,1633.0,1457614242,892155,322,D,1583.0,1633.0
5,Mashad.Wheel,20040313,1620.0,1553.0,1596.0,319091194,199886,103,D,1633.0,1596.0
6,Mashad.Wheel,20040314,1583.0,1520.0,1548.0,414760318,267814,92,D,1596.0,1548.0
7,Mashad.Wheel,20040315,1579.0,1500.0,1548.0,89870553,58042,42,D,1548.0,1548.0
8,Mashad.Wheel,20040316,1590.0,1549.0,1557.0,121357806,77925,37,D,1548.0,1557.0
9,Mashad.Wheel,20040317,1634.0,1550.0,1607.0,90329320,56185,31,D,1557.0,1607.0
10,Mashad.Wheel,20040327,1687.0,1636.0,1636.0,34272582,20316,14,D,1607.0,1636.0
11,Mashad.Wheel,20040328,1717.0,1650.0,1706.0,83866686,48923,20,D,1636.0,1706.0
12,Mashad.Wheel,20040329,1750.0,1706.0,1732.0,131176330,75730,40,D,1706.0,1732.0
13,Mashad.Wheel,20040330,1818.0,1743.0,1768.0,151600343,85722,66,D,1732.0,1768.0
14,Mashad.Wheel,20040403,1856.0,1800.0,1827.0,96553050,52163,31,D,1768.0,1827.0
15,Mashad.Wheel,20040404,1918.0,1853.0,1865.0,63191770,33050,25,D,1827.0,1865.0
16,Mashad.Wheel,20040405,1958.0,1945.0,1945.0,122911362,62774,24,D,1865.0,1945.0
17,Mashad.Wheel,20040406,2042.0,2042.0,2042.0,167033558,81799,43,D,1945.0,2042.0
18,Mashad.Wheel,20040407,2144.0,2100.0,2137.0,622400324,291197,115,D,2042.0,2137.0
19,Mashad.Wheel,20040410,2243.0,2190.0,2190.0,82624861,36837,25,D,2137.0,2190.0
