,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Etebari.Iran.Co,20120313,9800.0,9800.0,9800.0,301838324200,30799829,1110,D,1000.0,9800.0
1,Etebari.Iran.Co,20120314,10192.0,10192.0,10192.0,5281708432,518221,43,D,9800.0,10192.0
2,Etebari.Iran.Co,20120317,10599.0,10599.0,10599.0,5307979200,500800,60,D,10192.0,10599.0
3,Etebari.Iran.Co,20120318,11022.0,11022.0,11022.0,5421732822,491901,254,D,10599.0,11022.0
4,Etebari.Iran.Co,20120324,11462.0,11462.0,11462.0,6088155920,531160,168,D,11022.0,11462.0
5,Etebari.Iran.Co,20120325,11920.0,11920.0,11920.0,2969391200,249110,69,D,11462.0,11920.0
6,Etebari.Iran.Co,20120326,13387.0,12775.0,13104.0,213052868585,16258584,8178,D,11920.0,12920.0
7,Etebari.Iran.Co,20120327,13380.0,12805.0,13118.0,44362123380,3381756,1823,D,13104.0,13087.0
8,Etebari.Iran.Co,20120328,13090.0,12818.0,12935.0,20073605092,1551874,874,D,13118.0,12940.0
9,Etebari.Iran.Co,20120402,12949.0,12418.0,12601.0,28533591111,2264378,1311,D,12935.0,12510.0
10,Etebari.Iran.Co,20120403,12790.0,12279.0,12484.0,17059074336,1366492,819,D,12601.0,12400.0
11,Etebari.Iran.Co,20120404,12543.0,12320.0,12454.0,11909053264,956230,502,D,12484.0,12398.0
12,Etebari.Iran.Co,20120407,12816.0,12300.0,12672.0,17712063341,1397683,697,D,12454.0,12764.0
13,Etebari.Iran.Co,20120408,13178.0,12780.0,13055.0,39597811411,3033099,1045,D,12672.0,12900.0
14,Etebari.Iran.Co,20120409,13017.0,12702.0,12799.0,10381392792,811097,377,D,13055.0,12702.0
15,Etebari.Iran.Co,20120410,12899.0,12552.0,12669.0,7994734714,631053,323,D,12799.0,12572.0
16,Etebari.Iran.Co,20120411,12718.0,12427.0,12651.0,7975497426,630437,290,D,12669.0,12560.0
17,Etebari.Iran.Co,20120414,12694.0,12444.0,12532.0,7163216440,571596,282,D,12651.0,12490.0
18,Etebari.Iran.Co,20120415,12949.0,12462.0,12512.0,52170986080,4169541,516,D,12532.0,12510.0
19,Etebari.Iran.Co,20120416,12750.0,12406.0,12526.0,11360688240,906990,593,D,12512.0,12406.0
20,Etebari.Iran.Co,20120417,13027.0,12472.0,12781.0,23250022518,1819068,702,D,12526.0,13027.0
21,Etebari.Iran.Co,20120418,13292.0,13292.0,13292.0,9340673868,702729,128,D,12781.0,13292.0
22,Etebari.Iran.Co,20120421,13650.0,13000.0,13310.0,53680481155,4032979,1089,D,13292.0,13050.0
23,Etebari.Iran.Co,20120422,13150.0,12842.0,13038.0,13260672479,1017086,529,D,13310.0,13140.0
24,Etebari.Iran.Co,20120423,13148.0,12650.0,12883.0,30232239373,2346586,643,D,13038.0,13100.0
25,Etebari.Iran.Co,20120424,13192.0,13060.0,13119.0,9863225561,751804,417,D,12883.0,13060.0
26,Etebari.Iran.Co,20120428,13120.0,12966.0,13006.0,12272445141,943573,316,D,13119.0,13004.0
27,Etebari.Iran.Co,20120429,13050.0,12802.0,12972.0,9369218797,722237,209,D,13006.0,12900.0
28,Etebari.Iran.Co,20120430,13400.0,12950.0,13117.0,22871531483,1743643,623,D,12972.0,13086.0
29,Etebari.Iran.Co,20120501,13120.0,12900.0,13003.0,7499313705,576732,315,D,13117.0,13039.0
30,Etebari.Iran.Co,20120502,13497.0,12915.0,13316.0,23939512546,1797762,618,D,13003.0,13320.0
31,Etebari.Iran.Co,20120505,13449.0,13121.0,13314.0,7639523765,573786,213,D,13316.0,13300.0
32,Etebari.Iran.Co,20120506,13350.0,13270.0,13301.0,9023267040,678380,223,D,13314.0,13280.0
33,Etebari.Iran.Co,20120507,13301.0,13206.0,13261.0,8600687852,648548,191,D,13301.0,13300.0
34,Etebari.Iran.Co,20120508,13398.0,13213.0,13306.0,6244785380,469321,183,D,13261.0,13398.0
35,Etebari.Iran.Co,20120509,13480.0,13307.0,13384.0,6330593222,472991,167,D,13306.0,13429.0
36,Etebari.Iran.Co,20120512,13600.0,13300.0,13450.0,5841583767,434319,216,D,13384.0,13315.0
37,Etebari.Iran.Co,20120513,13500.0,13150.0,13241.0,3377870745,255106,108,D,13450.0,13287.0
38,Etebari.Iran.Co,20120514,13349.0,13127.0,13246.0,4311535086,325485,92,D,13241.0,13127.0
39,Etebari.Iran.Co,20120515,13300.0,13043.0,13151.0,6237807761,474310,91,D,13246.0,13155.0
