,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Rouz.Darou.P.,20040225,12000.0,12000.0,12000.0,2181924000,181827,95,D,12000.0,12000.0
1,Rouz.Darou.P.,20040228,12000.0,12000.0,12000.0,146076000,12173,4,D,12000.0,12000.0
2,Rouz.Darou.P.,20040229,12000.0,12000.0,12000.0,899340000,74945,23,D,12000.0,12000.0
3,Rouz.Darou.P.,20040306,12000.0,12000.0,12000.0,72000000,6000,4,D,12000.0,12000.0
4,Rouz.Darou.P.,20040309,12000.0,12000.0,12000.0,59172000,4931,5,D,12000.0,12000.0
5,Rouz.Darou.P.,20040313,12000.0,12000.0,12000.0,1200000,100,1,D,12000.0,12000.0
6,Rouz.Darou.P.,20040315,11884.0,11400.0,11884.0,34318840,3010,5,D,12000.0,11884.0
7,Rouz.Darou.P.,20040410,12000.0,11890.0,11931.0,7388154310,615710,8,D,11884.0,11931.0
8,Rouz.Darou.P.,20040413,11930.0,11930.0,11930.0,23669120,1984,1,D,11931.0,11930.0
9,Rouz.Darou.P.,20040426,12000.0,11909.0,11977.0,2710073033,225927,14,D,11930.0,11977.0
10,Rouz.Darou.P.,20040508,11948.0,11379.0,11948.0,11498480,1010,2,D,11977.0,11948.0
11,Rouz.Darou.P.,20040509,11999.0,11910.0,11927.0,298314270,25010,4,D,11948.0,11927.0
12,Rouz.Darou.P.,20040518,12030.0,11934.0,11934.0,24133340,2010,4,D,11927.0,11934.0
13,Rouz.Darou.P.,20040519,12000.0,11940.0,11940.0,24119400,2010,2,D,11934.0,11940.0
14,Rouz.Darou.P.,20040601,12048.0,11940.0,11986.0,120491860,10010,3,D,11940.0,11986.0
15,Rouz.Darou.P.,20040605,11986.0,11986.0,11986.0,599300,50,1,D,11986.0,11986.0
16,Rouz.Darou.P.,20040606,12048.0,11986.0,11998.0,69242740,5755,4,D,11986.0,11998.0
17,Rouz.Darou.P.,20040607,12049.0,12014.0,12014.0,100039840,8310,5,D,11998.0,12014.0
18,Rouz.Darou.P.,20040609,12014.0,12014.0,12014.0,24028000,2000,1,D,12014.0,12014.0
19,Rouz.Darou.P.,20040612,12014.0,12014.0,12014.0,11413300,950,2,D,12014.0,12014.0
20,Rouz.Darou.P.,20040613,12014.0,12014.0,12014.0,69152584,5756,2,D,12014.0,12014.0
21,Rouz.Darou.P.,20040614,12014.0,12014.0,12014.0,60070000,5000,1,D,12014.0,12014.0
22,Rouz.Darou.P.,20040616,12050.0,12021.0,12021.0,49525210,4110,5,D,12014.0,12021.0
23,Rouz.Darou.P.,20040619,12050.0,12022.0,12022.0,12170220,1010,2,D,12021.0,12022.0
24,Rouz.Darou.P.,20040621,12050.0,12022.0,12049.0,3298793990,273760,8,D,12022.0,12049.0
25,Rouz.Darou.P.,20040801,8500.0,8500.0,8500.0,8500000,1000,1,D,12049.0,8500.0
26,Rouz.Darou.P.,20040815,8500.0,8500.0,8500.0,8500000,1000,1,D,8500.0,8500.0
27,Rouz.Darou.P.,20040821,8449.0,8449.0,8449.0,506940000,60000,6,D,8500.0,8449.0
28,Rouz.Darou.P.,20040822,8450.0,8449.0,8449.0,12759490,1510,3,D,8449.0,8449.0
29,Rouz.Darou.P.,20040905,8500.0,8439.0,8450.0,67710053,8010,7,D,8449.0,8450.0
30,Rouz.Darou.P.,20040922,8450.0,8028.0,8028.0,2070380280,250010,4,D,8450.0,8028.0
31,Rouz.Darou.P.,20040925,8027.0,8020.0,8027.0,16120270,2010,2,D,8028.0,8027.0
32,Rouz.Darou.P.,20041004,8027.0,8027.0,8027.0,36121500,4500,1,D,8027.0,8027.0
33,Rouz.Darou.P.,20041023,8027.0,8027.0,8027.0,1373227052,171076,3,D,8027.0,8027.0
34,Rouz.Darou.P.,20041026,8030.0,8027.0,8027.0,80380270,10010,4,D,8027.0,8027.0
35,Rouz.Darou.P.,20041102,8027.0,8027.0,8027.0,401390135,50005,6,D,8027.0,8027.0
36,Rouz.Darou.P.,20041123,8027.0,8027.0,8027.0,431049900,53700,7,D,8027.0,8027.0
37,Rouz.Darou.P.,20041201,8027.0,8027.0,8027.0,9126699,1137,2,D,8027.0,8027.0
38,Rouz.Darou.P.,20041214,8027.0,8027.0,8027.0,80270,10,1,D,8027.0,8027.0
39,Rouz.Darou.P.,20041215,8027.0,8027.0,8027.0,12040500,1500,2,D,8027.0,8027.0
40,Rouz.Darou.P.,20041218,8027.0,8027.0,8027.0,160540,20,1,D,8027.0,8027.0
41,Rouz.Darou.P.,20041219,8027.0,8027.0,8027.0,27853690,3470,2,D,8027.0,8027.0
42,Rouz.Darou.P.,20041225,8027.0,8027.0,8027.0,968858900,120700,201,D,8027.0,8027.0
43,Rouz.Darou.P.,20041226,8026.0,8025.0,8026.0,2118610,264,3,D,8027.0,8026.0
44,Rouz.Darou.P.,20041227,8027.0,8027.0,8027.0,497674000,62000,9,D,8026.0,8027.0
