,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,I..T..Foundry,20010423,6282.0,6282.0,6282.0,3141000,500,1,D,0.0,6282.0
1,I..T..Foundry,20010501,6282.0,6282.0,6282.0,19367406,3083,5,D,6282.0,6282.0
2,I..T..Foundry,20010502,6282.0,6282.0,6282.0,25190820,4010,8,D,6282.0,6282.0
3,I..T..Foundry,20010505,6500.0,6500.0,6500.0,19500000,3000,3,D,6282.0,6500.0
4,I..T..Foundry,20010507,6825.0,6825.0,6825.0,23887500,3500,6,D,6500.0,6825.0
5,I..T..Foundry,20010508,7166.0,7166.0,7166.0,11343778,1583,2,D,6825.0,7166.0
6,I..T..Foundry,20010509,7524.0,7524.0,7524.0,74036160,9840,14,D,7166.0,7524.0
7,I..T..Foundry,20010512,7525.0,7525.0,7525.0,14297500,1900,2,D,7524.0,7525.0
8,I..T..Foundry,20010513,7543.0,7526.0,7543.0,14978484,1988,2,D,7525.0,7543.0
9,I..T..Foundry,20010520,7920.0,7920.0,7920.0,7920000,1000,3,D,7543.0,7920.0
10,I..T..Foundry,20010521,8316.0,8316.0,8316.0,9147600,1100,4,D,7920.0,8316.0
11,I..T..Foundry,20010529,8731.0,8731.0,8731.0,17462000,2000,2,D,8316.0,8731.0
12,I..T..Foundry,20010530,9167.0,9167.0,9167.0,50418500,5500,8,D,8731.0,9167.0
13,I..T..Foundry,20010602,9397.0,9167.0,9170.0,59612020,6480,9,D,9167.0,9170.0
14,I..T..Foundry,20010609,9394.0,9394.0,9394.0,10286430,1095,3,D,9170.0,9394.0
15,I..T..Foundry,20010612,9394.0,9393.0,9394.0,18786900,2000,5,D,9394.0,9394.0
16,I..T..Foundry,20010618,9860.0,9391.0,9860.0,31535704,3243,11,D,9394.0,9860.0
17,I..T..Foundry,20010623,9860.0,9860.0,9860.0,9860000,1000,1,D,9860.0,9860.0
18,I..T..Foundry,20010626,10353.0,10353.0,10353.0,18304104,1768,3,D,9860.0,10353.0
19,I..T..Foundry,20010703,10384.0,10384.0,10384.0,1038400,100,2,D,10353.0,10384.0
20,I..T..Foundry,20010707,10384.0,10384.0,10384.0,15056800,1450,4,D,10384.0,10384.0
21,I..T..Foundry,20010708,10390.0,10390.0,10390.0,10390000,1000,1,D,10384.0,10390.0
22,I..T..Foundry,20010711,10403.0,10403.0,10403.0,3276945,315,1,D,10390.0,10403.0
23,I..T..Foundry,20011223,12525.0,12525.0,12525.0,6262500,500,1,D,10403.0,12525.0
24,I..T..Foundry,20020106,13151.0,13151.0,13151.0,67293667,5117,45,D,12525.0,13151.0
25,I..T..Foundry,20020108,13808.0,13808.0,13808.0,31468432,2279,22,D,13151.0,13808.0
26,I..T..Foundry,20020113,14498.0,14498.0,14498.0,29749896,2052,22,D,13808.0,14498.0
27,I..T..Foundry,20020114,15222.0,15222.0,15222.0,29637234,1947,18,D,14498.0,15222.0
28,I..T..Foundry,20020209,20700.0,20615.0,20700.0,23131063,1121,5,D,15222.0,20700.0
29,I..T..Foundry,20020226,20700.0,20700.0,20700.0,3761314200,181706,3,D,20700.0,20700.0
30,I..T..Foundry,20020227,21735.0,21735.0,21735.0,1086750000,50000,45,D,20700.0,21735.0
31,I..T..Foundry,20020302,22821.0,22821.0,22821.0,141033780,6180,7,D,21735.0,22821.0
32,I..T..Foundry,20020304,23391.0,23391.0,23391.0,467820000,20000,11,D,22821.0,23391.0
33,I..T..Foundry,20020305,23975.0,23200.0,23390.0,1348910725,56389,63,D,23391.0,23390.0
34,I..T..Foundry,20020306,23390.0,23390.0,23390.0,75152070,3213,6,D,23390.0,23390.0
35,I..T..Foundry,20020309,23267.0,22806.0,22806.0,49598197,2157,8,D,23390.0,22806.0
36,I..T..Foundry,20020310,22500.0,22250.0,22250.0,352330597,15786,29,D,22806.0,22250.0
37,I..T..Foundry,20020311,22806.0,22806.0,22806.0,5501559798,241233,14,D,22250.0,22806.0
38,I..T..Foundry,20020312,22806.0,22805.0,22806.0,5739607997,251671,21,D,22806.0,22806.0
39,I..T..Foundry,20020313,22999.0,22804.0,22806.0,5733191196,250400,25,D,22806.0,22806.0
40,I..T..Foundry,20020316,22905.0,22889.0,22905.0,4556001765,198958,44,D,22806.0,22905.0
41,I..T..Foundry,20020317,22906.0,22895.0,22900.0,254126640,11097,29,D,22905.0,22900.0
42,I..T..Foundry,20020318,22999.0,22999.0,22999.0,28702752,1248,1,D,22900.0,22999.0
43,I..T..Foundry,20020319,23573.0,23014.0,23573.0,3995762510,173476,36,D,22999.0,23573.0
44,I..T..Foundry,20020330,24162.0,24162.0,24162.0,36243000,1500,1,D,23573.0,24162.0
45,I..T..Foundry,20020407,24766.0,24766.0,24766.0,24766000,1000,6,D,24162.0,24766.0
46,I..T..Foundry,20020408,25385.0,25385.0,25385.0,44423750,1750,8,D,24766.0,25385.0
