,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Sadr.Tamin.Inv.,20190429,2200.0,2200.0,2200.0,4399989231000,1999995105,427528,D,1000.0,2200.0
1,Sadr.Tamin.Inv.,20190430,2310.0,2310.0,2252.0,4995132450,2162395,776,D,2200.0,2310.0
2,Sadr.Tamin.Inv.,20190501,2364.0,2364.0,2364.0,11846568996,5011239,1550,D,2252.0,2364.0
3,Sadr.Tamin.Inv.,20190504,2482.0,2482.0,2482.0,28504392490,11484445,3243,D,2364.0,2482.0
4,Sadr.Tamin.Inv.,20190505,2606.0,2606.0,2606.0,56385310562,21636727,5670,D,2482.0,2606.0
5,Sadr.Tamin.Inv.,20190506,2637.0,2476.0,2607.0,602288996202,231040139,52790,D,2606.0,2630.0
6,Sadr.Tamin.Inv.,20190507,2631.0,2477.0,2539.0,695046977697,273802211,64790,D,2607.0,2544.0
7,Sadr.Tamin.Inv.,20190508,2665.0,2540.0,2631.0,1056864602081,401627194,83540,D,2539.0,2665.0
8,Sadr.Tamin.Inv.,20190511,2720.0,2510.0,2616.0,683980426765,261449773,52302,D,2631.0,2565.0
9,Sadr.Tamin.Inv.,20190512,2575.0,2490.0,2515.0,409347580591,162748555,32855,D,2616.0,2555.0
10,Sadr.Tamin.Inv.,20190513,2640.0,2522.0,2603.0,379318315139,145711339,23628,D,2515.0,2640.0
11,Sadr.Tamin.Inv.,20190514,2700.0,2610.0,2660.0,329812928814,123974514,22267,D,2603.0,2630.0
12,Sadr.Tamin.Inv.,20190515,2635.0,2555.0,2593.0,226717892007,87431118,15713,D,2660.0,2592.0
13,Sadr.Tamin.Inv.,20190518,2634.0,2556.0,2577.0,250980615685,97395236,17824,D,2593.0,2558.0
14,Sadr.Tamin.Inv.,20190519,2570.0,2512.0,2529.0,195528798938,77327148,15586,D,2577.0,2525.0
15,Sadr.Tamin.Inv.,20190520,2595.0,2480.0,2524.0,180334512989,71446994,16186,D,2529.0,2560.0
16,Sadr.Tamin.Inv.,20190521,2591.0,2530.0,2547.0,119676301670,46984979,21531,D,2524.0,2543.0
17,Sadr.Tamin.Inv.,20190522,2544.0,2510.0,2521.0,109613025046,43487153,9589,D,2547.0,2526.0
18,Sadr.Tamin.Inv.,20190525,2520.0,2484.0,2504.0,111702122182,44601128,10096,D,2521.0,2502.0
19,Sadr.Tamin.Inv.,20190526,2550.0,2504.0,2515.0,147527893766,58668453,21151,D,2504.0,2509.0
20,Sadr.Tamin.Inv.,20190528,2626.0,2525.0,2588.0,287739404690,111187358,17207,D,2515.0,2607.0
21,Sadr.Tamin.Inv.,20190529,2624.0,2535.0,2557.0,127108204949,49700952,8888,D,2588.0,2540.0
22,Sadr.Tamin.Inv.,20190601,2537.0,2491.0,2514.0,142673254437,56758230,8881,D,2557.0,2518.0
23,Sadr.Tamin.Inv.,20190602,2555.0,2518.0,2540.0,114586802933,45106900,8016,D,2514.0,2545.0
24,Sadr.Tamin.Inv.,20190603,2599.0,2540.0,2553.0,115446775369,45218307,8307,D,2540.0,2543.0
25,Sadr.Tamin.Inv.,20190608,2558.0,2500.0,2530.0,113886345283,45012451,7400,D,2553.0,2537.0
26,Sadr.Tamin.Inv.,20190609,2625.0,2526.0,2597.0,215808959316,83088986,13472,D,2530.0,2623.0
27,Sadr.Tamin.Inv.,20190610,2720.0,2610.0,2661.0,335481130190,126060766,17212,D,2597.0,2716.0
28,Sadr.Tamin.Inv.,20190611,2794.0,2667.0,2767.0,434814334261,157148973,14266,D,2661.0,2794.0
29,Sadr.Tamin.Inv.,20190612,2870.0,2700.0,2777.0,308241575619,110979697,12572,D,2767.0,2720.0
30,Sadr.Tamin.Inv.,20190615,2754.0,2652.0,2691.0,184190355217,68434677,10558,D,2777.0,2676.0
31,Sadr.Tamin.Inv.,20190616,2745.0,2628.0,2682.0,221883428466,82726061,13775,D,2691.0,2650.0
32,Sadr.Tamin.Inv.,20190617,2698.0,2620.0,2644.0,242046908689,91538088,24439,D,2682.0,2653.0
33,Sadr.Tamin.Inv.,20190618,2679.0,2610.0,2643.0,124078667505,46942661,7222,D,2644.0,2654.0
34,Sadr.Tamin.Inv.,20190619,2685.0,2629.0,2656.0,115972807982,43659964,5971,D,2643.0,2679.0
35,Sadr.Tamin.Inv.,20190622,2683.0,2604.0,2646.0,99334251366,37538126,5353,D,2656.0,2665.0
36,Sadr.Tamin.Inv.,20190623,2725.0,2631.0,2704.0,99667665054,36855016,10738,D,2646.0,2711.0
37,Sadr.Tamin.Inv.,20190624,2839.0,2732.0,2813.0,143426190492,50978263,6506,D,2704.0,2839.0
38,Sadr.Tamin.Inv.,20190625,2888.0,2777.0,2835.0,169693822848,59849674,6865,D,2813.0,2861.0
