,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Shahed.Inv.,20050829,3820.0,3820.0,3820.0,57300000000,15000000,2115,D,3820.0,3820.0
1,Shahed.Inv.,20050903,4011.0,4011.0,4011.0,4019022000,1002000,307,D,3820.0,4011.0
2,Shahed.Inv.,20050904,4211.0,4211.0,4211.0,4642922270,1102570,603,D,4011.0,4211.0
3,Shahed.Inv.,20050905,4421.0,4421.0,4421.0,29910775073,6765613,1439,D,4211.0,4421.0
4,Shahed.Inv.,20050906,4395.0,4200.0,4272.0,21519286359,5037263,1411,D,4421.0,4272.0
5,Shahed.Inv.,20050907,4485.0,4266.0,4386.0,6393302658,1457358,560,D,4272.0,4386.0
6,Shahed.Inv.,20050910,4590.0,4380.0,4453.0,8002267311,1811944,295,D,4386.0,4453.0
7,Shahed.Inv.,20050911,4675.0,4500.0,4598.0,5731084852,1246232,388,D,4453.0,4598.0
8,Shahed.Inv.,20050912,4600.0,4415.0,4550.0,8045203649,1768012,582,D,4598.0,4550.0
9,Shahed.Inv.,20050913,4575.0,4352.0,4546.0,12192215692,2681320,600,D,4550.0,4546.0
10,Shahed.Inv.,20050914,4551.0,4502.0,4536.0,3092205407,681568,258,D,4546.0,4536.0
11,Shahed.Inv.,20050917,4549.0,4456.0,4505.0,2787533740,618726,200,D,4536.0,4505.0
12,Shahed.Inv.,20050918,4482.0,4299.0,4409.0,4442121107,1007510,261,D,4505.0,4409.0
13,Shahed.Inv.,20050919,4431.0,4409.0,4412.0,2099580840,475794,164,D,4409.0,4412.0
14,Shahed.Inv.,20050921,4400.0,4192.0,4267.0,1564908605,366686,139,D,4412.0,4267.0
15,Shahed.Inv.,20050924,4423.0,4300.0,4389.0,1554345122,354083,104,D,4267.0,4389.0
16,Shahed.Inv.,20050925,4300.0,4170.0,4184.0,2112564633,504874,160,D,4389.0,4184.0
17,Shahed.Inv.,20050926,4166.0,3975.0,4022.0,3671654690,912690,269,D,4184.0,4022.0
18,Shahed.Inv.,20050927,3978.0,3821.0,3857.0,3256729484,844329,260,D,4022.0,3857.0
19,Shahed.Inv.,20050928,4049.0,3857.0,4003.0,3418481350,853949,274,D,3857.0,4003.0
20,Shahed.Inv.,20051001,4203.0,4094.0,4094.0,705898096,168861,76,D,4003.0,4094.0
21,Shahed.Inv.,20051002,4249.0,4164.0,4164.0,1118931159,267601,118,D,4094.0,4164.0
22,Shahed.Inv.,20051003,4200.0,4160.0,4170.0,3520408765,844063,222,D,4164.0,4170.0
23,Shahed.Inv.,20051004,4200.0,4170.0,4174.0,953134147,228192,89,D,4170.0,4174.0
24,Shahed.Inv.,20051005,4300.0,4170.0,4186.0,680824120,162081,75,D,4174.0,4186.0
25,Shahed.Inv.,20051008,4300.0,4200.0,4216.0,541246425,126906,87,D,4186.0,4216.0
26,Shahed.Inv.,20051009,4400.0,4190.0,4208.0,2189205866,520243,124,D,4216.0,4208.0
27,Shahed.Inv.,20051010,4210.0,4200.0,4203.0,838154004,199512,72,D,4208.0,4203.0
28,Shahed.Inv.,20051011,4249.0,4161.0,4201.0,1716987162,408623,123,D,4203.0,4201.0
29,Shahed.Inv.,20051012,4285.0,4188.0,4222.0,1170514013,276965,96,D,4201.0,4222.0
30,Shahed.Inv.,20051015,4390.0,4279.0,4309.0,29734173141,6845677,323,D,4222.0,4309.0
31,Shahed.Inv.,20060318,3825.0,3301.0,3584.0,2669044829,744562,217,D,4309.0,3584.0
32,Shahed.Inv.,20060319,3655.0,3513.0,3621.0,842063410,231516,84,D,3584.0,3621.0
33,Shahed.Inv.,20060325,3609.0,3549.0,3609.0,187189056,52744,20,D,3621.0,3609.0
34,Shahed.Inv.,20060326,3608.0,3537.0,3584.0,623722844,175010,77,D,3609.0,3584.0
35,Shahed.Inv.,20060327,3589.0,3513.0,3578.0,169167681,47686,28,D,3584.0,3578.0
36,Shahed.Inv.,20060328,3598.0,3507.0,3573.0,159670730,45010,11,D,3578.0,3573.0
37,Shahed.Inv.,20060405,3502.0,3502.0,3502.0,2540704502,725501,155,D,3573.0,3502.0
38,Shahed.Inv.,20060408,3571.0,3432.0,3503.0,1823398089,520405,186,D,3502.0,3503.0
39,Shahed.Inv.,20060409,3570.0,3437.0,3515.0,856949242,243402,111,D,3503.0,3515.0
40,Shahed.Inv.,20060410,3534.0,3445.0,3502.0,1365415780,390058,40,D,3515.0,3502.0
41,Shahed.Inv.,20060411,3569.0,3432.0,3492.0,1724585356,493793,202,D,3502.0,3492.0
42,Shahed.Inv.,20060412,3510.0,3423.0,3469.0,472538568,137411,59,D,3492.0,3469.0
43,Shahed.Inv.,20060415,3464.0,3400.0,3464.0,76534640,22510,12,D,3469.0,3464.0
44,Shahed.Inv.,20060417,3464.0,3395.0,3464.0,516730,152,2,D,3464.0,3464.0
45,Shahed.Inv.,20060418,3463.0,3395.0,3463.0,1766080,520,3,D,3464.0,3463.0
46,Shahed.Inv.,20060422,3462.0,3394.0,3462.0,7185778,2117,3,D,3463.0,3462.0
47,Shahed.Inv.,20060424,3462.0,3393.0,3462.0,1028769,303,2,D,3462.0,3462.0
