,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Behshahr.Ind.,20010325,8790.0,8790.0,8790.0,2373300,270,3,D,8790.0,8790.0
1,Behshahr.Ind.,20010326,8791.0,8791.0,8791.0,1758200,200,1,D,8790.0,8791.0
2,Behshahr.Ind.,20010328,9230.0,9230.0,9230.0,9230000,1000,1,D,8791.0,9230.0
3,Behshahr.Ind.,20010331,9230.0,9230.0,9230.0,15746380,1706,6,D,9230.0,9230.0
4,Behshahr.Ind.,20010403,9230.0,9230.0,9230.0,4245800,460,1,D,9230.0,9230.0
5,Behshahr.Ind.,20010408,9100.0,9098.0,9098.0,29798930,3275,9,D,9230.0,9098.0
6,Behshahr.Ind.,20010409,9098.0,9090.0,9090.0,15812310,1739,12,D,9098.0,9090.0
7,Behshahr.Ind.,20010410,9200.0,9090.0,9200.0,93329500,10164,16,D,9090.0,9200.0
8,Behshahr.Ind.,20010411,9300.0,9195.0,9196.0,60678236,6568,14,D,9200.0,9196.0
9,Behshahr.Ind.,20010414,9201.0,9189.0,9200.0,219514854,23862,31,D,9196.0,9200.0
10,Behshahr.Ind.,20010415,9450.0,9204.0,9450.0,53899258,5776,14,D,9200.0,9450.0
11,Behshahr.Ind.,20010416,9550.0,9450.0,9550.0,14398255,1513,3,D,9450.0,9550.0
12,Behshahr.Ind.,20010417,9700.0,9555.0,9700.0,94638760,9812,14,D,9550.0,9700.0
13,Behshahr.Ind.,20010418,9800.0,9700.0,9800.0,46700400,4766,7,D,9700.0,9800.0
14,Behshahr.Ind.,20010421,9830.0,9800.0,9830.0,43507218,4434,15,D,9800.0,9830.0
15,Behshahr.Ind.,20010422,10004.0,9830.0,10002.0,172717843,17278,23,D,9830.0,10002.0
16,Behshahr.Ind.,20010423,10007.0,9998.0,9999.0,65641364,6562,20,D,10002.0,9999.0
17,Behshahr.Ind.,20010424,9901.0,9899.0,9900.0,197552400,19956,28,D,9999.0,9900.0
18,Behshahr.Ind.,20010425,9901.0,9900.0,9900.0,152926300,15447,29,D,9900.0,9900.0
19,Behshahr.Ind.,20010428,10000.0,9900.0,10000.0,319985900,32013,36,D,9900.0,10000.0
20,Behshahr.Ind.,20010429,10004.0,10000.0,10000.0,122701702,12269,28,D,10000.0,10000.0
21,Behshahr.Ind.,20010430,10101.0,9999.0,10100.0,231212998,23057,40,D,10000.0,10100.0
22,Behshahr.Ind.,20010501,10151.0,10100.0,10100.0,142635530,14104,16,D,10100.0,10100.0
23,Behshahr.Ind.,20010502,10106.0,10100.0,10102.0,132536581,13121,30,D,10100.0,10102.0
24,Behshahr.Ind.,20010505,10111.0,10100.0,10110.0,146539279,14503,37,D,10102.0,10110.0
25,Behshahr.Ind.,20010506,10176.0,10111.0,10176.0,50893048,5018,18,D,10110.0,10176.0
26,Behshahr.Ind.,20010507,10227.0,10200.0,10227.0,39805731,3894,11,D,10176.0,10227.0
27,Behshahr.Ind.,20010508,10287.0,10230.0,10287.0,21546594,2102,10,D,10227.0,10287.0
28,Behshahr.Ind.,20010509,10516.0,10290.0,10516.0,82412024,7898,14,D,10287.0,10516.0
29,Behshahr.Ind.,20010512,10800.0,10523.0,10800.0,246027578,22922,35,D,10516.0,10800.0
30,Behshahr.Ind.,20010513,11000.0,10800.0,11000.0,205511453,18798,28,D,10800.0,11000.0
31,Behshahr.Ind.,20010515,11053.0,11000.0,11053.0,28408220,2579,12,D,11000.0,11053.0
32,Behshahr.Ind.,20010516,11500.0,11050.0,11500.0,392682331,34829,41,D,11053.0,11500.0
33,Behshahr.Ind.,20010519,12000.0,11500.0,11990.0,64677788,5497,17,D,11500.0,11990.0
34,Behshahr.Ind.,20010520,12500.0,12000.0,12500.0,477190040,38704,45,D,11990.0,12500.0
35,Behshahr.Ind.,20010521,12500.0,12468.0,12468.0,96423630,7716,14,D,12500.0,12468.0
36,Behshahr.Ind.,20010523,12450.0,12000.0,12000.0,446873468,37096,30,D,12468.0,12000.0
37,Behshahr.Ind.,20010526,12000.0,11900.0,11900.0,114855278,9605,15,D,12000.0,11900.0
38,Behshahr.Ind.,20010527,12000.0,11799.0,11800.0,1283620811,107243,42,D,11900.0,11800.0
39,Behshahr.Ind.,20010528,11796.0,11640.0,11640.0,55128324,4687,15,D,11800.0,11640.0
40,Behshahr.Ind.,20010529,11600.0,11058.0,11100.0,336859074,30148,76,D,11640.0,11100.0
41,Behshahr.Ind.,20010530,11200.0,11080.0,11200.0,1008267047,90214,75,D,11100.0,11200.0
42,Behshahr.Ind.,20010602,11300.0,11203.0,11300.0,75834999,6727,24,D,11200.0,11300.0
43,Behshahr.Ind.,20010603,11300.0,11200.0,11300.0,49058441,4360,16,D,11300.0,11300.0
44,Behshahr.Ind.,20010606,11401.0,11300.0,11400.0,96398654,8470,17,D,11300.0,11400.0
45,Behshahr.Ind.,20010609,11450.0,11401.0,11410.0,68076802,5949,11,D,11400.0,11410.0
46,Behshahr.Ind.,20010611,11502.0,11410.0,11502.0,118694949,10350,15,D,11410.0,11502.0
47,Behshahr.Ind.,20010612,11600.0,11500.0,11503.0,176779236,15364,42,D,11502.0,11503.0
48,Behshahr.Ind.,20010613,11600.0,11413.0,11413.0,242282035,20983,28,D,11503.0,11413.0
49,Behshahr.Ind.,20010616,11400.0,11400.0,11400.0,10613400,931,1,D,11413.0,11400.0
50,Behshahr.Ind.,20010617,11387.0,11100.0,11100.0,30998103,2769,5,D,11400.0,11100.0
