,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Bojnourd.Cement,20040119,18000.0,18000.0,18000.0,48599982000,2699999,1752,D,18000.0,18000.0
1,Bojnourd.Cement,20040121,18900.0,18022.0,18022.0,28349122,1500,8,D,18000.0,18022.0
2,Bojnourd.Cement,20040124,18923.0,18022.0,18022.0,9460599,500,3,D,18022.0,18022.0
3,Bojnourd.Cement,20040125,18923.0,18052.0,18052.0,37939744,2005,6,D,18022.0,18052.0
4,Bojnourd.Cement,20040126,18954.0,18128.0,18128.0,94769174,5000,6,D,18052.0,18128.0
5,Bojnourd.Cement,20040127,19034.0,19034.0,19034.0,1713060000,90000,134,D,18128.0,19034.0
6,Bojnourd.Cement,20040128,19985.0,19373.0,19373.0,419684388,21000,40,D,19034.0,19373.0
7,Bojnourd.Cement,20040131,20341.0,20341.0,20341.0,1449072499,71239,144,D,19373.0,20341.0
8,Bojnourd.Cement,20040201,21358.0,20340.0,21328.0,28371005051,1330212,1578,D,20341.0,21328.0
9,Bojnourd.Cement,20040203,22394.0,22105.0,22385.0,5082798228,227058,378,D,21328.0,22385.0
10,Bojnourd.Cement,20040204,23504.0,23400.0,23502.0,3137990204,133517,113,D,22385.0,23502.0
11,Bojnourd.Cement,20040207,24677.0,23520.0,24586.0,4633889852,188471,214,D,23502.0,24586.0
12,Bojnourd.Cement,20040208,25499.0,24450.0,24861.0,4680836505,188274,255,D,24586.0,24861.0
13,Bojnourd.Cement,20040209,24861.0,23700.0,24309.0,3570262849,146864,193,D,24861.0,24309.0
14,Bojnourd.Cement,20040214,24003.0,23750.0,23973.0,1782374386,74348,188,D,24309.0,23973.0
15,Bojnourd.Cement,20040215,23921.0,23000.0,23394.0,547439212,23400,35,D,23973.0,23394.0
16,Bojnourd.Cement,20040216,23389.0,22900.0,23166.0,1777814152,76740,154,D,23394.0,23166.0
17,Bojnourd.Cement,20040217,23350.0,23066.0,23168.0,1533801656,66201,93,D,23166.0,23168.0
18,Bojnourd.Cement,20040218,24326.0,23103.0,24252.0,2742415818,113076,147,D,23168.0,24252.0
19,Bojnourd.Cement,20040221,25460.0,24550.0,24550.0,525258923,20933,47,D,24252.0,24550.0
20,Bojnourd.Cement,20040222,25300.0,24652.0,25000.0,6978286536,279121,109,D,24550.0,25000.0
21,Bojnourd.Cement,20040223,25650.0,25293.0,25392.0,1047076762,40958,66,D,25000.0,25392.0
22,Bojnourd.Cement,20040224,26000.0,25608.0,25608.0,793540303,30748,47,D,25392.0,25608.0
23,Bojnourd.Cement,20040225,25865.0,25660.0,25660.0,328983425,12725,35,D,25608.0,25660.0
24,Bojnourd.Cement,20040228,26887.0,25859.0,26286.0,1798736710,68428,89,D,25660.0,26286.0
25,Bojnourd.Cement,20040229,27600.0,26715.0,26715.0,555400350,20167,45,D,26286.0,26715.0
26,Bojnourd.Cement,20040303,27998.0,27022.0,27587.0,2752504543,99774,93,D,26715.0,27587.0
27,Bojnourd.Cement,20040306,27488.0,26780.0,27273.0,1121336976,41315,91,D,27587.0,27273.0
28,Bojnourd.Cement,20040307,26888.0,26210.0,26888.0,53056862582,1987243,53,D,27273.0,26888.0
29,Bojnourd.Cement,20040308,26746.0,26199.0,26675.0,618133610,23454,58,D,26888.0,26675.0
30,Bojnourd.Cement,20040309,26280.0,25342.0,26160.0,670206909,26259,67,D,26675.0,26160.0
31,Bojnourd.Cement,20040310,25857.0,24852.0,25857.0,411141509,16395,39,D,26160.0,25857.0
32,Bojnourd.Cement,20040313,25757.0,24600.0,25757.0,155832071,6252,17,D,25857.0,25757.0
33,Bojnourd.Cement,20040314,25510.0,24470.0,25510.0,304625603,12389,31,D,25757.0,25510.0
34,Bojnourd.Cement,20040315,25041.0,24235.0,25041.0,561168775,23077,32,D,25510.0,25041.0
35,Bojnourd.Cement,20040316,25440.0,24227.0,24841.0,574850191,23424,38,D,25041.0,24841.0
36,Bojnourd.Cement,20040317,25503.0,25043.0,25043.0,461380600,18094,35,D,24841.0,25043.0
37,Bojnourd.Cement,20040327,25503.0,25071.0,25071.0,94198166,3694,8,D,25043.0,25071.0
38,Bojnourd.Cement,20040328,26300.0,25119.0,25119.0,107028315,4156,15,D,25071.0,25119.0
39,Bojnourd.Cement,20040329,26374.0,25232.0,25232.0,144307596,5480,10,D,25119.0,25232.0
40,Bojnourd.Cement,20040330,26493.0,25419.0,25419.0,293971152,11213,29,D,25232.0,25419.0
41,Bojnourd.Cement,20040403,26493.0,25530.0,25530.0,280260081,10680,24,D,25419.0,25530.0
42,Bojnourd.Cement,20040404,26493.0,25715.0,25715.0,436586605,16531,28,D,25530.0,25715.0
43,Bojnourd.Cement,20040407,26000.0,24430.0,25702.0,111435074,4370,15,D,25715.0,25702.0
44,Bojnourd.Cement,20040410,25450.0,24417.0,25450.0,378314139,15486,33,D,25702.0,25450.0
45,Bojnourd.Cement,20040412,25110.0,24178.0,25110.0,523918531,21633,42,D,25450.0,25110.0
46,Bojnourd.Cement,20040413,25025.0,24494.0,25025.0,485002583,19579,35,D,25110.0,25025.0
47,Bojnourd.Cement,20040414,25499.0,24611.0,25058.0,506582313,20138,28,D,25025.0,25058.0
48,Bojnourd.Cement,20040417,25058.0,24610.0,25023.0,172089487,6974,21,D,25058.0,25023.0
49,Bojnourd.Cement,20040418,25017.0,24591.0,25017.0,23639036,961,7,D,25023.0,25017.0
50,Bojnourd.Cement,20040421,25015.0,24430.0,25015.0,4037613,165,4,D,25017.0,25015.0
51,Bojnourd.Cement,20040424,24997.0,24385.0,24997.0,54561765,2237,3,D,25015.0,24997.0
52,Bojnourd.Cement,20040425,25500.0,24309.0,24828.0,2250029470,90622,99,D,24997.0,24828.0
53,Bojnourd.Cement,20040426,25501.0,24495.0,25202.0,1271084922,50010,43,D,24828.0,25202.0
54,Bojnourd.Cement,20040427,25193.0,24800.0,25193.0,39931930,1610,2,D,25202.0,25193.0
55,Bojnourd.Cement,20040428,25077.0,24000.0,25077.0,196821894,8173,17,D,25193.0,25077.0
56,Bojnourd.Cement,20040501,25052.0,23824.0,25052.0,38362920,1607,5,D,25077.0,25052.0
57,Bojnourd.Cement,20040504,25035.0,23800.0,25035.0,24407350,1025,3,D,25052.0,25035.0
58,Bojnourd.Cement,20040505,25000.0,23784.0,23822.0,2114553932,88762,97,D,25035.0,23822.0
