,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Dashtestan.Ce.,20070715,2570.0,2570.0,2570.0,7710000000,3000000,38,D,0.0,2570.0
1,Dashtestan.Ce.,20070716,2621.0,2604.0,2604.0,419386040,160010,41,D,2570.0,2604.0
2,Dashtestan.Ce.,20070717,2608.0,2552.0,2602.0,958962526,374847,12,D,2604.0,2602.0
3,Dashtestan.Ce.,20070721,2587.0,2550.0,2587.0,178525870,70010,8,D,2602.0,2587.0
4,Dashtestan.Ce.,20070722,2572.0,2536.0,2572.0,177545720,70010,16,D,2587.0,2572.0
5,Dashtestan.Ce.,20070723,2572.0,2521.0,2564.0,152335640,60010,7,D,2572.0,2564.0
6,Dashtestan.Ce.,20070724,2541.0,2513.0,2541.0,272306447,108359,24,D,2564.0,2541.0
7,Dashtestan.Ce.,20070725,2524.0,2500.0,2524.0,250085240,100010,11,D,2541.0,2524.0
8,Dashtestan.Ce.,20070729,2523.0,2474.0,2523.0,8684230,3510,2,D,2524.0,2523.0
9,Dashtestan.Ce.,20070730,2522.0,2475.0,2522.0,7606245,3073,3,D,2523.0,2522.0
10,Dashtestan.Ce.,20070804,2522.0,2519.0,2522.0,277120,110,2,D,2522.0,2522.0
11,Dashtestan.Ce.,20070806,2501.0,2472.0,2501.0,247225010,100010,11,D,2522.0,2501.0
12,Dashtestan.Ce.,20070807,2501.0,2451.0,2501.0,2476010,1010,2,D,2501.0,2501.0
13,Dashtestan.Ce.,20070808,2495.0,2451.0,2495.0,73554950,30010,7,D,2501.0,2495.0
14,Dashtestan.Ce.,20070813,2491.0,2451.0,2491.0,48162550,19650,5,D,2495.0,2491.0
15,Dashtestan.Ce.,20070814,2450.0,2442.0,2450.0,491406150,201227,35,D,2491.0,2450.0
16,Dashtestan.Ce.,20070819,2449.0,2401.0,2449.0,24022029490,10005010,3,D,2450.0,2449.0
17,Dashtestan.Ce.,20070820,2448.0,2401.0,2448.0,24022029480,10005010,4,D,2449.0,2448.0
18,Dashtestan.Ce.,20070821,2407.0,2400.0,2407.0,492024070,205010,23,D,2448.0,2407.0
19,Dashtestan.Ce.,20070826,2408.0,2407.0,2408.0,35871667480,14903060,3,D,2407.0,2408.0
20,Dashtestan.Ce.,20070827,2407.0,1704.0,2407.0,24066108258,12235092,5,D,2408.0,2407.0
21,Dashtestan.Ce.,20070902,2407.0,2407.0,2407.0,24070000,10000,5,D,2407.0,2407.0
22,Dashtestan.Ce.,20070903,2450.0,2407.0,2407.0,6982520,2851,3,D,2407.0,2407.0
23,Dashtestan.Ce.,20070905,2418.0,2407.0,2418.0,35917985500,14922250,6,D,2407.0,2418.0
24,Dashtestan.Ce.,20070909,2407.0,2407.0,2407.0,34184370455,14202065,2,D,2418.0,2407.0
25,Dashtestan.Ce.,20070911,2455.0,2409.0,2409.0,25385905,10345,6,D,2407.0,2409.0
26,Dashtestan.Ce.,20070915,2409.0,2407.0,2409.0,10968719,4557,5,D,2409.0,2409.0
27,Dashtestan.Ce.,20070918,2410.0,2409.0,2409.0,11001640,4565,2,D,2409.0,2409.0
