,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Sepahan.Group,20011119,2800.0,2700.0,2800.0,1950716500,713895,67,D,0.0,2800.0
1,Sepahan.Group,20011120,2912.0,2890.0,2912.0,1615295400,557240,306,D,2800.0,2912.0
2,Sepahan.Group,20011121,2919.0,2914.0,2919.0,334825358,114747,126,D,2912.0,2919.0
3,Sepahan.Group,20011124,2950.0,2932.0,2950.0,790362645,268020,284,D,2919.0,2950.0
4,Sepahan.Group,20011125,2971.0,2970.0,2970.0,53466300,18000,13,D,2950.0,2970.0
5,Sepahan.Group,20011126,2970.0,2970.0,2970.0,77808060,26198,9,D,2970.0,2970.0
6,Sepahan.Group,20011204,2996.0,2994.0,2994.0,3294760,1100,2,D,2970.0,2994.0
7,Sepahan.Group,20011208,2997.0,2994.0,2994.0,5991430,2000,4,D,2994.0,2994.0
8,Sepahan.Group,20011209,2995.0,2992.0,2992.0,29935196,10000,6,D,2994.0,2992.0
9,Sepahan.Group,20011210,2995.0,2995.0,2995.0,58564230,19554,7,D,2992.0,2995.0
10,Sepahan.Group,20011211,2995.0,2995.0,2995.0,27353335,9133,3,D,2995.0,2995.0
11,Sepahan.Group,20011212,2995.0,2995.0,2995.0,357626960,119408,18,D,2995.0,2995.0
12,Sepahan.Group,20011215,2995.0,2995.0,2995.0,14975000,5000,2,D,2995.0,2995.0
13,Sepahan.Group,20011217,2995.0,2995.0,2995.0,2995000,1000,1,D,2995.0,2995.0
14,Sepahan.Group,20011218,2995.0,2995.0,2995.0,10278840,3432,3,D,2995.0,2995.0
15,Sepahan.Group,20011223,2935.0,2932.0,2932.0,8494890,2895,4,D,2995.0,2932.0
16,Sepahan.Group,20011224,2932.0,2932.0,2932.0,1958576,668,1,D,2932.0,2932.0
17,Sepahan.Group,20011225,2933.0,2932.0,2933.0,3225300,1100,2,D,2932.0,2933.0
18,Sepahan.Group,20011230,2929.0,2929.0,2929.0,1464500,500,1,D,2933.0,2929.0
19,Sepahan.Group,20011231,2930.0,2929.0,2929.0,21777528,7434,4,D,2929.0,2929.0
20,Sepahan.Group,20020101,2940.0,2929.0,2929.0,5869000,2000,2,D,2929.0,2929.0
21,Sepahan.Group,20020105,2940.0,2929.0,2940.0,6163000,2100,2,D,2929.0,2940.0
22,Sepahan.Group,20020107,2929.0,2928.0,2928.0,2849510,973,2,D,2940.0,2928.0
23,Sepahan.Group,20020126,2897.0,2897.0,2897.0,2897000,1000,1,D,2928.0,2897.0
24,Sepahan.Group,20020127,2900.0,2890.0,2900.0,42294130,14617,14,D,2897.0,2900.0
25,Sepahan.Group,20020128,2929.0,2900.0,2929.0,46923530,16070,8,D,2900.0,2929.0
26,Sepahan.Group,20020130,2929.0,2929.0,2929.0,14645000,5000,2,D,2929.0,2929.0
27,Sepahan.Group,20020206,2932.0,2930.0,2930.0,75277586,25680,5,D,2929.0,2930.0
28,Sepahan.Group,20020210,2930.0,2930.0,2930.0,4863800,1660,1,D,2930.0,2930.0
29,Sepahan.Group,20020216,2931.0,2930.0,2930.0,9440470,3222,2,D,2930.0,2930.0
30,Sepahan.Group,20020218,2930.0,2930.0,2930.0,11720000,4000,2,D,2930.0,2930.0
31,Sepahan.Group,20020219,2930.0,2930.0,2930.0,3305040,1128,1,D,2930.0,2930.0
32,Sepahan.Group,20020220,2930.0,2930.0,2930.0,256961000,87700,32,D,2930.0,2930.0
33,Sepahan.Group,20020224,2930.0,2930.0,2930.0,85939830,29331,7,D,2930.0,2930.0
34,Sepahan.Group,20020226,2931.0,2930.0,2930.0,40289500,13750,7,D,2930.0,2930.0
35,Sepahan.Group,20020304,2930.0,2930.0,2930.0,14099160,4812,4,D,2930.0,2930.0
36,Sepahan.Group,20020608,3000.0,3000.0,3000.0,9999000,3333,1,D,2930.0,3000.0
37,Sepahan.Group,20020609,3003.0,3001.0,3003.0,4623540,1540,2,D,3000.0,3003.0
38,Sepahan.Group,20020616,3003.0,3000.0,3000.0,1935336,645,2,D,3003.0,3000.0
39,Sepahan.Group,20020617,3000.0,3000.0,3000.0,12510000,4170,2,D,3000.0,3000.0
40,Sepahan.Group,20020618,3000.0,3000.0,3000.0,891000,297,1,D,3000.0,3000.0
41,Sepahan.Group,20020728,2900.0,2900.0,2900.0,2900000,1000,1,D,3000.0,2900.0
42,Sepahan.Group,20020831,2894.0,2893.0,2893.0,67503369,23333,6,D,2900.0,2893.0
43,Sepahan.Group,20020902,2890.0,2889.0,2890.0,52115040,18033,11,D,2893.0,2890.0
44,Sepahan.Group,20021016,2888.0,2888.0,2888.0,19566200,6775,5,D,2890.0,2888.0
45,Sepahan.Group,20021103,2888.0,2888.0,2888.0,27918296,9667,10,D,2888.0,2888.0
46,Sepahan.Group,20021105,2890.0,2890.0,2890.0,57800,20,1,D,2888.0,2890.0
47,Sepahan.Group,20021106,2900.0,2900.0,2900.0,15950000,5500,2,D,2890.0,2900.0
48,Sepahan.Group,20021109,3045.0,3000.0,3045.0,27180000,9000,2,D,2900.0,3045.0
49,Sepahan.Group,20021110,3197.0,3100.0,3197.0,15694000,5000,2,D,3045.0,3197.0
50,Sepahan.Group,20021113,3260.0,3250.0,3260.0,26077000,8020,4,D,3197.0,3260.0
51,Sepahan.Group,20021117,3262.0,3262.0,3262.0,6524000,2000,1,D,3260.0,3262.0
52,Sepahan.Group,20021118,3280.0,3280.0,3280.0,7314400,2230,2,D,3262.0,3280.0
53,Sepahan.Group,20021119,3350.0,3300.0,3350.0,23280000,7000,4,D,3280.0,3350.0
54,Sepahan.Group,20021123,3450.0,3372.0,3450.0,17136500,5000,4,D,3350.0,3450.0
55,Sepahan.Group,20021124,3451.0,3423.0,3451.0,56362656,16356,33,D,3450.0,3451.0
56,Sepahan.Group,20021125,3550.0,3451.0,3550.0,41164799,11749,7,D,3451.0,3550.0
57,Sepahan.Group,20021126,3650.0,3650.0,3650.0,10950000,3000,2,D,3550.0,3650.0
58,Sepahan.Group,20021130,3650.0,3650.0,3650.0,10563100,2894,4,D,3650.0,3650.0
59,Sepahan.Group,20021201,3649.0,3649.0,3649.0,72980,20,1,D,3650.0,3649.0
60,Sepahan.Group,20021202,3601.0,3601.0,3601.0,36010000,10000,3,D,3649.0,3601.0
61,Sepahan.Group,20021203,3553.0,3553.0,3553.0,7106000,2000,1,D,3601.0,3553.0
62,Sepahan.Group,20021204,3557.0,3557.0,3557.0,8892500,2500,1,D,3553.0,3557.0
63,Sepahan.Group,20021214,3629.0,3627.0,3629.0,4397298,1212,5,D,3557.0,3629.0
64,Sepahan.Group,20021221,3810.0,3640.0,3810.0,35855000,9500,2,D,3629.0,3810.0
65,Sepahan.Group,20021225,3810.0,3810.0,3810.0,1905000,500,1,D,3810.0,3810.0
66,Sepahan.Group,20030101,3812.0,3812.0,3812.0,1616288,424,1,D,3810.0,3812.0
67,Sepahan.Group,20030107,3817.0,3817.0,3817.0,9599755,2515,1,D,3812.0,3817.0
68,Sepahan.Group,20030112,3906.0,3905.0,3906.0,29644855,7591,7,D,3817.0,3906.0
69,Sepahan.Group,20030113,3920.0,3920.0,3920.0,7840000,2000,1,D,3906.0,3920.0
70,Sepahan.Group,20030205,5000.0,5000.0,5000.0,18740000,3748,1,D,3920.0,5000.0
71,Sepahan.Group,20030209,5250.0,5250.0,5250.0,5250000,1000,1,D,5000.0,5250.0
72,Sepahan.Group,20030210,5512.0,5512.0,5512.0,5512000,1000,2,D,5250.0,5512.0
73,Sepahan.Group,20030215,5787.0,5750.0,5750.0,14141150,2450,3,D,5512.0,5750.0
74,Sepahan.Group,20030216,6076.0,6076.0,6076.0,18228000,3000,3,D,5750.0,6076.0
75,Sepahan.Group,20030217,6379.0,6379.0,6379.0,81651200,12800,11,D,6076.0,6379.0
76,Sepahan.Group,20030218,6379.0,6378.0,6379.0,47132431,7389,10,D,6379.0,6379.0
77,Sepahan.Group,20030219,6379.0,6377.0,6378.0,56933101,8927,8,D,6379.0,6378.0
78,Sepahan.Group,20030222,6380.0,6380.0,6380.0,23912240,3748,1,D,6378.0,6380.0
