,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Spahan.Naft,20140526,17500.0,17500.0,17500.0,1550105707500,88577469,6514,D,1000.0,17500.0
1,Spahan.Naft,20140528,17500.0,17500.0,17500.0,391600895000,22377194,22287,D,17500.0,17500.0
2,Spahan.Naft,20140531,18200.0,18200.0,18200.0,25388363000,1394965,898,D,17500.0,18200.0
3,Spahan.Naft,20140601,18899.0,18444.0,18682.0,1018347828382,54510135,28188,D,18200.0,18740.0
4,Spahan.Naft,20140602,18991.0,18588.0,18775.0,218115666286,11617074,10776,D,18682.0,18740.0
5,Spahan.Naft,20140603,18850.0,18586.0,18689.0,177063331692,9474007,5796,D,18775.0,18601.0
6,Spahan.Naft,20140607,18720.0,18453.0,18572.0,114635324813,6172486,5934,D,18689.0,18500.0
7,Spahan.Naft,20140608,18600.0,18491.0,18511.0,126909058413,6855997,4388,D,18572.0,18506.0
8,Spahan.Naft,20140609,18748.0,18515.0,18670.0,72006906209,3856856,3684,D,18511.0,18700.0
9,Spahan.Naft,20140610,18750.0,18550.0,18639.0,60127285312,3225939,2452,D,18670.0,18700.0
10,Spahan.Naft,20140611,18638.0,18510.0,18575.0,41247501202,2220608,1574,D,18639.0,18630.0
11,Spahan.Naft,20140614,18511.0,17901.0,18288.0,76733464560,4195847,2373,D,18575.0,17942.0
12,Spahan.Naft,20140615,18297.0,17851.0,18152.0,62533332053,3445004,2029,D,18288.0,18007.0
13,Spahan.Naft,20140616,18613.0,18200.0,18479.0,77590514276,4198740,2019,D,18152.0,18500.0
14,Spahan.Naft,20140617,18499.0,18104.0,18428.0,50396512932,2734806,1288,D,18479.0,18160.0
15,Spahan.Naft,20140618,18590.0,18400.0,18480.0,27922284325,1510982,1962,D,18428.0,18501.0
16,Spahan.Naft,20140621,18500.0,18300.0,18458.0,28380698286,1537558,816,D,18480.0,18322.0
17,Spahan.Naft,20140622,18500.0,18121.0,18432.0,39211119476,2127330,1522,D,18458.0,18207.0
18,Spahan.Naft,20140623,18500.0,18210.0,18435.0,43674903499,2369082,1250,D,18432.0,18500.0
19,Spahan.Naft,20140624,18405.0,18200.0,18382.0,32880689113,1788729,925,D,18435.0,18240.0
20,Spahan.Naft,20140625,18395.0,18170.0,18331.0,29215266071,1593773,910,D,18382.0,18300.0
21,Spahan.Naft,20140628,18301.0,17598.0,18147.0,26379527715,1453682,930,D,18331.0,17627.0
22,Spahan.Naft,20140629,18100.0,17422.0,17637.0,37942907635,2151378,1070,D,18147.0,17422.0
23,Spahan.Naft,20140630,17500.0,16932.0,17027.0,24810637795,1457134,822,D,17637.0,17500.0
24,Spahan.Naft,20140701,17708.0,17010.0,17544.0,8813698638,501697,469,D,17027.0,17708.0
25,Spahan.Naft,20140702,18245.0,17801.0,18202.0,24798542714,1362385,899,D,17544.0,18245.0
26,Spahan.Naft,20140705,18930.0,18400.0,18868.0,49924494827,2646018,1912,D,18202.0,18930.0
27,Spahan.Naft,20140706,18800.0,18114.0,18158.0,27102635332,1492624,895,D,18868.0,18114.0
28,Spahan.Naft,20140707,18390.0,17600.0,18067.0,9703863764,537106,467,D,18158.0,18340.0
29,Spahan.Naft,20140708,18699.0,18131.0,18491.0,17976785792,972197,805,D,18067.0,18600.0
30,Spahan.Naft,20140709,18500.0,18090.0,18324.0,18397905095,1004049,858,D,18491.0,18333.0
31,Spahan.Naft,20140712,18699.0,18150.0,18385.0,19443015809,1057543,878,D,18324.0,18326.0
32,Spahan.Naft,20140713,19005.0,17800.0,18608.0,26501158361,1424149,922,D,18385.0,18300.0
33,Spahan.Naft,20140714,18500.0,18210.0,18454.0,6949358788,377795,386,D,18608.0,18391.0
34,Spahan.Naft,20140715,18450.0,18101.0,18271.0,10286337040,562992,486,D,18454.0,18210.0
35,Spahan.Naft,20140716,18450.0,17902.0,18189.0,36989787891,2033627,1294,D,18271.0,18310.0
36,Spahan.Naft,20140723,16095.0,15501.0,15896.0,24631988780,1549534,894,D,15289.0,15780.0
37,Spahan.Naft,20140726,15800.0,15400.0,15583.0,6368130439,410962,443,D,15896.0,15400.0
38,Spahan.Naft,20140727,15415.0,15263.0,15471.0,3230833422,211109,287,D,15583.0,15301.0
39,Spahan.Naft,20140728,15500.0,15272.0,15380.0,4521687413,295356,367,D,15471.0,15320.0
40,Spahan.Naft,20140802,15395.0,15001.0,15197.0,5464275504,361531,328,D,15380.0,15037.0
41,Spahan.Naft,20140803,15040.0,14601.0,14809.0,13153740654,888217,535,D,15197.0,15000.0
42,Spahan.Naft,20140804,15300.0,14810.0,15059.0,7317099503,485245,337,D,14809.0,14900.0
43,Spahan.Naft,20140805,15000.0,14824.0,15004.0,2773381377,186096,186,D,15059.0,14900.0
44,Spahan.Naft,20140806,15029.0,14752.0,14985.0,7297916697,487047,296,D,15004.0,15029.0
45,Spahan.Naft,20140809,15000.0,14756.0,14877.0,4985591570,336495,233,D,14985.0,14835.0
46,Spahan.Naft,20140810,14800.0,14651.0,14811.0,3380849734,229588,248,D,14877.0,14671.0
47,Spahan.Naft,20140811,14798.0,14501.0,14588.0,8037803993,550992,449,D,14811.0,14510.0
48,Spahan.Naft,20140812,15171.0,14255.0,14917.0,21969366859,1472814,768,D,14588.0,14910.0
49,Spahan.Naft,20140813,15049.0,14631.0,14900.0,2899042531,194926,180,D,14917.0,14860.0
50,Spahan.Naft,20140816,14960.0,14601.0,14821.0,2137597456,146264,214,D,14900.0,14611.0
51,Spahan.Naft,20140817,15370.0,14581.0,14949.0,12668798923,847471,437,D,14821.0,14770.0
52,Spahan.Naft,20140818,14900.0,14654.0,14855.0,2925071284,198971,185,D,14949.0,14700.0
53,Spahan.Naft,20140819,15349.0,14663.0,15066.0,18465419201,1225614,619,D,14855.0,15100.0
54,Spahan.Naft,20140820,15398.0,14921.0,15200.0,6550987761,430159,249,D,15066.0,14932.0
55,Spahan.Naft,20140823,14910.0,14810.0,15086.0,2586784301,174124,205,D,15200.0,14810.0
56,Spahan.Naft,20140824,14840.0,14751.0,14889.0,5216415618,352639,217,D,15086.0,14810.0
57,Spahan.Naft,20140825,14810.0,14704.0,14816.0,4379563524,296724,211,D,14889.0,14725.0
58,Spahan.Naft,20140826,15002.0,14705.0,14913.0,8055998289,540207,333,D,14816.0,14840.0
59,Spahan.Naft,20140827,14999.0,14800.0,14902.0,5820292248,390659,216,D,14913.0,14800.0
60,Spahan.Naft,20140830,15000.0,14720.0,14893.0,4747803330,318933,230,D,14902.0,14800.0
61,Spahan.Naft,20140831,14998.0,14725.0,14876.0,5441062336,365940,313,D,14893.0,14980.0
