,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Gharb.Cement.,20010410,4856.0,4856.0,4856.0,2597960,535,1,D,4856.0,4856.0
1,Gharb.Cement.,20010411,4856.0,4856.0,4856.0,2913600,600,1,D,4856.0,4856.0
2,Gharb.Cement.,20010415,4856.0,4620.0,4620.0,2714772,587,3,D,4856.0,4620.0
3,Gharb.Cement.,20010422,4851.0,4851.0,4851.0,4851000,1000,1,D,4620.0,4851.0
4,Gharb.Cement.,20010423,5093.0,5050.0,5093.0,53125664,10448,6,D,4851.0,5093.0
5,Gharb.Cement.,20010424,5347.0,5347.0,5347.0,11228700,2100,1,D,5093.0,5347.0
6,Gharb.Cement.,20010425,5347.0,5347.0,5347.0,20853300,3900,3,D,5347.0,5347.0
7,Gharb.Cement.,20010507,5347.0,5347.0,5347.0,802050,150,1,D,5347.0,5347.0
8,Gharb.Cement.,20010508,5349.0,5347.0,5347.0,63494979,11871,3,D,5347.0,5347.0
9,Gharb.Cement.,20010509,5500.0,5500.0,5500.0,8140000,1480,2,D,5347.0,5500.0
10,Gharb.Cement.,20010519,5503.0,5503.0,5503.0,2718482,494,1,D,5500.0,5503.0
11,Gharb.Cement.,20010523,5550.0,5550.0,5550.0,3307800,596,1,D,5503.0,5550.0
12,Gharb.Cement.,20010526,5550.0,5545.0,5550.0,8556525,1542,2,D,5550.0,5550.0
13,Gharb.Cement.,20010528,5559.0,5559.0,5559.0,1489812,268,1,D,5550.0,5559.0
14,Gharb.Cement.,20010529,5602.0,5602.0,5602.0,974748,174,1,D,5559.0,5602.0
15,Gharb.Cement.,20010603,5612.0,5612.0,5612.0,1431060,255,1,D,5602.0,5612.0
16,Gharb.Cement.,20010606,5660.0,5612.0,5660.0,1459543130,260000,108,D,5612.0,5660.0
17,Gharb.Cement.,20010611,5910.0,5800.0,5910.0,11985091,2047,5,D,5660.0,5910.0
18,Gharb.Cement.,20010612,5950.0,5950.0,5950.0,32445350,5453,3,D,5910.0,5950.0
19,Gharb.Cement.,20010613,5950.0,5950.0,5950.0,67639600,11368,15,D,5950.0,5950.0
20,Gharb.Cement.,20010616,5950.0,5950.0,5950.0,55513500,9330,11,D,5950.0,5950.0
21,Gharb.Cement.,20010617,5950.0,5950.0,5950.0,59500000,10000,3,D,5950.0,5950.0
22,Gharb.Cement.,20010618,5953.0,5951.0,5953.0,29761000,5000,4,D,5950.0,5953.0
23,Gharb.Cement.,20010624,6100.0,6000.0,6100.0,12100000,2000,4,D,5953.0,6100.0
24,Gharb.Cement.,20010625,6100.0,6099.0,6100.0,34768300,5700,3,D,6100.0,6100.0
25,Gharb.Cement.,20010626,6103.0,6103.0,6103.0,952068,156,1,D,6100.0,6103.0
26,Gharb.Cement.,20010627,6109.0,6109.0,6109.0,24436000,4000,2,D,6103.0,6109.0
27,Gharb.Cement.,20010630,6231.0,6119.0,6119.0,206038750,33650,6,D,6109.0,6119.0
28,Gharb.Cement.,20010710,6158.0,6158.0,6158.0,597326,97,1,D,6119.0,6158.0
29,Gharb.Cement.,20010717,6465.0,6465.0,6465.0,32325000,5000,1,D,6158.0,6465.0
30,Gharb.Cement.,20010718,6788.0,6788.0,6788.0,33940000,5000,5,D,6465.0,6788.0
31,Gharb.Cement.,20010721,7127.0,7127.0,7127.0,14254000,2000,3,D,6788.0,7127.0
32,Gharb.Cement.,20010722,7483.0,7483.0,7483.0,22449000,3000,7,D,7127.0,7483.0
33,Gharb.Cement.,20010723,7670.0,7670.0,7670.0,21476000,2800,4,D,7483.0,7670.0
34,Gharb.Cement.,20010725,7861.0,7861.0,7861.0,157220000,20000,17,D,7670.0,7861.0
35,Gharb.Cement.,20010728,8057.0,8057.0,8057.0,161140000,20000,18,D,7861.0,8057.0
36,Gharb.Cement.,20010729,8258.0,8258.0,8258.0,165160000,20000,23,D,8057.0,8258.0
37,Gharb.Cement.,20010730,8464.0,8464.0,8464.0,359296800,42450,43,D,8258.0,8464.0
38,Gharb.Cement.,20010731,8548.0,8548.0,8548.0,8060712712,942994,253,D,8464.0,8548.0
39,Gharb.Cement.,20010801,8633.0,8633.0,8633.0,101170127,11719,5,D,8548.0,8633.0
40,Gharb.Cement.,20010804,8719.0,8719.0,8719.0,217975000,25000,11,D,8633.0,8719.0
41,Gharb.Cement.,20010805,8806.0,8806.0,8806.0,44030000,5000,5,D,8719.0,8806.0
42,Gharb.Cement.,20010806,8894.0,8894.0,8894.0,204562000,23000,15,D,8806.0,8894.0
43,Gharb.Cement.,20010807,8982.0,8982.0,8982.0,107784000,12000,6,D,8894.0,8982.0
44,Gharb.Cement.,20010808,9071.0,9071.0,9071.0,3419857710,377010,131,D,8982.0,9071.0
45,Gharb.Cement.,20010811,8981.0,8981.0,8981.0,18402069,2049,4,D,9071.0,8981.0
46,Gharb.Cement.,20010812,8892.0,8892.0,8892.0,8892000,1000,2,D,8981.0,8892.0
47,Gharb.Cement.,20010813,8980.0,8804.0,8900.0,386412864,43756,52,D,8892.0,8900.0
48,Gharb.Cement.,20010814,8979.0,8811.0,8811.0,300921510,33720,33,D,8900.0,8811.0
49,Gharb.Cement.,20010815,8811.0,8723.0,8723.0,70224000,8000,8,D,8811.0,8723.0
50,Gharb.Cement.,20010818,8720.0,8636.0,8636.0,136533600,15710,13,D,8723.0,8636.0
51,Gharb.Cement.,20010819,8636.0,8606.0,8606.0,75012200,8700,14,D,8636.0,8606.0
52,Gharb.Cement.,20010820,8600.0,8596.0,8599.0,65772669,7650,7,D,8606.0,8599.0
53,Gharb.Cement.,20010821,8520.0,8520.0,8520.0,68160000,8000,12,D,8599.0,8520.0
54,Gharb.Cement.,20010822,8520.0,8500.0,8520.0,33235740,3904,6,D,8520.0,8520.0
55,Gharb.Cement.,20010825,8605.0,8600.0,8605.0,40231352,4676,4,D,8520.0,8605.0
56,Gharb.Cement.,20010827,8691.0,8691.0,8691.0,6083700,700,4,D,8605.0,8691.0
57,Gharb.Cement.,20010828,8698.0,8693.0,8698.0,14389715,1655,4,D,8691.0,8698.0
