,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Fars.Chem..Ind.,20010424,6100.0,6100.0,6100.0,12200000,2000,1,D,6100.0,6100.0
1,Fars.Chem..Ind.,20010425,6150.0,6100.0,6150.0,9800000,1600,4,D,6100.0,6150.0
2,Fars.Chem..Ind.,20010428,6150.0,6100.0,6100.0,7090150,1161,2,D,6150.0,6100.0
3,Fars.Chem..Ind.,20010512,6000.0,5997.0,6000.0,14936645,2490,7,D,6100.0,6000.0
4,Fars.Chem..Ind.,20010513,6000.0,6000.0,6000.0,4800000,800,2,D,6000.0,6000.0
5,Fars.Chem..Ind.,20010515,6000.0,6000.0,6000.0,666000,111,1,D,6000.0,6000.0
6,Fars.Chem..Ind.,20010516,6060.0,6040.0,6060.0,9075000,1500,3,D,6000.0,6060.0
7,Fars.Chem..Ind.,20010519,6060.0,6060.0,6060.0,1818000,300,1,D,6060.0,6060.0
8,Fars.Chem..Ind.,20010520,6063.0,6062.0,6063.0,12731200,2100,3,D,6060.0,6063.0
9,Fars.Chem..Ind.,20010527,6181.0,6181.0,6181.0,30905000,5000,2,D,6063.0,6181.0
10,Fars.Chem..Ind.,20010528,6325.0,6250.0,6325.0,44207500,7000,6,D,6181.0,6325.0
11,Fars.Chem..Ind.,20010530,6600.0,6379.0,6379.0,33637900,5100,2,D,6325.0,6379.0
12,Fars.Chem..Ind.,20010602,6390.0,6390.0,6390.0,31950000,5000,2,D,6379.0,6390.0
13,Fars.Chem..Ind.,20010603,6709.0,6709.0,6709.0,13418000,2000,1,D,6390.0,6709.0
14,Fars.Chem..Ind.,20010606,7044.0,7044.0,7044.0,17610000,2500,1,D,6709.0,7044.0
15,Fars.Chem..Ind.,20010609,7396.0,7396.0,7396.0,22188000,3000,3,D,7044.0,7396.0
16,Fars.Chem..Ind.,20010611,7765.0,7765.0,7765.0,31060000,4000,6,D,7396.0,7765.0
17,Fars.Chem..Ind.,20010612,8153.0,8130.0,8130.0,180945635,22194,21,D,7765.0,8130.0
18,Fars.Chem..Ind.,20010613,7970.0,7970.0,7970.0,13835920,1736,4,D,8130.0,7970.0
19,Fars.Chem..Ind.,20010616,7992.0,7572.0,7992.0,108978212,13960,18,D,7970.0,7992.0
20,Fars.Chem..Ind.,20010617,8129.0,7968.0,8129.0,100889633,12575,16,D,7992.0,8129.0
21,Fars.Chem..Ind.,20010618,8129.0,8129.0,8129.0,97954450,12050,15,D,8129.0,8129.0
22,Fars.Chem..Ind.,20010619,8129.0,8129.0,8129.0,21306109,2621,4,D,8129.0,8129.0
