,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Hegmatan.Cement,20030701,15057.0,15000.0,15000.0,23249005000,1545820,194,D,15055.0,15000.0
1,Hegmatan.Cement,20030702,15013.0,15004.0,15004.0,2747620907,183111,87,D,15000.0,15004.0
2,Hegmatan.Cement,20030705,15031.0,15009.0,15030.0,4072653187,271069,134,D,15004.0,15030.0
3,Hegmatan.Cement,20030707,15100.0,15100.0,15100.0,755000000,50000,33,D,15030.0,15100.0
4,Hegmatan.Cement,20030708,15855.0,15300.0,15855.0,1572010000,100000,77,D,15100.0,15855.0
5,Hegmatan.Cement,20030709,16647.0,16647.0,16647.0,6991740000,420000,136,D,15855.0,16647.0
6,Hegmatan.Cement,20030713,18906.0,17755.0,18804.0,2573957068,136700,108,D,16647.0,18804.0
7,Hegmatan.Cement,20030714,19744.0,19744.0,19744.0,130251168,6597,6,D,18804.0,19744.0
8,Hegmatan.Cement,20030715,20731.0,20731.0,20731.0,2676081866,129086,182,D,19744.0,20731.0
9,Hegmatan.Cement,20030716,21767.0,21767.0,21767.0,3218272717,147851,163,D,20731.0,21767.0
10,Hegmatan.Cement,20030719,22855.0,21550.0,21800.0,3994007128,177094,252,D,21767.0,21800.0
11,Hegmatan.Cement,20030720,21802.0,20710.0,20710.0,1603317503,75307,149,D,21800.0,20710.0
12,Hegmatan.Cement,20030721,20511.0,20500.0,20506.0,2192146264,106907,107,D,20710.0,20506.0
13,Hegmatan.Cement,20030722,20001.0,19800.0,19998.0,335803474,16818,38,D,20506.0,19998.0
14,Hegmatan.Cement,20030723,20600.0,19800.0,19800.0,899372082,44734,70,D,19998.0,19800.0
15,Hegmatan.Cement,20030726,20053.0,19790.0,19790.0,428454527,21518,52,D,19800.0,19790.0
16,Hegmatan.Cement,20030727,20003.0,18801.0,18801.0,3534026861,185448,91,D,19790.0,18801.0
17,Hegmatan.Cement,20030728,19741.0,18805.0,19741.0,502159637,26357,24,D,18801.0,19741.0
18,Hegmatan.Cement,20030729,20728.0,19740.0,19740.0,4283526403,216293,143,D,19741.0,19740.0
19,Hegmatan.Cement,20030730,19803.0,19740.0,19803.0,121376712,6140,18,D,19740.0,19803.0
20,Hegmatan.Cement,20030803,19921.0,19790.0,19921.0,494524192,24976,27,D,19803.0,19921.0
21,Hegmatan.Cement,20030804,22118.0,21000.0,22001.0,518176885,23507,77,D,19921.0,22001.0
22,Hegmatan.Cement,20030805,21000.0,20000.0,20001.0,492986811,24566,54,D,22001.0,20001.0
23,Hegmatan.Cement,20030806,20200.0,20000.0,20002.0,357840405,17762,21,D,20001.0,20002.0
24,Hegmatan.Cement,20030809,20064.0,19990.0,19990.0,172103605,8600,32,D,20002.0,19990.0
25,Hegmatan.Cement,20030810,19990.0,19845.0,19845.0,169621397,8516,19,D,19990.0,19845.0
