,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Shahroud.Sugar,20010409,6915.0,6915.0,6915.0,1763325,255,1,D,6915.0,6915.0
1,Shahroud.Sugar,20010410,6915.0,6915.0,6915.0,345750,50,1,D,6915.0,6915.0
2,Shahroud.Sugar,20010411,6915.0,6900.0,6915.0,8017575,1160,4,D,6915.0,6915.0
3,Shahroud.Sugar,20010415,7100.0,6916.0,7100.0,3985708,563,2,D,6915.0,7100.0
4,Shahroud.Sugar,20010417,7131.0,7125.0,7131.0,8580285,1204,3,D,7100.0,7131.0
5,Shahroud.Sugar,20010418,7211.0,7211.0,7211.0,1838805,255,1,D,7131.0,7211.0
6,Shahroud.Sugar,20010422,7571.0,7300.0,7571.0,8030900,1063,3,D,7211.0,7571.0
7,Shahroud.Sugar,20010423,7571.0,7571.0,7571.0,476973,63,1,D,7571.0,7571.0
8,Shahroud.Sugar,20010424,7620.0,7620.0,7620.0,6477000,850,1,D,7571.0,7620.0
9,Shahroud.Sugar,20010425,7949.0,7671.0,7949.0,15270228,1934,4,D,7620.0,7949.0
10,Shahroud.Sugar,20010428,7949.0,7949.0,7949.0,8394144,1056,8,D,7949.0,7949.0
11,Shahroud.Sugar,20010429,8100.0,8100.0,8100.0,10165500,1255,3,D,7949.0,8100.0
12,Shahroud.Sugar,20010430,8109.0,8109.0,8109.0,1386639,171,1,D,8100.0,8109.0
13,Shahroud.Sugar,20010501,8346.0,8346.0,8346.0,8871798,1063,2,D,8109.0,8346.0
14,Shahroud.Sugar,20010502,8346.0,8346.0,8346.0,4256460,510,1,D,8346.0,8346.0
15,Shahroud.Sugar,20010508,8346.0,8346.0,8346.0,6827028,818,2,D,8346.0,8346.0
16,Shahroud.Sugar,20010509,8763.0,8510.0,8763.0,29460270,3385,5,D,8346.0,8763.0
17,Shahroud.Sugar,20010512,8763.0,8763.0,8763.0,552069,63,1,D,8763.0,8763.0
18,Shahroud.Sugar,20010513,8763.0,8763.0,8763.0,8850630,1010,4,D,8763.0,8763.0
19,Shahroud.Sugar,20010521,8451.0,8450.0,8450.0,50701000,6000,3,D,8763.0,8450.0
20,Shahroud.Sugar,20010526,8450.0,8400.0,8400.0,27129700,3226,5,D,8450.0,8400.0
21,Shahroud.Sugar,20010527,8400.0,8400.0,8400.0,23696400,2821,2,D,8400.0,8400.0
22,Shahroud.Sugar,20010529,8405.0,8400.0,8404.0,32160575,3828,9,D,8400.0,8404.0
23,Shahroud.Sugar,20010530,8750.0,8700.0,8750.0,8715725,1000,4,D,8404.0,8750.0
24,Shahroud.Sugar,20010602,8750.0,8750.0,8750.0,7131250,815,2,D,8750.0,8750.0
25,Shahroud.Sugar,20010613,8750.0,8739.0,8750.0,21860975,2500,13,D,8750.0,8750.0
26,Shahroud.Sugar,20010616,8749.0,8749.0,8749.0,962390,110,1,D,8750.0,8749.0
27,Shahroud.Sugar,20010617,8749.0,8749.0,8749.0,3499600,400,1,D,8749.0,8749.0
28,Shahroud.Sugar,20010619,8699.0,8699.0,8699.0,1304850,150,1,D,8749.0,8699.0
29,Shahroud.Sugar,20010623,8697.0,8697.0,8697.0,5392140,620,4,D,8699.0,8697.0
30,Shahroud.Sugar,20010625,8698.0,8696.0,8697.0,114801825,13200,19,D,8697.0,8697.0
31,Shahroud.Sugar,20010626,8698.0,8688.0,8688.0,1251272,144,3,D,8697.0,8688.0
32,Shahroud.Sugar,20010627,8669.0,8553.0,8600.0,68811000,8000,11,D,8688.0,8600.0
33,Shahroud.Sugar,20010630,8598.0,8598.0,8598.0,2424636,282,2,D,8600.0,8598.0
34,Shahroud.Sugar,20010701,8450.0,8404.0,8404.0,92006550,10935,19,D,8598.0,8404.0
35,Shahroud.Sugar,20010702,8404.0,8400.0,8400.0,11343145,1350,6,D,8404.0,8400.0
36,Shahroud.Sugar,20010708,8395.0,8395.0,8395.0,478515,57,1,D,8400.0,8395.0
37,Shahroud.Sugar,20010718,8300.0,8300.0,8300.0,24900000,3000,7,D,8395.0,8300.0
38,Shahroud.Sugar,20010721,8250.0,8250.0,8250.0,16500000,2000,7,D,8300.0,8250.0
39,Shahroud.Sugar,20010725,8160.0,8160.0,8160.0,12240000,1500,3,D,8250.0,8160.0
40,Shahroud.Sugar,20010728,8010.0,8009.0,8009.0,20199198,2522,15,D,8160.0,8009.0
41,Shahroud.Sugar,20010730,8009.0,8000.0,8000.0,68824665,8595,11,D,8009.0,8000.0
42,Shahroud.Sugar,20010804,8000.0,8000.0,8000.0,504000,63,1,D,8000.0,8000.0
43,Shahroud.Sugar,20010805,8009.0,8000.0,8009.0,16124635,2015,2,D,8000.0,8009.0
44,Shahroud.Sugar,20010806,8015.0,8010.0,8015.0,167156560,20856,9,D,8009.0,8015.0
45,Shahroud.Sugar,20010807,8015.0,8015.0,8015.0,2043825,255,1,D,8015.0,8015.0
46,Shahroud.Sugar,20010808,8100.0,8100.0,8100.0,8845200,1092,1,D,8015.0,8100.0
47,Shahroud.Sugar,20010812,8103.0,8103.0,8103.0,2050059,253,1,D,8100.0,8103.0
48,Shahroud.Sugar,20010813,8400.0,8108.0,8400.0,51784700,6175,4,D,8103.0,8400.0
49,Shahroud.Sugar,20010814,8400.0,8400.0,8400.0,33205200,3953,3,D,8400.0,8400.0
50,Shahroud.Sugar,20010818,8400.0,8400.0,8400.0,2142000,255,1,D,8400.0,8400.0
51,Shahroud.Sugar,20010819,8400.0,8400.0,8400.0,6426000,765,5,D,8400.0,8400.0
52,Shahroud.Sugar,20010820,8421.0,8402.0,8421.0,15548545,1850,4,D,8400.0,8421.0
53,Shahroud.Sugar,20010821,8426.0,8426.0,8426.0,2148630,255,1,D,8421.0,8426.0
54,Shahroud.Sugar,20010822,8500.0,8500.0,8500.0,9673000,1138,1,D,8426.0,8500.0
55,Shahroud.Sugar,20010827,8553.0,8553.0,8553.0,2181015,255,1,D,8500.0,8553.0
56,Shahroud.Sugar,20010828,8558.0,8556.0,8558.0,44971780,5255,3,D,8553.0,8558.0
57,Shahroud.Sugar,20010829,8600.0,8600.0,8600.0,9554600,1111,2,D,8558.0,8600.0
