,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Hamadan.Glass,20010325,1400.0,1400.0,1400.0,6300000,4500,1,D,1400.0,1400.0
1,Hamadan.Glass,20010326,1400.0,1400.0,1400.0,3843000,2745,1,D,1400.0,1400.0
2,Hamadan.Glass,20010407,1400.0,1400.0,1400.0,2800000,2000,1,D,1400.0,1400.0
3,Hamadan.Glass,20010408,1400.0,1400.0,1400.0,3312400,2366,2,D,1400.0,1400.0
4,Hamadan.Glass,20010409,1400.0,1400.0,1400.0,3687600,2634,1,D,1400.0,1400.0
5,Hamadan.Glass,20010410,1429.0,1399.0,1429.0,5621014,3982,9,D,1400.0,1429.0
6,Hamadan.Glass,20010411,1431.0,1431.0,1431.0,1206333,843,2,D,1429.0,1431.0
7,Hamadan.Glass,20010414,1502.0,1502.0,1502.0,3065582,2041,4,D,1431.0,1502.0
8,Hamadan.Glass,20010415,1505.0,1503.0,1503.0,13537675,9000,5,D,1502.0,1503.0
9,Hamadan.Glass,20010416,1507.0,1503.0,1503.0,6049823,4021,8,D,1503.0,1503.0
10,Hamadan.Glass,20010417,1500.0,1500.0,1500.0,693000,462,2,D,1503.0,1500.0
11,Hamadan.Glass,20010418,1489.0,1489.0,1489.0,1438374,966,1,D,1500.0,1489.0
12,Hamadan.Glass,20010421,1490.0,1480.0,1480.0,5939966,4000,3,D,1489.0,1480.0
13,Hamadan.Glass,20010422,1480.0,1420.0,1420.0,12591840,8808,8,D,1480.0,1420.0
14,Hamadan.Glass,20010423,1480.0,1479.0,1480.0,6946990,4694,3,D,1420.0,1480.0
15,Hamadan.Glass,20010424,1536.0,1490.0,1536.0,29997770,19992,17,D,1480.0,1536.0
16,Hamadan.Glass,20010428,1600.0,1600.0,1600.0,15072000,9420,8,D,1536.0,1600.0
17,Hamadan.Glass,20010430,1850.0,1800.0,1800.0,54145900,30013,16,D,1600.0,1800.0
18,Hamadan.Glass,20010501,1800.0,1800.0,1800.0,8190000,4550,3,D,1800.0,1800.0
19,Hamadan.Glass,20010502,1890.0,1890.0,1890.0,11094300,5870,10,D,1800.0,1890.0
20,Hamadan.Glass,20010506,1984.0,1896.0,1896.0,21243040,10740,3,D,1890.0,1896.0
21,Hamadan.Glass,20010507,1984.0,1984.0,1984.0,15197440,7660,3,D,1896.0,1984.0
22,Hamadan.Glass,20010508,2083.0,2083.0,2083.0,1645570,790,2,D,1984.0,2083.0
23,Hamadan.Glass,20010509,2187.0,2187.0,2187.0,12028500,5500,4,D,2083.0,2187.0
24,Hamadan.Glass,20010512,2296.0,2296.0,2296.0,55104000,24000,10,D,2187.0,2296.0
25,Hamadan.Glass,20010513,2400.0,2296.0,2400.0,46633672,19857,6,D,2296.0,2400.0
26,Hamadan.Glass,20010515,2400.0,2389.0,2399.0,98735372,41172,33,D,2400.0,2399.0
27,Hamadan.Glass,20010516,2400.0,2397.0,2399.0,126594870,52772,24,D,2399.0,2399.0
28,Hamadan.Glass,20010519,2399.0,2397.0,2397.0,5802760,2420,3,D,2399.0,2397.0
29,Hamadan.Glass,20010520,2396.0,2299.0,2395.0,15649910,6571,5,D,2397.0,2395.0
30,Hamadan.Glass,20010523,2389.0,2389.0,2389.0,12900600,5400,1,D,2395.0,2389.0
31,Hamadan.Glass,20010526,2377.0,2377.0,2377.0,998340,420,1,D,2389.0,2377.0
32,Hamadan.Glass,20010529,2259.0,2259.0,2259.0,6257430,2770,5,D,2377.0,2259.0
33,Hamadan.Glass,20010603,2147.0,2147.0,2147.0,4294000,2000,2,D,2259.0,2147.0
34,Hamadan.Glass,20010606,2040.0,2040.0,2040.0,6120000,3000,2,D,2147.0,2040.0
35,Hamadan.Glass,20010609,2038.0,2030.0,2030.0,406800,200,2,D,2040.0,2030.0
36,Hamadan.Glass,20010611,1930.0,1930.0,1930.0,3667000,1900,1,D,2030.0,1930.0
37,Hamadan.Glass,20010612,1930.0,1930.0,1930.0,441970,229,1,D,1930.0,1930.0
38,Hamadan.Glass,20010616,1834.0,1834.0,1834.0,2017400,1100,1,D,1930.0,1834.0
39,Hamadan.Glass,20010620,1834.0,1834.0,1834.0,12304306,6709,5,D,1834.0,1834.0
40,Hamadan.Glass,20010624,1834.0,1834.0,1834.0,308112,168,1,D,1834.0,1834.0
41,Hamadan.Glass,20010625,1834.0,1834.0,1834.0,3246180,1770,1,D,1834.0,1834.0
42,Hamadan.Glass,20010626,1851.0,1850.0,1851.0,28114647,15197,4,D,1834.0,1851.0
43,Hamadan.Glass,20010627,1861.0,1855.0,1855.0,30846865,16617,9,D,1851.0,1855.0
44,Hamadan.Glass,20010630,1855.0,1855.0,1855.0,142818305,76991,17,D,1855.0,1855.0
45,Hamadan.Glass,20010701,1862.0,1856.0,1856.0,5850576,3148,8,D,1855.0,1856.0
46,Hamadan.Glass,20010702,1858.0,1858.0,1858.0,4050440,2180,3,D,1856.0,1858.0
47,Hamadan.Glass,20010704,1950.0,1867.0,1950.0,1858091,973,2,D,1858.0,1950.0
48,Hamadan.Glass,20010707,2047.0,1950.0,2000.0,123350650,61543,20,D,1950.0,2000.0
49,Hamadan.Glass,20010709,2099.0,2009.0,2099.0,7685993,3734,4,D,2000.0,2099.0
50,Hamadan.Glass,20010710,2130.0,2099.0,2130.0,13627358,6412,5,D,2099.0,2130.0
51,Hamadan.Glass,20010711,2200.0,2200.0,2200.0,1100000,500,1,D,2130.0,2200.0
52,Hamadan.Glass,20010714,2200.0,2200.0,2200.0,594000,270,1,D,2200.0,2200.0
53,Hamadan.Glass,20010718,2172.0,2165.0,2165.0,10109790,4656,3,D,2200.0,2165.0
54,Hamadan.Glass,20010721,2120.0,2119.0,2120.0,4238265,2000,2,D,2165.0,2120.0
55,Hamadan.Glass,20010722,2115.0,2090.0,2090.0,2301500,1100,3,D,2120.0,2090.0
56,Hamadan.Glass,20010723,2050.0,2050.0,2050.0,1435000,700,1,D,2090.0,2050.0
57,Hamadan.Glass,20010724,1980.0,1980.0,1980.0,6801300,3435,2,D,2050.0,1980.0
58,Hamadan.Glass,20010725,1980.0,1979.0,1979.0,20660346,10439,5,D,1980.0,1979.0
59,Hamadan.Glass,20010729,1979.0,1979.0,1979.0,197900,100,1,D,1979.0,1979.0
60,Hamadan.Glass,20010731,1881.0,1881.0,1881.0,3762000,2000,1,D,1979.0,1881.0
61,Hamadan.Glass,20010801,1900.0,1900.0,1900.0,17046800,8972,4,D,1881.0,1900.0
62,Hamadan.Glass,20010804,1910.0,1900.0,1908.0,15111410,7925,8,D,1900.0,1908.0
63,Hamadan.Glass,20010805,1950.0,1950.0,1950.0,5850000,3000,1,D,1908.0,1950.0
64,Hamadan.Glass,20010807,1910.0,1910.0,1910.0,1910000,1000,1,D,1950.0,1910.0
65,Hamadan.Glass,20010808,1910.0,1910.0,1910.0,4832300,2530,2,D,1910.0,1910.0
66,Hamadan.Glass,20010811,1910.0,1910.0,1910.0,13465500,7050,1,D,1910.0,1910.0
67,Hamadan.Glass,20010813,1910.0,1880.0,1880.0,9945800,5290,5,D,1910.0,1880.0
68,Hamadan.Glass,20010815,1912.0,1880.0,1911.0,38733005,20336,10,D,1880.0,1911.0
69,Hamadan.Glass,20010818,2000.0,1900.0,2000.0,33116425,17000,9,D,1911.0,2000.0
70,Hamadan.Glass,20010819,2029.0,2000.0,2029.0,35075543,17386,7,D,2000.0,2029.0
71,Hamadan.Glass,20010820,2029.0,2029.0,2029.0,6251349,3081,1,D,2029.0,2029.0
72,Hamadan.Glass,20010821,2110.0,2026.0,2110.0,51881436,25267,13,D,2029.0,2110.0
73,Hamadan.Glass,20010825,2140.0,2140.0,2140.0,9052200,4230,1,D,2110.0,2140.0
74,Hamadan.Glass,20010826,2141.0,2140.0,2140.0,7002180,3272,4,D,2140.0,2140.0
75,Hamadan.Glass,20010827,2143.0,2143.0,2143.0,10715000,5000,1,D,2140.0,2143.0
76,Hamadan.Glass,20010828,2200.0,2144.0,2200.0,126990457,58649,24,D,2143.0,2200.0
77,Hamadan.Glass,20010903,2200.0,2200.0,2200.0,550000,250,1,D,2200.0,2200.0
78,Hamadan.Glass,20010909,2144.0,2144.0,2144.0,25728000,12000,7,D,2200.0,2144.0
79,Hamadan.Glass,20010915,2132.0,2132.0,2132.0,793104,372,1,D,2144.0,2132.0
