,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,W..Azar..Pegah,20040717,14000.0,14000.0,14000.0,6424894000,458921,480,D,14000.0,14000.0
1,W..Azar..Pegah,20040718,14700.0,14114.0,14114.0,19976714,1359,2,D,14000.0,14114.0
2,W..Azar..Pegah,20040719,14819.0,14199.0,14199.0,14818380,1000,2,D,14114.0,14199.0
3,W..Azar..Pegah,20040720,14908.0,14908.0,14908.0,577237760,38720,32,D,14199.0,14908.0
4,W..Azar..Pegah,20040724,15653.0,14952.0,14952.0,7825799,500,3,D,14908.0,14952.0
5,W..Azar..Pegah,20040725,15699.0,15699.0,15699.0,876004200,55800,61,D,14952.0,15699.0
6,W..Azar..Pegah,20040726,16483.0,15840.0,15840.0,24882900,1510,7,D,15699.0,15840.0
7,W..Azar..Pegah,20040727,16632.0,16632.0,16632.0,1510185600,90800,44,D,15840.0,16632.0
8,W..Azar..Pegah,20040728,17463.0,17463.0,17463.0,1101723207,63089,19,D,16632.0,17463.0
9,W..Azar..Pegah,20040731,18336.0,18336.0,18336.0,1485032640,80990,32,D,17463.0,18336.0
10,W..Azar..Pegah,20040801,19252.0,19252.0,19252.0,3878835204,201477,153,D,18336.0,19252.0
11,W..Azar..Pegah,20040802,19928.0,18998.0,19511.0,2786978560,142840,137,D,19252.0,19511.0
12,W..Azar..Pegah,20040803,19470.0,18894.0,19075.0,1865988384,97823,71,D,19511.0,19075.0
13,W..Azar..Pegah,20040804,19500.0,18122.0,18539.0,1270923840,68551,71,D,19075.0,18539.0
14,W..Azar..Pegah,20040807,18259.0,17613.0,18259.0,44215090,2510,4,D,18539.0,18259.0
15,W..Azar..Pegah,20040808,18469.0,17347.0,17767.0,284453522,16010,13,D,18259.0,17767.0
16,W..Azar..Pegah,20040809,18655.0,16879.0,18011.0,390053646,21656,27,D,17767.0,18011.0
17,W..Azar..Pegah,20040810,18911.0,17111.0,17879.0,347749863,19450,23,D,18011.0,17879.0
