,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Sina.Chem..Ind.,20010414,2205.0,2205.0,2205.0,2205000,1000,2,D,2205.0,2205.0
1,Sina.Chem..Ind.,20010430,2315.0,2315.0,2315.0,2315000,1000,1,D,2205.0,2315.0
2,Sina.Chem..Ind.,20010505,2400.0,2400.0,2400.0,4800000,2000,3,D,2315.0,2400.0
3,Sina.Chem..Ind.,20010506,2430.0,2430.0,2430.0,1215000,500,1,D,2400.0,2430.0
4,Sina.Chem..Ind.,20010507,2402.0,2402.0,2402.0,744620,310,1,D,2430.0,2402.0
5,Sina.Chem..Ind.,20010519,2522.0,2522.0,2522.0,6305000,2500,5,D,2402.0,2522.0
6,Sina.Chem..Ind.,20010603,2648.0,2648.0,2648.0,10592000,4000,3,D,2522.0,2648.0
7,Sina.Chem..Ind.,20010620,2780.0,2780.0,2780.0,7964700,2865,3,D,2648.0,2780.0
8,Sina.Chem..Ind.,20010623,2919.0,2919.0,2919.0,15482376,5304,7,D,2780.0,2919.0
9,Sina.Chem..Ind.,20010625,3064.0,3064.0,3064.0,75068000,24500,29,D,2919.0,3064.0
10,Sina.Chem..Ind.,20010626,3072.0,3071.0,3072.0,12100695,3940,4,D,3064.0,3072.0
11,Sina.Chem..Ind.,20010627,3074.0,3074.0,3074.0,8152248,2652,1,D,3072.0,3074.0
12,Sina.Chem..Ind.,20010701,3227.0,3227.0,3227.0,97058479,30077,19,D,3074.0,3227.0
13,Sina.Chem..Ind.,20010702,3388.0,3227.0,3227.0,156239901,47343,26,D,3227.0,3227.0
14,Sina.Chem..Ind.,20010703,3227.0,3227.0,3227.0,2339575,725,1,D,3227.0,3227.0
15,Sina.Chem..Ind.,20010704,3227.0,3227.0,3227.0,20775426,6438,6,D,3227.0,3227.0
16,Sina.Chem..Ind.,20010707,3388.0,3227.0,3388.0,11455500,3500,4,D,3227.0,3388.0
17,Sina.Chem..Ind.,20010708,3471.0,3388.0,3388.0,57493240,16592,24,D,3388.0,3388.0
18,Sina.Chem..Ind.,20010807,3500.0,2900.0,3391.0,98708550,28945,18,D,3388.0,3391.0
19,Sina.Chem..Ind.,20010808,3340.0,3222.0,3340.0,55975386,17063,5,D,3391.0,3340.0
20,Sina.Chem..Ind.,20010811,3340.0,3339.0,3340.0,10071440,3016,6,D,3340.0,3340.0
21,Sina.Chem..Ind.,20010812,3335.0,3334.0,3335.0,37189470,11152,18,D,3340.0,3335.0
22,Sina.Chem..Ind.,20010825,3327.0,3327.0,3327.0,8823204,2652,1,D,3335.0,3327.0
23,Sina.Chem..Ind.,20010827,3200.0,3200.0,3200.0,35680000,11150,8,D,3327.0,3200.0
24,Sina.Chem..Ind.,20010828,3200.0,3180.0,3198.0,61646055,19275,4,D,3200.0,3198.0
25,Sina.Chem..Ind.,20010829,3199.0,3150.0,3150.0,29323785,9215,4,D,3198.0,3150.0
26,Sina.Chem..Ind.,20010901,3130.0,3050.0,3050.0,74537610,24077,11,D,3150.0,3050.0
27,Sina.Chem..Ind.,20010902,3050.0,3000.0,3000.0,20593320,6785,7,D,3050.0,3000.0
