,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Hormozgan.Cem.,20040807,21795.0,21000.0,21419.0,8558429474,399565,318,D,21782.0,21419.0
1,Hormozgan.Cem.,20040808,22489.0,22410.0,22410.0,2258906815,100445,58,D,21419.0,22410.0
2,Hormozgan.Cem.,20040811,23530.0,23530.0,23530.0,3807812840,161828,109,D,22410.0,23530.0
3,Hormozgan.Cem.,20040814,24706.0,24706.0,24706.0,9354531604,378634,96,D,23530.0,24706.0
4,Hormozgan.Cem.,20040815,25941.0,25941.0,25941.0,3692234412,142332,122,D,24706.0,25941.0
5,Hormozgan.Cem.,20040816,27230.0,13500.0,25939.0,10415279250,475466,624,D,25941.0,25939.0
6,Hormozgan.Cem.,20040817,25354.0,24645.0,25354.0,1513914144,60807,57,D,25939.0,25354.0
7,Hormozgan.Cem.,20040818,25261.0,24100.0,25261.0,214489764,8857,9,D,25354.0,25261.0
8,Hormozgan.Cem.,20040821,24716.0,23998.0,24716.0,1125841310,46905,48,D,25261.0,24716.0
9,Hormozgan.Cem.,20040822,24459.0,23481.0,24459.0,693641302,29188,25,D,24716.0,24459.0
10,Hormozgan.Cem.,20040823,24401.0,23481.0,24401.0,151131414,6434,10,D,24459.0,24401.0
11,Hormozgan.Cem.,20040824,24396.0,23985.0,24396.0,29819094,1243,5,D,24401.0,24396.0
12,Hormozgan.Cem.,20040825,24369.0,23986.0,24369.0,171758022,7157,13,D,24396.0,24369.0
13,Hormozgan.Cem.,20040828,25000.0,24200.0,24499.0,750235010,30203,14,D,24369.0,24499.0
14,Hormozgan.Cem.,20040829,24502.0,24499.0,24499.0,250346224,10218,6,D,24499.0,24499.0
15,Hormozgan.Cem.,20040831,24500.0,24499.0,24499.0,186934990,7630,5,D,24499.0,24499.0
16,Hormozgan.Cem.,20040901,24602.0,24500.0,24514.0,439675920,17879,14,D,24499.0,24514.0
17,Hormozgan.Cem.,20040904,24751.0,24521.0,24521.0,101263465,4096,7,D,24514.0,24521.0
18,Hormozgan.Cem.,20040905,24760.0,24526.0,24526.0,59456162,2402,6,D,24521.0,24526.0
19,Hormozgan.Cem.,20040906,24535.0,24527.0,24527.0,24921763070,1015970,23,D,24526.0,24527.0
20,Hormozgan.Cem.,20040907,24535.0,24527.0,24527.0,49340127470,2011010,9,D,24527.0,24527.0
21,Hormozgan.Cem.,20040908,24550.0,24500.0,24532.0,25974540040,1058460,11,D,24527.0,24532.0
22,Hormozgan.Cem.,20040911,24600.0,24532.0,24535.0,462789892,18849,11,D,24532.0,24535.0
23,Hormozgan.Cem.,20040912,24551.0,24530.0,24534.0,388139606,15820,8,D,24535.0,24534.0
24,Hormozgan.Cem.,20040914,24550.0,24534.0,24534.0,18927890,771,3,D,24534.0,24534.0
25,Hormozgan.Cem.,20040915,24550.0,24000.0,24521.0,61657210,2567,3,D,24534.0,24521.0
26,Hormozgan.Cem.,20040918,24494.0,24000.0,24494.0,132537940,5522,6,D,24521.0,24494.0
27,Hormozgan.Cem.,20040919,24550.0,24494.0,24496.0,303074140,12360,8,D,24494.0,24496.0
28,Hormozgan.Cem.,20040921,24500.0,24496.0,24496.0,3675244960,150010,2,D,24496.0,24496.0
29,Hormozgan.Cem.,20040922,24546.0,24496.0,24496.0,84982021,3469,7,D,24496.0,24496.0
30,Hormozgan.Cem.,20040925,24501.0,24496.0,24496.0,20800540,849,3,D,24496.0,24496.0
31,Hormozgan.Cem.,20040926,25000.0,24500.0,24503.0,212728609,8652,7,D,24496.0,24503.0
32,Hormozgan.Cem.,20040928,24505.0,24501.0,24502.0,132459145,5406,8,D,24503.0,24502.0
33,Hormozgan.Cem.,20041006,25750.0,24998.0,25250.0,32017328,1268,3,D,24502.0,25250.0
34,Hormozgan.Cem.,20041009,26500.0,25261.0,25261.0,26752610,1010,2,D,25250.0,25261.0
35,Hormozgan.Cem.,20041010,26500.0,25280.0,25280.0,46601300,1759,3,D,25261.0,25280.0
36,Hormozgan.Cem.,20041011,26000.0,25279.0,25284.0,46218369,1810,6,D,25280.0,25284.0
37,Hormozgan.Cem.,20041012,25285.0,25284.0,25284.0,50627167124,2002261,6,D,25284.0,25284.0
38,Hormozgan.Cem.,20041013,25284.0,25284.0,25284.0,2351412,93,1,D,25284.0,25284.0
39,Hormozgan.Cem.,20041017,25165.0,24500.0,25165.0,402344700,16420,13,D,25284.0,25165.0
40,Hormozgan.Cem.,20041019,25166.0,25165.0,25165.0,15024092,597,5,D,25165.0,25165.0
41,Hormozgan.Cem.,20041020,25165.0,25165.0,25165.0,190373225,7565,7,D,25165.0,25165.0
42,Hormozgan.Cem.,20041024,25900.0,25165.0,25192.0,174161930,6804,5,D,25165.0,25192.0
43,Hormozgan.Cem.,20041025,26451.0,25282.0,25282.0,211656820,8010,5,D,25192.0,25282.0
44,Hormozgan.Cem.,20041026,26500.0,25382.0,25382.0,248854100,9410,7,D,25282.0,25382.0
45,Hormozgan.Cem.,20041027,25502.0,25384.0,25384.0,51256295,2010,4,D,25382.0,25384.0
46,Hormozgan.Cem.,20041102,25382.0,24116.0,25382.0,3003044,124,2,D,25384.0,25382.0
47,Hormozgan.Cem.,20041103,25379.0,25247.0,25379.0,59068174,2336,6,D,25382.0,25379.0
48,Hormozgan.Cem.,20041106,25379.0,25379.0,25379.0,4060640,160,1,D,25379.0,25379.0
49,Hormozgan.Cem.,20041108,25379.0,25379.0,25379.0,6344750,250,1,D,25379.0,25379.0
50,Hormozgan.Cem.,20041110,25381.0,25379.0,25379.0,253793392,10000,3,D,25379.0,25379.0
51,Hormozgan.Cem.,20041113,25381.0,25379.0,25379.0,41445817,1633,4,D,25379.0,25379.0
52,Hormozgan.Cem.,20041115,25379.0,25379.0,25379.0,8501965,335,2,D,25379.0,25379.0
53,Hormozgan.Cem.,20041116,25379.0,25379.0,25379.0,29921841,1179,1,D,25379.0,25379.0
54,Hormozgan.Cem.,20041204,25379.0,25378.0,25378.0,18026957180,710310,9,D,25379.0,25378.0
55,Hormozgan.Cem.,20041205,33000.0,25378.0,25378.0,2280491368742,69106039,3,D,25378.0,25378.0
56,Hormozgan.Cem.,20041206,25388.0,25376.0,25382.0,61177116730,2410400,38,D,25378.0,25382.0
57,Hormozgan.Cem.,20041207,25386.0,25382.0,25382.0,63467704090,2500205,17,D,25382.0,25382.0
58,Hormozgan.Cem.,20041211,25386.0,25382.0,25382.0,103777928,4088,4,D,25382.0,25382.0
59,Hormozgan.Cem.,20041212,25382.0,17000.0,25382.0,16619880,810,5,D,25382.0,25382.0
60,Hormozgan.Cem.,20041213,25383.0,25382.0,25382.0,90461648,3564,5,D,25382.0,25382.0
61,Hormozgan.Cem.,20041214,25382.0,25382.0,25382.0,4695670,185,1,D,25382.0,25382.0
62,Hormozgan.Cem.,20041215,25380.0,25300.0,25378.0,157971180,6240,4,D,25382.0,25378.0
63,Hormozgan.Cem.,20041218,25380.0,25378.0,25378.0,5304400,209,4,D,25378.0,25378.0
64,Hormozgan.Cem.,20041219,25378.0,25377.0,25377.0,25022488,986,4,D,25378.0,25377.0
65,Hormozgan.Cem.,20041222,25377.0,25377.0,25377.0,9897030,390,4,D,25377.0,25377.0
66,Hormozgan.Cem.,20050104,25359.0,24900.0,25359.0,97612590,3920,2,D,25377.0,25359.0
67,Hormozgan.Cem.,20050108,25309.0,24874.0,25309.0,274598965,11039,6,D,25359.0,25309.0
68,Hormozgan.Cem.,20050109,25248.0,24044.0,25248.0,124247388,5167,9,D,25309.0,25248.0
69,Hormozgan.Cem.,20050110,25235.0,24600.0,25235.0,71249300,2877,14,D,25248.0,25235.0
70,Hormozgan.Cem.,20050111,25234.0,24869.0,25234.0,5226292,210,4,D,25235.0,25234.0
71,Hormozgan.Cem.,20050112,25230.0,24800.0,25230.0,22572300,910,2,D,25234.0,25230.0
72,Hormozgan.Cem.,20050115,25300.0,24869.0,25229.0,51620919,2050,5,D,25230.0,25229.0
73,Hormozgan.Cem.,20050116,25224.0,25000.0,25224.0,53802240,2152,3,D,25229.0,25224.0
74,Hormozgan.Cem.,20050118,25214.0,23973.0,25214.0,20677136,862,3,D,25224.0,25214.0
75,Hormozgan.Cem.,20050123,25199.0,24999.0,25187.0,406872870,16251,11,D,25214.0,25187.0
76,Hormozgan.Cem.,20050124,25184.0,25000.0,25184.0,213427456,8485,6,D,25187.0,25184.0
77,Hormozgan.Cem.,20050126,25183.0,25180.0,25183.0,5715890,227,2,D,25184.0,25183.0
78,Hormozgan.Cem.,20050130,25183.0,25183.0,25183.0,251830,10,1,D,25183.0,25183.0
79,Hormozgan.Cem.,20050131,25183.0,25182.0,25182.0,73180382,2906,3,D,25183.0,25182.0
80,Hormozgan.Cem.,20050201,25182.0,25181.0,25181.0,9065260,360,3,D,25182.0,25181.0
81,Hormozgan.Cem.,20050205,25181.0,25180.0,25180.0,12841902,510,3,D,25181.0,25180.0
82,Hormozgan.Cem.,20050206,25179.0,25169.0,25179.0,5285590,210,2,D,25180.0,25179.0
83,Hormozgan.Cem.,20050208,25380.0,25169.0,25179.0,268113761,10644,9,D,25179.0,25179.0
84,Hormozgan.Cem.,20050209,25179.0,25179.0,25179.0,151074000,6000,2,D,25179.0,25179.0
85,Hormozgan.Cem.,20050212,25179.0,25177.0,25178.0,3298445900,131000,18,D,25179.0,25178.0
86,Hormozgan.Cem.,20050213,25178.0,25178.0,25178.0,5035600,200,1,D,25178.0,25178.0
87,Hormozgan.Cem.,20050214,25178.0,25178.0,25178.0,5035600,200,1,D,25178.0,25178.0
88,Hormozgan.Cem.,20050215,25178.0,25177.0,25177.0,16264732,646,2,D,25178.0,25177.0
89,Hormozgan.Cem.,20050216,25177.0,25176.0,25176.0,15049039046,597730,5,D,25177.0,25176.0
90,Hormozgan.Cem.,20050222,25175.0,25175.0,25175.0,2970650,118,1,D,25176.0,25175.0
91,Hormozgan.Cem.,20050302,25174.0,24800.0,25174.0,4666140,188,3,D,25175.0,25174.0
92,Hormozgan.Cem.,20050307,25200.0,25200.0,25200.0,1008000000,40000,4,D,25174.0,25200.0
93,Hormozgan.Cem.,20050308,25200.0,25200.0,25200.0,2988442800,118589,19,D,25200.0,25200.0
94,Hormozgan.Cem.,20050309,25200.0,25200.0,25200.0,1404320400,55727,8,D,25200.0,25200.0
95,Hormozgan.Cem.,20050312,25200.0,25200.0,25200.0,1260000000,50000,5,D,25200.0,25200.0
96,Hormozgan.Cem.,20050313,25201.0,25200.0,25200.0,1017903993,40393,6,D,25200.0,25200.0
97,Hormozgan.Cem.,20050314,25200.0,23940.0,25083.0,995650830,40010,5,D,25200.0,25083.0
98,Hormozgan.Cem.,20050315,25201.0,25126.0,25126.0,763811560,30310,5,D,25083.0,25126.0
99,Hormozgan.Cem.,20050316,25201.0,25200.0,25200.0,2303375200,91401,12,D,25126.0,25200.0
100,Hormozgan.Cem.,20050326,25200.0,25200.0,25200.0,252000000,10000,1,D,25200.0,25200.0
101,Hormozgan.Cem.,20050327,25200.0,25200.0,25200.0,252000000,10000,2,D,25200.0,25200.0
102,Hormozgan.Cem.,20050328,25200.0,25200.0,25200.0,514080000,20400,3,D,25200.0,25200.0
103,Hormozgan.Cem.,20050329,25200.0,25200.0,25200.0,756000000,30000,4,D,25200.0,25200.0
104,Hormozgan.Cem.,20050330,25200.0,25200.0,25200.0,756000000,30000,4,D,25200.0,25200.0
105,Hormozgan.Cem.,20050403,25200.0,25200.0,25200.0,840092400,33337,6,D,25200.0,25200.0
106,Hormozgan.Cem.,20050405,25201.0,25200.0,25200.0,10080390,400,2,D,25200.0,25200.0
107,Hormozgan.Cem.,20050412,25201.0,25198.0,25199.0,25704241990,1020010,8,D,25200.0,25199.0
108,Hormozgan.Cem.,20050416,25200.0,25199.0,25199.0,75598738790,3000069,5,D,25199.0,25199.0
109,Hormozgan.Cem.,20050430,26458.0,25200.0,25201.0,100802897810,4000110,4,D,25199.0,25201.0
110,Hormozgan.Cem.,20050502,25201.0,25201.0,25201.0,9929194,394,3,D,25201.0,25201.0
111,Hormozgan.Cem.,20050528,25084.0,23941.0,25084.0,239876309,10019,3,D,25201.0,25084.0
112,Hormozgan.Cem.,20050530,24835.0,23830.0,24835.0,512116750,21490,6,D,25084.0,24835.0
113,Hormozgan.Cem.,20050726,25200.0,25200.0,25200.0,8568000,340,1,D,24835.0,25200.0
114,Hormozgan.Cem.,20050730,25199.0,25188.0,25199.0,25439990,1010,2,D,25200.0,25199.0
115,Hormozgan.Cem.,20050813,24850.0,23940.0,24850.0,718448500,30010,9,D,25199.0,24850.0
116,Hormozgan.Cem.,20050817,24850.0,23608.0,24850.0,1901060,80,2,D,24850.0,24850.0
117,Hormozgan.Cem.,20051024,23704.0,23608.0,23704.0,2361037040,100010,32,D,24850.0,23704.0
118,Hormozgan.Cem.,20051031,24000.0,23848.0,23848.0,1272310480,53013,10,D,23704.0,23848.0
119,Hormozgan.Cem.,20051101,23746.0,23500.0,23746.0,741145460,31538,7,D,23848.0,23746.0
120,Hormozgan.Cem.,20051102,23746.0,23746.0,23746.0,722590780,30430,4,D,23746.0,23746.0
121,Hormozgan.Cem.,20051105,23636.0,22559.0,23636.0,225826360,10010,2,D,23746.0,23636.0
122,Hormozgan.Cem.,20051106,23637.0,23636.0,23636.0,949103735,40155,6,D,23636.0,23636.0
123,Hormozgan.Cem.,20051107,23636.0,23636.0,23636.0,961914292,40697,8,D,23636.0,23636.0
124,Hormozgan.Cem.,20051108,23636.0,23636.0,23636.0,1158164000,49000,6,D,23636.0,23636.0
125,Hormozgan.Cem.,20051109,23636.0,23636.0,23636.0,952838068,40313,6,D,23636.0,23636.0
126,Hormozgan.Cem.,20051112,23636.0,23636.0,23636.0,1181800000,50000,5,D,23636.0,23636.0
127,Hormozgan.Cem.,20051113,23636.0,23636.0,23636.0,1418160000,60000,6,D,23636.0,23636.0
128,Hormozgan.Cem.,20051114,23636.0,23636.0,23636.0,1532794600,64850,7,D,23636.0,23636.0
129,Hormozgan.Cem.,20051115,23636.0,23636.0,23636.0,1418160000,60000,6,D,23636.0,23636.0
130,Hormozgan.Cem.,20051116,23636.0,23636.0,23636.0,1465432000,62000,7,D,23636.0,23636.0
131,Hormozgan.Cem.,20051126,23636.0,23636.0,23636.0,945440000,40000,4,D,23636.0,23636.0
132,Hormozgan.Cem.,20051127,23636.0,23636.0,23636.0,969076000,41000,5,D,23636.0,23636.0
133,Hormozgan.Cem.,20051129,23636.0,23636.0,23636.0,945440000,40000,4,D,23636.0,23636.0
134,Hormozgan.Cem.,20051130,23636.0,23636.0,23636.0,945440000,40000,4,D,23636.0,23636.0
135,Hormozgan.Cem.,20051203,23638.0,23636.0,23636.0,1489345360,63010,14,D,23636.0,23636.0
136,Hormozgan.Cem.,20051204,23636.0,23636.0,23636.0,779988000,33000,4,D,23636.0,23636.0
137,Hormozgan.Cem.,20051206,22455.0,22455.0,22455.0,224550000,10000,1,D,23636.0,22455.0
138,Hormozgan.Cem.,20051210,22351.0,21333.0,22351.0,213553510,10010,2,D,22455.0,22351.0
139,Hormozgan.Cem.,20051213,22351.0,22351.0,22351.0,9610930,430,2,D,22351.0,22351.0
140,Hormozgan.Cem.,20051217,23468.0,22351.0,22351.0,614887180,27510,4,D,22351.0,22351.0
