,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Shomal.Cement,20010328,23835.0,20001.0,23835.0,476326759,23041,13,D,0.0,23835.0
1,Shomal.Cement,20010407,23835.0,23835.0,23835.0,10511235,441,4,D,23835.0,23835.0
2,Shomal.Cement,20010408,23840.0,23835.0,23840.0,210192927,8818,11,D,23835.0,23840.0
3,Shomal.Cement,20010409,23841.0,23838.0,23841.0,138553834,5812,8,D,23840.0,23841.0
4,Shomal.Cement,20010410,23866.0,23844.0,23866.0,22595618,947,5,D,23841.0,23866.0
5,Shomal.Cement,20010411,23903.0,23903.0,23903.0,43025400,1800,2,D,23866.0,23903.0
6,Shomal.Cement,20010414,24200.0,24000.0,24200.0,48200000,2000,2,D,23903.0,24200.0
7,Shomal.Cement,20010415,24212.0,24206.0,24212.0,19295878,797,4,D,24200.0,24212.0
8,Shomal.Cement,20010416,24500.0,24500.0,24500.0,30919000,1262,8,D,24212.0,24500.0
9,Shomal.Cement,20010417,24516.0,24511.0,24516.0,14805185,604,4,D,24500.0,24516.0
10,Shomal.Cement,20010422,24630.0,24625.0,24630.0,10613864,431,3,D,24516.0,24630.0
11,Shomal.Cement,20010423,24689.0,24684.0,24689.0,4295526,174,3,D,24630.0,24689.0
12,Shomal.Cement,20010424,24725.0,24723.0,24725.0,17652348,714,2,D,24689.0,24725.0
13,Shomal.Cement,20010425,24774.0,24774.0,24774.0,15260784,616,2,D,24725.0,24774.0
14,Shomal.Cement,20010429,25393.0,25393.0,25393.0,100987961,3977,6,D,24774.0,25393.0
15,Shomal.Cement,20010430,25393.0,13197.0,25393.0,28075495,2035,13,D,25393.0,25393.0
16,Shomal.Cement,20010501,26027.0,26027.0,26027.0,16397010,630,9,D,25393.0,26027.0
17,Shomal.Cement,20010506,26677.0,26677.0,26677.0,191620891,7183,10,D,26027.0,26677.0
18,Shomal.Cement,20010507,27343.0,27343.0,27343.0,74701076,2732,6,D,26677.0,27343.0
19,Shomal.Cement,20010512,27616.0,27616.0,27616.0,29742432,1077,4,D,27343.0,27616.0
20,Shomal.Cement,20010513,27892.0,27892.0,27892.0,28784544,1032,2,D,27616.0,27892.0
21,Shomal.Cement,20010515,28170.0,28170.0,28170.0,30001050,1065,2,D,27892.0,28170.0
22,Shomal.Cement,20010516,28451.0,28451.0,28451.0,497864049,17499,16,D,28170.0,28451.0
23,Shomal.Cement,20010520,28735.0,28735.0,28735.0,39826710,1386,4,D,28451.0,28735.0
24,Shomal.Cement,20010523,29022.0,29022.0,29022.0,69420624,2392,3,D,28735.0,29022.0
25,Shomal.Cement,20010529,29312.0,29312.0,29312.0,32712192,1116,6,D,29022.0,29312.0
26,Shomal.Cement,20010530,29605.0,29605.0,29605.0,62881020,2124,9,D,29312.0,29605.0
27,Shomal.Cement,20010602,29901.0,29890.0,29901.0,1350327917,45160,52,D,29605.0,29901.0
28,Shomal.Cement,20010603,29901.0,29899.0,29901.0,256428324,8576,15,D,29901.0,29901.0
29,Shomal.Cement,20010606,29906.0,29906.0,29906.0,34152652,1142,7,D,29901.0,29906.0
30,Shomal.Cement,20010609,29906.0,29906.0,29906.0,38638552,1292,4,D,29906.0,29906.0
31,Shomal.Cement,20010611,29920.0,29908.0,29920.0,20490826,685,5,D,29906.0,29920.0
32,Shomal.Cement,20010612,29932.0,29932.0,29932.0,18438112,616,1,D,29920.0,29932.0
33,Shomal.Cement,20010613,29940.0,29934.0,29937.0,256563094,8570,13,D,29932.0,29937.0
34,Shomal.Cement,20010616,30236.0,29937.0,30236.0,79216720,2636,8,D,29937.0,30236.0
35,Shomal.Cement,20010617,30236.0,30000.0,30000.0,514213770,17126,15,D,30236.0,30000.0
36,Shomal.Cement,20010618,30300.0,29942.0,30300.0,99258400,3299,10,D,30000.0,30300.0
37,Shomal.Cement,20010619,30301.0,30300.0,30300.0,95293581,3145,11,D,30300.0,30300.0
38,Shomal.Cement,20010620,30300.0,30300.0,30300.0,69690000,2300,1,D,30300.0,30300.0
39,Shomal.Cement,20010623,30302.0,30302.0,30302.0,46665080,1540,3,D,30300.0,30302.0
40,Shomal.Cement,20010624,30365.0,30347.0,30365.0,49234427,1622,6,D,30302.0,30365.0
41,Shomal.Cement,20010625,30430.0,30401.0,30430.0,23456625,771,11,D,30365.0,30430.0
42,Shomal.Cement,20010626,30518.0,30515.0,30518.0,81480203,2670,10,D,30430.0,30518.0
43,Shomal.Cement,20010627,30548.0,30540.0,30548.0,115139960,3770,2,D,30518.0,30548.0
44,Shomal.Cement,20010630,30606.0,30571.0,30606.0,24094988,788,4,D,30548.0,30606.0
45,Shomal.Cement,20010701,30631.0,30631.0,30631.0,3185624,104,1,D,30606.0,30631.0
46,Shomal.Cement,20010702,30716.0,30715.0,30716.0,21132536,688,3,D,30631.0,30716.0
47,Shomal.Cement,20010703,31023.0,31023.0,31023.0,195103647,6289,19,D,30716.0,31023.0
48,Shomal.Cement,20010925,30500.0,28000.0,30500.0,144283800,4839,21,D,31023.0,30500.0
49,Shomal.Cement,20010926,30805.0,30805.0,30805.0,37458880,1216,6,D,30500.0,30805.0
50,Shomal.Cement,20010929,31113.0,31113.0,31113.0,136617183,4391,9,D,30805.0,31113.0
51,Shomal.Cement,20010930,31424.0,31424.0,31424.0,31424000,1000,2,D,31113.0,31424.0
52,Shomal.Cement,20011002,31738.0,31738.0,31738.0,31738000,1000,4,D,31424.0,31738.0
53,Shomal.Cement,20011003,32055.0,32055.0,32055.0,32055000,1000,4,D,31738.0,32055.0
54,Shomal.Cement,20011008,32375.0,31738.0,31740.0,486796514,15111,43,D,32055.0,31740.0
55,Shomal.Cement,20011009,31740.0,31730.0,31740.0,1075590772,33889,22,D,31740.0,31740.0
56,Shomal.Cement,20011010,32000.0,31740.0,32000.0,819215480,25802,40,D,31740.0,32000.0
57,Shomal.Cement,20011013,32000.0,31999.0,32000.0,73311919,2291,5,D,32000.0,32000.0
58,Shomal.Cement,20011014,32001.0,32000.0,32001.0,200358000,6261,16,D,32000.0,32001.0
59,Shomal.Cement,20011016,32000.0,32000.0,32000.0,2240000,70,1,D,32001.0,32000.0
60,Shomal.Cement,20011017,32000.0,32000.0,32000.0,2880000,90,1,D,32000.0,32000.0
61,Shomal.Cement,20011020,32002.0,32000.0,32002.0,46530860,1454,11,D,32000.0,32002.0
62,Shomal.Cement,20011021,32322.0,32008.0,32322.0,47589816,1477,2,D,32002.0,32322.0
63,Shomal.Cement,20011022,32645.0,32645.0,32645.0,99175510,3038,5,D,32322.0,32645.0
64,Shomal.Cement,20011023,32971.0,32971.0,32971.0,3001943608,91048,14,D,32645.0,32971.0
65,Shomal.Cement,20011031,33300.0,33300.0,33300.0,344322000,10340,14,D,32971.0,33300.0
66,Shomal.Cement,20011103,33633.0,33633.0,33633.0,53543736,1592,7,D,33300.0,33633.0
67,Shomal.Cement,20011105,33969.0,33969.0,33969.0,305721000,9000,25,D,33633.0,33969.0
68,Shomal.Cement,20011106,34308.0,34308.0,34308.0,343080000,10000,18,D,33969.0,34308.0
69,Shomal.Cement,20011107,34651.0,34651.0,34651.0,346510000,10000,31,D,34308.0,34651.0
70,Shomal.Cement,20011111,34997.0,34997.0,34997.0,114895151,3283,7,D,34651.0,34997.0
71,Shomal.Cement,20011112,35346.0,35346.0,35346.0,123711000,3500,7,D,34997.0,35346.0
72,Shomal.Cement,20011114,35699.0,35699.0,35699.0,73968328,2072,8,D,35346.0,35699.0
73,Shomal.Cement,20011117,36055.0,36055.0,36055.0,47844985,1327,10,D,35699.0,36055.0
74,Shomal.Cement,20011118,36415.0,36415.0,36415.0,48504780,1332,7,D,36055.0,36415.0
75,Shomal.Cement,20011119,36779.0,36779.0,36779.0,84371026,2294,8,D,36415.0,36779.0
76,Shomal.Cement,20011120,37146.0,37146.0,37146.0,74292000,2000,5,D,36779.0,37146.0
77,Shomal.Cement,20011121,37517.0,37516.0,37517.0,333488313,8889,28,D,37146.0,37517.0
