,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Shomal.Cement-R,20020330,31350.0,31350.0,31350.0,54016050,1723,1,D,0.0,31350.0
1,Shomal.Cement-R,20020403,31347.0,31347.0,31347.0,12538800,400,1,D,31350.0,31347.0
2,Shomal.Cement-R,20020406,31344.0,27200.0,31344.0,77023054,2527,3,D,31347.0,31344.0
3,Shomal.Cement-R,20020407,31344.0,31344.0,31344.0,3134400,100,1,D,31344.0,31344.0
4,Shomal.Cement-R,20020409,31267.0,31000.0,31267.0,171371635,5486,4,D,31344.0,31267.0
5,Shomal.Cement-R,20020410,31312.0,31297.0,31312.0,278774048,8904,7,D,31267.0,31312.0
6,Shomal.Cement-R,20020413,31330.0,31312.0,31330.0,35492498,1133,8,D,31312.0,31330.0
7,Shomal.Cement-R,20020414,33000.0,31347.0,33000.0,1231898598,39033,26,D,31330.0,33000.0
8,Shomal.Cement-R,20020415,33002.0,33000.0,33002.0,18909288,573,4,D,33000.0,33002.0
9,Shomal.Cement-R,20020416,33186.0,33030.0,33130.0,1028764145,31025,36,D,33002.0,33130.0
10,Shomal.Cement-R,20020417,33131.0,33131.0,33131.0,24881381,751,3,D,33130.0,33131.0
11,Shomal.Cement-R,20020420,33132.0,33130.0,33131.0,251862162,7602,15,D,33131.0,33131.0
12,Shomal.Cement-R,20020421,33131.0,33130.0,33131.0,196494408,5931,4,D,33131.0,33131.0
13,Shomal.Cement-R,20020422,33130.0,33128.0,33128.0,389753920,11765,11,D,33131.0,33128.0
14,Shomal.Cement-R,20020423,33125.0,33125.0,33125.0,90265625,2725,4,D,33128.0,33125.0
15,Shomal.Cement-R,20020424,33122.0,33122.0,33122.0,5133910,155,2,D,33125.0,33122.0
16,Shomal.Cement-R,20020428,32791.0,32791.0,32791.0,764292628,23308,19,D,33122.0,32791.0
17,Shomal.Cement-R,20020429,32791.0,32791.0,32791.0,1642173280,50080,23,D,32791.0,32791.0
18,Shomal.Cement-R,20020430,32792.0,32791.0,32792.0,21937526,669,6,D,32791.0,32792.0
19,Shomal.Cement-R,20020624,34000.0,33510.0,33510.0,14811172000,441958,47,D,32792.0,33510.0
20,Shomal.Cement-R,20020625,33610.0,33610.0,33610.0,6781691360,201776,21,D,33510.0,33610.0
21,Shomal.Cement-R,20040724,29000.0,29000.0,29000.0,281300000,9700,9,D,33610.0,29000.0
22,Shomal.Cement-R,20040725,29000.0,29000.0,29000.0,1035126000,35694,8,D,29000.0,29000.0
23,Shomal.Cement-R,20040727,29000.0,29000.0,29000.0,211700000,7300,2,D,29000.0,29000.0
24,Shomal.Cement-R,20040728,29002.0,29000.0,29000.0,319870288,11030,5,D,29000.0,29000.0
25,Shomal.Cement-R,20040731,29100.0,29100.0,29100.0,34687200,1192,2,D,29000.0,29100.0
26,Shomal.Cement-R,20040801,29102.0,29100.0,29100.0,137500487,4725,5,D,29100.0,29100.0
27,Shomal.Cement-R,20040802,29100.0,29100.0,29100.0,58200,2,1,D,29100.0,29100.0
28,Shomal.Cement-R,20040803,31000.0,31000.0,31000.0,4805000,155,1,D,29100.0,31000.0
29,Shomal.Cement-R,20040804,30998.0,30998.0,30998.0,206074704,6648,4,D,31000.0,30998.0
30,Shomal.Cement-R,20040808,30997.0,30997.0,30997.0,61994000,2000,1,D,30998.0,30997.0
31,Shomal.Cement-R,20040810,30989.0,30989.0,30989.0,14409885,465,1,D,30997.0,30989.0
32,Shomal.Cement-R,20040814,30986.0,30986.0,30986.0,29777546,961,1,D,30989.0,30986.0
33,Shomal.Cement-R,20040817,30000.0,30000.0,30000.0,9660000,322,2,D,30986.0,30000.0
34,Shomal.Cement-R,20040818,30980.0,30050.0,30980.0,67315098000,2240100,2,D,30000.0,30980.0
35,Shomal.Cement-R,20040822,30980.0,30970.0,30977.0,92404470,2983,4,D,30980.0,30977.0
36,Shomal.Cement-R,20041110,30002.0,29700.0,29997.0,27240579970,908096,45,D,30977.0,29997.0
37,Shomal.Cement-R,20060807,10819.0,10819.0,10819.0,205322982,18978,2,D,29997.0,10819.0
38,Shomal.Cement-R,20060809,10387.0,10387.0,10387.0,25967500,2500,1,D,10819.0,10387.0
39,Shomal.Cement-R,20060812,9972.0,9972.0,9972.0,61357716,6153,8,D,10387.0,9972.0
40,Shomal.Cement-R,20060813,9972.0,9580.0,9692.0,37382380,3857,5,D,9972.0,9692.0
41,Shomal.Cement-R,20060814,9578.0,9576.0,9577.0,612484786,63951,8,D,9692.0,9577.0
42,Shomal.Cement-R,20060815,9570.0,9561.0,9561.0,1153190070,120501,2,D,9577.0,9561.0
43,Shomal.Cement-R,20060816,9550.0,9550.0,9550.0,3352050,351,1,D,9561.0,9550.0
44,Shomal.Cement-R,20070206,9000.0,9000.0,9000.0,8462457000,940273,74,D,9550.0,9000.0
45,Shomal.Cement-R,20070207,9000.0,9000.0,9000.0,135000000,15000,1,D,9000.0,9000.0
46,Shomal.Cement-R,20071225,5210.0,5098.0,5154.0,582067790,112923,46,D,9000.0,5154.0
47,Shomal.Cement-R,20071226,5360.0,5343.0,5349.0,251899783,47085,18,D,5154.0,5349.0
48,Shomal.Cement-R,20071230,5562.0,5550.0,5560.0,893510243,160676,44,D,5349.0,5560.0
49,Shomal.Cement-R,20071231,5782.0,5782.0,5782.0,50210888,8684,8,D,5560.0,5782.0
50,Shomal.Cement-R,20080101,6013.0,5551.0,5735.0,447543020,78032,32,D,5782.0,5735.0
51,Shomal.Cement-R,20080102,5750.0,5699.0,5742.0,236529877,41188,15,D,5735.0,5742.0
52,Shomal.Cement-R,20080105,5513.0,5513.0,5513.0,77132383,13991,6,D,5742.0,5513.0
53,Shomal.Cement-R,20080106,5510.0,5508.0,5508.0,83331612,15129,3,D,5513.0,5508.0
54,Shomal.Cement-R,20080108,5488.0,5487.0,5487.0,57127070,10410,5,D,5508.0,5487.0
55,Shomal.Cement-R,20080109,5480.0,5302.0,5379.0,80742198,15010,9,D,5487.0,5379.0
56,Shomal.Cement-R,20080112,5310.0,5164.0,5166.0,195655876,37867,21,D,5379.0,5166.0
57,Shomal.Cement-R,20080113,5219.0,5150.0,5193.0,274934006,52937,22,D,5166.0,5193.0
58,Shomal.Cement-R,20080114,5199.0,5111.0,5196.0,110420792,21249,13,D,5193.0,5196.0
59,Shomal.Cement-R,20080115,5101.0,5100.0,5100.0,168310000,33000,7,D,5196.0,5100.0
60,Shomal.Cement-R,20080116,5100.0,5001.0,5008.0,111254532,22213,10,D,5100.0,5008.0
61,Shomal.Cement-R,20080120,5008.0,5008.0,5008.0,17780182848,3550356,13,D,5008.0,5008.0
62,Shomal.Cement-R,20080122,5008.0,5008.0,5008.0,3806080,760,2,D,5008.0,5008.0
63,Shomal.Cement-R,20080123,5008.0,4900.0,4954.0,46825576,9451,13,D,5008.0,4954.0
64,Shomal.Cement-R,20080126,4954.0,4954.0,4954.0,19939850,4025,5,D,4954.0,4954.0
65,Shomal.Cement-R,20080127,5120.0,5008.0,5050.0,8130500,1610,4,D,4954.0,5050.0
66,Shomal.Cement-R,20080128,5008.0,5008.0,5008.0,2123392,424,1,D,5050.0,5008.0
67,Shomal.Cement-R,20080129,5008.0,5008.0,5008.0,3628296000,724500,3,D,5008.0,5008.0
68,Shomal.Cement-R,20170802,495.0,410.0,457.0,84732296,185265,35,D,5008.0,495.0
69,Shomal.Cement-R,20170806,502.0,502.0,502.0,304706972,606986,47,D,457.0,502.0
70,Shomal.Cement-R,20170807,550.0,452.0,494.0,112939266,228559,39,D,502.0,490.0
71,Shomal.Cement-R,20170808,480.0,461.0,469.0,50654447,107988,34,D,494.0,475.0
72,Shomal.Cement-R,20170809,500.0,453.0,472.0,48033194,101776,13,D,469.0,463.0
73,Shomal.Cement-R,20170812,515.0,459.0,466.0,22881043,49139,16,D,472.0,465.0
74,Shomal.Cement-R,20170813,479.0,424.0,442.0,37382011,84642,26,D,466.0,465.0
75,Shomal.Cement-R,20170814,478.0,444.0,445.0,13649530,30642,21,D,442.0,457.0
76,Shomal.Cement-R,20170815,470.0,430.0,434.0,32300430,74448,18,D,445.0,449.0
77,Shomal.Cement-R,20170816,429.0,420.0,427.0,28699712,67147,19,D,434.0,420.0
78,Shomal.Cement-R,20170819,422.0,404.0,407.0,42540541,104410,18,D,427.0,420.0
79,Shomal.Cement-R,20170820,446.0,385.0,394.0,76297055,193446,30,D,407.0,400.0
80,Shomal.Cement-R,20170821,417.0,391.0,399.0,88101270,220847,29,D,394.0,400.0
81,Shomal.Cement-R,20170822,435.0,396.0,412.0,30105867,73132,33,D,399.0,430.0
82,Shomal.Cement-R,20170823,432.0,405.0,418.0,61385696,146846,42,D,412.0,428.0
