,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Sina.Tile,20010326,5556.0,5556.0,5556.0,4444800,800,1,D,0.0,5556.0
1,Sina.Tile,20010327,5556.0,5556.0,5556.0,24557520,4420,3,D,5556.0,5556.0
2,Sina.Tile,20010403,5556.0,5556.0,5556.0,2444640,440,1,D,5556.0,5556.0
3,Sina.Tile,20010407,5833.0,5833.0,5833.0,8749500,1500,2,D,5556.0,5833.0
4,Sina.Tile,20010408,5833.0,5833.0,5833.0,16040750,2750,2,D,5833.0,5833.0
5,Sina.Tile,20010409,5833.0,5833.0,5833.0,11666000,2000,3,D,5833.0,5833.0
6,Sina.Tile,20010410,5833.0,5833.0,5833.0,1458250,250,2,D,5833.0,5833.0
7,Sina.Tile,20010411,5834.0,5834.0,5834.0,7000800,1200,2,D,5833.0,5834.0
8,Sina.Tile,20010415,5962.0,5843.0,5962.0,6539601,1107,4,D,5834.0,5962.0
9,Sina.Tile,20010416,5962.0,5841.0,5962.0,47031043,8025,14,D,5962.0,5962.0
10,Sina.Tile,20010421,5989.0,5957.0,5989.0,100155760,16780,14,D,5962.0,5989.0
11,Sina.Tile,20010423,6005.0,6004.0,6005.0,2251750,375,2,D,5989.0,6005.0
12,Sina.Tile,20010424,6150.0,6050.0,6150.0,25357500,4150,5,D,6005.0,6150.0
13,Sina.Tile,20010425,6301.0,6300.0,6300.0,24982150,3965,6,D,6150.0,6300.0
14,Sina.Tile,20010428,6300.0,6300.0,6300.0,12600000,2000,3,D,6300.0,6300.0
15,Sina.Tile,20010430,6297.0,6200.0,6200.0,11817200,1900,5,D,6300.0,6200.0
16,Sina.Tile,20010501,6200.0,6100.0,6200.0,43775872,7095,12,D,6200.0,6200.0
17,Sina.Tile,20010502,6200.0,6200.0,6200.0,8233600,1328,1,D,6200.0,6200.0
18,Sina.Tile,20010506,6200.0,6200.0,6200.0,6863400,1107,3,D,6200.0,6200.0
19,Sina.Tile,20010507,6200.0,6200.0,6200.0,6200000,1000,4,D,6200.0,6200.0
20,Sina.Tile,20010508,6201.0,6200.0,6201.0,30798900,4967,11,D,6200.0,6201.0
21,Sina.Tile,20010512,6300.0,6299.0,6300.0,26238600,4165,6,D,6201.0,6300.0
22,Sina.Tile,20010513,6551.0,6308.0,6550.0,81561608,12500,13,D,6300.0,6550.0
23,Sina.Tile,20010515,6550.0,6550.0,6550.0,6550000,1000,4,D,6550.0,6550.0
24,Sina.Tile,20010516,6450.0,6450.0,6450.0,1386750,215,1,D,6550.0,6450.0
25,Sina.Tile,20010519,6250.0,6250.0,6250.0,12500000,2000,1,D,6450.0,6250.0
26,Sina.Tile,20010520,6400.0,6247.0,6400.0,32654825,5187,8,D,6250.0,6400.0
27,Sina.Tile,20010521,6450.0,6389.0,6450.0,21460000,3350,6,D,6400.0,6450.0
28,Sina.Tile,20010523,6499.0,6450.0,6499.0,36838500,5700,6,D,6450.0,6499.0
29,Sina.Tile,20010527,6498.0,6498.0,6498.0,1624500,250,2,D,6499.0,6498.0
30,Sina.Tile,20010528,6500.0,6498.0,6499.0,32363840,4980,5,D,6498.0,6499.0
31,Sina.Tile,20010529,6498.0,6300.0,6498.0,12797850,2000,3,D,6499.0,6498.0
32,Sina.Tile,20010530,6484.0,6400.0,6484.0,20084000,3125,5,D,6498.0,6484.0
33,Sina.Tile,20010602,6501.0,6484.0,6500.0,817021100,125704,63,D,6484.0,6500.0
34,Sina.Tile,20010603,6550.0,6500.0,6550.0,51758120,7912,12,D,6500.0,6550.0
35,Sina.Tile,20010606,6560.0,6514.0,6560.0,128270240,19588,20,D,6550.0,6560.0
36,Sina.Tile,20010609,6700.0,6565.0,6700.0,218793923,32902,21,D,6560.0,6700.0
37,Sina.Tile,20010611,6767.0,6750.0,6767.0,376529900,55650,19,D,6700.0,6767.0
38,Sina.Tile,20010612,6770.0,6750.0,6767.0,177048641,26173,33,D,6767.0,6767.0
39,Sina.Tile,20010613,6900.0,6767.0,6767.0,8920426000,1311800,25,D,6767.0,6767.0
40,Sina.Tile,20010617,6850.0,6771.0,6850.0,45457429,6699,9,D,6767.0,6850.0
41,Sina.Tile,20010618,6852.0,6849.0,6850.0,65568339,9572,24,D,6850.0,6850.0
42,Sina.Tile,20010619,6890.0,6839.0,6849.0,46610900,6800,10,D,6850.0,6849.0
43,Sina.Tile,20010620,6842.0,6750.0,6795.0,63287165,9355,14,D,6849.0,6795.0
44,Sina.Tile,20010623,6998.0,6793.0,6998.0,188472599,27508,24,D,6795.0,6998.0
45,Sina.Tile,20010624,6999.0,6800.0,6998.0,111953950,16025,17,D,6998.0,6998.0
46,Sina.Tile,20010625,7100.0,6998.0,6998.0,434182450,61375,29,D,6998.0,6998.0
47,Sina.Tile,20010626,7099.0,6998.0,7000.0,261149794,36923,11,D,6998.0,7000.0
48,Sina.Tile,20010807,6503.0,5823.0,6502.0,15576500,2500,3,D,7000.0,6502.0
49,Sina.Tile,20010808,6512.0,6512.0,6512.0,43298288,6649,1,D,6502.0,6512.0
50,Sina.Tile,20010811,6837.0,6707.0,6837.0,20820350,3050,5,D,6512.0,6837.0
51,Sina.Tile,20010812,7178.0,6900.0,7178.0,99808875,13925,11,D,6837.0,7178.0
52,Sina.Tile,20010813,7536.0,7536.0,7536.0,90432000,12000,4,D,7178.0,7536.0
53,Sina.Tile,20010814,7912.0,7912.0,7912.0,116520024,14727,26,D,7536.0,7912.0
