,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Khazar.Cement,20010414,11114.0,11114.0,11114.0,8891200,800,1,D,11114.0,11114.0
1,Khazar.Cement,20010424,11114.0,11114.0,11114.0,17782400,1600,2,D,11114.0,11114.0
2,Khazar.Cement,20010425,11116.0,11116.0,11116.0,5513536,496,1,D,11114.0,11116.0
3,Khazar.Cement,20010428,11118.0,11118.0,11118.0,3335400,300,1,D,11116.0,11118.0
4,Khazar.Cement,20010527,11673.0,11673.0,11673.0,11673000,1000,1,D,11118.0,11673.0
5,Khazar.Cement,20010528,12256.0,12256.0,12256.0,30640000,2500,1,D,11673.0,12256.0
6,Khazar.Cement,20010530,12868.0,12868.0,12868.0,19302000,1500,1,D,12256.0,12868.0
7,Khazar.Cement,20010717,25800.0,13511.0,13511.0,9180767000,356320,4,D,12868.0,13511.0
8,Khazar.Cement,20010820,14202.0,14202.0,14202.0,28404000,2000,2,D,13511.0,14202.0
9,Khazar.Cement,20010903,14912.0,14912.0,14912.0,14912000,1000,3,D,14202.0,14912.0
10,Khazar.Cement,20020310,16930.0,16555.0,16655.0,1669920000,100000,136,D,14912.0,16655.0
11,Khazar.Cement,20020311,16821.0,16821.0,16821.0,765355500,45500,82,D,16655.0,16821.0
12,Khazar.Cement,20020312,16989.0,16989.0,16989.0,424725000,25000,33,D,16821.0,16989.0
13,Khazar.Cement,20020313,17158.0,17158.0,17158.0,634846000,37000,44,D,16989.0,17158.0
14,Khazar.Cement,20020316,17329.0,17329.0,17329.0,34658000,2000,2,D,17158.0,17329.0
15,Khazar.Cement,20020317,17502.0,17502.0,17502.0,274781400,15700,22,D,17329.0,17502.0
16,Khazar.Cement,20020318,17677.0,17677.0,17677.0,213891700,12100,20,D,17502.0,17677.0
17,Khazar.Cement,20020319,17853.0,17853.0,17853.0,357060000,20000,20,D,17677.0,17853.0
18,Khazar.Cement,20020326,18031.0,18031.0,18031.0,21637200,1200,4,D,17853.0,18031.0
19,Khazar.Cement,20020327,18211.0,18211.0,18211.0,186480640,10240,11,D,18031.0,18211.0
20,Khazar.Cement,20020330,18393.0,18393.0,18393.0,64375500,3500,13,D,18211.0,18393.0
21,Khazar.Cement,20020403,18576.0,18576.0,18576.0,557298576,30001,20,D,18393.0,18576.0
22,Khazar.Cement,20020406,18761.0,18761.0,18761.0,28141500,1500,2,D,18576.0,18761.0
23,Khazar.Cement,20020409,18948.0,18948.0,18948.0,341064000,18000,16,D,18761.0,18948.0
24,Khazar.Cement,20020414,19137.0,19137.0,19137.0,158607456,8288,19,D,18948.0,19137.0
25,Khazar.Cement,20020420,19328.0,19328.0,19328.0,76152320,3940,10,D,19137.0,19328.0
26,Khazar.Cement,20020421,19329.0,19329.0,19329.0,48129210,2490,5,D,19328.0,19329.0
27,Khazar.Cement,20020422,19330.0,19330.0,19330.0,6958800,360,4,D,19329.0,19330.0
28,Khazar.Cement,20020423,19331.0,19331.0,19331.0,7152470,370,3,D,19330.0,19331.0
29,Khazar.Cement,20020424,19332.0,19332.0,19332.0,48330000,2500,3,D,19331.0,19332.0
30,Khazar.Cement,20020428,19333.0,19333.0,19333.0,9666500,500,3,D,19332.0,19333.0
31,Khazar.Cement,20020430,19526.0,19526.0,19526.0,97630000,5000,7,D,19333.0,19526.0
32,Khazar.Cement,20020508,19721.0,19721.0,19721.0,47330400,2400,5,D,19526.0,19721.0
33,Khazar.Cement,20020518,19918.0,19918.0,19918.0,19918000,1000,5,D,19721.0,19918.0
34,Khazar.Cement,20020519,20117.0,20117.0,20117.0,20117000,1000,4,D,19918.0,20117.0
35,Khazar.Cement,20020520,20318.0,20318.0,20318.0,20318000,1000,14,D,20117.0,20318.0
36,Khazar.Cement,20020528,20521.0,20521.0,20521.0,20521000,1000,2,D,20318.0,20521.0
37,Khazar.Cement,20020610,36998.0,34100.0,35150.0,6233229137,177884,216,D,20521.0,35150.0
38,Khazar.Cement,20020612,35501.0,35501.0,35501.0,67451900,1900,5,D,35150.0,35501.0
39,Khazar.Cement,20020616,35856.0,35856.0,35856.0,104699520,2920,7,D,35501.0,35856.0
40,Khazar.Cement,20020617,36214.0,36000.0,36000.0,1256073414,34701,27,D,35856.0,36000.0
41,Khazar.Cement,20020618,36100.0,36000.0,36030.0,966043170,26825,45,D,36000.0,36030.0
42,Khazar.Cement,20020619,36390.0,36030.0,36390.0,338384860,9315,14,D,36030.0,36390.0
43,Khazar.Cement,20020622,36390.0,36390.0,36390.0,180894690,4971,3,D,36390.0,36390.0
44,Khazar.Cement,20020623,36393.0,36390.0,36393.0,150842750,4145,10,D,36390.0,36393.0
45,Khazar.Cement,20020624,36403.0,36400.0,36403.0,166423664,4572,4,D,36393.0,36403.0
46,Khazar.Cement,20020625,37300.0,36406.0,37300.0,219501400,5960,17,D,36403.0,37300.0
47,Khazar.Cement,20020626,37312.0,37300.0,37300.0,288579095,7736,12,D,37300.0,37300.0
48,Khazar.Cement,20020629,37400.0,37303.0,37304.0,76781610,2056,6,D,37300.0,37304.0
49,Khazar.Cement,20020630,37402.0,37400.0,37402.0,197181464,5272,8,D,37304.0,37402.0
50,Khazar.Cement,20020701,37403.0,37403.0,37403.0,121559750,3250,5,D,37402.0,37403.0
51,Khazar.Cement,20020702,37405.0,37405.0,37405.0,11221500,300,1,D,37403.0,37405.0
52,Khazar.Cement,20020703,38340.0,37800.0,38340.0,428810300,11200,5,D,37405.0,38340.0
53,Khazar.Cement,20020706,38500.0,38340.0,38500.0,63037600,1640,4,D,38340.0,38500.0
54,Khazar.Cement,20020709,39462.0,38510.0,39462.0,430716449,10930,6,D,38500.0,39462.0
55,Khazar.Cement,20020710,40448.0,40448.0,40448.0,645469184,15958,21,D,39462.0,40448.0
56,Khazar.Cement,20020714,41459.0,41450.0,41459.0,1389786558,33522,34,D,40448.0,41459.0
57,Khazar.Cement,20020715,42495.0,42495.0,42495.0,5116398000,120400,63,D,41459.0,42495.0
58,Khazar.Cement,20020716,43557.0,43557.0,43557.0,4393812375,100875,77,D,42495.0,43557.0
59,Khazar.Cement,20020717,44645.0,44645.0,44645.0,4898360110,109718,73,D,43557.0,44645.0
60,Khazar.Cement,20020720,45761.0,45761.0,45761.0,4697870021,102661,60,D,44645.0,45761.0
61,Khazar.Cement,20020721,46905.0,46905.0,46905.0,680122500,14500,18,D,45761.0,46905.0
62,Khazar.Cement,20020722,47374.0,47374.0,47374.0,544801000,11500,7,D,46905.0,47374.0
63,Khazar.Cement,20020723,47847.0,47847.0,47847.0,1949286780,40740,34,D,47374.0,47847.0
64,Khazar.Cement,20020727,48325.0,48325.0,48325.0,385633500,7980,11,D,47847.0,48325.0
65,Khazar.Cement,20020728,48808.0,47842.0,48808.0,15611730538,321034,215,D,48325.0,48808.0
66,Khazar.Cement,20020729,48808.0,48740.0,48740.0,2704902680,55474,32,D,48808.0,48740.0
67,Khazar.Cement,20020730,48748.0,48740.0,48740.0,70677000,1450,2,D,48740.0,48740.0
68,Khazar.Cement,20020731,48740.0,48253.0,48253.0,1268111259,26063,32,D,48740.0,48253.0
69,Khazar.Cement,20020803,48248.0,48183.0,48186.0,1208263379,25049,20,D,48253.0,48186.0
70,Khazar.Cement,20020804,48168.0,47705.0,47705.0,1013368133,21209,34,D,48186.0,47705.0
