,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Banks.Employees,20130901,1509.0,1451.0,1469.0,3791654872,2581367,111,D,1000.0,1509.0
1,Banks.Employees,20130903,1527.0,1527.0,1484.0,302767452,198276,23,D,1469.0,1527.0
2,Banks.Employees,20130904,1538.0,1425.0,1478.0,2363502350,1598922,130,D,1484.0,1425.0
3,Banks.Employees,20130907,1470.0,1419.0,1472.0,107708938,75739,30,D,1478.0,1455.0
4,Banks.Employees,20130908,1469.0,1440.0,1470.0,79659590,54926,16,D,1472.0,1450.0
5,Banks.Employees,20130909,1460.0,1414.0,1455.0,508586655,353860,42,D,1470.0,1414.0
6,Banks.Employees,20130910,1513.0,1440.0,1468.0,294877268,195780,56,D,1455.0,1513.0
7,Banks.Employees,20130911,1526.0,1500.0,1500.0,742110053,489265,66,D,1468.0,1526.0
8,Banks.Employees,20130914,1560.0,1500.0,1514.0,397755270,258113,38,D,1500.0,1539.0
9,Banks.Employees,20130915,1557.0,1464.0,1511.0,202711588,135317,47,D,1514.0,1470.0
10,Banks.Employees,20130916,1540.0,1463.0,1506.0,162787788,110421,27,D,1511.0,1465.0
11,Banks.Employees,20130917,1500.0,1446.0,1501.0,116167036,79518,35,D,1506.0,1447.0
12,Banks.Employees,20130918,1529.0,1481.0,1501.0,256949215,171103,45,D,1501.0,1501.0
13,Banks.Employees,20130921,1527.0,1484.0,1501.0,161797632,107779,23,D,1501.0,1504.0
14,Banks.Employees,20130922,1500.0,1471.0,1496.0,295898360,199513,40,D,1501.0,1472.0
15,Banks.Employees,20130923,1500.0,1456.0,1492.0,430238697,289424,51,D,1496.0,1498.0
16,Banks.Employees,20130924,1500.0,1472.0,1493.0,197692442,132004,33,D,1492.0,1500.0
17,Banks.Employees,20130925,1525.0,1480.0,1492.0,115666766,77817,24,D,1493.0,1487.0
18,Banks.Employees,20130928,1540.0,1490.0,1500.0,384711954,253874,56,D,1492.0,1518.0
19,Banks.Employees,20130929,1527.0,1482.0,1499.0,68906984,46198,27,D,1500.0,1487.0
20,Banks.Employees,20130930,1552.0,1493.0,1511.0,405704639,264472,47,D,1499.0,1552.0
21,Banks.Employees,20131001,1571.0,1504.0,1531.0,745518724,483300,101,D,1511.0,1571.0
22,Banks.Employees,20131002,1592.0,1575.0,1554.0,495448358,312536,59,D,1531.0,1592.0
23,Banks.Employees,20131005,1616.0,1616.0,1563.0,173290144,107234,17,D,1554.0,1616.0
24,Banks.Employees,20131006,1625.0,1625.0,1565.0,41569125,25581,15,D,1563.0,1625.0
